Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,citation,conference,journal/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,publish time,title
Row_19,"The outbreak of COVID-19 caused unprecedented disruptions to public transport services. As such, this paper proposes a methodology for analyzing COVID-19 impact on public transport mobility. The proposed methodology includes: (1) a new unsupervised machine learning (UML) method, which utilizes a decoder-encoder architecture and a flow property-based learning objective function, to estimate the origin-destination (OD) flows of public transport systems from boarding-alighting data; and (2) a temporal-spatial analysis method to analyze OD flow change before and during COVID-19 to unveil its impact on mobility across time and space. The validation of the UML method showed that it achieved a coefficient of determination of 0.836 when estimating OD flows using boarding-alighting data. Upon the successful validation, the proposed methodology was implemented to analyze the impact of COVID-19 on the mobility of the New York City subway system. The implementation results indicate that (1) the rise in the number of weekly new COVID-19 cases intensified the impact on the public transport mobility, but not as strongly as public health interventions; and (2) the inflows to and outflows from the center of the city were more sensitive to the impact of COVID-19.","Zhang, Lan","Liu, Kaijian",,,,,,,,,,,,,,,,,,,,,0,,CITIES,COVID-19,Urban mobility,Origin-destination flow estimation,Unsupervised machine learning,,,,,,,,AUG 2024,Unsupervised origin-destination flow estimation for analyzing COVID-19 impact on public transport mobility
Row_22,"Research on public transport systems is continually driven by the societal benefits of transport services. However, the nuanced effects of the built environment on public transport mode shares across different modes have received little attention. Using multi-source travel data from Shenzhen, this study presents an analytical framework, which integrates the light gradient boosting machine and Shapley additive explanations, to delve into the complex interplay among public transport modes. The results reveal that most origin-destination pairs with available metro services exhibit a metro share exceeding 50%, underscoring the high attractiveness of the metro. Travel distance emerges as the primary determinant of mode share, with transport-related characteristics proving more influential than land use modifications. This study identifies nonlinear effects of the built environment on mode share, with specific thresholds for built environment characteristics suggesting fine-tuned planning strategies. Metro station densities of 2 counts/km2 correlates with increased metro share, while bus stop densities of 15 counts/km2 are associated with higher bus share. Areas within 2 km of a metro station or with bus stop densities below 15 counts/km2 tend to have higher bike shares. Specific land use ratios and high levels of land use mix are linked to increased shares of certain modes. The findings suggest optimizing bus services in relation to metro availability and offer guidance for balanced planning in promoting metro and shared mobility to achieve a sustainable transport system.","Li, Zhitao","Tang, Jinjun","Yu, Tianjian","Liu, Biao","Cao, Junqiang",,,,,,,,,,,,,,,,,,0,,JOURNAL OF CLEANER PRODUCTION,Public transport,Mode share,Built environment,LightGBM,Non-linear associations,,,,,,,NOV 10 2024,Understanding the interplay among urban public transport modes: Spatial variation and built environment effects
Row_35,"As digital mobility platforms, such as ride-hailing apps, have become more widespread and popular, they have garnered public and scholarly interest as potential solutions to challenges of climate change, insufficient mobility services, urban congestion and pollution. This paper examines the potential of ride-hailing platforms through a more critical lens. Thereby I draw attention to how platform transportation workers in Mumbai, India, produce mobility services by collaboratively linking the social and material resources of the city. Networks and communities of transport workers have long been essential for providing intermediate mobility services in Mumbai, and continue to do so in the platform era. Building on these observations, I inquire whether there is potential for the creation of worker-centric platform models that benefit both the workers and the larger urban majority. Therefore, drawing on my fieldwork in Mumbai, I first explore how the current model of digital mobility platforms in Mumbai reinforces socio-spatial fragmentation in Mumbai while leaving workers with decreasing earnings and rising work pressure. Considering the agency of platform workers, I then aim to uncover how platform workers appropriate platform mechanisms and engage their collective knowledge and experiences in order to improve their working situation. I draw upon these insights to highlight how worker-centric approaches to digital mobility platforms can contribute to more inclusive and sustainable cities.","Kuttler, Tobias",,,,,,,,,,,,,,,,,,,,,,0,,URBAN STUDIES,alternative platform models,embeddedness,platform mobilities,platform urbanism,South Asia,,,,,,,JUL 2024,Urban mobilities in Mumbai: Towards worker-centric platformisation beyond 'urban solutionism'
Row_71,"This study explores the '15 -minute city' concept in Hamilton, New Zealand, focusing on challenges related to car dependency and urban sprawl. Triggered by the greater emphasis on sustainable urban environments following the global pandemic, the research employs a mobility -based approach to assess the model's applicability across various urban districts. Geographic Information System (GIS) mapping is used to identify 'liveable areas' in business, residential, and industrial districts where essential services are accessible within three different thresholds of 5, 10, and 15 min walking distance. This tiered approach offers a detailed view of urban accessibility, highlighting the practicality and varying implementation levels of the 15 -minute city concept across diverse urban areas. Geolocated mobile phone data from 88,660 residents is analysed with a focus on 'inflow' and 'outflow' travel distances at both city and district levels. While the results reveal the practical challenges of implementing the '15 -minute city' paradigm, they also show partial alignment of Hamilton's urban fabric with the paradigm, offering scope for adjustments to better suit the city's specific characteristics and residents' behaviours. The study highlights opportunities for enhancing the diversity and accessibility of amenities and improving public transportation and alternative transport options, all key factors for sustainable urban development. This adaptable methodology serves as a valuable reference for other cities in developing strategies for sustainable living. The study concludes that while Hamilton shows potential for transformation, a nuanced and locally focused approach is crucial. These insights contribute to the current new urbanist literature by providing a comprehensive city -district perspective, extending the discourse to include distances beyond the '15 -minute city' and highlighting areas where further urban planning or intervention is necessary.","Wang, Tianyi","Li, Yan","Chuang, I. -Ting","Qiao, Weijie","Jiang, Jing","Beattie, Lee",,,,,,,,,,,,,,,,,2,,CITIES,15-Minute-city,Urban structure,Geolocated data,Human mobility analysis,GIS spatial analysis,,,,,,,AUG 2024,"Evaluating the 15-minute city paradigm across urban districts: A mobility-based approach in Hamilton, New Zealand"
Row_78,"Women's perception of safety in public spaces is influenced not only by potential risks of crime or accidents but also by diverse built environment, individual, and social characteristics. These impacts can manifest through a disruption of social engagement and outdoor activities, which can negatively affect their mobility, overall quality of life, and well-being. This study employs a narrative review approach of 32 academic articles to identify various factors that can affect women's perception of safety in public places and while using public transport. We further selected 21 studies that provide substantive data on the built environment, individual characteristics, and social factors, while also examining their intersectionality. By adopting an intersectionality framework, we evaluated the relative importance of each factor based on its consistency and prominence in previous research and assessed their significance in contributing to women's perception of safety. The findings highlight the importance of urban design and built environment improvements, such as street lighting and walking path conditions, in enhancing women's perceived safety. They also suggest integrating social and built factors into safety strategies and emphasise the potential of emerging technologies for collecting data and assessing safety perceptions across diverse populations.","Dubey, Shreya","Bailey, Ajay","Lee, Jinwoo Brian",,,,,,,,,,,,,,,,,,,,0,,CITIES,Perceived safety,Female safety,Public space,Safety,Female,Women,,,,,,JAN 2025,Women's perceived safety in public places and public transport: A narrative review of contributing factors and measurement methods
Row_91,"The COVID-19 pandemic has impacted people's everyday lives, as avoiding being in crowded places became the number one societal rule. Crowdedness has therefore increasingly affected decisions such as a place visit via a specific path, the selection of a public transport stop, itinerary, etc., thereby making related information increasingly relevant. The objective of this study is to examine the route and travel choices of pedestrians and public transport users, with the provisioning of travel information related to crowdedness levels. To that end, a choice experiment was designed to elicit travelers' preferences. Discrete choice models were estimated based on data collected from 465 individuals in Greece. Results showed that crowd avoidance plays a significant role in shaping mobility decisions for both pedestrians and public transport users. Factors such as place of residence, age, the importance of COVID-19 measures and arrival time are found to affect the likelihood of switch routes in response to information about high levels of crowdedness.","Karatsoli, Maria","Nathanail, Eftihia","Basbas, Socrates","Cats, Oded",,,,,,,,,,,,,,,,,,,2,,CITIES,Urban mobility,Discrete choice models,Pandemic,Crowdedness level,,,,,,,,JUN 2024,Crowdedness information and travel decisions of pedestrians and public transport users in the COVID-19 era: A stated preference analysis
Row_97,"Urban and transportation policies are increasingly recognized for their potential to mitigate climate change impacts and address transport externalities. Amidst efforts to shift modal preferences and reduce transport emissions, cities are turning to spatialbased policies, such as Superblocks, to reshape urban mobility. This research examines the electoral outcomes associated with the implementation of Superblocks in Barcelona, focusing on their impact on political support for Barcelona en Com & uacute; (BEC) during the local elections of 2015 and 2023. Utilizing a combination of adjusted difference-in-differences and propensity score matching methods, we assessed the public's electoral response to the Superblock initiative amidst a backdrop of declining city-wide support for BEC. Our findings reveal that Superblock areas demonstrated significantly stronger support for BEC, suggesting a political premium for the party responsible for these urban interventions. Specifically, electoral support in Superblock districts saw an increase of 10-14% compared to the rest of the city. This result highlights the potential of urban transformation policies to influence political preferences locally and potentially validate the use of local electoral data as a tool for evaluating public response to highly contested urban policies.","Marquet, Oriol","Nunez, Marta-Beatriz Fernndez","Maciejewska, Monika",,,,,,,,,,,,,,,,,,,,0,,ENVIRONMENT INTERNATIONAL,Superblocks,Electoral analysis,Urban policy acceptability,Sustainable urban planning,Policy evaluation,,,,,,,JUL 2024,The political price of superblocks. Electoral outcomes of sustainable transport interventions in Barcelona
Row_101,"Air quality and urban mobility are complex socioenvironmental issues faced by megacities, particularly those in the Global South. Investments in efficient and inclusive public transport networks, as well as encouraging active transport modals, can mitigate both traffic congestion and air pollution, leading to improved quality of life. Few studies have integrated the potential effects of a well-developed rail network in influencing modal choice - from motorised to active transport - and their impacts on pollutant emission and air quality through dynamic air quality models. In the megacity of Sao Paulo, the expansion of the subway system has not achieved the planned targets, as intended by state government plans. This induces the question ""What would have happened to air pollution if planned stations had been properly implemented?"" which this paper aims to answer, through the increased adoption of cycling or walking to and from railway stations. We applied the WRF-Chem air quality model to model the effects of railway development in a megacity, focusing on criteria pollutants. Results show that the more investments there are in public transport, by expanding the metro system, the more expressive are the decreases in air pollution, and the farther these benefits spread out spatially. More intense reductions in pollutant concentrations are predicted to occur near the new stations' buffers, but citizens living far from the metro stations will also benefit from these improvements. Additionally, modal change from car to walking/ cycling and subway in all trips within a radius of 1.3 km centered in existing and planned stations is expected to result in a decrease of 11.7 % in CO 2 eq vehicular emissions. Therefore, improvements in public transportation could help improving environmental and social justice, leading to better air quality and transport accessibility, decreasing public health problems and costs, while helping cities reach their GEE emissions reduction targets.","Chiquetto, Julio Barboza","Machado, Pedro Gerber","Mouette, Dominique","Ribeiro, Flavia Noronha Dutra",,,,,,,,,,,,,,,,,,,0,,SCIENCE OF THE TOTAL ENVIRONMENT,Urban mobility,Air pollution,Sao Paulo,Air quality modeling,Urban environment,Transportation planning,,,,,,OCT 1 2024,Air quality improvements from a transport modal change in the Sao Paulo megacity
Row_141,"The use of cars in cities has many negative impacts, including pollution, noise and the use of space. Yet, detecting factors that reduce the use of cars is a serious challenge, particularly across different regions. Here, we model the use of various modes of transport in a city by aggregating Active mobility (A), Public Transport (B) and Cars (C), expressing the modal share of a city by its ABC triplet. Data for nearly 800 cities across 61 countries is used to model car use and its relationship with city size and income. Our findings suggest that with longer distances and the congestion experienced in large cities, Active mobility and journeys by Car are less frequent, but Public Transport is more prominent. Further, income is strongly related to the use of cars. Results show that a city with twice the income has 37% more journeys by Car. Yet, there are significant differences across regions. For cities in Asia, Public Transport contributes to a substantial share of their journeys. For cities in the US, Canada, Australia, and New Zealand, most of their mobility depends on Cars, regardless of city size. In Europe, there are vast heterogeneities in their modal share, from cities with mostly Active mobility (like Utrecht) to cities where Public Transport is crucial (like Paris or London) and cities where more than two out of three of their journeys are by Car (like Rome and Manchester).","Prieto-Curiel, Rafael","Ospina, Juan P.",,,,,,,,,,,,,,,,,,,,,3,,ENVIRONMENT INTERNATIONAL,Modal share,Vehicle kilometres travelled,Motorisation,Active travel,,,,,,,,MAR 2024,The ABC of mobility
Row_149,"Car sharing (CS) and smart mobility have emerged as pivotal components for a sustainable transformation urban transportation, standing out as central topics in the discussions on sustainable mobility solutions. Nevertheless, the increasing interest from scholars, CS companies' owners, and policymakers in car sharing services as a viable response to the sustainable urban transport has availed rather mixed considerations, thus calling for further scrutiny. The current endeavor thus seeks to advance a systematic literature review of the body of knowledge correlatively addressing the issues of various forms of smart mobility and car sharing. Four major research questions are envisaged, namely: What are the bibliometric characteristics of the literature related smart mobility and car sharing? What is the focus of this literature in terms of key concepts? What are limitations of the existing body of literature? and What are the implications of this literature in terms of future research avenues? With a view to providing pertinent answers, emphasis will be laid on the insights, critique, transformative redefinitions of the literature in the field via a bibliometric analysis and structured theme-based review. The SPAR-4-SLR protocol is employed while the data retrieved from the Scopus database was processed with the Bibliometrix package (i.e., Biblioshiny) of the R study program. Derived from the thematic mapping the identified clusters, six key research topics (i.e., car sharing through the lens of urban mobility management, innovative business models and governance, sustainable transportation and e-car sharing, smart mobility multimodality, sustainable mobility, public transport, and collaborative consumption, climate change electric vehicles and transport policy and automotive industry) are thoroughly discussed in terms of added value and limitations. The findings manage to clarify the multiplexity of links between the two constructs, by shedding light on the motor, basic, niche, emerging and declining themes which are worthy of further consideration within a structured research agenda. Additionally, they point to the fact that the issues of smart mobility and car sharing are still producing mixed or fragmented conclusions in terms of socio-economic, technological and environmental impacts, calling for further investigation. Manifold implications of the state-of-the-art in the field brought to the attention of scholars and practitioners interested in achieving a better understanding and inteof car and smart in the broad","Vatamanescu, Elena Madalina","Dominici, Gandolfo","Ciuciuc, Victor-Emanuel","Vitelar, Alexandra","Anghel, Flavia Gabriela",,,,,,,,,,,,,,,,,,0,,JOURNAL OF CLEANER PRODUCTION,Smart mobility,Car sharing,Sustainable transportation,Electric vehicles,Systematic literature review,Bibliometric analysis,,,,,,DEC 25 2024,Connecting smart mobility and car sharing using a systematic literature review. An outlook using Bibliometrix
Row_153,"For cities to utilise their maximum liveability potential, their transport infrastructure and overall service provision need to function seamlessly. To this end, urban street eco-systems should be characterised, organised and utilised effectively. But is this happening on a mass scale across the globe? Are our urban street classification schemes forward-thinking and ready to respond to the emerging sustainability and resilience challenges cities face nowadays? This paper aims to answer these questions by examining and decoding the prevailing ""formal street classification scheme model"" through conducting a detailed worldwide review of formal national street classification plans. Out of 196 countries investigated, 128 official street classification plans were identified, analysed and evaluated. We also used an Analytical Hierarchy Process (AHP) with 20 experts coming from different fields (i.e., academics, policymakers, practitioners) to enhance our results and contribute to developing an index evaluating urban street classification under the prism of sustainability. The outcomes of our work signify that conventional pro-automobile approaches still prevail, thus shaping car-centric conditions, which undermine the role of sustainable modes and reduce the ability of cities to innovate and succeed. It is demonstrated that the road to achieve sustainability and completeness in urban transport systems, considering these car-led plans, is still uphill. Based on that, multi-dimensional classification systems prioritising public and active transport, while appreciating street's urban aspect should be promoted in the future.","Tsigdinos, Stefanos","Salamouras, Georgios","Chatziioannou, Ioannis","Bakogiannis, Efthimios","Nikitas, Alexandros",,,,,,,,,,,,,,,,,,0,,CITIES,Street classification,Road network hierarchy,Formal planning,Sustainable mobility,Transport planning,Urban development,,,,,,NOV 2024,A worldwide review of formal national street classification plans enhanced via an analytical hierarchy process: Street classification as a tool for more sustainable cities
