Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,citation,conference,journal/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,publish time,title
Row_4,"In an urbanized world, the challenges posed by climate change need to be met through innovative planning for cities and regions. Urban resilience demands that cities adopt new models centered on carbon neutrality, ecosystem services and biodiversity enhancement, circularity, and social inclusion. In light of the multiple interdependencies of metropolitan systems and the natural and territorial potentialities present on their fringes, this paper discusses the metropolitan fringes as strategic for urban resilience and sustainable transitions. By combining a mixed-method analysis of adaptation and urban plans with semi-structured interviews performed with key technicians, the analysis is focused on an inter-municipal fringe zone within the Barcelona Metropolitan Area - the Bes`os territory. Aiming to contribute to the discussions related to Territorial innovation for cities and regions, the paper offers a multi-scale perspective and illustrates innovative urban transformation strategies across scales. The results highlight that governance and multiple planning and participation instances together with technical and financial support are essential for consensus building in an incremental process. Furthermore, the planning strategies of the case study sought to integrate and enhance the green and blue infrastructures and transform consolidated urban areas with a focus on energy transition, sustainable mobility, circularity, and social inclusion. In conclusion, it is argued that resilience has a multi-scalar perspective within the metropolitan context and should be integrated with planning policies at different scales from a coordinated vision. Although adaptation and urban projects have a critical local element, a broader and more strategic vision is necessary, especially in metropolitan fringe areas.","Marques, Andresa Ledo","Alvim, Angelica Tanus Benatti",,,,,,,,,,,,,,,,,,,,,,,,2,,CITIES,Metropolitan fringes,Urban resilience,Metropolitan resilience,Metropolitan planning,Multi-scale planning,Barcelona Metropolitan Area,,,,,,,,,,JUL 2024,Metropolitan fringes as strategic areas for urban resilience and sustainable transitions: Insights from Barcelona Metropolitan Area
Row_9,"The suburbanization of poverty has been a concerning trend in many urban regions. While research has described patterns of suburbanization of poverty at regional and neighbourhood levels, there are open questions about how lower -income households have agglomerated in the suburbs in recent history. Is suburban poverty primarily a result of 1) the movement of low-income residents from central to suburban neighbourhoods (e.g., via processes of gentrification and displacement), 2) migration between Census Metropolitan Areas and the immigration of low-income groups to suburbs, or 3) becoming and remaining poor while staying in the suburbs? The objective of this paper is to describe and quantify the propensity of these predominant individual geographic pathways to suburban poverty. We do so via a cluster analysis of census and land use data to define neighbourhoods as either central or suburban, and then link this categorization to a large-scale panel dataset representing 20 % of tax filers in Canada (from 2006 to 2016). These data allow for analyzing different pathways within the context of large Canadian metropolitan areas, specifically to what extent poverty in suburban neighbourhoods stems from intraurban residential mobility, immigration, and becoming poor in -place. We find that becoming and remaining poor while staying in the suburbs encompasses a greater proportion of suburban poverty than immigration and centreto -suburb residential mobility combined. Overall, this research expands our understanding of the sources of suburban poverty while also providing pertinent information to aid preventative policy aimed at reducing suburban poverty in Canada.","Allen, Jeff","Farber, Steven","Tiznado-Aitken, Ignacio",,,,,,,,,,,,,,,,,,,,,,,1,,CITIES,Suburbs,Poverty,Residential mobility,Immigration,Panel data,,,,,,,,,,,APR 2024,Pathways to suburban poverty in nine Canadian metropolitan areas
Row_16,"This research investigates whether gentrification restricts housing markets for low-income households by focussing on the New York and San Francisco metropolitan areas from 2013 to 2019. We investigate whether gentrification correlates with increased out-migration and decreased in-migration of low-income residents in affected neighbourhoods, and how it shapes where out-movers relocate. We leverage a unique longitudinal dataset to compare two extreme regional contexts characterised by significant affordability challenges and intense housing regulations. By doing so, this study aims to provide a more refined understanding of gentrification and residential mobility dynamics, avoiding broad generalisations or a narrow focus on single metropolitan contexts. The findings indicate that in both regions, low-income households are indeed more likely to leave gentrifying neighbourhoods compared to non-gentrifying ones and less likely to enter them compared to higher-income households. The study also finds mixed results regarding the subsequent residential situations of these low-income movers. Based on these findings, we provide implications for research and policies oriented towards improving housing and neighbourhood access for low-income households in rapidly changing urban areas.","Song, Taesoo","Chapple, Karen",,,,,,,,,,,,,,,,,,,,,,,,0,,URBAN STUDIES,gentrification,neighbourhood access,neighbourhood change,residential mobility,,,,,,,,,,,,OCT 2024,Does gentrification constrain housing markets for low-income households? Evidence from household residential mobility in the New York and San Francisco metropolitan areas
Row_44,"The neighborhood effect averaging problem (NEAP) is a fundamental statistical phenomenon in mobility-dependent environmental exposures. It suggests that individual environmental exposures tend toward the average exposure in the study area when considering human mobility. However, the universality of the NEAP across various environmental exposures and the mechanisms underlying its occurrence remain unclear. Here, using a large human mobility data set of more than 27 000 individuals in the Chicago Metropolitan Area, we provide robust evidence of the existence of the NEAP in a range of individual environmental exposures, including green spaces, air pollution, healthy food environments, transit accessibility, and crime rates. We also unveil the social and spatial disparities in the NEAP's influence on individual environmental exposure estimates. To further reveal the mechanisms behind the NEAP, we perform multiscenario analyses based on environmental variation and human mobility simulations. The results reveal that the NEAP is a statistical phenomenon of regression to the mean (RTM) under the constraints of spatial autocorrelation in environmental data. Increasing travel distances and out-of-home durations can intensify and promote the NEAP's impact, particularly for highly dynamic environmental factors like air pollution. These findings illuminate the complex interplay between human mobility and environmental factors, guiding more effective public health interventions.","Cai, Jiannan","Kwan, Mei-Po",,,,,,,,,,,,,,,,,,,,,,,,1,,ENVIRONMENTAL SCIENCE & TECHNOLOGY,environmental exposures,human mobility,neighborhoodeffect averaging problem,spatial autocorrelation,multiscenario simulation,,,,,,,,,,,OCT 3 2024,The Universal Neighborhood Effect Averaging in Mobility-Dependent Environmental Exposures
Row_46,"The term ""housing ladder"" refers to the phenomenon of people moving from one housing type to another according to changing demands of different life stages. This phenomenon is observed in many countries and is known as the Jutaku Sugoroku Paradigm in the Japanese context. This study aims to clarify whether adult children's access to homeownership might be affected by their parents' homeownership and their place of origin. Questionnaire Data from a survey across Japan's two largest metropolitan areas, Tokyo and Osaka, were analyzed by combining crosstabulations and a binomial logit model. The results revealed that individuals are more likely to attain homeownership if they come from a metropolitan area and if their home of origin is an owner-occupied house. These findings suggest that housing inequality is being passed on to the next generation by parents' homeownership status and residential location. Japanese housing policies that promote private ownership of housing may reinforce these inequalities. The study concludes that Japan experiences the same intergenerational transmission of housing inequality due to homeownership as other countries, whereas place of origin was an additional factor for homeownership in the Japanese context.","Fukuda, Ryo","Sho, Kojiro","Kidokoro, Tetsuo","Lim, Hwajin",,,,,,,,,,,,,,,,,,,,,,1,,CITIES,Japan,Housing inequality,Housing ladder,Homeownership,Birthplace,,,,,,,,,,,JUL 2024,Inheriting housing inequality: Parental homeownership and place of origin as key factors for homeownership in Japanese metropolitan areas
Row_82,"A major problem for policymakers is to ensure that levels of citizen participation reflect the society in its diversity, but they must also ensure that those citizens who want to get involved have the means to do so. Despite empirical evidence of the role of urban planning in health, well-being, and livability, studies have not delved into the implications of how low-density sprawled urban forms influence civic involvement. This paper adds new evidence regarding the significance of urban form, built environment characteristics and more in general city planning, as intermediary factors between public and private life connected to civic engagement and public space use. Based on surveys and geographic data from the Greater Metropolitan Area of San Jose ', in Costa Rica, the article investigates how the results of citizen participation change depending on whether residents are from a compact or dispersed study area, relating to urban rhythms and mobility metrics. Findings suggest that inhabitants of group A (lower-density neighborhoods) differ significantly from group B (compact-city areas) in four variables: means of mobility, commuting time, public space use, and civic activism, while having similar sociodemographic composition. Compared with residents of group A, group B report higher levels of use and knowledge of public spaces and civic participation. These two aspects constitute, the Urban Civic Participation Index, which, related to self-reported free time, forms what we define as Public Time. The main characteristics of the compact city (higher population and building density, high street connectivity, grid presence and proximity of services, mixed land use) were found to be positively related to the outcomes of accessibility to public space and community participation. In contrast, there are no significant differences in the availability of free time between the two groups. This study, along with others on the compact city, shows that there are other reasons to reduce daily commuting distances in cities and the need of urban time policies to redesign urban society's temporal dimension besides the known environmental impacts. It also raises the question of how low urban density affects people's time and disposition to participate in public life.","Pilia, Margherita Valle","Fonseca, Franklin Ramirez",,,,,,,,,,,,,,,,,,,,,,,,1,,CITIES,Public space,Urban sprawl,Compact city,Urban form,Civic engagement,,,,,,,,,,,MAY 2024,"The influence of the urban model on civic involvement and public time. A study applied to the commuting population of the Greater Metropolitan Area of San Jos<acute accent>e, Costa Rica"
Row_117,"Multidimensional inequalities have been increasingly discussed in the transportation field, particularly in the case of bike riding. Although several studies focused on the gender differences in bike-share systems, only a few include socioeconomic inequalities and the dimension of race. This study considers a multidimensional perspective, relating the urban space characteristics, cycling infrastructure and bike-sharing mobility distribution patterns. We analyzed the data collected from bike-share systems of five major Brazilian cities to investigate the aspects of cycling behavior in terms of gender. Additionally, we examined the uneven access to cycling infrastructure, considering its socio-spatial inequalities. The obtained results confirm the lack of female bike-sharing cyclists at different levels. The gender difference decreased for bike-share trips with longer durations and recreational purposes. In seaside towns, women represented a higher participation percentage in bike-share cycling, particularly in recreational areas such as parks, seafronts, and lakesides. Although cycle lanes reduced the disparity, they did not ensure the gender balance as observed in recreational areas. The proportion of female bike-share cyclists reduced in areas lacking cycle lanes and near metro-rail stations. Furthermore, the peripheries with more Black and lower-class inhabitants lack bike-friendly spaces, which are vital for promoting more sustainable and equitable cities.","Fortes, Laura M.","Giannotti, Mariana","de Freitas, Flavio Soares",,,,,,,,,,,,,,,,,,,,,,,0,,CITIES,Gender mobility,Uneven access,Cycling infrastructure,Bike-share system,Mobility pattern,,,,,,,,,,,MAY 2024,"Gender, class and race uneven access to bike systems across five Brazilian cities"
Row_130,"Research on the geography of metropolitan opportunities has focused on a set of opportunities in different urban areas over time to justify policy interventions. The Beijing government implemented large-scale policy interventions to achieve structural industrial changes in order to stop the downward spiral of poverty and segregation in ""urban villages."" Beijing has accelerated the redevelopment of urban villages and helped tens of thousands of low-wage migrant workers in garment villages move to surrounding secondary cities or small towns in Hebei Province with better opportunities. However, low-wage migrant workers did not respond linearly to the intervention. This study analyzes the reasons underlying the response of low-wage migrant workers to these policy interventions. First, the antipoverty policy is a geographic exercise, moving low-end industries from a global center to peripheral locations. This study considers why this mobility strategy for improving opportunity has become the arena for opportunistic behavior and conceptualizes the logic of opportunism and the self-worth of low-wage migrant workers in a metropolitan area. Second, the Beijing government is attempting to disperse the low-end informal industries into formal industrial bases in Hebei. Dispersal campaigns inevitably involve circuitous mobility and the outcome of dispersal is inherently unstable. One of the crucial questions in dispersal strategies is scale. Would an upscaled Beijing-Tianjin-Hebei (BTH) City Region or a downscaled ""neighborhood effect"" better implement the antipoverty strategy? This dispersal strategy can break up the concentration of migrants, but their perceived opportunities remain in Beijing. One of the obstacles to the full implementation of the dispersal strategy is grassroots opposition. This study uses a three-year survey conducted prior to the COVID-19 lockdown to analyze how displaced migrant workers perceive these opportunities in their processual and networked decision-making. Garment villages are important ""anchor places"" where migrants can mobilize their social capital and facilitate upward mobility outside a dominant institution in Beijing. This study reveals how garment workers replicated informal habitats in more remote locations in Beijing as the old habitats disappeared.","Liu, Ran","Huang, Xu",,,,,,,,,,,,,,,,,,,,,,,,1,,CITIES,Geography of opportunity (GO),Migrants,Value,Urban village,Beijing -Tianjin -Hebei (BTH),Garment industry,,,,,,,,,,JUN 2024,"Changing value system, shifting geography of opportunity: Trajectory of migrant workers in the garment industry in Beijing"
Row_142,"In major metropolitan areas, gentrification, financialisation and welfare retrenchment contribute to a severe housing crisis. Over the past 20 years, home price inflation and affordable housing shrinkage have been particularly acute in Paris. Such issues have been linked to the displacement of lower-income Parisians and the suburbanisation of poverty on a regional scale. In this article, we match disaggregated data from the Family Benefits Fund (CAF) with information on local housing markets, to empirically document these expulsionary processes. Our methodology is twofold. First, we investigate out-migration factors using logistic regressions. Second, we compare households' changes in access to the city centre and urban resources following a move. Data show that social vulnerability is associated with a greater risk of leaving Paris and that housing welfare is playing a crucial role in mitigating this risk. Also, the higher the pressure on local housing markets, the more social inequalities determine mobility behaviour. Finally, beyond the effects of family structure, patterns of decentralisation are related to income level: less affluent households go farther from the city centre, job opportunities and services than higher-income households.","Guibard, Luc","Le Goix, Renaud",,,,,,,,,,,,,,,,,,,,,,,,0,,URBAN STUDIES,decentralisation,displacement,exclusion,gentrification,housing,out-migration,poverty,,,,,,,,,AUG 2024,Those who leave: Out-migration and decentralisation of welfare beneficiaries in gentrified Paris
Row_167,"Megacities are major contributors to global road CO2 emissions, highlighting their pivotal role in achieving lowcarbon development. However, comprehensive studies on emission patterns and decarbonization strategies in these metropolitan areas remain limited. This study presents a novel and portable big data-based workflow for megacities to reveal their spatiotemporal dynamics of road CO2 emissions and quantify decarbonization potentials associated with inter-city travel and the 15-minute city concept. We take Guangzhou City (China) as a case study. Our results reveal that primary purpose trips produce 17 % more CO2 emissions than secondary trips on average. Inter-city trips account for 36.3 % of the total emissions in the city, and those for primary purposes exhibit closer spatial distributions with intra-city trips. While providing more 15-minute-walk POIs exhibits a marginally diminishing effect on reducing trip average emissions, comprehensive implementation of the 15-minute city concept in Guangzhou can reduce up to 56.3 % of the total emissions from non-home-related passenger trips, with variations observed across different trip purposes (40 %-70 %). A significant ""head effect"" of decarbonization potential across communities exists for all trip purposes. Our study highlights the environmental limitations of monocentric urban planning models in megacities and contributes valuable insights for crafting effective strategies for sustainable urban development.","Chen, Wangyang","Tan, Ziyi","Wu, Yaxin","Biljecki, Filip","Liao, Shunyi","Zhou, Qingya","Li, Hongbao","Zheng, Yuming","Gao, Feng",,,,,,,,,,,,,,,,,1,,CITIES,Sustainable development,Urban mobility,Road transport,Carbon emission,Trip purpose,,,,,,,,,,,SEP 2024,Decarbonizing megacities: A spatiotemporal analysis considering inter-city travel and the 15-minute city concept
