Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,citation,conference,journal/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,publish time,title
Row_1,"Urban land use is central to urban planning. With the emergence of urban big data and advances in deep learning methods, several studies have leveraged graph convolutional networks (GCNs) with local functional characteristics from points of interest data and spatial features from flow data to infer urban land use. However, these studies cannot distinguish spatial interaction and spatial dependence in terms of conceptualization and modeling mechanisms and overlook the inadequacy of GCNs in modeling spatial interaction. This study proposes a novel framework-a heterogeneous graph convolutional network (HGCN)-to explicitly account for the spatial demand and supply components embedded in spatial interaction data. Several experiments, including 19 different models and datasets from Shenzhen and London, were conducted to validate the proposed framework and its generalizability within the same and different spatial contexts. The HGCN can distinguish heterogeneous mechanisms in supply- and demand-related modalities of spatial interactions, incorporating both spatial interaction and spatial dependence for urban land-use inference. Empowered by HGCN, we found that spatial interaction features play a distinctively crucial role in urban land-use inference compared to local attributes and spatial dependence features. In addition, our findings highlight the superiority of HGCN-based models in boosting performance and enhancing model transferability.","Gong, Zhaoya","Wang, Chenglong","Chen, Yuting","Liu, Bin","Zhao, Pengjun","Zhou, Zhengzi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,Heterogeneous graph convolutional networks,spatial interaction,urban land-use modeling,,,,,,,,,,,,,,NOV 1 2024,Learning spatial interaction representation with heterogeneous graph convolutional networks for urban land-use inference
Row_11,"Understanding spatial interactions in urban environments has become critical in the context of spatio-temporal big data. However, Spatial-temporal big data often exhibit non-uniformity, necessitating the imputation of spatial interaction relationships derived from the analysis of such data. Previous studies often used simplified grid-based or TAZ approaches that ignore the complex interactions for spatial interaction imputation, leading to limitations in accuracy. In this paper, we proposed a two-layer spatial interaction imputation framework (SIF) for accurate multi-scale spatial interaction imputation. To our knowledge, this is the first time that we impute spatial interactions in multi-scale urban areas. In the first layer, it utilised a hierarchical spatial units division algorithm inspired by Shannon's information entropy to hierarchically classify study area using point of interest (POI) data; In the second layer, it integrates the classified areas and travel flow data into a spatial interaction graph convolutional network (SI-GCN) for spatial interaction imputation. Two case studies were conducted in Beijing, China and New York City, USA, using over eight million taxi data and one million bike- sharing data. The results showed the superior performance of SIF compared to baseline models. The results also analysed the travel behaviours in both Cities, as well as the impact of social, economic and environmental factors on passengers' spatial choices when travelling.","Xiao, Zeyu","Gong, Shuhui","Wang, Qirui","Di, Heyan","Jing, Changfeng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,Spatial interactions imputation,Travel behaviours analysis,Spatial interaction graph convolutional,network (SI-GCN),Hierarchical zoning of regions,,,,,,,,,,,,NOV 2024,A two-layer graph-convolutional network for spatial interaction imputation from hierarchical functional regions
Row_12,"Street-view imagery has been densely covering cities. They provide a close-up perspective of the urban physical environment, allowing a comprehensive perception and understanding of cities. There has been a significant amount of effort to represent the urban physical environment based on street view imagery, and this representation has been utilized to study the relationships between the physical environment, human dynamics, and socioeconomic environments. However, there are two key challenges in representing the urban physical environment of streets based on street-view images for downstream tasks. First, current research mainly focuses on the proportions of visual elements within the scene, neglecting the spatial adjacency between them. Second, the spatial dependency and spatial interaction between streets have not been adequately accounted for. These limitations hinder the effective representation and understanding of urban streets. To address these challenges, we propose a dynamic graph representation framework based on dual spatial semantics. At the intra-street level, we consider the spatial adjacency relationships of visual elements. Our method dynamically parses visual elements within the scene, achieving context-specific representations. At the inter-street level, we construct two spatial weight matrices by integrating the spatial dependency and the spatial interaction relationships. It could account for the hybrid spatial relationships between streets comprehensively, enhancing the model's ability to represent human dynamics and socioeconomic status. Furthermore, aside from these two modules, we also provide a spatial interpretability analysis tool for downstream tasks. A case study of our research framework shows that our method improves vehicle speed and flow estimation by 2.4% and 6.4%, respectively. This not only indicates that street-view imagery provides rich information about urban transportation but also offers a more accurate and reliable data-driven framework for urban studies. The code is available at: (https://github.com/yemanzhongting/HybridGraph).","Zhang, Yan","Li, Yong","Zhang, Fan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,GeoAI,Street-view imagery,Urban scene representation,Multi-modal,Spatial interaction,Traffic estimation,,,,,,,,,,,DEC 2024,Multi-level urban street representation with street-view imagery and hybrid semantic
Row_53,"Traditional urban simulation models often fail to adequately integrate crucial spatial population dynamics with land use, significantly limiting their effectiveness in supporting comprehensive urban spatial optimization. This study addresses this critical gap by developing an innovative model that couple's population-land simulation with macro and micro data for more sustainable urban land planning. Our method employs pre-simulated urban land data and leverages existing population data, while utilizing Agent-Based Modeling (ABM) sub-modules to accurately simulate crucial urban land development decision-making processes, including job location selection, commuting preferences, and choices of residential locations. These sub-modules are adept at reflecting natural limitations and capturing the socio-economic interactions of both working and non-working residents in urban settings. At the macro-scale, the Geographic Micro-process Model (GMP) assesses spatial variations in urban population and land. To optimize population distribution, our model incorporates controls that leverage social networking effects and urban capacity constraints at the micro-scale. Furthermore, by exploring the coupling relationship between urban population and land using the GMP model, our study has predicted population distribution under various land expansion scenarios (Compact, Sprawl and Stable). The application of this model in Wuhan, China, shows good convergence with the Curve Discrepancy Index (CDI), achieving a Pixel-level Precision Value (PPV) of 0.7466 and Elastic Tolerance Index (ETI) values of 0.9109, 0.9061, and 0.8846, with corresponding tolerance coefficients of 0.2, 0.1, and 0.01, demonstrating the overall robustness and reliability of our model. This research introduces a robust methodology for accurately coupling population and land modeling, positioning it as an indispensable reference for decision-making for sustainable human habitation environments. In the future, this research can be further applied in diverse urban development scenarios, providing a scientific basis for achieving sustainable urban development goals.","Guo, Yunqi","Jiao, Limin","Sun, Yujie","Zhang, Haoran","Liu, Zejin","Xu, Gang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,Coupled population-land simulation,ABM,Spatial equilibrium theory,Wuhan,,,,,,,,,,,,,AUG 2024,A novel urban population-land coupling simulation model: Integrating spatial equilibrium and macro-micro strategies
Row_59,"Urban rail transit (URT) systems play an evident role in shaping city spatial structures; however, the principles and mechanisms behind this influence are not fully understood. This paper reviews research progress on the coupling relationship between URT and urban space, focusing on big data analysis methods and the timeliness and sequence of coupling effects. It highlights the importance of the temporal dimension in coupling analysis. By thoroughly exploiting data value and extracting key elements, big data technology imparts temporal attributes to these elements, exploring their interaction and influence mechanisms over different time sequences. The paper also discusses the potential application of big data to urban planning to support sustainable urban development. Finally, the paper outlines future research directions, including the deepened application of big data to urban spatial analysis and the role of new data sources in understanding and shaping the coupling relationship between URT and urban space. This analysis offers new perspectives and methodologies for urban development and transportation planning.","Liu, Zishuo","Xia, Haishan","Zhang, Tong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,INTERNATIONAL JOURNAL OF DIGITAL EARTH,Urban rail transit,urban space,coupling relationship,functional elements,data approach,,,,,,,,,,,,DEC 31 2024,A review of research methods on the coupling relationship between urban rail transit and urban space: revealing spatiotemporal relationships through big data
Row_86,"Building age is crucial for inferring building energy consumption and understanding the interactions between human behavior and urban infrastructure. Limited by the challenges of surveys, some machine learning methods have been utilized to predict and fill in missing building age data using building footprint. However, the existing methods lack explicit modeling of spatial effects and semantic relationships between buildings. To alleviate these challenges, we propose a novel multi-view graph neural network called Building Age Prediction Network (BAPN). The features of spatial autocorrelation, spatial heterogeneity and semantic similarity were extracted and integrated using multiple graph convolutional networks. Inspired by the spatial regime model, a heterogeneityaware graph convolutional network (HGCN) based on spatial grouping is designed to capture the spatial heterogeneity. Systematic experiments on three large-scale building footprint datasets demonstrate that BAPN outperforms existing machine learning and graph learning models, achieving high accuracy ranging from 61% to 80%. Moreover, missing building age data within the Fifth Ring Road of Beijing was filled, validating the feasibility of BAPN. This research offers new insights for filling the intra-city building age gaps and understanding multiple spatial effects essential for sustainable urban planning.","Wang, Yi","Zhang, Yizhi","Dong, Quanhua","Guo, Hao","Tao, Yingchun","Zhang, Fan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,Building age prediction,Multi-view graph neural network,Spatial effects modeling,Spatial heterogeneity modeling,,,,,,,,,,,,,DEC 2024,A multi-view graph neural network for building age prediction
Row_95,"A complex dynamic coupling process exists among water resource consumption, carbon emissions, and economic growth; however, their intricate collaborative mechanisms remain unclear. This study proposes a new barycenter formula-based multivariate spatial-temporal collaborative relationship model for identifying the complex relationships and interactions among the water footprint (WF), carbon footprint (CF), and gross domestic product (GDP) in the three largest urban agglomerations in the Yangtze River Economic Belt (YREB) of China. A nonlinear grey Bernoulli model is then advanced for illustrating the future evolution in WF-CF-GDP and their multivariate collaborative relationship. Results reveal that WF and CF of all urban agglomerations increase continuously, with annual growth rates of 0.59% and 5.63%, respectively. WF, CF, and GDP are significantly positively correlated, and they exhibit similar spatial clustering characteristics and centroid migration directions along the main course of the Yangtze River. Moreover, their multivariate temporal collaborative relationship (0.79) significantly surpasses their spatial (0.63), while the spatial-temporal (0.77) is intermediate. WF has the greatest impact on the binary spatial-temporal collaborative relationship between CF and GDP. In contrast, GDP has the least impact on the relationship between CF and WF. The projected WF, CF, and GDP indicate that the YREB will face more severe water and carbon pressures as its economy grows. Their multivariate spatial-temporal collaborative relationships are projected to decrease by 10.26% in 2050. These findings contribute to promoting collaborative and sustainable development of inter-regional socio-economic and ecological environment.","Yan, Pengdong","He, Li","Sun, Tong","Chen, Yizhong","Zhang, Yuanning","Li, Ziheng","He, Mengxi","Wang, Yuxuan","Qiu, Zimeng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,JOURNAL OF HYDROLOGY,Water footprint,Carbon footprint,Barycenter formula,Multivariate collaborative relationship,nonlinear grey Bernoulli projection,Urban agglomeration,,,,,,,,,,,NOV 2024,Water-carbon-economy multivariate spatial-temporal - temporal collaborative relationships and nonlinear projections in urban agglomerations
Row_116,"Urban land use patterns can be more accurately mapped by fusing multimodal data. However, many studies only consider socioeconomic and physical attributes within land parcels, neglecting spatial interaction and uncertainty caused by multimodal data. To address these issues, we constructed a multimodal data fusion model (MDFNet) to extract natural physical, socioeconomic, and spatial connectivity ancillary information from multimodal data. We also established an uncertainty analysis framework based on a generalized additive model and learnable weight module to explain data -driven uncertainty. Shenzhen was chosen as the demonstration area. The results demonstrated the effectiveness of the proposed method, with a test accuracy of 0.882 and a Kappa of 0.858. Uncertainty analysis indicated the contributions in overall task of 0.361, 0.308, and 0.232 for remote sensing, social sensing, and taxi trajectory data, respectively. The study also illuminates the collaborative mechanism of multimodal data in various land use categories, offering an accurate and interpretable method for mapping urban distribution patterns.","Yan, Xiaoqin","Jiang, Zhangwei","Luo, Peng","Wu, Hao","Dong, Anning","Mao, Fengling","Wang, Ziyin","Liu, Hong","Yao, Yao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,Urban land use mapping,Multimodal data fusion,Uncertainty analysis,Feature extraction,Deep learning,,,,,,,,,,,,MAY 2024,A multimodal data fusion model for accurate and interpretable urban land use mapping with uncertainty analysis
Row_127,"Due to rapid urbanization and globalization, urban functions are increasingly segregated in cities comprising centers of population aggregation and economic activity. Urban development yields intertwining and interdependent functional areas for residence, commerce, and education, which leads to complex but regular population mobility patterns. Population mobility spaces can effectively represent the actual service scopes of urban functions. Therefore, in this study, we propose a function-associated population mobility network (FPMN) to dynamically delineate the service capacities of urban functions, and to quantify the driving effects of urban functions on population mobility under spatial interaction conditions. By integrating the cumulative opportunities of geographic nodes with the potential opportunities reflected by population mobility, k-step function accessibility with population mobility (k-step PFA) is defined in FPMN to characterize the accessibility relationships between geographic nodes and function nodes. Based on k-step PFA, considering the complementarity and intervention opportunities, the function-driven index (FDI) is proposed to quantify the driving effects of urban functions on population mobility. Our experimental results indicated that FPMN could effectively represent the actual service scopes and capabilities of urban functions. Compared with general location-based accessibility indicators, k-step PFA has a higher numerical distribution and less spatial disparity, and it aligns more closely with the actual service scopes of urban functions. In addition, compared with intervening opportunities models, FDI delineates the functional driving effects of population mobility with greater precision, as well as revealing the travel propensity traits of a population relative to various urban functions through propensity parameters.","Liu, Xinrui","Li, Rui","Cai, Jing","Li, Bosen","Li, Yanhao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,Urban function,Population mobility network,Accessibility,Transferability,Complementarity,Intervention opportunities,,,,,,,,,,,DEC 2024,Quantifying urban function accessibility and its effect on population mobility based on function-associated population mobility network
Row_155,"Groundwater-surface water (GW-SW) interactions are complex phenomena that vary naturally over space and time and are being influenced by environmental change. The Whitson River watershed is a mixed land-use Precambrian shield watershed located in Northeastern Ontario, Canada in which groundwater is a source of municipal water supply and in which groundwater and surface waters are at risk of potential impacts from urban runoff, ongoing municipal drainage projects, periodic flooding, and climate change. This study used watershed-scale synoptic surveys of stable isotopes (delta O-18 and delta H-2) and geochemistry, and corresponding mixing-model approaches (two-component and three-component) to quantify the seasonal and spatial variation in surface water, ambient, and urban groundwater contributions to streamflow. Multiple mixing models were generated based on isotope and geochemical source water identification, and the performance of these models was compared. Mixing-model analyses showed that groundwater contributes a critical, sustaining source to streamflow (> 50 % or more) during summer baseflow conditions, dropping to similar to 15 % in fall when connection to shield lakes and wetlands dominate. Three-component mixing models showed similar results to the two-component models, refining groundwater contributions into ambient and urban groundwater sources. Estimated urban groundwater contributed 30 % or more to summer baseflow, dropping to similar to 4 % in the fall. Baseflow estimates derived from graphical hydrograph separation were similar to mixing model groundwater estimates in the summer but suggest this approach overestimates groundwater contributions during the fall. These results demonstrate the complexity of source water contributions to streamflow and the challenges in their determination in mixed-land-use Precambrian Shield landscapes where communities are largely located. Assessment of source water contributions to streamflow across the Whitson River sub-watershed has generated a region-specific conceptualization (e.g. urban versus ambient groundwater) of a basin that is experiencing increased urban development, providing information that will be of value for long term management.","Montgomery, Kimberly","James, April L.","Macrae, Merrin","Tafvizi, Arghavan","Snider, Rebecca","Goel, Pradeep","Zhang, Helen","Yao, Huaxia","Wachowiak, Mark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,JOURNAL OF HYDROLOGY,Groundwater-surface water interactions,Hydrograph separation,Tracer-based mixing model,Isotope hydrology,Tracer,Chloride,Mixed land-use,,,,,,,,,,NOV 2024,Constraining seasonal and spatial ambient and urban groundwater contributions to streamflow across a mixed land-use regional-scale Precambrian Shield watershed
