Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,citation,conference,journal/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,publish time,title
Row_1,"Urban land use is central to urban planning. With the emergence of urban big data and advances in deep learning methods, several studies have leveraged graph convolutional networks (GCNs) with local functional characteristics from points of interest data and spatial features from flow data to infer urban land use. However, these studies cannot distinguish spatial interaction and spatial dependence in terms of conceptualization and modeling mechanisms and overlook the inadequacy of GCNs in modeling spatial interaction. This study proposes a novel framework-a heterogeneous graph convolutional network (HGCN)-to explicitly account for the spatial demand and supply components embedded in spatial interaction data. Several experiments, including 19 different models and datasets from Shenzhen and London, were conducted to validate the proposed framework and its generalizability within the same and different spatial contexts. The HGCN can distinguish heterogeneous mechanisms in supply- and demand-related modalities of spatial interactions, incorporating both spatial interaction and spatial dependence for urban land-use inference. Empowered by HGCN, we found that spatial interaction features play a distinctively crucial role in urban land-use inference compared to local attributes and spatial dependence features. In addition, our findings highlight the superiority of HGCN-based models in boosting performance and enhancing model transferability.","Gong, Zhaoya","Wang, Chenglong","Chen, Yuting","Liu, Bin","Zhao, Pengjun","Zhou, Zhengzi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,Heterogeneous graph convolutional networks,spatial interaction,urban land-use modeling,,,,,,,,,,,,,,NOV 1 2024,Learning spatial interaction representation with heterogeneous graph convolutional networks for urban land-use inference
Row_5,"This paper explores the relationship between urban spatial configuration and retail location. We present the Contact model to quantify the capacity of diverse urban configurations to foster economic interactions. Employing a network approach, the model simulates potential interactions between residents and retail activities as they move through the city. The model computes the number of shortest paths, weighted by resident density, in a network loaded with retail activities. The method allows for ranking different urban networks based on their potential to stimulate or constrain interactions between inhabitants and retail establishments. The weighted Contact model is tested across various metric radii in a sample of 35 US cities, utilizing population data from US Census Bureau (c2020) and retail data from the ReferenceUSA database (NAICS, c2020). To validate the model, we correlate results with total retail sales data for each city. Our findings reveal that cities with higher weighted Contact values exhibit greater retail sales volume, particularly within smaller radii up to 1000 m. The differences and relevance of this measurement decreases at >1000 m radius showing that the Contact model is relevant at the local level. We conclude that the urban spatial configuration remains to play an important role in the urban economic environment, holding implications for business and service planning, as well as urban planning and design.","Lima, Leonardo","Maraschin, Clarice","Giaccom, Barbara","Giusti, Cecilia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,CITIES,Contact model,Urban spatial configuration,Retail,Spatial interaction,US cities,,,,,,,,,,,,MAR 2024,Urban spatial configuration and interactions with retail activities: An approach based on contact
Row_6,"Understanding the spatial interaction among residents, cooling service, and heat risk area in complex urban areas is conducive to developing targeted management. However, traditional urban thermal environment assessments typically relied on simple linear integration of associated indicators, often neglecting the spatial interaction effect. To explore the spatial interaction among the three elements, this study proposes an accessibility -based urban thermal environment assessment framework. Using Zhengzhou, a rapidly urbanizing city, as an example, remotely sensed images from three periods (2010, 2015 and 2020) were applied to extract urban green space (UGS) and hot island area (HIA). An improved two-step floating catchment area (2SFCA) method and bivariate local Moran's I were employed to explore whether residents' clustering locations are more likely to access cooling service or to be exposed to heat risk. The results demonstrate that the UGS in the city has been expanding, whereas the HIA shrank within the inner city in 2015 and then increased in 2020. Even though the urban thermal environment may have improved in the last decade, the spatial interaction among the residents, cooling service and heat risk area could be exacerbated. Spatial autocorrelation shows an increase in locations that are disadvantageous for resident congregation. Even when sufficient cooling services were provided, residents in these areas could still be exposed to high heat risk. The developed urban thermal environment framework provides a novel insight into the residents' heat risk exposure and cooling service accessibility, and the findings could assist urban planners in targeting the improvement of extra heat exposure risk locations.","Dong, Xinyu","Li, Xiaoya","Ye, Yanmei","Su, Dan","Yang, Runjia","Lausch, Angela",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,GEOGRAPHY AND SUSTAINABILITY,Urban heat island,Urban green space,Accessibility,Remote sensing,Spatial autocorrelation analysis,,,,,,,,,,,,SEP 2024,Measuring urban thermal environment from accessibility-based perspective: A case study in a populous city
Row_11,"Understanding spatial interactions in urban environments has become critical in the context of spatio-temporal big data. However, Spatial-temporal big data often exhibit non-uniformity, necessitating the imputation of spatial interaction relationships derived from the analysis of such data. Previous studies often used simplified grid-based or TAZ approaches that ignore the complex interactions for spatial interaction imputation, leading to limitations in accuracy. In this paper, we proposed a two-layer spatial interaction imputation framework (SIF) for accurate multi-scale spatial interaction imputation. To our knowledge, this is the first time that we impute spatial interactions in multi-scale urban areas. In the first layer, it utilised a hierarchical spatial units division algorithm inspired by Shannon's information entropy to hierarchically classify study area using point of interest (POI) data; In the second layer, it integrates the classified areas and travel flow data into a spatial interaction graph convolutional network (SI-GCN) for spatial interaction imputation. Two case studies were conducted in Beijing, China and New York City, USA, using over eight million taxi data and one million bike- sharing data. The results showed the superior performance of SIF compared to baseline models. The results also analysed the travel behaviours in both Cities, as well as the impact of social, economic and environmental factors on passengers' spatial choices when travelling.","Xiao, Zeyu","Gong, Shuhui","Wang, Qirui","Di, Heyan","Jing, Changfeng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,Spatial interactions imputation,Travel behaviours analysis,Spatial interaction graph convolutional,network (SI-GCN),Hierarchical zoning of regions,,,,,,,,,,,,NOV 2024,A two-layer graph-convolutional network for spatial interaction imputation from hierarchical functional regions
Row_12,"Street-view imagery has been densely covering cities. They provide a close-up perspective of the urban physical environment, allowing a comprehensive perception and understanding of cities. There has been a significant amount of effort to represent the urban physical environment based on street view imagery, and this representation has been utilized to study the relationships between the physical environment, human dynamics, and socioeconomic environments. However, there are two key challenges in representing the urban physical environment of streets based on street-view images for downstream tasks. First, current research mainly focuses on the proportions of visual elements within the scene, neglecting the spatial adjacency between them. Second, the spatial dependency and spatial interaction between streets have not been adequately accounted for. These limitations hinder the effective representation and understanding of urban streets. To address these challenges, we propose a dynamic graph representation framework based on dual spatial semantics. At the intra-street level, we consider the spatial adjacency relationships of visual elements. Our method dynamically parses visual elements within the scene, achieving context-specific representations. At the inter-street level, we construct two spatial weight matrices by integrating the spatial dependency and the spatial interaction relationships. It could account for the hybrid spatial relationships between streets comprehensively, enhancing the model's ability to represent human dynamics and socioeconomic status. Furthermore, aside from these two modules, we also provide a spatial interpretability analysis tool for downstream tasks. A case study of our research framework shows that our method improves vehicle speed and flow estimation by 2.4% and 6.4%, respectively. This not only indicates that street-view imagery provides rich information about urban transportation but also offers a more accurate and reliable data-driven framework for urban studies. The code is available at: (https://github.com/yemanzhongting/HybridGraph).","Zhang, Yan","Li, Yong","Zhang, Fan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,GeoAI,Street-view imagery,Urban scene representation,Multi-modal,Spatial interaction,Traffic estimation,,,,,,,,,,,DEC 2024,Multi-level urban street representation with street-view imagery and hybrid semantic
Row_15,"The escalating demand for resources in urban and rural construction development raises the crucial question of achieving green development within limited resource constraints. This study delves into the interplay between environmental policy and green development in urban and rural construction. Utilizing the spatial Durbin model for analysis, findings reveal that investment-oriented environmental regulation significantly impacts green development and positive spillover effects in neighboring regions when considering spatial weight matrices. In contrast, cost-based environmental regulations positively affect green development when spatial interactions are disregarded. However, they exhibit negative effects at the spatial level, potentially leading to a ""pollution relocation"" phenomenon. Although the influence of R& D subsidy-based environmental regulations on green development is not significant, their impact becomes notable upon considering spatial interactions, potentially generating positive effects across regions through mechanisms such as technology diffusion and knowledge transfer. Furthermore, from an endogeneity perspective, the impact of environmental regulatory tools on green development exhibits a time lag effect. Moreover, investment-type regulation in the eastern regions significantly fosters green development, whereas cost-based regulation shows a suppressive effect; investment-type regulation in central regions has a positive spillover on neighboring areas; and R&D subsidies in western regions negatively impact local green development. Moreover, the quality of governmental institutions, market integration, and technological innovation are key factors influencing green development in China's urban and rural construction. This study reveals the direct and indirect effects of various environmental policy tools on green development in urban and rural areas. It emphasizes the importance of considering spatial interactions in implementing environmental policies, providing a theoretical foundation and practical guidance for optimizing environmental policies.","Huang, Yujie","Gan, Jiawu","Liu, Baoliu","Zhao, Kunqian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,JOURNAL OF CLEANER PRODUCTION,Environmental policy,Green development in urban and rural,construction,Spatial durbin model,Technological innovation,,,,,,,,,,,,MAR 25 2024,Environmental policy and green development in urban and rural construction: Beggar-thy-neighbor or win-win situation?
Row_18,"Indigeneity in India and globally remains largely tied to rurality, and in urban spaces, as primary (re)negotiations of their urban affiliations, portrayals and experiences. This paper instead introduces a negligent trope of urban indigeneity, particularly as it manifests in often overlooked yet advancing urban spaces within the 'indigenous geographies' of the global south. Focusing on Jharkhand, an eastern state of India with a predominant tribal population, the paper explores cities and towns with strong indigenous character, embracing both their customary associations and contemporary socio-spatial formations. Employing a mixed-method approach, we examine their embedded urban social landscapes through tribal toponyms (landmarks or place names) and evolving urban socio-spatial interactions via demographic concentrations, both as indicators of growing integrations into indigenous urbanscapes. Findings suggest that despite their long-established histories and enduring identities, to a greater or lesser extent, urban tribals are increasingly adapting an outward-pushed urban socio-spatial formation. With shrinking urban cores and shifting social peripheries, indigenous cities and towns are reproducing a socio-spatial dialectic that impedes most urban-led social mobility and perpetuates the precariousness of urban indigeneity.","Kumar, Bipin","Baraik, Vijay Kumar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,HABITAT INTERNATIONAL,Indigenous urbanisation,Urban indigeneity,Indigenous people,Urban toponym,Urban tribals,Jharkhand,,,,,,,,,,,NOV 2024,"Indigenous Urbanisation and Urban Indigeneity: Insights of embedded identity and contouring spatiality in Jharkhand, India"
Row_23,"Intercity freight connections have reshaped urban networks and posed significant urban planning challenges. Previous studies mainly used annual statistical data or online orders, which are criticized for the poor timeliness and data representativeness. This study presents a method to construct freight flow networks by analyzing largesample truck trajectories using spatiotemporal and semantic data mining. The spatiotemporal interaction patterns and influencing factors of intercity freight connections in China are then investigated. Key findings include: (1) The proposed method enables multidimensional and dynamic investigations by constructing timely and refined freight flow networks. (2) The network structure and spatial pattern of freight connections in China show monthly stability, significant spatial heterogeneity, symmetry, and a typical scale-free property. (3) Spatial interaction patterns are related to freight transportation scale. High-freight-volume regions form complete and homogeneous networks with activity space expanding, while low-freight-volume regions exhibit heterogeneity with connections focused on core cities. (4) More than 92 % of the socioeconomic factors exhibit significant nonlinear enhancement when interacting with distance. The nonlinear interaction between economic development level and distance is the most influential, explaining 23.7 %-85.7 % of the connection strength. These findings facilitate reasonable urban policy formulation and regional industrial collaboration.","Zhao, Yibo","Cheng, Shifen","Liu, Kang","Zhang, Beibei","Lu, Feng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,CITIES,Freight connections,Regional integration,Urban interaction,Trajectory data mining,Temporal variation,Community structure,,,,,,,,,,,JUL 2024,Intercity freight connections in China under the view of mass truck trajectories
Row_29,"Spatially explicit population data is critical to investigating human -nature interactions, identifying at -risk populations, and informing sustainable management and policy decisions. Most long-term global population data have three main limitations: 1) they were estimated with simple scaling or trend extrapolation methods which are not able to capture detailed population variation spatially and temporally; 2) the rate of urbanization and the spatial patterns of settlement changes were not fully considered; and 3) the spatial resolution is generally coarse. To address these limitations, we proposed a framework for large-scale spatially explicit downscaling of populations from census data and projecting future population distributions under different Shared Socio-economic Pathways (SSP) scenarios with the consideration of distinctive changes in urban extent. We downscaled urban and rural population separately and considered urban spatial sprawl in downscaling and projection. Treating urban and rural populations as distinct but interconnected entities, we constructed a random forest model to downscale historical populations and designed a gravity -based population potential model to project future population changes at the grid level. This work built a new capacity for understanding spatially explicit demographic change with a combination of temporal, spatial, and SSP scenario dimensions, paving the way for cross -disciplinary studies on long-term socio-environmental interactions.","Xu, Wenru","Zhou, Yuyu","Taubenbock, Hannes","Stokes, Eleanor C.","Zhu, Zhengyuan","Lai, Feilin","Li, Xuecao","Zhao, Xia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,SCIENCE OF THE TOTAL ENVIRONMENT,Gridded population,Population downscaling,Population projections,Urban sprawl,Shared Socioeconomic Pathways,,,,,,,,,,,,SEP 1 2024,Spatially explicit downscaling and projection of population in mainland China
Row_32,"The interactive feedback between the transition of urban construction land (UCL) and rural construction land (RCL) lies at the forefront of land use transition (LUT) research, and can shape the intrinsic driving forces for land system sustainable transition and urban-rural integrated development. This study innovatively investigated the interactive feedback between UCL and RCL transition. First, a theoretical analytical framework was proposed. Second, a spatial simultaneous equation model (SSEM) was employed to examine the interactive feedback between UCL and RCL transitions in Jiangsu Province, China, from 2000 to 2020. The main findings were as follows: The interactive feedback between UCL and RCL transitions followed two paths. The first interactive feedback path was driven by the interaction of urban and rural factors, whereas the second was driven by the integrated management of urban and rural land. UCL and RCL transition witnessed a positive interactive feedback relation. Specifically, a 1% increase in UCL transition led to a 0.535% increase in RCL transition, and a 1% increase in RCL transition resulted in a 0.579% increase in UCL transition. The two aspects exhibited complex spatial interaction effects. The UCL transition in the subject city had positive and negative effects on the UCL and RCL transitions of neighboring cities, respectively. The RCL transition had positive effect on the RCL transition in neighboring cities. The key to regulation is to make the mutual feedback pathways unobstructed through innovative policies in terms of both direct and indirect regulation. This study contributes to advance research on LUT and provides scientific evidence for urban-rural integrated development.","Li, Xin","Kuang, Xiaofu","Ma, Xiaodong","Li, Chuangchang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,HABITAT INTERNATIONAL,Land use transition,Urban-rural construction land,Interactive feedback,Spatial simultaneous equation model,China,,,,,,,,,,,,JUN 2024,Are there interactions between the urban and rural construction land use transition? Evidence from Jiangsu province in China
