Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,citation,conference,journal/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,publish time,title
Row_4,"Due to rapid urbanization and globalization, urban functions are increasingly segregated in cities comprising centers of population aggregation and economic activity. Urban development yields intertwining and interdependent functional areas for residence, commerce, and education, which leads to complex but regular population mobility patterns. Population mobility spaces can effectively represent the actual service scopes of urban functions. Therefore, in this study, we propose a function-associated population mobility network (FPMN) to dynamically delineate the service capacities of urban functions, and to quantify the driving effects of urban functions on population mobility under spatial interaction conditions. By integrating the cumulative opportunities of geographic nodes with the potential opportunities reflected by population mobility, k-step function accessibility with population mobility (k-step PFA) is defined in FPMN to characterize the accessibility relationships between geographic nodes and function nodes. Based on k-step PFA, considering the complementarity and intervention opportunities, the function-driven index (FDI) is proposed to quantify the driving effects of urban functions on population mobility. Our experimental results indicated that FPMN could effectively represent the actual service scopes and capabilities of urban functions. Compared with general location-based accessibility indicators, k-step PFA has a higher numerical distribution and less spatial disparity, and it aligns more closely with the actual service scopes of urban functions. In addition, compared with intervening opportunities models, FDI delineates the functional driving effects of population mobility with greater precision, as well as revealing the travel propensity traits of a population relative to various urban functions through propensity parameters.","Liu, Xinrui","Li, Rui","Cai, Jing","Li, Bosen","Li, Yanhao",,,,,,,,,,0,,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,Urban function,Population mobility network,Accessibility,Transferability,Complementarity,Intervention opportunities,,,,,,,,,,DEC 2024,Quantifying urban function accessibility and its effect on population mobility based on function-associated population mobility network
Row_9,"The rapid urbanization of large cities poses significant challenges to residents' well-being, particularly regarding mobility patterns, infrastructure, and environmental pollution. While extensive research has explored the societal impacts of urbanization, effectively identifying, and addressing critical urban areas remains a complex task. This study proposes utilizing data-driven urban approaches to guide decision-making for urban planners, architects, and policymakers by identifying key infrastructure areas crucial for improving mobility and sustain- ability. Leveraging open data urban repositories, the study aims to develop a data analytics pipeline to identify urban infrastructure points for enhanced, accessible, sustainable, and healthy mobility. This research focuses on understanding urban factors influencing pedestrian and cyclist movement to promote active behaviors, thus enhancing citizens' health and quality of life. The study hypothesizes that the developed methodology, employing a multi-stage data analysis pipeline and clustering algorithms, effectively evaluates walkability and cyclability in urban environments. Using Barcelona as a case study allows for a comprehensive demonstration of the methodology's potential outcomes without compromising general applicability. The data-driven study explores accessibility and mobility variations, addressing issues of affordability and barriers in new micro-mobility solutions, and contributing valuable insights to informed policymaking for global net-zero transitions.","Sanchez-Sepulveda, Monica V.","Navarro, Joan","Fonseca-Escudero, David","Amo-Filva, Daniel","Antunez-Anea, Felipe",,,,,,,,,,0,,CITIES,Smart cities,Sustainable mobility,Data-driven solutions,Urban planning,,,,,,,,,,,,OCT 2024,Exploiting urban data to address real-world challenges: Enhancing urban mobility for environmental and social well-being
Row_15,"Understanding the response of human mobility to disruptive weather events is beneficial for the development of urban risk mitigation and emergency response policies, thus enhancing urban resilience. Most human mobility studies relying on aggregate flow data inevitably neglect the heterogeneity of disaggregate travel patterns with distinctive spatiotemporal characteristics, causing the uncertainty problem for identifying meaningful travel behaviors. Moreover, there is a lack of robust methodological approaches to extracting stable and genuine travel patterns under normal or disruptive situations. To address these issues, this study proposes a data-driven approach to spatiotemporal flow decomposition based on non-negative matrix factorization. With sparseness factored in the decomposition, stable disaggregate travel patterns can be extracted from origin-destination mobility flows. By combining temporal, spatial, and urban functional perspectives, heterogeneous travel behaviors can be analyzed and inferred. With a case study of the Zhengzhou '7.20' heavy rainfall in 2021, the most extreme rainfall ever recorded in China, this study validated the effectiveness of the proposed approach and managed to identify representative and interesting travel patterns and behaviors, facilitating a better understanding of human travel behaviors under external impacts. In practice, this study can provide valuable insights for coping strategies in the face of increasingly frequent disruptive events.","Gong, Zhaoya","Deng, Zhicheng","Tang, Junqing","Zhao, Hongbo","Liu, Zhengying","Zhao, Pengjun",,,,,,,,,1,,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,Human mobility,travel behavior,urban resilience,spatiotemporal flow decomposition,Zhengzhou '7.20' heavy rainfall,,,,,,,,,,,JUN 2024,Uncovering human behavioral heterogeneity in urban mobility under the impacts of disruptive weather events
Row_29,"Nowadays, urban planners and decision-makers are confronted with an increasing number of major urban spaces whose functioning is accompanied by a high density of domestic, private and professional activities, all associated with the consumption of fossil fuels and the emission of atmospheric pollutants and greenhouse gases. As centers of activity and zones of economic and demographic resources, urban centers stand out as privileged areas for the implementation of local strategies aiming at reducing air pollutant emissions, whether through spatial planning, the evolution of services or the transformation of practices. In this work, we propose a diagnosis of the links between population, urban forms, mobility and air pollutant emissions, using the OLYMPUS activity-based emission model. The model is run over two distinct French regions, Pays de la Loire and Ile-de-France, characterized by contrasting urban characteristics in terms of structure, density and accessibility. The results highlight the good transposability of the OLYMPUS model over different territories. Then, the interconnections between the specificities of urban systems on one side and the travel demand, modal share, mobility patterns and total road emissions on the other side, are explored. We notably show that the densification of urban centers exerts a pull on peri-urban areas, generating car trips from the suburbs and worsening air quality in the urban cores. The results underline the importance of targeted emission reduction strategies taking into account the unique characteristics and challenges of specific urban landscapes.","Salas, Virna Rivera","Etuman, Arthur Elessa","Coll, Isabelle",,,,,,,,,,,,2,,SCIENCE OF THE TOTAL ENVIRONMENT,Urban form,Emissions modelling,Mobility analysis,Road transport emissions,Residential emissions,Comparative urban analysis,Urban density influence,,,,,,,,,APR 1 2024,"Exploring the linkages between urban form, mobility and emissions with OLYMPUS: A comparative analysis in two French regions"
Row_31,"Micromobility using fully-electric two-wheeled vehicles is increasing in cities worldwide. E-scooters, whether shared or privately-owned, provide short door-to-door trips by facilitating the first/last mile stage of the journey. They are expected to improve livability in cities by reducing harmful emissions and space occupation. In this respect, understanding travel behavior and usage patterns is essential to regulate them appropriately. The purpose of this study is to determine individuals' sociodemographic variables, mobility-related attributes, and latent constructs influencing e-scooter usage. To that end, an individual-level model is estimated to explain the adoption and frequency of use of both shared and private e-scooters based on survey data. The research takes the city of Madrid as a case study, and contributes to a deeper understanding of the differences in the use of privately-owned and shared e-scooters, with a particular focus on the influence of mobility habits and attitudinal variables. The study is complemented with some insights on shared e-scooter usage at the trip-level, which shows the substitution caused on walking trips, and their limited ability to promote modal shifts from the private car. Finally, the research provides valuable implications for urban dynamics and feedback for policymakers and transport planners.","Aguilera-Garcia, Alvaro","Gomez, Juan","Rangel, Thais","Baeza, Maria de los Angeles","Vassallo, Jose Manuel",,,,,,,,,,5,,CITIES,E-scooters,E-scooter sharing,Emerging mobility services,Urban mobility,Micromobility,Travel behavior,,,,,,,,,,APR 2024,Which factors influence the use of shared and privately-owned e-scooters in the city of Madrid? Implications for urban mobility
Row_36,"Ease of mobility within a city is one of the essential aspects of urban planning. Quality of pedestrian mobility is the key to attain liveability and inclusivity in a city. However, the gender lens towards understanding the mobility patterns of women and young girls is largely missing from the urban planning process. Due to this exclusion, the majority of Indian cities are not gender friendly. To address this issue, this study tried to propose a 3 step framework for mitigating gender safety issues while a woman walks in a city. The 3 steps involve identifying the key elements of pedestrian mobility; quantitatively evaluating the qualitative parameters; and visual analysis for validating the major issues. This paper presents a pilot study conducted in the city of Kanpur, India. The research was initiated by conducting focus group discussions among 23 participants to map their typical movement patterns and identify 6 key elements of pedestrian mobility. Subsequently, the study conducted a net promoter score (NPS) survey among 423 participants to gauge the safety perception levels on each of the 6 key elements against 5 deduced qualitative parameters via literature review. NPS is a user satisfaction measurement tool which is based on the user perception used by companies and brands. Since urban safety is largely to do with perception, a NPS metric is employed. Further, the paper employed heatmap analysis and derived 3 critical areas based on gender safety perception to deep dive i.e. accessibility and lighting at sidewalks; lack of lighting at underpass; and absence of street furniture at bus stops. Visual analysis was undertaken to understand and validate the respective safety perceptions. The NPS score and visual analysis helped to generate actionable recommendations to enhance the safety perception of women in the city, especially pertaining to pedestrian mobility.","Yadav, Asmita","Kumari, Rashmi",,,,,,,,,,,,,2,,CITIES,Pedestrian mobility,Gender safety,Inclusive planning and Net Promoter Score,(NPS),,,,,,,,,,,,APR 2024,Gender safety perspective in urban planning: The case of pedestrian mobility in Kanpur city
Row_40,"While existing social and political research has qualitatively discussed the stigmatization of urban villages (UVs), there's a lack of quantitative support. This study innovatively attempts to provide quantitative evidence, employing a spatial perspective for the destigmatization of UVs. We integrated population trajectory, GDP data, employment and residential points of interest, and developed a spatial gravity model to derive the spatial attractiveness index. Concurrently, we selected environmental, spatial structure, and housing economic indicators to construct a regression analysis. Our findings revealed that urban villagers exhibit a preference for shorter daily commutes, underscoring the positive role of UVs in promoting job-housing balance and providing diverse services. The high-frequency mobility of villagers accelerates the categorization of UVs and enhances intra-area circulation. We further discussed the interaction between UV renewal and its destigmatization. To counter spatial stigmatization, enhancing the spatial quality and infrastructure of UVs, as well as promoting diversified land use can reduce the public's stereotypical impressions. Moreover, prioritizing affordable housing and equitable distribution of facilities, along with fostering synergies between urban capital and UVs, can facilitate the destigmatization process. Stigmatization in informal settlements is a widespread issue. Our quantitative approaches, as well as targeted renovation and policy recommendations, can serve as a blueprint for addressing similar challenges in informal settlements globally.","Rui, Jin","Xu, Yuhan","Li, Xiang",,,,,,,,,,,,2,,HABITAT INTERNATIONAL,Destigmatization,Urban villages,Mobility patterns,Job-housing patterns,Spatial attractiveness,,,,,,,,,,,AUG 2024,Destigmatizing urban villages by examining their attractiveness: Quantification evidence from Shenzhen
Row_42,"This study explores the '15 -minute city' concept in Hamilton, New Zealand, focusing on challenges related to car dependency and urban sprawl. Triggered by the greater emphasis on sustainable urban environments following the global pandemic, the research employs a mobility -based approach to assess the model's applicability across various urban districts. Geographic Information System (GIS) mapping is used to identify 'liveable areas' in business, residential, and industrial districts where essential services are accessible within three different thresholds of 5, 10, and 15 min walking distance. This tiered approach offers a detailed view of urban accessibility, highlighting the practicality and varying implementation levels of the 15 -minute city concept across diverse urban areas. Geolocated mobile phone data from 88,660 residents is analysed with a focus on 'inflow' and 'outflow' travel distances at both city and district levels. While the results reveal the practical challenges of implementing the '15 -minute city' paradigm, they also show partial alignment of Hamilton's urban fabric with the paradigm, offering scope for adjustments to better suit the city's specific characteristics and residents' behaviours. The study highlights opportunities for enhancing the diversity and accessibility of amenities and improving public transportation and alternative transport options, all key factors for sustainable urban development. This adaptable methodology serves as a valuable reference for other cities in developing strategies for sustainable living. The study concludes that while Hamilton shows potential for transformation, a nuanced and locally focused approach is crucial. These insights contribute to the current new urbanist literature by providing a comprehensive city -district perspective, extending the discourse to include distances beyond the '15 -minute city' and highlighting areas where further urban planning or intervention is necessary.","Wang, Tianyi","Li, Yan","Chuang, I. -Ting","Qiao, Weijie","Jiang, Jing","Beattie, Lee",,,,,,,,,2,,CITIES,15-Minute-city,Urban structure,Geolocated data,Human mobility analysis,GIS spatial analysis,,,,,,,,,,,AUG 2024,"Evaluating the 15-minute city paradigm across urban districts: A mobility-based approach in Hamilton, New Zealand"
Row_44,"Despite the rising interests in understanding the spatiotemporal patterns of intercity population mobility, few empirical studies have addressed temporal dynamics compared to the predominant focus on spatial distributions. Using the nationwide location-based services datasets in China, we bridge current research gaps by investigating temporal dynamics on mobility network centrality and capturing time-variation patterns of mobility flows across non-holiday period and multiple holidays. Our findings demonstrate varying characteristics in degree, betweenness, and clustering centrality across different periods, alongside an increasing trend of mobility flows on holidays. Moreover, typical time-variation patterns reveal the weekly periodic dynamics of net mobility flows during non-holiday periods, with distinguished peaks emerging on Mondays and Saturdays. Holidays promote significant spatiotemporal fluctuations in net mobility flows, classifying cities into inbound, outbound, and balanced categories based on population mobility directions. Through the determining factor analysis incorporating comprehensive urban attributes and spatial correlations, this study establishes the influencing relationships of urban attributes and period characteristics on intercity mobility flows. Our research reveals both similarities and diversities in intercity mobility across spatiotemporal dimensions, holding applications in proactive management strategies for addressing holiday congestion.","Yu, Weijie","Zhao, De","Hua, Xuedong","Wen, Haosong","Lei, Huiying","Wang, Wei",,,,,,,,,1,,CITIES,Intercity mobility networks,Spatiotemporal dynamics,Time-variation patterns,City classification,Determining factors,,,,,,,,,,,OCT 2024,Spatiotemporal dynamics and determining factors of intercity mobility: A comparison between holidays and non-holidays in China
Row_51,"Based on Baidu migration big data from the Spring Festival travel rush periods in 2022 and 2023, this study employs a combination of GIS-based spatial statistical analysis and social network analysis to analyze over 270,000 travel data records covering 297 prefecture-level cities. The research reveals that the population flow during the 2023 Spring Festival travel rush increased both in overall quantity and in the proportion of interprovincial population flow compared to the same period in 2022. The distribution of population movement shows a distinct ""southeast dense, northwest sparse"" pattern, forming a diamond-shaped structure with the Bohai Sea Rim, Yangtze River Delta, Pearl River Delta, and Sichuan-Chongqing regions as the vertices. Among the most significant inter-city mobility routes are Guangzhou  Foshan, Shenzhen  Dongguan, Shanghai  Suzhou, Xi'an  Xianyang, and Beijing  Langfang, which constitute the five routes with the highest flow volumes, each with its own distinctive patterns and characteristics. Significant agglomeration effects in population movement are observed, with the majority of the 40 cities experiencing higher net inflows situated in the Yangtze River Delta and Pearl River Delta regions. On the other hand, many cities in the western and northeastern regions, including some third-tier and even second-tier cities, are facing net population outflows. As the working population and major economic activities increasingly concentrate in large-scale central cities, the future development of prefecture-level cities may gradually diverge.","Zhao, Yangtianzheng","Gao, Ying",,,,,,,,,,,,,0,,CITIES,Population movement,Inter-city mobility,Spatial patterns,Social network analysis,Baidu migration big data,,,,,,,,,,,AUG 2024,Spatial patterns and trends of inter-city population mobility in China-Based on Baidu migration big data
