Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,citation,conference,journal/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,publish time,title
Row_2,"Most urban green space (UGS) studies focus on city-level analysis, which is not conducive to urban renewal. We developed a new deep learning approach for characterising the structural evolution of block-scale UGS in urban renewal scenarios. Taking Beijing and Shanghai as models, we first segmented the study areas into block-scale grids and trained a random forest model based on a local climate zone framework to identify the spatial morphological classes of the grids. Second, we established a VGG16-based deep learning model to identify UGS structural types. Finally, we examined the associated patterns of grid spatial morphology and UGS structure under different renewal scenarios. We found that six distinct types of UGS structure are associated with different urban morphological classes. Spatial and temporal variations of UGS structures were observed in terms of direction of conversion, activity level, and extent of improvement to service level. Holistic and micro-renewal approaches drove positive evolution of block-scale UGS structures mainly by reducing building density and via precise optimization, respectively. Our results provide a reference for urban renewal policies and planning guidelines for block-scale UGSs in high-density cities.","Zhou, Conghui","Zhang, Shining","Liu, Bowen","Li, Tianjiao","Shi, Jixin","Zhan, Huiying",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,CITIES,Deep learning,Green space,Structure,Urban morphology,Urban planning,Urban renewal,,,,,,,,,JUL 2024,Using deep learning to unravel the structural evolution of block-scale green spaces in urban renewal
Row_9,"Improving living conditions, quality of public services and social safety nets in blighted and underdeveloped urban areas also are important aspects of urban renewal. In another way, achieving sustainable urban development requires more improvements. Equity, sustainability, and universality are core principles of sustainable development and should be integrated into urban renewal strategies. For instance, urban renewal in old town areas presents multiple challenges, including balancing public investment needs, social justice considerations, and environmental impacts. Studies have shown that inequalities often arise during implementation, disproportionately affecting low-income residents in old town areas. While energy justice is a key concept for reducing these inequalities during renewal process, however existing frameworks lack a multi-dimensional approach. This study proposes a comprehensive evaluation framework that combines sustainable development with energy justice principles during the renewal of old town areas. This framework aims to achieve equitable and sustainable development outcomes in renewal of old urban areas by systematically examining the unequal impacts on lowincome groups and proposing equitable energy services and inclusive policies. The proposed equity evaluation framework includes two key components: 1) Main factors in existing renewal strategies, which include equitable access to energy resources, sustainable energy systems, affordability, and public participation. 2) Criteria for refining energy justice evaluation framework, which include accessibility, energy efficiency, community participation, and policy coordination. The research emphasizes the importance of fairness in providing affordable, reliable, and sustainable energy opportunities within urban renewal initiatives. This focus can provide rational perspective and reference for decision makers, thereby empowering vulnerable groups, giving equitable energy access and contributing to achieve sustainable urban development.","Cui, Dingyue","Ditta, Asim A.","Cao, Shi-Jie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,JOURNAL OF CLEANER PRODUCTION,Sustainable development,Energy justice,Urban renewal,Low-income groups,,,,,,,,,,,SEP 25 2024,Energy justice and sustainable urban renewal: A systematic review of low-income old town communities
Row_11,"In the process of rapid urban renewal, quantitative research on functional preferences and spatial layout norms of multi-type urban renewal entities is crucial for optimizing spatial governance and promoting orderly control of urban renewal. We investigate urban renewal in Beijing from 2006 to 2021 using directional distribution, spatial autocorrelation, and hotspot analysis. The findings are as follows: (1) The functional preference of each type of entity differs. While most private companies and other profit-oriented entities concentrate on producer services and residential functions, policy-oriented entities dominate the urban regeneration of public service activities. (2) Every entity shows a significant agglomeration characteristic, yet exhibits a differentiated spatial response pattern. Those entities with stronger leasing ability prefer the central zone while others are the opposite. (3) Diverse types of entities have differentiated spatiotemporal evolutions. The spatial directional divergence of state-owned enterprises and scientific research institutes has increased between 2006 and 2021. This is mainly influenced by the policy of relieving Beijing of nonessential functions. However, the rest entities show a balanced spatial development trend with the difference in each direction becoming smaller. Furthermore, the center of gravity of profit-oriented entities has shifted from the suburbs to the central zone due to a combination of administrative and market forces, whereas the center of gravity of policy-oriented entities tends to move outward from the central zone.","Xu, Shan","Liu, Boya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,HABITAT INTERNATIONAL,Urban renewal,Entity types,Functional preference,Spatial evolution,Influencing factors,,,,,,,,,,NOV 2024,Functional preference and spatial response of urban renewal entities in Beijing
Row_18,"Urban renewal is imperative due to growing urbanization (i.e., population migration into cities), requiring acceptable planning to meet peoples' housing needs and playing a key role in highlighting and satisfying societies' needs. Complex urban renewal decisions encompass environmental degradation, poverty, inequality, and inaccessibility to services. Decision makers must meet on -going challenges by transforming urban spaces so that they satisfy all constraints while satisfying residents' needs. A holistic view of urban renewal facilitates efficient strategies for meeting economic, social, and environmental obligations. Multicriteria methodology may ideally be used to develop a complete, transparent, and realistic model that identifies planning factors best resolving urban renewal efforts. Therefore, we rely on cognitive mapping, the decision -making trial and evaluation laboratory technique, and neutrosophic logic, applied by a panel of experts with experience in urban renewal planning in two group work meetings. The results were analyzed and validated by an independent specialist in this field. The contributions and limitations of this methodological framework were also examined.","Cordeiro, Tiago A. A.","Ferreira, Fernando A. F.","Spahr, Ronald W.","Sunderman, Mark A.","Ferreira, Neuza C. M. Q. F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CITIES,Cognitive mapping,DEcision MAking Trial and Evaluation,Laboratory (DEMATEL),Neutrosophic logic,Urban renewal,,,,,,,,,,JUL 2024,Enhanced planning capacity in urban renewal: Addressing complex challenges using neutrosophic logic and DEMATEL
Row_22,"The prevailing paradigm of traditional top-down urban renewal has been criticized for failing to consider diverse public requests and preferences. This critique has prompted a ""human-centric"" approach, emphasizing effective two-way communication within urban renewal. Despite this shift, there remains a significant gap in research on real-time public opinions generated from bottom-up participation in urban renewal, particularly with regard to governmental response to such micro-level feedback. Therefore, based on provincial-level panel data and microlevel opinions on the Leaders' Message Board, this research adopted a text mining method and regression model to evaluate unstructured user-generated data and explore the determinants of government responsiveness in urban renewal. The results reveal that there are more public opinions on urban renewal in economically developed regions than in less developed regions. This study also found that local governments can respond to most public opinions. Meanwhile, ""project progress inquiry"", ""quality problem"", and economic level have significant positive impacts on response timeliness, while ""information disclosure"" and ""livelihood issues"" have adverse effects. The findings are of great strategic and policy importance and can offer new insights into citizen engagement and collaborative governance in urban planning.","Shen, Chen","Wang, Yang","Xu, Yan","Li, Xiangyu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,CITIES,Urban renewal,Public opinions,Online participation,Government responsiveness,,,,,,,,,,,MAY 2024,"Unveiling citizen-government interactions in urban renewal in China: Spontaneous online opinions, reginal characteristics, and government responsiveness"
Row_26,"Spatial plans and strategies ensure that urbanization takes place according to predetermined scientific and technical criteria. Urbanization that takes place without taking into account these legal and technical bases lead to the emergence of informal, risky and dysfunctional settlements. Over time, these settlements become increasingly vulnerable due to their failure to meet social and technical requirements, making their sustainability increasingly challenging, and inevitably becoming subjects of urban renewal activities. Google Earth Engine (GEE) platform's archive of satellite images provides temporal monitoring of urbanization on Earth for about 50 years and analysis of changes in the cloud environment. This study investigates whether the GEE platform can use to detect the impact of the areas where settlement activities are carried out without a development plan in the current urban transformation projects in Istanbul. Land use/cover maps classified with the Random Forest algorithm correlate urbanization activities in urban renewal areas with the entry into force date of the spatial plans that guide the settlement. The classification results evaluated in conjunction with statistical tests and spatial plan decisions demonstrate that unplanned urbanization is a serious obstacle to the sustainability of settlements. Additionally, the study results show the performance of the GEE platform in detecting the effects of factors in the urbanization period. The GEE platform can serve as a facilitative tool for deriving lessons from urbanization experiences to inform policymaking.","Yilmaz, Okan","Alkan, Mehmet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,HABITAT INTERNATIONAL,Urban renewal,Development plans,Informal settlements,Urbanization policies,Google Earth Engine (GEE),,,,,,,,,,JUL 2024,Assessing the impact of unplanned settlements on urban renewal projects with GEE
Row_28,"Urban renewal projects at neighbourhood scale have become prevalent in China to better adapt multi-storey residential buildings for the needs of the country's ageing society. Institutional co-production and actornetwork theory were employed in two cases in Shanghai to analyse relationships between administrative departments, policy implementors, and residents. The findings show that while institutional co-production promoted substantial spatial change for elderly residents, and stimulated both administrative change and bottom-up initiatives. However the need for the state to provide a bottom line for more vulnerable actors was highlighted, an over-representation of dominant actors and uneven information assembly in the process also resulted in unequal distributions of benefits among actors. The study contributes empirical insight to research on institutional co-production in governance contexts with powerful state authority, as well as the role of neighbourhoodlevel actor's in urban renewal processes in other cities defined by high-density, vertical construction.","Li, Fengqing","Lynam, Ava","Huang, Huang","Wei, Jinqiu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,HABITAT INTERNATIONAL,Urban renewal,Neighbourhood scale,Institutional co -production,Actor Network Theory,Information assembly,China,,,,,,,,,FEB 2024,Institutional co-production at neighbourhood scale: Cases of urban renewal for Shanghai's ageing population
Row_37,"This study investigates the varied effects of urban revitalization projects on land prices in Seongnam, South Korea. As rapid urbanization continues to be a global challenge, the economic impacts of different urban revitalization strategies hold crucial importance in informed urban planning and policymaking. This study uses a spatial hedonic approach to analyze the influence of distinct urban renewal and regeneration initiatives on land values. The results reveal that the urban renewal project, which involves significant physical upgrades and redevelopment, appears to substantially increase land prices. However, a deeper analysis accounting for spatial spillover effects indicates that most of this increase is due to the influence of high-value adjacent areas. Conversely, urban regeneration projects, which focus on enhancing the socioeconomic and cultural aspects of urban areas without causing drastic physical changes, consistently have a significant positive impact on land prices, even when spatial structures are considered. This study underscores that urban planners and policymakers should carefully evaluate the type of urban revitalization strategy to be implemented and its contextual spatial effects. The findings suggest that urban regeneration can be a more effective tool than urban renewal for sustainable urban improvement, contributing to enhanced land utility and neighborhood development. These insights are particularly valuable for cities in developed and developing countries facing similar urban challenges.","Gu, Hanmin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CITIES,Urban revitalization,Urban renewal,Urban regeneration,Neighborhood development,Land prices,Hedonic pricing model,Spatial hedonic approach,,,,,,,,NOV 2024,"Differential impacts of urban revitalization projects on land prices: A case study of Seongnam, South Korea"
Row_38,"Urban pluvial flooding mitigation is a significant challenge in city development. Many mature methods have been used to reduce the risk of flood. The optimal design of impervious surfaces (ODIS) is an adaptive solution to urban flooding from the perspective of urban renewal planning. However, existing ODIS models are limited because they do not consider the drainage systems. To address this issue, this study proposes an elastic and controllable optimization model based on assumptions about rainstorm and drainage capacity, nondominated sorting genetic algorithm-II (NSGA-II), multivariate linear programming (MLP) and soil conservation service curve number model (SCS-CN) in a case study of the old town of Guangzhou city, China. The model not only coupled the drainage systems, but also collaboratively optimized the impervious surfaces and the drainage systems. The results show that the proposed model achieved an optimized efficiency of 5.70 %, which is more than a tenfold improvement compared to existing ODIS models. The study emphasizes that the optimization of the drainage system should be the focus and the optimization of impervious surfaces should be supplementary, and different flood risk areas require different optimization strategies. Furthermore, transforming impervious surfaces into a ""high-low-high"" spatial distribution of impervious surface densities is the optimal design solution for impervious surfaces. In general, this study offers a novel perspective and approach to urban flooding mitigation, enabling comprehensive control of flooding from a global perspective. systems. The results show that the proposed model achieved an optimized efficiency of 5.70 %, which is than a tenfold improvement compared to existing ODIS models. The study emphasizes that the optimization the drainage system should be the focus and the optimization of impervious surfaces should be supplementary, and different flood risk areas require different optimization strategies. Furthermore, transforming impervious surfaces into a ""high-low-high"" spatial distribution of impervious surface densities is the optimal design solution for impervious surfaces. In general, this study offers a novel perspective and approach to urban flooding gation, enabling comprehensive control of flooding from a global perspective.","Ke, Entong","Zhao, Juchao","Zhao, Yaolong","Wu, Jiazhe","Xu, Tao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,SCIENCE OF THE TOTAL ENVIRONMENT,Urban renewal,Urban pluvial flooding,Impervious surfaces,Drainage systems,NSGA-II,SCS-CN,,,,,,,,,MAR 20 2024,Coupled and collaborative optimization model of impervious surfaces and drainage systems from the flooding mitigation perspective for urban renewal
Row_39,"The renewal of old communities (OCR) is a crucial component of China's urban renewal strategy. However, the huge funding gap, coupled with the unwillingness of enterprises to participate, has impeded the sustainable development of OCR in China. This issue has become a major practical challenge for the government. This study employed the modified theory of planned behavior (M-TPB) to examine enterprise behavior, focusing on how internal capabilities and external conditions influence their participation. Data was collected from 261 questionnaire surveys, and structured equation modeling was used to analyze the data. Further in-depth interviews were conducted to explain and validate the results from the SEM. The findings illustrate that: (1) the M-TPB offers a more detailed and nuanced explanation of the mechanisms influencing participation behavior; (2) the attitude towards participation is an important factor in shaping the intention to participate; (3) there is a significant negative correlation between perceived behavioral control, which is based on external conditions, and the participation intention; and (4) different types of enterprises show differences in attitude and perceived behavioral control. These findings provide new insights and perspectives on the OCR dilemma in China, highlighting some important practical implications for fostering various forms of enterprise participation in OCR projects.","Liu, Guiwen","Huang, Ruopeng","Li, Kaijian","Shrestha, Asheem","Wang, Hanbing","Cai, Minhong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CITIES,Community renewal,Urban renewal,Sustainability,Enterprise participation,Theory of planned behavior,,,,,,,,,,JUL 2024,Exploring the dilemma of enterprises participating in the old community renewal: Perspective of managers
