Phrase,Frequency
green,83
groundwater,61
environment,53
environmental,52
temporal,51
pollution,39
heat,36
communities,32
driving,32
dynamic,30
dynamics,29
sustainable,28
carbon,26
climate,26
comprehensive,26
diversity,25
integration,24
residential,24
characteristics,23
housing,23
intercity,23
poverty,23
supply,23
accessibility,22
ecological,22
flood,21
landscape,21
aero,20
digital,20
diverse,20
modeling,20
construction,19
consumption,19
evolution,19
expansion,19
mechanism,19
quan,19
scenarios,19
coupling,18
infrastructure,18
conditions,17
flow,17
function,17
prediction,17
term,17
transition,17
associated,16
machine,16
nature,16
opt,16
ozone,16
particularly,16
context,15
correlation,15
developed,15
driven,15
increased,15
market,15
novel,15
reduction,15
values,15
vegetation,15
attention,14
capacity,14
ecosystem,14
elements,14
environments,14
equilibrium,14
experiences,14
extreme,14
heavy,14
institutional,14
leading,14
performance,14
regression,14
regulation,14
rivers,14
similar,14
statistical,14
trade,14
capture,13
collaborative,13
commercial,13
considering,13
coupled,13
demonstrate,13
emergency,13
exhibit,13
exhibited,13
increasing,13
influencing,13
observed,13
processes,13
ratio,13
resolution,13
resulting,13
roads,13
source,13
trajectory,13
uncertainty,13
wild,13
additionally,12
approaches,12
balance,12
beijing,12
compound,12
major,12
moreover,12
nitrogen,12
nonlinear,12
providing,12
recovery,12
representation,12
task,12
valuable,12
variations,12
view,12
accurately,11
affecting,11
average,11
benefits,11
concentration,11
cross,11
effectiveness,11
efficiency,11
employed,11
enhancing,11
experiments,11
facilities,11
feedback,11
finally,11
functions,11
historical,11
improved,11
integrate,11
interactive,11
main,11
observations,11
parameters,11
pm,11
pre,11
quantitative,11
rc,11
sister,11
specific,11
structures,11
temperature,11
tolerance,11
total,11
ur,11
wu,11
address,10
affected,10
agricultural,10
amounts,10
analyzed,10
applied,10
cable,10
cal,10
component,10
cost,10
critical,10
cw,10
delta,10
exploring,10
footprint,10
foster,10
freight,10
gradient,10
hazard,10
height,10
heights,10
indicate,10
indicators,10
informal,10
innovative,10
integrated,10
intensity,10
knowledge,10
lid,10
limited,10
mixed,10
numerical,10
organic,10
parameter,10
physical,10
remains,10
retail,10
revealed,10
scenario,10
se,10
settlement,10
smart,10
sources,10
trend,10
variables,10
watershed,10
accurate,9
advanced,9
along,9
bike,9
bu,9
cl,9
contributes,9
coordinated,9
coordination,9
density,9
developing,9
driver,9
empirical,9
events,9
explores,9
field,9
food,9
fusion,9
gdp,9
governance,9
influences,9
integrating,9
jogging,9
literature,9
magnitude,9
mainly,9
modelling,9
neighborhood,9
optimal,9
order,9
plume,9
promoting,9
rainfall,9
review,9
runoff,9
satellite,9
scales,9
sea,9
sha,9
size,9
solutions,9
stress,9
thermal,9
threshold,9
