Phrase,Frequency
residential,43
bike,39
migration,38
temporal,36
environmental,34
green,27
housing,27
intercity,24
flow,23
park,22
sustainable,22
accessibility,21
shared,21
diversity,20
environment,20
minute,20
private,19
segregation,19
dynamics,18
characteristics,17
poverty,17
trajectory,17
consumption,16
functions,16
sustainability,16
emissions,15
parks,15
food,14
infrastructure,14
behaviors,13
bus,13
density,13
individual,13
practices,13
stable,13
suburban,13
crucial,12
empirical,12
flows,12
income,12
landscape,12
behavior,11
correlation,11
knowledge,11
novel,11
planners,11
pollution,11
preferences,11
privacy,11
stage,11
attributes,10
comprehensive,10
dynamic,10
extreme,10
justice,10
metro,10
suburbs,10
function,9
geographic,9
implications,9
individuals,9
influencing,9
issues,9
lack,9
major,9
mixed,9
nature,9
opportunities,9
prediction,9
quan,9
survey,9
valuable,9
visitation,9
visual,9
adults,8
aspects,8
associated,8
behaviour,8
belt,8
capture,8
choice,8
deep,8
demographic,8
driven,8
equity,8
greater,8
highlighting,8
holidays,8
home,8
households,8
interesting,8
living,8
lower,8
move,8
net,8
particularly,8
pm,8
pro,8
promoting,8
rainfall,8
real,8
regarding,8
safety,8
satisfaction,8
specific,8
stress,8
wild,8
actual,7
address,7
afford,7
approaches,7
climate,7
combined,7
communities,7
concept,7
conditions,7
decomposition,7
developed,7
driving,7
energy,7
evidence,7
five,7
focus,7
functional,7
identifying,7
labor,7
life,7
literature,7
moreover,7
need,7
neighborhood,7
neighbourhoods,7
observed,7
pedestrian,7
prior,7
processes,7
promote,7
providing,7
purpose,7
racial,7
reducing,7
regression,7
share,7
shows,7
status,7
trends,7
users,7
uv,7
via,7
weather,7
addressing,6
although,6
beijing,6
bikes,6
biodiversity,6
car,6
connected,6
context,6
county,6
critical,6
cycling,6
decisions,6
deserts,6
dimension,6
distances,6
enhancing,6
especially,6
essential,6
events,6
exhibit,6
geographically,6
heat,6
hierarchy,6
increasing,6
increasingly,6
indicate,6
infection,6
late,6
limitations,6
london,6
mining,6
national,6
np,6
origin,6
papers,6
period,6
places,6
point,6
populations,6
positively,6
primate,6
proximity,6
quantitative,6
remains,6
representation,6
revealed,6
rice,6
rise,6
secondary,6
shelters,6
south,6
step,6
tend,6
therefore,6
thus,6
user,6
utilizing,6
view,6
wireless,6
world,6
zones,6
accuracy,5
amp,5
beyond,5
canadian,5
centers,5
characterized,5
comparative,5
complement,5
considering,5
contrast,5
cores,5
countries,5
cycle,5
days,5
demonstrate,5
des,5
despite,5
disadvantaged,5
disrupt,5
diverse,5
emerging,5
emission,5
employed,5
established,5
evolution,5
experience,5
experiences,5
extract,5
facilities,5
firstly,5
forms,5
foster,5
healthy,5
highlight,5
household,5
identification,5
implementation,5
inclusive,5
indicators,5
influential,5
investigated,5
issue,5
limited,5
longitudinal,5
maps,5
mega,5
metropolitan,5
negatively,5
number,5
panel,5
part,5
particular,5
practical,5
pre,5
preserving,5
represent,5
response,5
scope,5
secondly,5
self,5
semantic,5
sequential,5
si,5
solution,5
solutions,5
sparse,5
staying,5
storey,5
targeted,5
technique,5
traditional,5
transformation,5
transit,5
understand,5
valid,5
way,5
weighted,5
work,5
ability,4
achieve,4
achieved,4
addition,4
additionally,4
agricultural,4
aims,4
analyses,4
analyzed,4
attractive,4
auckland,4
available,4
becoming,4
census,4
center,4
changing,4
character,4
chilean,4
chronic,4
congestion,4
connectivity,4
conservation,4
consistency,4
contributing,4
core,4
cost,4
de,4
dec,4
deco,4
delta,4
determining,4
dimensions,4
discussed,4
distinct,4
distinctive,4
distributions,4
districts,4
dwellers,4
education,4
elements,4
emotions,4
employing,4
environments,4
european,4
even,4
examine,4
examining,4
expected,4
experiencing,4
explicitly,4
exploring,4
extending,4
facilitating,4
field,4
focuses,4
focusing,4
frequencies,4
frequent,4
general,4
hamilton,4
heavy,4
hierarchical,4
holiday,4
house,4
immigration,4
incorporating,4
infections,4
informal,4
inhabitants,4
integrating,4
interest,4
joint,4
last,4
leverage,4
likely,4
lock,4
mainly,4
majority,4
mapping,4
markets,4
measures,4
needs,4
neighbourhood,4
offers,4
open,4
parameters,4
periods,4
poor,4
practice,4
presents,4
primarily,4
problem,4
publishing,4
pull,4
purposes,4
questions,4
rec,4
recent,4
recommendations,4
reduce,4
reduced,4
reptiles,4
respond,4
returned,4
reveals,4
review,4
sentiments,4
several,4
shenzhen,4
shocks,4
situations,4
specifically,4
states,4
station,4
statistical,4
still,4
strong,4
structural,4
sum,4
supermarkets,4
terms,4
theories,4
total,4
transitions,4
unique,4
united,4
ut,4
variation,4
vegetation,4
whether,4
women,4
workplace,4
zealand,4
ab,3
account,3
achieving,3
adapt,3
affect,3
affects,3
aggregate,3
amount,3
anal,3
app,3
apparent,3
application,3
ar,3
australia,3
average,3
bai,3
balance,3
battery,3
become,3
birds,3
block,3
business,3
canada,3
capabilities,3
capability,3
capturing,3
card,3
categories,3
chile,3
commercial,3
consequently,3
consider,3
construct,3
contribute,3
contributes,3
conventional,3
covering,3
credit,3
db,3
defined,3
del,3
den,3
depend,3
deter,3
develop,3
developing,3
differential,3
direct,3
directed,3
disease,3
dock,3
east,3
efforts,3
employment,3
en,3
enhanced,3
enhancement,3
equally,3
establish,3
estimate,3
evaluating,3
examined,3
explored,3
explores,3
extracted,3
face,3
facilitate,3
farmers,3
fine,3
focused,3
foundation,3
frequency,3
fresh,3
friendly,3
fully,3
functioning,3
fungi,3
gps,3
guangzhou,3
help,3
highlights,3
highly,3
improve,3
improving,3
inc,3
incorporates,3
increased,3
inference,3
influences,3
integrated,3
intensity,3
interests,3
intermittent,3
international,3
intervention,3
investigates,3
investigating,3
january,3
job,3
largely,3
larger,3
legacy,3
light,3
like,3
links,3
live,3
longer,3
loss,3
made,3
main,3
manner,3
map,3
meanings,3
methodology,3
metric,3
mg,3
migrant,3
migrants,3
mod,3
modes,3
mutual,3
nec,3
nodes,3
northeastern,3
notable,3
notably,3
numerous,3
ob,3
objective,3
observations,3
olympus,3
online,3
overall,3
owned,3
paradigm,3
pathways,3
peak,3
perceived,3
percentage,3
physical,3
pivotal,3
plays,3
points,3
poly,3
porto,3
poses,3
positions,3
predominant,3
preference,3
privately,3
pronounced,3
prop,3
proportion,3
proposes,3
published,3
push,3
qu,3
ra,3
random,3
rate,3
rates,3
recreational,3
reduction,3
relevance,3
rent,3
representations,3
resources,3
responses,3
return,3
safe,3
scala,3
score,3
security,3
semantics,3
serve,3
set,3
shaping,3
shelter,3
shown,3
side,3
singular,3
soil,3
stigma,3
supervised,3
task,3
temperature,3
temperatures,3
tenure,3
theory,3
thereby,3
threshold,3
throughout,3
tier,3
towards,3
trans,3
treatment,3
trend,3
uneven,3
visit,3
visitors,3
walk,3
worldwide,3
years,3
zero,3
accompanied,2
action,2
addressed,2
addresses,2
adjust,2
adoption,2
adult,2
advancement,2
advocate,2
aerial,2
af,2
affiliation,2
affluent,2
affordable,2
agents,2
ages,2
aimed,2
align,2
allow,2
amenities,2
american,2
analytics,2
angeles,2
another,2
applications,2
applied,2
architects,2
around,2
aspect,2
assessments,2
assist,2
atmospheric,2
attacks,2
attempts,2
attention,2
attracting,2
authorities,2
balanced,2
baseline,2
basis,2
batteries,2
behavioral,2
beneficial,2
benefit,2
bert,2
biological,2
body,2
boost,2
brazilian,2
cad,2
capital,2
carbon,2
cat,2
causal,2
chain,2
characterization,2
choices,2
circular,2
circumstances,2
cited,2
class,2
classify,2
clear,2
closely,2
closer,2
collectively,2
combination,2
combines,2
communication,2
competitive,2
complementary,2
comprehend,2
comprising,2
concentrate,2
concentrations,2
concerns,2
concludes,2
concurrently,2
conducting,2
confirm,2
connect,2
consequence,2
considered,2
consistently,2
consists,2
construction,2
content,2
contributed,2
controlling,2
cope,2
correlated,2
costs,2
country,2
creating,2
currently,2
cyclists,2
decade,2
decent,2
decreased,2
deeper,2
demonstrated,2
dense,2
dependent,2
depending,2
detecting,2
determine,2
diet,2
directions,2
discourse,2
discovering,2
distinguished,2
distinguishing,2
diver,2
door,2
dot,2
drawing,2
dwelling,2
effectiveness,2
efficiency,2
either,2
elderly,2
em,2
employs,2
end,2
ensure,2
entropy,2
equation,2
est,2
ethnic,2
example,2
exists,2
experienced,2
experimental,2
experiments,2
explained,2
explicit,2
expressed,2
expression,2
extensive,2
extent,2
external,2
faster,2
favor,2
female,2
festival,2
finally,2
fixed,2
follow,2
following,2
force,2
forecast,2
formed,2
forming,2
free,2
french,2
fusion,2
gaps,2
gauge,2
generally,2
generate,2
generation,2
gran,2
great,2
greatly,2
growing,2
guide,2
habitats,2
healthcare,2
heightened,2
highlighted,2
hoc,2
hub,2
identifies,2
impacted,2
implementing,2
imposed,2
improvements,2
increases,2
indicated,2
indicating,2
industrial,2
inequality,2
influenced,2
informed,2
informing,2
injustice,2
innovative,2
insufficient,2
integrate,2
integration,2
intelligence,2
internal,2
interpret,2
introduce,2
introduced,2
investigation,2
investment,2
ion,2
japanese,2
jointly,2
june,2
kan,2
kg,2
korea,2
la,2
lanes,2
leading,2
leads,2
leaving,2
lens,2
lever,2
li,2
lighting,2
limiting,2
link,2
linking,2
liv,2
los,2
machine,2
madrid,2
maintain,2
makers,2
makes,2
marginal,2
matrix,2
meaning,2
means,2
migrating,2
mile,2
min,2
mini,2
minorities,2
minority,2
mixing,2
mo,2
mode,2
mor,2
narratives,2
nearby,2
neglect,2
neighborhoods,2
nine,2
noise,2
north,2
nutrition,2
obtained,2
offering,2
office,2
operation,2
opt,2
options,2
others,2
outbreak,2
outputs,2
overlooked,2
participants,2
party,2
past,2
pearl,2
periodic,2
periphery,2
persistent,2
perspectives,2
phenomenon,2
pipeline,2
plans,2
potentially,2
predict,2
predicting,2
predominantly,2
prefecture,2
present,2
presented,2
prices,2
primary,2
production,2
profiles,2
promising,2
promoter,2
proportions,2
protecting,2
queensland,2
range,2
ranging,2
ratio,2
recognition,2
records,2
reference,2
regular,2
relaxation,2
relevant,2
relocation,2
remain,2
remaining,2
remarkable,2
representative,2
represented,2
representing,2
requires,2
residence,2
respective,2
restrictions,2
rich,2
riders,2
robots,2
robust,2
root,2
routes,2
routing,2
rush,2
sea,2
seeking,2
select,2
sensitive,2
seoul,2
serves,2
sets,2
settlements,2
severe,2
shape,2
shaped,2
shift,2
shifted,2
shifting,2
shopping,2
shorter,2
signaling,2
significance,2
similar,2
simultaneously,2
single,2
size,2
smart,2
society,2
species,2
speed,2
spring,2
stages,2
stations,2
stay,2
stems,2
structures,2
subjected,2
subjective,2
subsequently,2
substantially,2
substitute,2
suggest,2
suggests,2
suitable,2
supply,2
supporting,2
surrounding,2
surveys,2
sustain,2
sv,2
takes,2
taking,2
taxi,2
techniques,2
tel,2
term,2
tested,2
threat,2
tool,2
towns,2
traits,2
tran,2
transfer,2
transform,2
ty,2
typical,2
ua,2
un,2
unprecedented,2
utility,2
utilization,2
valencia,2
values,2
variables,2
variations,2
varying,2
vehicles,2
version,2
villagers,2
visibility,2
vision,2
visiting,2
visits,2
vs,2
vulnerability,2
vulnerable,2
walking,2
ways,2
weak,2
week,2
weekday,2
weekend,2
weekends,2
weekly,2
welfare,2
western,2
whereas,2
wider,2
wu,2
xi,2
yang,2
yet,2
yield,2
yields,2
zheng,2
able,1
absence,1
accelerate,1
accommodate,1
accordingly,1
accounting,1
accurate,1
accurately,1
achievement,1
active,1
actively,1
adaptive,1
adding,1
additional,1
adjusted,1
adjustments,1
advance,1
advanced,1
affairs,1
affected,1
affecting,1
agency,1
agent,1
aggregation,1
agriculture,1
ai,1
aid,1
aiding,1
aids,1
aiming,1
algorithms,1
alignment,1
alleviate,1
allowed,1
allowing,1
allows,1
along,1
alongside,1
already,1
altered,1
alternative,1
alternatives,1
ambient,1
america,1
ami,1
amongst,1
amplified,1
analog,1
anatomy,1
answer,1
anti,1
applies,1
appropriately,1
aquatic,1
arose,1
art,1
artificial,1
asia,1
asian,1
aspirations,1
aspiring,1
assessed,1
assessing,1
attach,1
attain,1
attempted,1
attract,1
availability,1
avoid,1
aware,1
back,1
ball,1
barcelona,1
barriers,1
beaches,1
became,1
becomes,1
begin,1
beginning,1
believed,1
bid,1
biomass,1
black,1
blend,1
blue,1
bo,1
bodies,1
bordeaux,1
bottom,1
boundary,1
brands,1
breach,1
bridge,1
burden,1
bureau,1
california,1
cannot,1
capacities,1
care,1
carried,1
cars,1
cases,1
categorized,1
category,1
caused,1
causing,1
centered,1
centre,1
certain,1
challenging,1
changed,1
characteristic,1
che,1
check,1
chemical,1
chemistry,1
children,1
chinese,1
chong,1
chose,1
circulation,1
citizens,1
classification,1
clearer,1
close,1
closed,1
closest,1
closing,1
clusters,1
coe,1
cold,1
collected,1
colonization,1
color,1
coloring,1
combinations,1
combine,1
combining,1
commerce,1
common,1
commonly,1
compact,1
companies,1
comparisons,1
compelling,1
compensate,1
components,1
composition,1
compositions,1
compromised,1
computer,1
concentration,1
concepcion,1
concerned,1
concerning,1
conclude,1
concluded,1
conclusions,1
configurations,1
confirming,1
confirms,1
conflict,1
conflicts,1
confronted,1
connecting,1
consensus,1
considerations,1
considers,1
consistent,1
constitute,1
constitution,1
constrained,1
constructions,1
containing,1
containment,1
contaminated,1
contamination,1
contexts,1
continue,1
contrasting,1
contributions,1
contributors,1
control,1
convenience,1
convenient,1
conversely,1
cooper,1
cooperative,1
coordination,1
coping,1
corona,1
corresponding,1
counter,1
counterparts,1
counties,1
coverage,1
cpc,1
craft,1
crawling,1
crisis,1
crossing,1
crowd,1
crowded,1
cultural,1
cumulative,1
curt,1
curve,1
customer,1
cy,1
cyclist,1
dat,1
day,1
debate,1
december,1
decline,1
declines,1
declining,1
decreasing,1
define,1
defining,1
definition,1
delayed,1
delivered,1
delivery,1
demonstration,1
dependency,1
depends,1
depict,1
deployed,1
deployment,1
deposit,1
deprivation,1
deprived,1
depth,1
derive,1
derived,1
describe,1
described,1
designed,1
desirable,1
desire,1
desired,1
destinations,1
det,1
detail,1
detailed,1
details,1
determined,1
detrimental,1
developments,1
devi,1
devices,1
diagnosis,1
diamond,1
differ,1
differed,1
differentiate,1
differently,1
difficult,1
difficulties,1
difficulty,1
dim,1
directional,1
directly,1
disc,1
discovery,1
discussion,1
discussions,1
displacement,1
display,1
dissemination,1
disturbances,1
dive,1
divers,1
diversified,1
divide,1
division,1
divisions,1
dog,1
domestic,1
dominance,1
dominant,1
dominated,1
dong,1
downtown,1
draw,1
drinking,1
drive,1
drought,1
duration,1
early,1
earnings,1
ease,1
eastern,1
ecological,1
economy,1
ecosystems,1
edges,1
educated,1
efficacy,1
el,1
electric,1
element,1
eleven,1
eli,1
eliminating,1
elusive,1
embedded,1
emerge,1
emergency,1
emphasis,1
emphasize,1
emphasized,1
emphasizing,1
employ,1
empowerment,1
enable,1
enabling,1
encoded,1
encompasses,1
encounter,1
enough,1
ensuring,1
entertainment,1
entry,1
epa,1
epidemic,1
episodes,1
equal,1
equipped,1
escaping,1
establishes,1
estimated,1
estimates,1
estimation,1
etc,1
euro,1
europe,1
event,1
ever,1
evolve,1
examination,1
examines,1
exclusion,1
exclusively,1
exhibited,1
exhibits,1
expanding,1
expands,1
experiment,1
explain,1
exploit,1
extends,1
fabric,1
facility,1
facing,1
failures,1
fall,1
falling,1
far,1
farmer,1
farther,1
favorable,1
fc,1
fe,1
feedback,1
females,1
fifty,1
file,1
fill,1
finest,1
fix,1
flexible,1
floating,1
fluctuations,1
followed,1
follows,1
forces,1
fore,1
forest,1
formal,1
formula,1
formulated,1
fossil,1
fountain,1
fours,1
fragmented,1
france,1
freely,1
frequently,1
frog,1
fu,1
fuels,1
fun,1
fundamental,1
furniture,1
fuzzy,1
ga,1
gain,1
gains,1
gases,1
gdp,1
generalized,1
generates,1
genes,1
genetic,1
geneva,1
genuine,1
geometry,1
girls,1
given,1
gives,1
globalization,1
globally,1
globe,1
goal,1
going,1
google,1
governance,1
governments,1
gradually,1
grasp,1
gravity,1
greene,1
greenhouse,1
greens,1
grid,1
groceries,1
ground,1
guides,1
habitat,1
habits,1
halfway,1
hamburg,1
hand,1
harm,1
harmful,1
head,1
height,1
held,1
helped,1
helping,1
herb,1
highest,1
hill,1
hispanic,1
