Phrase,Frequency
sustainable,30
pedestrian,29
accessibility,28
car,23
infrastructure,21
intercity,19
cycling,18
environmental,16
minute,16
environment,15
equity,15
literature,15
choice,14
review,14
characteristics,13
transit,12
climate,11
heat,11
noise,11
safety,11
share,11
active,10
classification,10
metro,10
national,10
platform,10
preferences,9
residential,9
walking,9
adoption,8
emotions,8
mod,8
mode,8
modes,8
plastic,8
pollution,8
smart,8
superb,8
systematic,8
tool,8
adults,7
bike,7
charge,7
costs,7
outcomes,7
populations,7
specific,7
sustainability,7
towards,7
users,7
benefits,6
context,6
crowded,6
electoral,6
extreme,6
flows,6
highlight,6
improvements,6
income,6
increased,6
km,6
live,6
major,6
methodology,6
mumbai,6
need,6
opportunities,6
plans,6
vehicles,6
women,6
workers,6
attributes,5
barcelona,5
behaviour,5
canada,5
cars,5
congestion,5
diverse,5
experienced,5
interventions,5
journeys,5
mental,5
neighborhood,5
pedestrians,5
physical,5
recent,5
reduce,5
reducing,5
response,5
ride,5
route,5
sa,5
shared,5
stations,5
stress,5
suburban,5
suggest,5
supporters,5
terms,5
therefore,5
thus,5
transformation,5
walk,5
willingness,5
address,4
aim,4
aims,4
anal,4
answer,4
attention,4
bags,4
barriers,4
become,4
bicycles,4
bikes,4
bus,4
cent,4
children,4
concept,4
conditions,4
consumption,4
contribute,4
cost,4
decisions,4
destinations,4
districts,4
emphasis,4
enable,4
end,4
examines,4
examining,4
exploring,4
external,4
flow,4
focusing,4
formal,4
frequent,4
function,4
hamilton,4
implications,4
increasing,4
increasingly,4
investments,4
issues,4
lens,4
living,4
measure,4
mega,4
migration,4
million,4
modeling,4
motor,4
neighborhoods,4
number,4
objective,4
origin,4
overall,4
particularly,4
perceived,4
pit,4
planners,4
platforms,4
political,4
potentially,4
prior,4
question,4
reduction,4
respondents,4
shares,4
singapore,4
size,4
source,4
still,4
survey,4
targets,4
travellers,4
useful,4
via,4
view,4
weather,4
whether,4
workplace,4
achieve,3
additionally,3
addressing,3
affects,3
agent,3
along,3
alternative,3
analytical,3
applied,3
