Phrase,Frequency
cycling infrastructure,14
heat stress,5
residential choice,5
mode share,4
plastic bags,4
smart car,4
bag charge,3
barriers adoption,3
characteristics intercity,3
classification plans,3
counts km,3
den counts,3
digital platforms,3
enable barriers,3
environmental costs,3
experienced emotions,3
extreme weather,3
journeys car,3
late class,3
literature review,3
log regression,3
minute concept,3
mod share,3
park ride,3
pedestrian route,3
pedestrians users,3
perceived safety,3
pit minute,3
plastic bag,3
platform workers,3
recent immigrants,3
route choice,3
sao paulo,3
shared autonomous,3
sustainable car,3
systematic literature,3
systematic review,3
towards sustainable,3
transit accessibility,3
visible minorities,3
willingness pay,3
women safety,3
worker cent,3
accessibility climate,2
accessibility measures,2
adults position,2
adults sep,2
affects pedestrian,2
aims answer,2
analytical hierarchy,2
answer questions,2
autonomous vehicles,2
behavior accessibility,2
benefits reduced,2
bike sector,2
boarding ali,2
bus stop,2
car smart,2
cent platform,2
choice behavior,2
congestion pollution,2
core periphery,2
cost function,2
decisions pedestrians,2
decomposition sv,2
discrete choice,2
electoral outcomes,2
electric vehicles,2
environment individual,2
environment mode,2
environmental characteristics,2
environmental justice,2
environmental sustainability,2
equity liv,2
flow estimation,2
flows boarding,2
formal national,2
generalized cost,2
gradient boost,2
hamilton zealand,2
immigrants visible,2
indicate rise,2
indicators disadvantage,2
individual characteristics,2
infrastructure equity,2
infrastructure overall,2
intensity frequency,2
intercity major,2
literature terms,2
market penetration,2
metro share,2
metro station,2
minorities incomes,2
minute paradigm,2
mode shares,2
narrative review,2
national accessibility,2
national classification,2
national cycling,2
neighborhood environmental,2
open source,2
ordered log,2
origin flow,2
pedestrian generation,2
pedestrian modeling,2
perceptions preferences,2
planned stations,2
poly core,2
pricing supporters,2
reducing need,2
reducing noise,2
relocation trends,2
review formal,2
ride hail,2
safety places,2
seniors recent,2
seven pit,2
singular decomposition,2
stop den,2
summer day,2
supply chain,2
sustainability equity,2
triple burden,2
ultra particle,2
walk along,2
walking cycling,2
weighted block,2
willingness walk,2
women perceived,2
worldwide review,2
ab mats,1
abc triple,1
ability inn,1
academic articles,1
academics practitioners,1
acceptance adoption,1
accessibility amenities,1
accessibility begun,1
accessibility decreasing,1
accessibility destinations,1
accessibility finland,1
accessibility highlighting,1
accessibility inclusion,1
accessibility indicators,1
accessibility measure,1
accessibility opportunities,1
accessibility palma,1
accessibility pedestrians,1
accessibility residential,1
accessibility resources,1
accessibility scores,1
accessibility sustainable,1
accessibility toronto,1
accessibility via,1
accessibility workplace,1
accidents diverse,1
accordingly national,1
achieve physical,1
achieve sustainability,1
achieve sustainable,1
achieved coefficient,1
achieved planned,1
achieving int,1
acoustic sensor,1
action plans,1
action targeted,1
active app,1
active cars,1
active emission,1
active journeys,1
active like,1
active mod,1
active supportive,1
active users,1
added limitations,1
additionally illustrated,1
additionally mod,1
