Phrase,Frequency
logistics delivery,7
delivery problems,5
determine optimal,4
dynamic temporal,4
flood identification,4
platform route,4
route recommendation,4
crowd sourced,3
customers real,3
customized bus,3
cycling route,3
cycling routes,3
density macau,3
dir allocation,3
driven charging,3
emergency prepared,3
green route,3
hierarchical reinforcement,3
informed sampling,3
internet electric,3
late dir,3
log regression,3
mc line,3
pedestrian route,3
real conditions,3
route choice,3
ua flight,3
weighted late,3
actor critic,2
assured connectivity,2
bus cb,2
capture dynamic,2
carried out,2
choice behavior,2
coastal density,2
computational efficiency,2
digital twin,2
electric io,2
electric logistics,2
flood hazard,2
formula rational,2
info ic,2
integer programming,2
late topics,2
lever crowd,2
logistics fleets,2
optimal function,2
optimal routes,2
ordered log,2
other reinforcement,2
path assured,2
primary source,2
problem ev,2
real environments,2
real world,2
reduce flood,2
reducing noise,2
reinforcement dr,2
reinforcement dynamic,2
reinforcement solving,2
route efficiency,2
route mp,2
route problems,2
route reinforcement,2
routes lever,2
routing problem,2
shannon entropy,2
solving route,2
source environmental,2
sourced weighted,2
staggered restriction,2
summer day,2
task assignment,2
traditional logistics,2
twin mc,2
ua connectivity,2
ua path,2
willingness walk,2
account encompassed,1
achieve cost,1
achieve superior,1
achieve ua,1
acoustic sensor,1
active carbon,1
active continues,1
active thus,1
actively sampled,1
ada etc,1
addressed green,1
addresses limitations,1
addressing reduce,1
adopt active,1
adopted dynamic,1
adopting broad,1
adoption scala,1
advance customers,1
advancement real,1
advancing io,1
adverse environment,1
advocacy carbon,1
affected altogether,1
affecting safety,1
affects pedestrian,1
against background,1
against flood,1
against floods,1
aiding governments,1
aimed reducing,1
aims develop,1
algorithms revenues,1
all pedestrians,1
all prove,1
all shelters,1
alleviate det,1
allocation precisely,1
along coasts,1
along several,1
alternatives performance,1
although inc,1
altogether enables,1
amenities vegetation,1
any but,1
any context,1
any navigation,1
any roads,1
api extreme,1
application electric,1
application encouraged,1
application programming,1
applications carried,1
applications operator,1
applied any,1
applied reinforcement,1
applies any,1
applying machine,1
approaches cycling,1
approaches eliminating,1
ariel ua,1
around cologne,1
assessing shelter,1
assign distinct,1
assignment crowds,1
assignment professional,1
assigns weights,1
assigns workers,1
assist users,1
associated noise,1
assumption clearly,1
attention gate,1
attribute utility,1
attributes turns,1
availability internet,1
avenues applying,1
average connection,1
backdrop work,1
background formulated,1
become nodes,1
become route,1
become urgent,1
becomes instrument,1
becoming active,1
behavior path,1
behavior so,1
being challenged,1
being replica,1
bias solution,1
bicycle inherently,1
bid communication,1
boom approaches,1
boost step,1
borough bromley,1
boston ma,1
bothered exploring,1
br distances,1
broad distances,1
bromley resulting,1
bus rate,1
bus stop,1
bus stops,1
businesses reducing,1
but focused,1
but last,1
called dr,1
candidate customers,1
candidate segments,1
cannot candidate,1
car bicycle,1
carbon navigation,1
carbon pollution,1
cb alleviate,1
cb assumption,1
cb consists,1
cb problem,1
cb terms,1
challenged intensity,1
challenging flight,1
challenging meet,1
changed dense,1
charging electric,1
charging io,1
charging routing,1
charging staggered,1
cheng experimental,1
choice depends,1
classification criteria,1
classification noise,1
clearly orders,1
clearly presented,1
climate crisis,1
climate extreme,1
climate numerical,1
climate strategic,1
climate targeted,1
climate utc,1
coastal climate,1
coastal increasing,1
coasts populations,1
collected cycling,1
cologne germany,1
colony integrated,1
combination induced,1
commercial software,1
communication power,1
