Phrase,Frequency
housing,32
sustainable,32
neighborhood,26
regeneration,25
carbon,22
construction,22
green,22
governance,21
environmental,19
rehabilitation,16
context,15
stakeholders,15
agricultural,14
evolution,14
temporal,13
diverse,12
dynamic,12
neighborhoods,12
commercial,10
dynamics,10
ecological,10
industry,10
resident,10
surfaces,10
infrastructure,9
institutional,9
intensity,9
justice,9
physical,9
resort,9
status,9
tourism,9
traditional,9
utilization,9
benefits,8
communities,8
correlation,8
critical,8
displacement,8
drainage,8
flooding,8
historic,8
intention,8
market,8
neighbourhood,8
outcomes,8
pressure,8
semantic,8
work,8
block,7
capital,7
character,7
conditions,7
contraction,7
environment,7
examine,7
focus,7
heritage,7
home,7
initial,7
knowledge,7
offers,7
organization,7
pressures,7
products,7
programs,7
providing,7
quantitative,7
residential,7
revealed,7
settlements,7
shanghai,7
transformation,7
whether,7
years,7
accuracy,6
achieving,6
adaptation,6
additionally,6
address,6
agriculture,6
characteristics,6
comprehensive,6
cultural,6
depth,6
developed,6
distinct,6
driven,6
elements,6
empirical,6
expansion,6
experience,6
finally,6
flood,6
gee,6
ho,6
implementation,6
income,6
increased,6
indicate,6
labor,6
lack,6
need,6
novel,6
opinions,6
opt,6
overall,6
planners,6
processes,6
reference,6
renovation,6
response,6
structures,6
supply,6
sustainability,6
temperature,6
accessibility,5
accurate,5
analyzed,5
applications,5
assistance,5
become,5
behavior,5
beijing,5
businesses,5
capacity,5
collaborative,5
currently,5
density,5
effectiveness,5
efficiency,5
emission,5
established,5
examined,5
exploring,5
history,5
identifying,5
indicators,5
israel,5
leverage,5
likely,5
logical,5
modeling,5
national,5
number,5
organic,5
predict,5
prices,5
promote,5
question,5
reducing,5
reduction,5
regression,5
roles,5
scenarios,5
sd,5
segregation,5
semi,5
solution,5
stage,5
structural,5
town,5
training,5
trend,5
type,5
values,5
view,5
visual,5
way,5
without,5
yet,5
zone,5
achieve,4
achieved,4
administrative,4
adults,4
afford,4
aging,4
agreement,4
aims,4
algorithms,4
architectural,4
atmosphere,4
book,4
bottom,4
cases,4
categories,4
cement,4
classification,4
common,4
consider,4
construct,4
constructed,4
continue,4
contributes,4
core,4
cu,4
dimensional,4
direction,4
efforts,4
employed,4
employment,4
enhanced,4
enhancing,4
enterprises,4
essential,4
establishments,4
exhibit,4
experiences,4
explored,4
extraction,4
field,4
food,4
forest,4
friendly,4
functions,4
generated,4
