Phrase,Frequency
housing,32
sustainable,32
neighborhood,26
regeneration,25
carbon,22
construction,22
green,22
governance,21
environmental,19
rehabilitation,16
context,15
agricultural,14
evolution,14
but,13
temporal,13
diverse,12
dynamic,12
neighborhoods,12
not,11
they,11
commercial,10
dynamics,10
ecological,10
industry,10
infrastructure,9
intensity,9
justice,9
physical,9
resort,9
status,9
tourism,9
traditional,9
utilization,9
benefits,8
communities,8
correlation,8
displacement,8
drainage,8
flooding,8
historic,8
intention,8
other,8
outcomes,8
pressure,8
semantic,8
work,8
capital,7
character,7
conditions,7
contraction,7
environment,7
focus,7
home,7
initial,7
knowledge,7
offers,7
organization,7
pressures,7
products,7
providing,7
quantitative,7
residential,7
settlements,7
transformation,7
whether,7
years,7
accuracy,6
achieving,6
adaptation,6
agriculture,6
all,6
characteristics,6
comprehensive,6
depth,6
developed,6
distinct,6
driven,6
each,6
elements,6
empirical,6
expansion,6
experience,6
finally,6
flood,6
further,6
implementation,6
indicate,6
labor,6
lack,6
need,6
novel,6
only,6
opinions,6
out,6
overall,6
processes,6
reference,6
renovation,6
response,6
some,6
structures,6
supply,6
sustainability,6
temperature,6
accurate,5
analyzed,5
applications,5
assistance,5
become,5
businesses,5
capacity,5
currently,5
density,5
effectiveness,5
efficiency,5
established,5
exploring,5
history,5
identifying,5
indicators,5
leverage,5
likely,5
logical,5
modeling,5
national,5
number,5
predict,5
promote,5
question,5
reducing,5
reduction,5
regression,5
roles,5
scenarios,5
segregation,5
solution,5
stage,5
structural,5
them,5
town,5
training,5
trend,5
type,5
values,5
view,5
visual,5
way,5
without,5
yet,5
zone,5
