,author1,author2,author3,author4,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,author5,author6,journal/book,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,author7,author8,keyword13,keyword14,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,author42,author43,author44,author45,author46,author47,author48,author49
Row_301,"Esposito, Dario","Zanin, Giulia Motta","Balena, Pasquale","Monno, Valeria",Achieving SDGs through Public Participation in Spatial Planning and Urban Governance: International Standards for Effective Implementation,"INNOVATION IN URBAN AND REGIONAL PLANNING, VOL 1, INPUT 2023",2024,0,"Human settlements are deeply founded on civic engagement through the involvement of stakeholders, citizens, and the public. This entails creating a sense of belonging, prioritizing safe, inclusive, accessible, and green public spaces, and enhancing social interactions, cultural expressions, and political participation. It also involves fostering social cohesion, inclusion, and security in peaceful and pluralistic societies that meet the needs of all, especially the most vulnerable. However, despite the institutionalization of participatory planning in urban governance processes over several decades, doubts are growing about the rhetoric and effectiveness of the experiences implemented and their transformative and empowering nature. This paper examines the capacity of existing norms and tools to renew public participation and establish a meaningful and fruitful connection with the 2030 Agenda for Sustainable Development. The paper emphasizes the need to articulate the Sustainable Development Goals (SDGs) in a more accessible and actionable manner for policymakers, urban practitioners, and a broad range of urban stakeholders. It explores the actual contribution and the potential for improvement of international standards in supporting regional and local governments in effectively implementing the SDGs through inclusive processes of public participation. Moreover, these standards establish a common language, set expectations, enable monitoring of processes and outputs, and facilitate the dissemination of best practices and achieved results. The aim is to scale up and accelerate the sustainable and resilient development of cities and communities.",Sustainable Development Goals,Resilient Cities and Communities,Public Participation,Technical Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_302,"Chen, Yizhong","Zhang, Sisi","Yang, Lingzhi","Zhang, Xiaocui","Ecological footprint in Beijing-Tianjin-Hebei urban agglomeration: Evolution characteristics, driving mechanism, and compensation standard",,NOV 2024,1,"Unbalancing ecological supply-demand is an obstacle to sustainable development in the Beijing-Tianjin-Hebei urban agglomeration (BTHUA), which can be efficiently addressed through regional ecological compensation. However, the driving mechanism of this unbalance is unclear, and the determination of ecological compensation standard (ECS) is not unified. This study uses the ecological footprint (EF) model and integrated inversion model to complete the intelligent evaluation and prediction of ecological supply-demand performance in the BTHUA. The extended nonlinear STIRPAT model and geographic detector are integrated to identify the driving mechanism of EF and its spatial differentiation. ECS at different spatiotemporal scales are then given with consideration of ecological service value and Monte Carlo simulation. Results reveal that EF of the BTHUA exhibits a downward trend, especially under the sustainable scenario (SSP1), falling by 16.85 %. But all cities would be still in unsafety states by 2035, with an average EF value of 6.210 hm2/cap, which is over 27 times greater than its EC. The spatial distribution of EF differs significantly, and high-value areas gradually migrate to the north. The variation of EF is primarily influenced by industrial structure, with population factors and environmental factors following. Per capita GDP is a key factor causing spatial differentiation of EF. The key driving factors and their explanatory powers on EF vary across cities, and the interaction of multiple factors affects EF more than a single in the BTHUA. Past-to-future ECS of the BTHUA shows a decreasing trend, with high-value areas distributed in the pivotal cities for economic development. A total of 19.13 x 1010 CNY needs to be paid to compensate for ecological damage of the BTHUA. Uncertainty analysis shows that ECS is extremely sensitive to grassland footprint in most cities. Furthermore, environmental footprints as well as system dynamics considering multiple factors are still required for comprehensively evaluating the ecological environment quality and further exploring ecological compensation evaluation framework with incorporating various ecological service functions such as carbon sinks in the BTHUA. Findings can facilitate improving regional sustainability and provide a valid approach to determine ECS for the BTHUA and similar regions worldwide.",Ecological footprint,Urban agglomeration,Driving factor,Spatial differentiation,"Yu, Kairu","Li, Jing",ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,Geographic detector,Ecological compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_303,"Hallmann, Kirstin",,,,CURATED COLLECTION PUBLIC SPACES AND EVENTS,,2024,0,"This review identifies research articles published in Event Management that discuss the use of public spaces for events. Events and festivals utilize public spaces, which are specific geographic locations in cities. These public spaces transform into places when imbued with meaning through experiences related to events and festivals. This article reveals that uniqueness, emotions, and cocreation through social interaction are important in facilitating events and festivals, although there is also the danger of becoming exclusive, commercialized, commodified, and privatized. Considering the dearth of studies looking at public spaces, future studies may delve into analyzing public space utilization during events and festivals, aiming to unveil spatial trends pertinent to both a city's overarching urban policies and its tailored event (and tourism) strategies.",Experiences,Public realm,Cocreation,,,,EVENT MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_304,"Zhao, Xiongfei","Wu, Shansong","Yan, Bin","Liu, Baoliu",New evidence on the real role of digital economy in influencing public health efficiency,,MAR 26 2024,3,"In recent years, the rapid advancement of digital technology has supported the growth of the digital economy. The transformation towards digitization in the public health sector serves as a key indicator of this economic shift. Understanding how the digital economy continuously improves the efficiency of public health services and its various pathways of influence has become increasingly important. It is essential to clarify the impact mechanism of the digital economy on public health services to optimize health expenditures and advance digital economic construction. This study investigates the impact of digital economic development on the efficiency of public health services from a novel perspective, considering social media usage and urban-rural healthcare disparities while constructing a comprehensive index of digital economic development. The findings indicate that the digital economy reduces the efficiency of public health services primarily through two transmission mechanisms: the promotion of social media usage and the widening urban-rural healthcare gap. Moreover, these impacts and transmission pathways exhibit spatial heterogeneity. This study unveils the intrinsic connection and mechanisms of interaction between digital economic development and the efficiency of public health services, providing a theoretical basis and reference for government policy formulation. However, it also prompts further considerations on achieving synergy and interaction between the digital economy and public health services.",Digital economy,Efficiency of public health services,Social media,Mediating effect,,,SCIENTIFIC REPORTS,Heterogeneity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_305,"Hayley, Kevin","White, Emma",,,Quantifying urban groundwater complexity: A high parameterization modelling approach,,JUL 2024,1,"Modelling of groundwater flow and transport in urban environments is complicated by changes in recharge due to urbanization, and interactions between groundwater, water supply networks and sewerage pipe infrastructure. This study presents an applied groundwater modelling project that attempts to capture the complexity and quantify the uncertainty of groundwater flow and mass transport in urban environments using recently developed methods. A python scripting approach was used for model development and preparation of a calibration constrained parameter uncertainty analysis using the iterative ensemble smoother method (IES). Water supply and sewer infrastructure locations were explicitly included in the numerical model as boundary conditions with adjustable parameters during the calibration. The model calibration, and predictive uncertainty analysis considered more than 100,000 independent parameters, which were applied at zones, pilot points and directly on the model grid to define model properties, boundary conditions, and initial conditions. Calibration observations included both water level and concentration measurements at 18 boreholes over the 12-year operational life of a remediation system. The IES method was applied to calibrate 120 alternative and equally plausible parameter realizations. Initial parameter values were produced from initial statistical distributions defined by parameter bounds and based on the conceptual hydrogeological model, literature review and spatial correlations of hydraulic properties observed in well tests. The Amazon EC2 cloud computing service was used to provide the parallel computing capacity necessary to complete the project within a reasonable timeframe. Predictions of long-term mass transport towards a creek after the termination of active remediation were made with 47 of the resulting IES calibrated parameter sets. The IES method provided a distribution of potential impacts and allowed decisions about the future of the current remediation system to be made based on a quantitative, statistical, risk-based analysis. The extremely high degree of model parameterization allowed the complexity and uncertainty of an urban groundwater systems to be represented using adjustable model parameters, which reduced the likelihood of structural model error and biased predictions. This study found that fully python scripted model development and calibration setup, combined with IES, successfully allowed for improved representation of urban groundwater systems in numerical models. The post calibration groundwater flow budget of the model showed that groundwater interactions with sewer and water supply infrastructure are of similar magnitude to distributed recharge, and the omission of representing infrastructure in urban groundwater models could result in misleading predictions.",Urban groundwater,Numerical Modelling,Uncertainty analysis,,,,JOURNAL OF HYDROLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_306,"Fu, Xuecheng","He, Bao-Jie",,,"Synergistic Impacts of Built-Up Characteristics and Background Climate on Urban Vegetation Phenology: Evidence from Beijing, China",,APR 2024,0,"Vegetation is an important strategy for mitigating heat island effects, owed to its shading and evaporative cooling functions. However, urbanization has significantly affected regional vegetation phenology and can potentially weaken the cooling potential of vegetation. Previous studies have mainly focused on national and regional vegetation phenology, but local-scale vegetation phenology and dynamic variations in built-up areas remain unclear. Therefore, this study characterized the vegetation phenology in the densely built-up area of Beijing, China over the period of 2000-2020 based on high-resolution NDVI data using Savitzky-Golay filtering and explored its spatiotemporal characteristics and drivers. The results indicate that the vegetation phenology exhibits significant spatial heterogeneity and clustering characteristics. Compared with vegetation in peripheral blocks, vegetation in central urban blocks generally has an earlier start in the growing season (SOS), later end in the growing season (EOS), and a longer growing season length (GSL). However, the overall distribution of these parameters has experienced a process of decentralization along with urbanization. In terms of drivers, vegetation phenology indicators are mainly influenced by background climate. Specifically, SOS and GSL are mainly affected by temperature (TEP), whereas EOS is mainly influenced by annual precipitation (PRE). Additionally, local environmental factors, particularly the percentage of water body (WAP), also have an impact. Notably, the local environment and background climate have a synergistic effect on vegetation phenology, which is greater than their individual effects. Overall, this study extends the current knowledge on the response of vegetation phenology to urbanization by investigating long-term vegetation phenology dynamics in dense urban areas and provides new insights into the complex interactions between vegetation phenology and built environments.",vegetation phenology,built-up environment,spatiotemporal characteristics,interactions,,,FORESTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_307,"Zhu, Mingfei","Yu, Xuexiang","Chen, Kai","Tan, Hao",Spatiotemporal characteristics and driving factors of chemical oxygen demand emissions in China ' s wastewater: An analysis based on spatial autocorrelation and geodetector,,SEP 2024,4,"The advancement of industrialization and urbanization has exacerbated global water pollution. Chemical Oxygen Demand (COD) serves as a crucial metric for assessing organic contamination in aquatic environments. Consequently, the spatiotemporal characteristics and driving factors of COD emissions have emerged as a significant area of current research interest. This study employs spatial autocorrelation and geodetector methods to rigorously analyze the spatial -temporal patterns and principal drivers of COD emissions in China 's wastewater, drawing on eleven geographic and socio-economic datasets spanning from 2011 to 2019. This study indicates that COD emissions in China 's wastewater have consistently decreased annually between 2011 and 2019, with a marked reduction observed post -2016. Regarding spatial distribution, COD emissions in the eastern region significantly surpass those in the western region, highlighting pronounced regional disparities. The analysis of the global Moran 's Index indicates that the COD emissions across China 's provincial regions demonstrate spatial clustering of similar values, with this clustering intensifying annually. Furthermore, the local Moran 's Index identifies the precise locations of these spatial clusters. Geodetector analysis identified that the consumption of nitrogen fertilizers and the consumption of chemical fertilizers had substantial impacts on COD emissions, whereas the proportion of urban population at year-end and the number of granted inventions exerted lesser effects. Furthermore, the interaction between two factors notably enhances the explanatory power regarding COD emissions. This research underpins the formulation of efficacious pollution control and environmental protection strategies, contributing vital insights for the stewardship of water quality.",China,COD,Geodetector,Moran's Index,"Yuan, Jiajia",,ECOLOGICAL INDICATORS,Driving factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_308,"Xiong, Ningchang","Liu, Qingqin","Zhu, Kening",,PetPresence: Investigating the Integration of Real-World Pet Activities in Virtual Reality,,MAY 2024,1,"For VR interaction, the home environment with complicated spatial setup and dynamics may hinder the VR user experience. In particular, pets' movement may be more unpredictable. In this paper, we investigate the integration of real-world pet activities into immersive VR interaction. Our pilot study showed that the active pet movements, especially dogs, could negatively impact users' performance and experience in immersive VR. We proposed three different types of pet integration, namely semitransparent real-world portal, non-interactive object in VR, and interactive object in VR. We conducted the user study with 16 pet owners and their pets. The results showed that compared to the baseline condition without any pet-integration technique, the approach of integrating the pet as interactive objects in VR yielded significantly higher participant ratings in perceived realism, joy, multisensory engagement, and connection with their pets in VR.",Virtual reality,Visualization,Virtual environments,Urban areas,,,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,Three-dimensional displays,Portals,Media,Virtual Reality,Haptics,Distractions,Presence,Pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_309,"Semenov, Andrei",,,,Proccesuality of Urban Con fl icts: Sequence Analysis of Urban Contention in Russia,,2024,0,"Urban con fl icts are usually analyzed in a spatial way - as claims by several parties to transform the physical or symbolic aspects of urban space. However, con fl icts, by de fi nition, unfold not only in space but also in time: as a sequence of interconnected events of a certain duration. In this article, relying on the ""sociology of processuality"" by Andrew Abbott and the methodology for con fl ict episodes analysis, I consider one of the temporal dimensions of urban con fl icts - the ordering of actions in time (sequencing). The selection of analytical tools for analyzing event sequences is carried out taking into account their key features: the ""path dependency"" (dependence of the current situation on past states of the process) and ""plurisectality"" (repetition of the same stages in an episode of con fl ict). The analysis of urban con fl ict episodes serves as an instrument that allows to track the interactions between the challengers (active citizens) and the initiators of urban transformation projects (developers or public authorities), with the addition of a ""fourth party"" acting as a mediator or ally of the main participants in the con fl ict. The database of urban con fl icts in Russian cities with a population of over a million built in accordance with this logic, makes it possible to examine the sequences more closely and conduct an exploratory analysis of its variation. Collected data on 259 con fl icts show that there are signi fi cant di ff erences between cities and con fl ict types in average estimates of duration, length and intensity of con fl icts. An analysis of the sequences in con fl icts over the development of recreational areas and in fi ll development also indicates signi fi cant diversity in the content of con fl ict episodes, but the common denominator is the active role of citizens and public authorities, with a much smaller share of the actions of developers and the fourth party. Half of the sequences are short (up to 5 - 6 actions), while long episodes with a large number of actions slightly increase the likelihood of a favorable outcome for residents. The study contributes to the discussion on urban con fl ict patterns and their temporal aspects.",urban con fl icts,contention politics,collective action,processuality,,,SOCIOLOGICESKOE OBOZRENIE,temporality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_310,"Liu, Jiankun","Deguchi, Atsushi",,,"The mechanism of block form diversification in urban morphological transformation: Case study of grid blocks in Beijing, China",,AUG 2024,1,"Beijing is a typical traditional city in China, originating from the uniform and conventional grid plan, but transformed diversely, either on purpose or spontaneously. This research took the diversification process of grid blocks as an angle to understand the transformation process of Beijing's urban morphology. It took 194 grid blocks within the 3rd Ring Road of Beijing as research objects. First, the paper proposed a whole view of Beijing's grid blocks by 1) visualizing their construction process, 2) classifying 5 morphological clusters by 7 indicators (Block size, Block shape regularity, Intensity, Coverage, Network density, Plot shape regularity, Standard deviation of plot size), and 3) investigating their distribution. Second, the diversification process of grid blocks was clarified from two layers: the block-boundary layer and the inner-space layer. Finally, the mechanism of block form diversification was clarified by exploring the connections between elements in each layer, and the influence of urban development on block form transformation. The study re-defined the diversification process in a more quantitative way from both time and spatial dimension. It concluded that the diversification is influenced by changes in urban planning principles and locations, and emerged thorough the long-term transformation and resubdivision. The interaction between the boundary and the inner space stimulates the diversification. And based on these, it concluded with a discussion of limitations and potentials on grid blocks' construction and renovation. (c) 2024 The Author(s). Publishing services by Elsevier B.V. on behalf of KeAi Communications Co. Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/ licenses/by-nc-nd/4.0/).",Grid block,Urban morphology,Diversification,Morphological,,,FRONTIERS OF ARCHITECTURAL RESEARCH,quantification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
