,author1,author2,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,author3,author4,author5,author6,author7,author8,keyword5,keyword6,conference,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,author9,author10,author11,author12,author13,author14
Row_1,"Guller, Cansu","Varol, Cigdem",Unveiling the daily rhythm of urban space: Exploring the influence of built environment on spatiotemporal mobility patterns,APPLIED GEOGRAPHY,SEP 2024,1,"Urban mobility research is crucial due to the complex and dynamic nature of cities. Traditional zoning methods often overlook the temporal dynamics of urban space usage. This paper aims to investigate the daily rhythm of urban space usage and how built environmental features affect spatiotemporal mobility. The methodology integrates various urban data sources, including street and building vectors and points of interest (POI). In Ankara, T & uuml;rkiye, temporal usage types were identified using principle component analysis and k-means algorithms via Google Maps location-based service data. Multinomial logistic regression model was used to examine the impact of built-environment factors on daily mobility patterns. Results reveal distinct daily usage rhythms, categorizing busy areas into morning, noon, early evening, late evening, diurnal, and nocturnal zones. The study finds: (1) temporal usage is closely associated with spatial characteristics and resident income; (2) work-related activities drive morning mobility, while nighttime mobility relates to residence, income, and accessibility; and (3) population density alone does not guarantee continuous activities; diverse POIs alongside high density are crucial. The identified relationship between mobility measures and urban built environment indicators provides a comprehensive understanding of spatiotemporal variations, offering insights for critical policy evaluations and proposals for the future of urban areas.",Human mobility,Urban built environment,Spatiotemporal pattern,Multinomial logistic regression,,,,,,,,,,,,,,,,,,,,,,,,
Row_2,"Kumar, Praveen","Chakroborty, Partha",Novel Trip Agglomeration Methods for Efficient Extraction of Urban Mobility Patterns,NETWORKS & SPATIAL ECONOMICS,DEC 2024,0,"Mobility patterns in an urban area can be defined as the trip making behavior of an urban population. Traditionally, the origin-destination matrix representation of travel demand, where trip ends are agglomerated toward zone centroids that are decided a priori, has historically been used to identify trip making behavior. In this paper, different agglomeration methods are explored to extract the trip making behavior and their performances are analyzed. First, a variant of the zone-based agglomeration method is proposed, in which zones are optimally located rather than having their locations determined beforehand. Then a trip-based agglomeration method is proposed, where each trip is represented as an ordered pair of origin and destination in the form of a line segment and agglomeration of these line segments is performed. The proposed line-based agglomeration method serves a two-fold purpose, (a) the proposed trip-based agglomeration method helps in identifying the corridors carrying the majority of the flow in a single step, as opposed to trip-end based agglomeration methods where several post-processing steps may be required to identify the corridors, and (b) this method performs better than the existing trip-end based agglomeration methods in terms of the number of corridors that are required to cover the given trips. Efficient algorithms are also developed to solve the proposed trip-based agglomeration method, their performance on real-world trip datasets is tested and finally, the properties of the proposed algorithms are explored.",Urban mobility patterns,Agglomeration methods,Travel demand representation,Trip based agglomeration,"Gehlot, Hemant",,,,,,,,,,,,,,,,,,,,,,,
Row_3,"Ren, Jiawen","Zhou, Xin",A systematic review of occupancy pattern in urban building energy modeling: From urban to building-scale,JOURNAL OF BUILDING ENGINEERING,OCT 15 2024,2,"The occupancy pattern, number of occupants in a certain space, and their dynamic variation with time are among the largest sources of uncertainty in the simulation results of urban building energy modeling (UBEM). The large size and complexity of cities pose ongoing and essential challenges in obtaining precise data on building occupancy. The current examination of this topic simply looks at the data source and the model, lacking of their scope of application or the influencing factors behind occupancy pattern. Based on the perspective of urban to building-scale, multi data sources and mobility models in all domains, along with potential factors that influence occupancy patterns were systematically reviewed in this study. Currently, there are two main challenges in occupancy pattern generation in UBEM: 1) difficulty in obtaining data with both accuracy and breadth, and 2) difficulty in developing occupancy pattern models through tradeoffs between model complexity, accuracy, and interpretability. Therefore, combination of multisource data should be employed to obtain a more accurate representation of occupancy pattern within a city and future research should establish fit-for-purpose framework to find the best modeling method for UBEM. What's more, the interpretable model considering comprehensive influencing factors should be further established. In conclusion, this study provides a series of suggestions for future advancements in obtaining accurate and interpretable occupancy patterns in UBEM.",UBEM,Occupancy pattern,Urban data,Mobility,"Jin, Xing","Ye, Yu","Causone, Francesco","Ferrando, Martina","Li, Peixian","Shi, Xing",Theoretical models,,,,,,,,,,,,,,,,,
Row_4,"Liu, Xinrui","Li, Rui",Quantifying urban function accessibility and its effect on population mobility based on function-associated population mobility network,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,DEC 2024,0,"Due to rapid urbanization and globalization, urban functions are increasingly segregated in cities comprising centers of population aggregation and economic activity. Urban development yields intertwining and interdependent functional areas for residence, commerce, and education, which leads to complex but regular population mobility patterns. Population mobility spaces can effectively represent the actual service scopes of urban functions. Therefore, in this study, we propose a function-associated population mobility network (FPMN) to dynamically delineate the service capacities of urban functions, and to quantify the driving effects of urban functions on population mobility under spatial interaction conditions. By integrating the cumulative opportunities of geographic nodes with the potential opportunities reflected by population mobility, k-step function accessibility with population mobility (k-step PFA) is defined in FPMN to characterize the accessibility relationships between geographic nodes and function nodes. Based on k-step PFA, considering the complementarity and intervention opportunities, the function-driven index (FDI) is proposed to quantify the driving effects of urban functions on population mobility. Our experimental results indicated that FPMN could effectively represent the actual service scopes and capabilities of urban functions. Compared with general location-based accessibility indicators, k-step PFA has a higher numerical distribution and less spatial disparity, and it aligns more closely with the actual service scopes of urban functions. In addition, compared with intervening opportunities models, FDI delineates the functional driving effects of population mobility with greater precision, as well as revealing the travel propensity traits of a population relative to various urban functions through propensity parameters.",Urban function,Population mobility network,Accessibility,Transferability,"Cai, Jing","Li, Bosen","Li, Yanhao",,,,Complementarity,Intervention opportunities,,,,,,,,,,,,,,,,
Row_5,"Fitschen, Philip","Merfeld, Katrin",Understanding the urban mobility challenge: Why shared mobility providers fail to attract car drivers,TRANSPORT POLICY,NOV 2024,1,"Reducing urban car traffic has become a global policy objective. A vital element in achieving this objective is the availability of shared mobility providers offering sustainable alternative travel modes such as micromobility, carsharing, and ridehailing. Despite policy and industry efforts, shared mobility options have failed to change the travel patterns of current car users. We explore this urban mobility challenge through an empirical study of 807 urban travelers. Our results show that car drivers estimate travel costs conceptually rather than rationally and consider both trip purpose and length. In particular, car users perceive longer and recreational trips as cheaper per distance driven than shorter and work-related trips. A segmentation analysis reveals that habitual and technology-averse car drivers are particularly susceptible to this skewed cost perception, unlike more frequent transit users. Embedding these results in a case study of current shared mobility options shows that these options are ill-adjusted to the preferences of car travelers but more attractive to current transit users, potentially leading to cannibalization. Based on these findings, we outline several strategies for mobility providers and policymakers to attract car drivers to shared mobility options, thereby contributing to solving the urban mobility challenge.",Urban transport,Transport policy,Shared mobility,Travel mode,"Klein, Jan F.","Henkel, Sven",,,,,Travel cost,,,,,,,,,,,,,,,,,
Row_6,"Oloye, Abiodun Rowland","Sadeghvaziri, Eazaz",Effects of Electric Scooter Sharing on Users' Travel Behavior and Urban Mobility Patterns,,2024,0,"Electric scooter sharing has emerged as a promising and environmentally friendly alternative for short-distance urban mobility. This research paper aims to analyze the travel patterns and accessibility impacts of electric scooter sharing in low-income neighborhoods of Chicago. Geographic information system (GIS) was used to conduct a spatial analysis of scooter sharing station locations, transportation infrastructure, and socio-economic indicators. The methodology involves data collection on scooter sharing station locations and socio-economic factors, followed by travel pattern analysis. Thematic maps are created to visualize the spatial distribution of scooter sharing stations and identify gaps in service coverage. Network analysis tools are used to assess the accessibility of scooter sharing services in relation to public transit stops and essential destinations. Statistical modeling is employed to evaluate the relationship between scooter sharing adoption and socio-economic factors in low-income neighborhoods. The results reveal insights into travel patterns and accessibility impacts, indicating areas of high scooter sharing demand and potential expansion opportunities in underserved communities.",Electric Scooter Sharing,Travel Behavior,Mobility,Lime,,,,,,,Bird,Spin,"INTERNATIONAL CONFERENCE ON TRANSPORTATION AND DEVELOPMENT 2024: TRANSPORTATION PLANNING, OPERATIONS, AND TRANSIT, ICTD 2024",,,,,,,,,,,,,,,
Row_7,"Pugliese, Chiara",,Unveiling Urban and Human Mobility Dynamics through Semantic Trajectory Summarization,,2024,0,"The analysis of semantic trajectories has gained significant attention in urban mobility research due to its potential to provide comprehensive insights into movement patterns and associated semantic data. However, integrating multiple semantic aspects with spatio-temporal information often leads to redundancy and computational challenges. To address this issue, we proposed MAT-SUM, a novel method for trajectory summarization while preserving semantic quality. This method identities urban regions based on associated semantic contexts and discretizes trajectories, yielding a high level of summarization without compromising semantic quality. This paper delves into the research questions we aim to address, focusing on the effectiveness of capturing human mobility and urban dynamics following the summarization of semantic trajectories using MATSUM. Our investigation aims to determine if comparable results can be achieved by analyzing summarized semantic trajectories compared to the original ones, such as classifying users exhibiting routine and non-routine behaviours. Furthermore, we examine the usefulness of the identified regions in comprehending urban dynamics. While some research questions remain open, this paper outlines ongoing investigations and potential strategies to enhance outcomes in mobility analysis.",summarized semantic trajectories,human mobility dynamics,urban dynamics,,,,,,,,,,"PROCEEDINGS OF THE 2024 25TH IEEE INTERNATIONAL CONFERENCE ON MOBILE DATA MANAGEMENT, MDM 2024",,,,,,,,,,,,,,,
Row_8,"Zhang, Shanqi","Hu, Zhuomin",Assessing the (in)equality of an x-minute city accounting for human mobility patterns,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,FEB 2025,0,"Developing x-minute cities has become a global effort since the proposal of 15-minute city by Carlos Moreno who has reworked several earlier planning theories and practices. Against this background, a burgeoning body of research literature has proposed quantitative methods for evaluating cities' progress towards the achievement of an x-minute city. However, current approaches predominately focus on the density and proximity aspects of x-minute cities, but underrepresent other critical aspects including the equality of x-minute cities. Human mobility patterns are also not accounted for in current approaches, leading to potential bias in evaluation results. This study bridges these research gaps by proposing an equality assessment framework that explicitly accounts for disparities in mobility patterns of different population groups. A mobility-aware accessibility metric is first proposed and then used as the basis for assessing the (in)equality of urban service provision across space and population groups. We use a full month of mobile phone signaling data in the city of Nanjing, China to obtain the activity patterns of different population groups. The case study suggests that not accounting for human mobility would lead to an overestimation of accessibility and accordingly a possibly too rosy view of achieving the x-minute city goal. In addition, the measurement of x-minute cities is sensitive to location, time, service types and population groups. These results have implications that developing an equitable x-minute city should move beyond the overly simplified proximity-based metric, but further accounts for different population groups' varying mobility patterns and their interactions with urban services.",X -minute city,Accessibility,Equality,Human mobility patterns,"Zhen, Feng","Kong, Yu","Tong, Ziyu",,,,,,,,,,,,,,,,,,,,,
Row_9,"Sanchez-Sepulveda, Monica V.","Navarro, Joan",Exploiting urban data to address real-world challenges: Enhancing urban mobility for environmental and social well-being,CITIES,OCT 2024,0,"The rapid urbanization of large cities poses significant challenges to residents' well-being, particularly regarding mobility patterns, infrastructure, and environmental pollution. While extensive research has explored the societal impacts of urbanization, effectively identifying, and addressing critical urban areas remains a complex task. This study proposes utilizing data-driven urban approaches to guide decision-making for urban planners, architects, and policymakers by identifying key infrastructure areas crucial for improving mobility and sustain- ability. Leveraging open data urban repositories, the study aims to develop a data analytics pipeline to identify urban infrastructure points for enhanced, accessible, sustainable, and healthy mobility. This research focuses on understanding urban factors influencing pedestrian and cyclist movement to promote active behaviors, thus enhancing citizens' health and quality of life. The study hypothesizes that the developed methodology, employing a multi-stage data analysis pipeline and clustering algorithms, effectively evaluates walkability and cyclability in urban environments. Using Barcelona as a case study allows for a comprehensive demonstration of the methodology's potential outcomes without compromising general applicability. The data-driven study explores accessibility and mobility variations, addressing issues of affordability and barriers in new micro-mobility solutions, and contributing valuable insights to informed policymaking for global net-zero transitions.",Smart cities,Sustainable mobility,Data-driven solutions,Urban planning,"Fonseca-Escudero, David","Amo-Filva, Daniel","Antunez-Anea, Felipe",,,,,,,,,,,,,,,,,,,,,
Row_10,"Romano, Lucia","Sette, Camilla",Obesity and Its Relationship with Urban Pattern in Italian Regions,,2024,0,"Overweight and obesity are currently major health issues in Italy, where their prevalence has been increasing over the last few decades. The built environment plays an important role in this sense. In this study, we aimed to investigate this association within Italian regions.Urban sprawl/sprinkling can be defined as urban patterns where large percentages of the population live in low density residential areas. It is quantified for each Italian region using the CI (Compactness Index). In the 20 Italian regions, the average obesity rate (defined as BMI >= 30) in 2021 was 9.75%. Our analysis showed a significant association of the CI with the obesity rate. People living in sprinkling areas seem to be more likely to gain weight than those living in more compact places. This could be related to the possibility of walking for daily activities. Combined with other research from public health, there is moderate support for the assertion that urban layout can have significant influences on health and health-related behaviors. Some possible developments of this project could be to define a demarcation threshold between pedestrian/cycle and motorized mobility in terms of distance and to suggest a clinical strategy to address obesity promoting active commuting, calibrated to the urban characteristics of the area.The research is fully in line with the SDGs (Sustainable Development Goals) of the United Nations 2030 Agenda for Sustainable Development, in particular with regard to the goals ""Good health and well-being, Gender quality and Sustainable cities and communities"".",Obesity,Overweight,Urban pattern,Urban sprinkling,"Romano, Bernardino","Giuliani, Antonio",,,,,SDGs 2030,,"INNOVATION IN URBAN AND REGIONAL PLANNING, VOL 2, INPUT 2023",,,,,,,,,,,,,,,
