,author1,author2,author3,author4,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,conference,keyword5,keyword6,author5,keyword7,author6,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,author7,author8,author9,author10
Row_1,"Li, Jie","Shen, Di","Yu, Fuping","Qi, Duo",A Method for Air Route Network Planning of Urban Air Mobility,AEROSPACE,JUL 2024,1,"Urban air mobility is an effective solution to address the current issue of ground traffic congestion in future cities. However, as the user scale continues to expand, the current civil aviation flight scheduling and control methods are becoming inadequate to meet the high-volume flight guarantee demands of future urban air transportation. In order to effectively handle and resolve potential issues in this field in the future, this paper proposes a method for planning urban air mobility route networks. The planning process is divided into two stages: construction and optimization. Methods for constructing urban air mobility route networks based on flight routes and global optimization methods based on node movement are proposed in each stage. In the construction stage, a complete construction process is designed to generate routes based on existing flight routes, in line with the trend of urban air transportation development. In the optimization stage, inspired by the ant colony algorithm, node transfer rules and information transfer rules are incorporated to design a global optimization process and algorithm for route networks. Experimental results demonstrate the effectiveness and advancement of the proposed planning method.",urban air mobility,air route network,ant colony algorithm,global optimization algorithm,,,,,,,,,,,,,,,,,,,,
Row_2,"Zhou, Xueyan","Zhao, Cheng","Xie, Fengjie",,Reshaping Urban Logistics: Route Planning Strategies for Collaborative Delivery Using Autonomous Vehicles and Passenger-Freight Combined Buses,IEEE ACCESS,2024,0,"In recent years, the rapid growth of e-commerce has led to a surge in demand for urban logistics. The traditional truck-based delivery model, characterized by high energy consumption and limited delivery efficiency, is increasingly inadequate for urban express delivery requirements. This study proposes a collaborative delivery route planning model that integrates autonomous vehicles with passenger-freight combined buses to optimize urban express delivery routes, enhance delivery efficiency, and reduce logistics costs. Additionally, a single-parent genetic algorithm was developed for path optimization within this model. This algorithm evaluates delivery route quality by comprehensively considering factors such as delivery time, operational costs, and energy consumption. Finally, a case study conducted in Hanzhong City demonstrates that the collaborative delivery model, compared to the traditional truck-based delivery model, reduces operational costs for courier companies by. 624.75, decreases travel distance by 13.48 kilometers, and increases daily net revenue for bus companies by. 347.2. This study validates the efficiency and economic viability of the collaborative delivery model in modern urban logistics, providing robust support for optimizing urban delivery systems.",Urban logistics,Passenger-freight integration mode,autonomous vehicle route planning,heuristic algorithm,,,,,,,,,,,,,,,,,,,,
Row_3,"Mu, Wangshu","Wang, Gusiyuan",,,Connective Urban Greenway Route Planning: A Spatial Optimization Perspective,LAND,NOV 2024,0,"Urban greenways, as vital green infrastructures, offer a range of societal, environmental, and ecological benefits to city dwellers. However, planning their routes remains a complex task for urban planners. While most studies emphasize either maximizing the number of residents served or enhancing the environmental benefits along these greenways, the role of urban greenways in linking existing facilities like tourist attractions, urban parks, public transport stations, and other greenways has received less attention. This paper introduces an innovative spatial optimization model for the planning of connective urban greenway routes. The model aims to link these facilities while also maximizing the population's access to the greenway. We developed a set of models applicable to different objectives of connecting existing facilities, such as maximizing the number of facilities to be covered, covering all facilities, and minimizing the distance between facilities and planned greenways. Bi-objective scenarios, including weighted and lexicographical models, are also presented. We delineated the MILP formulation of the proposed models. The paper includes simulation tests with empirical data from Lhasa, China, validating the model's practicality and computational efficiency.",spatial optimization,urban greenway,facility connection,,,,,,,,,,,,,,,,,,,,,
Row_4,"Sengupta, Debjyoti",,,,PhD Forum: Sustainable Route Planning and Efficient Computation Offloading in Urban Air Mobility,,2024,0,"Urban Air Mobility (UAM) encompasses both piloted and autonomous aerial vehicles, spanning from small unmanned aerial vehicles (UAVs) like drones to passenger-carrying personal air vehicles (PAVs), to revolutionize smart transportation in congested urban areas. A pivotal concern is the sustainability of switching to this transportation mode since clean technology is essential when designing new solutions from the ground up. Recent studies indicate that a major contributor to the total energy consumed in UAM is the flight operation of the aircraft itself. This paper presents a novel approach to meet the energy needs of [JAM flights by exploring a dynamic route-planning problem that harnesses solar energy en route, thereby making this new transport mode eco-friendly. Some results and preliminary analysis are presented to highlight the utility of the scheme. Other areas of implementing UAM from a computational perspective are mentioned briefly as a roadmap for future work.",Urban air mobility,vertical take-off and landing vehicles,dynamic route-planning,path optimization,"2024 IEEE INTERNATIONAL CONFERENCE ON SMART COMPUTING, SMARTCOMP 2024",solar energy,computational offloading,,,,,,,,,,,,,,,,,
Row_5,"Li, Hongle","Kim, Seongki",,,Efficient Route Planning for Real-Time Demand-Responsive Transit,CMC-COMPUTERS MATERIALS & CONTINUA,2024,1,"Demand Responsive Transit (DRT) responds to the dynamic users' requests without any fixed routes and timetables and determines the stop and the start according to the demands. This study explores the optimization of dynamic vehicle scheduling and real -time route planning in urban public transportation systems, with a focus on bus services. It addresses the limitations of current shared mobility routing algorithms, which are primarily designed for simpler, single origin/destination scenarios, and do not meet the complex demands of bus transit systems. The research introduces an route planning algorithm designed to dynamically accommodate passenger travel needs and enable real -time route modifications. Unlike traditional methods, this algorithm leverages a queue-based, multi-objective heuristic A & lowast; approach, offering a solution to the inflexibility and limited coverage of suburban bus routes. Also, this study conducts a comparative analysis of the proposed algorithm with solutions based on Genetic Algorithm (GA) and Ant Colony Optimization Algorithm (ACO), focusing on calculation time, route length, passenger waiting time, boarding time, and detour rate. The findings demonstrate that the proposed algorithm significantly enhances route planning speed, achieving an 80 - 100-fold increase in efficiency over existing models, thereby supporting the real -time demands of Demand-Responsive Transportation (DRT) systems. The study concludes that this algorithm not only optimizes route planning in bus transit but also presents a scalable solution for improving urban mobility.",Autonomous bus route planning,real-time dynamic route planning,path finding,DRT bus route optimization,,sustainable public transport,,,,,,,,,,,,,,,,,,
Row_6,"Wang, Bingkun","Tian, Yixin","Chen, Fangshu","Wang, Jiahui",Dynamic Route Planning System Integrated with Traffic Flow Sensing,"WEB AND BIG DATA, APWEB-WAIM 2024, PT V",2024,0,"Route planning plays an important yet challenging role in global positioning system (GPS). Traditional static route planning methods are limited to static traffic conditions, ignoring the dynamic changes in traffic flow when urban traffic jams and accidents occur. Therefore, the dynamic route planning system named DRPT is proposed, which analyzes and predicts future road congestion based on real-time and historical traffic information and gives optimal routes under dynamic route planning. DRPT systematically consolidates map matching, road speed prediction, dynamic route planning, and road state visualization, fully considering the dynamic characteristics and spatio-temporal dependency of road network traffic status.",Intelligent transportation system,Dynamic route planning,Traffic forecasting,,,,,"Zhang, Yufei",,,,,,,,,,,,,,,,
Row_7,"Qiu, Rui","Ding, Yu","Cao, Jidi","Hou, Shuhua",Urban Logistics Drone Delivery Route Planning: An Application of Operation Research Towards Smart Cities,,2024,0,"With the rapid development of urbanization and the popularity of e-commerce, urban logistics and distribution are facing many challenges. As part of smart cities, drone delivery provides new possibilities for solving these problems. This paper studies the urban logistics drone delivery route planning, and applies the operational research method to the field of smart city distribution. Firstly, a multi-objective mixed integer linear programming model is proposed to maximize the lowest customer satisfaction and minimize the total cost. Then a genetic algorithm with matching mechanism is designed to solve the model. Further, the multi-objective mixed integer programming model of urban logistics drone delivery and the genetic algorithm with matching mechanism are applied to solve an urban logistics drone delivery numerical example. Finally, we show the results and findings of this study, and discuss their potential applications in the field of smart city distribution. Especially, to enrich the application of smart cities in operations research, we indicate the development direction of new technologies in the logistics industry.",Smart cities,Logistics,Multi-objective,Drone delivery,"EIGHTEENTH INTERNATIONAL CONFERENCE ON MANAGEMENT SCIENCE AND ENGINEERING MANAGEMENT, ICMSEM 2024",Route planning,,,,,,,,,,,,,,,,,,
Row_8,"Tan, Lingling","Zhu, Kequan","Yi, Junkai",,Vehicle Route Planning of Diverse Cargo Types in Urban Logistics Based on Enhanced Ant Colony Optimization,WORLD ELECTRIC VEHICLE JOURNAL,SEP 2024,0,"In the realm of urban logistics, optimizing vehicle routes for varied cargo types-including refrigerated, fragile, and standard cargo-poses significant challenges amid complex urban infrastructures and heterogeneous vehicle capacities. This research paper introduces a novel model for the multi-type capacitated vehicle routing problem (MT-CVRP) that harnesses an advanced ant colony optimization algorithm, dubbed L & eacute;vy-EGACO. This algorithm integrates L & eacute;vy flights and elitist guiding principles, enhancing search efficacy and pheromone update processes. The primary objective of this study is to minimize overall transportation costs while optimizing the efficiency of intricate route planning for vehicles with diverse load capacities. Through rigorous simulation experiments, we corroborated the validity of the proposed model and the effectiveness of the L & eacute;vy-EGACO algorithm in optimizing urban cargo transportation routes. L & eacute;vy-EGACO demonstrated a consistent reduction in transportation costs, ranging from 1.8% to 2.5% compared to other algorithms, across different test scenarios following base data modifications. These findings reveal that L & eacute;vy-EGACO substantially improves route optimization, presenting a robust solution to the challenges of MT-CVRP within urban logistics frameworks.",vehicle routing problem,urban logistics,ant colony optimization,L & eacute;vy flights,,cost minimization,,,,,,,,,,,,,,,,,,
Row_9,"Ye, Mian","Zhao, Jinchen","Guan, Quanli","Zhang, Xuejun",Research on eVTOL Air Route Network Planning Based on Improved A* Algorithm,SUSTAINABILITY,JAN 2024,7,"With the continuous opening of low-altitude airspace and the development of aircraft such as electric vertical takeoff and landing (eVTOL) vehicles, urban air traffic has become a sustainable and green development direction for future transportation. Air route networks, as a mainstream design scheme for air traffic, are able to provide prerequisites for eVTOL and other green aircraft to enter urban airspace for safe operation, among which air route planning is a fundamental component of air route network design. Currently, most of the research on aircraft path planning is performed in free airspace, lacking the analysis and processing for the complex operation environment, which has led to the high risk and large operation cost of path planning results, failing to meet the demand for safe and efficient development in the future. Aiming at the above problems, eVTOL-oriented air route planning research was carried out. Firstly, the urban low-altitude airspace structure was planned, and the operational levels of eVTOL were clarified; this was followed by introducing the urban dynamic air-ground risk factors and constructing a dynamic risk assessment model containing risk level information; finally, the improved A* algorithm based on the risk cost was employed to plan the eVTOL air route network, which finally realized the purpose of short path length and low total risk. The simulation results showed that the route generated by the improved A* algorithm could reduce the risk cost by at least 30% with a relatively small path cost, which ensured the operation efficiency and safety of eVTOLs and laid the foundation for the further sustainable and green development of urban airspace in the future.",eVTOL,urban air traffic,airspace structure,risk assessment,,path planning,,,,,,,,,,,,,,,,,,
Row_10,"Li, Yuanyuan","Guan, Qingfeng","Gu, Jun Feng","Jiang, Xintong",A hierarchical deep reinforcement learning method for solving urban route planning problems under large-scale customers and real-time traffic conditions,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,OCT 2024,0,"As urbanization and economic growth advance, large-scale customers and real-time traffic conditions have become crucial factors in urban route planning. Deep reinforcement learning is considered the most effective method for solving urban route planning problems involving large-scale customers and real-time traffic conditions. Due to memory usage limitations, existing deep reinforcement learning methods cannot identify candidate customers or determine optimal travel routes in large-scale and real-time environments. To tackle these problems, this study introduces a hierarchical deep reinforcement learning method utilizing an improved transformer model (HDRLITF) based on the divide-and-conquer concept. Graph attention networks and gate mechanisms are integrated into the transformer model to capture dynamic features and improve the model's performance. A two-stage training method, based on the actor-critic algorithm, is proposed to determine the optimal policy function. To evaluate the HDRLITF method, experiments were conducted using datasets from the cities of Shenzhen and Chengdu in China. The experimental results suggest that the HDRLITF method can effectively interact with real-time traffic environments and obtain high-quality solutions compared to other deep reinforcement learning methods. The robustness and reliability of HDRLITF were further validated across multiple traffic scenarios and indicators.",Urban route planning,large-scale customers,real-time traffic,hierarchical deep reinforcement learning,,transformer model,,"Li, Yang",,,,,,,,,,,,,,,,
