,author1,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author2,author3,author4,author5,author6,keyword6,keyword7,keyword8,keyword9,keyword10,author7,conference,author8,author9,author10,author11,author12,author13,keyword11,keyword12,keyword13,keyword14,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37
Row_1,"Ebert, Martin",Practical aspects of morphological research in urban renewal,URBAN MORPHOLOGY,2024,0,"The small towns of North- Eastern Germany suffered great losses in historic buildings and economic dynamics during the Second World War and the subsequent decades of communist rule. Since 1990, these communities have suffered a major decrease in the number of inhabitants, resulting in a large number of buildings being empty. To adjust the urban structure to twenty- first century standards and regain economic vitality, both regional and local governments are supporting urban renewal projects. Sites inside medieval town centres are under pressure to amalgamate and be recreated as large- scale developer architecture or to fall into ultimate decay. As part of the study of medieval urban structures, a study of the site of the former Holy Spirit Hospice (Heiligengeist- Quarter) of Woldegk has been carried out. This paper shows how contextualization and a re- definition of the site, based on historic narratives developed by morphological research, inspired authorities and stakeholders to initiate a narrative- based development of the site. It demonstrates that urban renewal, based on historic narratives, creates wide public support for contemporary redevelopment in small urban communities. It further shows how morphological research is contributing to the establishment of relevant narratives.",post,war urban renewal,Woldegk,medieval town centre,narratives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_2,"Zhou, Conghui",Using deep learning to unravel the structural evolution of block-scale green spaces in urban renewal,CITIES,JUL 2024,3,"Most urban green space (UGS) studies focus on city-level analysis, which is not conducive to urban renewal. We developed a new deep learning approach for characterising the structural evolution of block-scale UGS in urban renewal scenarios. Taking Beijing and Shanghai as models, we first segmented the study areas into block-scale grids and trained a random forest model based on a local climate zone framework to identify the spatial morphological classes of the grids. Second, we established a VGG16-based deep learning model to identify UGS structural types. Finally, we examined the associated patterns of grid spatial morphology and UGS structure under different renewal scenarios. We found that six distinct types of UGS structure are associated with different urban morphological classes. Spatial and temporal variations of UGS structures were observed in terms of direction of conversion, activity level, and extent of improvement to service level. Holistic and micro-renewal approaches drove positive evolution of block-scale UGS structures mainly by reducing building density and via precise optimization, respectively. Our results provide a reference for urban renewal policies and planning guidelines for block-scale UGSs in high-density cities.",Deep learning,Green space,Structure,Urban morphology,Urban planning,"Zhang, Shining","Liu, Bowen","Li, Tianjiao","Shi, Jixin","Zhan, Huiying",Urban renewal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_3,"Zhu, He",Investigating the mechanisms of sustainable urban land renewal: A perspective of spatial development rights,SUSTAINABLE CITIES AND SOCIETY,AUG 15 2024,4,"Urban renewal, as an important means of promoting sustainable urbanization in the stock era, is essentially a process of redistributing land appreciation benefits caused by spatial development rights. However, current literature mostly analyzes the traditional two-dimensional renewal model from the perspective of market mechanisms, which leads to the inability of urban land renewal mechanisms to adapt to sustainable urban development. Therefore, taking Shenzhen as an example, our study aims to understand the spatial mechanism of urban land renewal from a three-dimensional perspective of spatial development rights. Using geographically weighted regression and two -stage least squares regression, we found that the objective of value analysis has shifted from the common minimum unit of land to local space. Moreover, affected by the surrounding environment and various supporting public service facilities, the existence of spatial heterogeneity leads to significant differences in the value of the different functional space within same geographical ranges. The influence intensity of economy, society, and environment shows a decreasing pattern in space from the center of the region to the outer circle of the region. We not only construct a sustainable urban land renewal framework based on threedimensional spatial property rights, but also distinguish the mechanisms and endogenous issues for different functional spaces. Our study could make a great difference in adjustment of urban land development rights and value acquisition.",Sustainable urban land renewal,Spatial development rights,Economy,Society,Environment,"Gao, Xing","Tian, Weiyi","Wei, Meiyu","Zhang, Xingman","Chen, Yiyuan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_4,"Gregg, Kelly",Placing the North American Post-war Pedestrian Mall Within the Legacy of Downtown Urban Renewal,JOURNAL OF PLANNING HISTORY,AUG 2024,1,"This paper investigates how the pedestrian mall concept evolved and was broadly replicated in the post-war period in North America, specifically positioning downtown pedestrian malls as a case study of urban renewal ideas and practices. This research describes how ideas of pedestrianization evolved from a modernist utopian concept, to a more constrained pragmatic approach that was widely implemented. Furthermore, this research links the proliferation of pedestrian malls to federal urban renewal funding in the US. Like many mid-century urban renewal projects however, only a few pedestrian malls remain intact today.",pedestrian malls,downtown urban renewal,post-war urban renewal,main street retail,downtown revitalization,,,,,,Victor Gruen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_5,"Cao, Kexin","How does urban renewal affect residential segregation in Shenzhen, China? A multi-scale study",SUSTAINABLE CITIES AND SOCIETY,MAR 2024,8,"Increasing residential segregation is emerging as a hindrance to urban sustainability. Urban renewal projects that claim alignment with sustainable development goals still lack comprehensive studies of their impact on social segregation, as evidenced by the ongoing scholarly debate over whether urban renewal has a positive or negative effect on social segregation. This paper explores the dynamics of urban spatial segregation, analyzes the role of urban renewal on segregation, and bridges the gap in existing research by considering dynamic changes, multiple spatial scales, and diverse renewal types. Using multi -source data - house price data, planning permit data and points of interest -stepwise regression models are combined with t -test methods to examine the impact of multiple types of urban renewal on local and regional residential segregation in Shenzhen. Our findings are as follows: 1) Income -based segregation in Shenzhen increased from 0.77 to 0.81 across neighborhoods, from 0.62 to 0.73 across sub -districts, and from 0.58 to 0.67 across districts between 2000 and 2020, therefore increasing at all scales but with more pronounced growth of segregation observed between units at larger scales; 2) Urban renewal can lead to greater income similarity amongst residents of a sub -district, by attracting more high -income people to move in, but this can lead to increased residential segregation of high- and low-income people at the macro -scale. 3) When assessing the impact of urban renewal on segregation, it is recommended to consider the variations in outcomes resulting from temporal changes, spatial scales, the types of renewal, the types of segregation, and the stages of urbanization. Understanding this process can help promote socially sustainable urban renewal projects.",Gentrification,Multi-scale,Residential segregation,Urban renewal,Urban social sustainability,"Harris, Richard","Liu, Shenghe","Deng, Yu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_6,"Tiryaki, Tugba Tuncer",Urban Renewal in the Shadow of Mobbing: 'We Lost Our Humanity Here',PLANLAMA-PLANNING,2024,0,"The study scrutinizes the coercive consent production process during the agreement phase of urban renewal implementations. Although marketed as a 'consensual' practice based on a twothirds majority agreement, the rights infringements and psychological pressures during this majority-reaching process generally remain covert. The fieldwork exposed these covert infringements endured by neighborhood residents, revealing parallels between workplace mobbing actions-representative of rights violations-and the detrimental experiences during urban transformation agreements. Consequently, mobbing literature was evaluated along with the fieldwork and adapted to urban renewal. The research, guided by a grounded theory approach and enriched with autoethnographic data, was conducted in two neighborhoods on the outskirts of the Grand & Ccedil;aml & imath;ca Mosque in Istanbul: state-led Kirazl & imath;tepe and privately-led Mehmet Akif Ersoy. During the agreement process, actors highly eager for renewal (the state, developers, some neighborhood residents, and family members) implemented various mobbing actions to disrupt the communication channels, social relationships, personal reputations, health, and built environments of residents, aiming to coerce them to approve the agreement by creating an hostile atmosphere. Consequently, urban renewal projects, which promise to enhance residents' quality of life, severely deteriorate the living conditions of existing residents even during the agreement phase and render the neighborhoods uninhabitable. Given the projected increase in such projects in Turkey, more urban residents may face mobbing in the future. Therefore, a more comprehensive investigation of mobbing in urban renewal, making it provable and legally recognized, is crucial for mitigating the harmful effects of the agreement process and protecting the rights of the victims.",Negotiation phase,pressure,urban renewal,mobbing,harassment,"Yildiz, Iclal Sema Dincer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_7,"Chen, Zhen",Influence of Grouping and Driving Mechanisms on Urban Renewal Performance Using a Six-Dimensional Benefit Framework,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,DEC 1 2024,0,"Urban renewal is the result of collaborative governance among multiple stakeholders, and identifying the matching relationship between different urban renewal models and their performance is conducive to a more precise allocation of resources for urban renewal in various cities. In this study, we constructed a six-dimensional framework of benefits, covering local government, the regional economy, cultural preservation, social governance, ecological protection, and the role of cities. The work encompassed 18 evaluation indicators driving urban renewal based on urban renewal data from 20 cities in China. We employed the entropy weight and fuzzy set qualitative comparative analysis (fsQCA) methods to develop three urban renewal performance driving models-the comprehensive development model, political-ecological synergistic driving model, and economic-cultural weakness model. Furthermore, we categorized the characteristics of urban renewal in the 20 cities, providing theoretical support for the tailored formulation of differentiated urban renewal strategies based on each city's development status.",Urban renewal performance,Entropy weight method,Fuzzy set qualitative comparative analysis,six-dimensional benefit framework,,"Fan, Jie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_8,"Mejica, Maria Soledad Arqueros",Economic Districts and Urban Renewal in the south of Buenos Aires city,REVISTA DE GEOGRAFIA NORTE GRANDE,2024,0,"This paper focuses on the urban changes in the surroundings of economic districts in the south of the city of Buenos Aires, Argentina, (2008-2019), within the framework of urban renewal strategies and the territory's trajectory. For this purpose, we surveyed 780 lots and different documentary sources (regulations, projects and programs). The results of the analysis show strong differences linked to the trajectory of the urbanization process, public policies and investments in space, highlighting the various effects of politics in the territory.",Urban Renewal,Economic Districts,Urban Development,Inequality,,"Goicoechea, Maria Eugenia","Vazquez, Diego Ezequiel","Fassina, Rosario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_9,"Cui, Dingyue",Energy justice and sustainable urban renewal: A systematic review of low-income old town communities,JOURNAL OF CLEANER PRODUCTION,SEP 25 2024,1,"Improving living conditions, quality of public services and social safety nets in blighted and underdeveloped urban areas also are important aspects of urban renewal. In another way, achieving sustainable urban development requires more improvements. Equity, sustainability, and universality are core principles of sustainable development and should be integrated into urban renewal strategies. For instance, urban renewal in old town areas presents multiple challenges, including balancing public investment needs, social justice considerations, and environmental impacts. Studies have shown that inequalities often arise during implementation, disproportionately affecting low-income residents in old town areas. While energy justice is a key concept for reducing these inequalities during renewal process, however existing frameworks lack a multi-dimensional approach. This study proposes a comprehensive evaluation framework that combines sustainable development with energy justice principles during the renewal of old town areas. This framework aims to achieve equitable and sustainable development outcomes in renewal of old urban areas by systematically examining the unequal impacts on lowincome groups and proposing equitable energy services and inclusive policies. The proposed equity evaluation framework includes two key components: 1) Main factors in existing renewal strategies, which include equitable access to energy resources, sustainable energy systems, affordability, and public participation. 2) Criteria for refining energy justice evaluation framework, which include accessibility, energy efficiency, community participation, and policy coordination. The research emphasizes the importance of fairness in providing affordable, reliable, and sustainable energy opportunities within urban renewal initiatives. This focus can provide rational perspective and reference for decision makers, thereby empowering vulnerable groups, giving equitable energy access and contributing to achieve sustainable urban development.",Sustainable development,Energy justice,Urban renewal,Low-income groups,,"Ditta, Asim A.","Cao, Shi-Jie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_10,"K'oyoo, Edwin","Strategies for promoting and preserving urban landscape identity through public participation amidst urban renewal changes: The case of Kisumu City, Kenya",TOWN AND REGIONAL PLANNING,2024,1,"Urban renewal to revitalise urban realms within cities should aim to reinvigorate landscape identity, in order to maintain the city's uniqueness and distinctiveness. The concern in urban renewal projects is how to sustain place identity, due to changes. In this study, urban landscape identity is the residents' opinions and perceptions of the special features in terms of the physical, meaning, and function aspects that help them differentiate between places. This article postulates that effective public participation is important in identifying, promoting, and maintaining a city's landscape identity in urban renewal projects. The article aims to propose appropriate strategies to develop and preserve urban landscape identity, with emphasis on public participation. At the time of the study, there were ongoing and completed urban renewal projects within Kisumu City, Kenya. A qualitative approach was adopted through interviews with four officials from County Government as key informants, four professionals as experts, and field investigation through mapping and photography. Archival document analysis was carried out based on documents from County Government. The study reveals that Lake Victoria and its scenery, parks, sociocultural activities at public parks, local foods, social interaction at public Central Square, and government buildings contributed to the city's urban landscape identity. The study concludes that, in order to preserve landscape identity, it should be acknowledged in legislations and policies that guide urban renewal and developments, and in public participation processes. The study proposes amendments to the existing planning regulatory controls to guide the preservation of landscape identity in Kisumu. The study reveals concern for the preservation of urban landscape identity within urban renewal projects in the postcolonial era in the Global South.",Urban landscape,urban landscape identity,urban renewal,preservation,conservation,,,,,,public participation,Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
