,author1,author2,author3,author4,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author5,author6,author7,author8,journal/book,author9,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,keyword15
Row_1,"Ayala, C.","Sesma, R.","Aranda, C.","Galar, M.",DIFFUSION MODELS FOR REMOTE SENSING IMAGERY SEMANTIC SEGMENTATION,IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,2023,6,"Denoising Diffusion Probabilistic Models have exhibited impressive performance for generative modelling of images. This paper aims to explore the potential of diffusion models for semantic segmentation tasks in the context of remote sensing. The major challenge of employing these models for semantic segmentation tasks is the generative nature of the model, which produces an arbitrary segmentation mask from a random noise input. Therefore, the diffusion process needs to be constrained to produce a segmentation mask that matches the target image. To address this issue, the denoising process is conditioned by utilizing the input image as a reference. In the experimental study, the proposed model is compared against other state-of-the-art semantic segmentation architectures using the Massachusetts Buildings Aerial dataset. The results of this study provide valuable insights into the potential of diffusion models for semantic segmentation tasks in the field of remote sensing.",Denoising Diffusion Probabilistic Models,Semantic Segmentation,Remote Sensing,Building Segmentation,Uncertainty Estimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_2,"Tao, Chongxin","Meng, Yizhuo","Li, Junjie","Yang, Beibei",MSNet: multispectral semantic segmentation network for remote sensing images,,DEC 31 2022,19,"In the research of automatic interpretation of remote sensing images, semantic segmentation based on deep convolutional neural networks has been rapidly developed and applied, and the feature segmentation accuracy and network model generalization ability have been gradually improved. However, most of the network designs are mainly oriented to the three visible RGB bands of remote sensing images, aiming to be able to directly borrow the mature natural image semantic segmentation networks and pre-trained models, but simultaneously causing the waste and loss of spectral information in the invisible light bands such as near-infrared (NIR) of remote sensing images. Combining the advantages of multispectral data in distinguishing typical features such as water and vegetation, we propose a novel deep neural network structure called the multispectral semantic segmentation network (MSNet) for semantic segmentation of multi-classified feature scenes. The multispectral remote sensing image bands are split into two groups, visible and invisible, and ResNet-50 is used for feature extraction in both coding stages, and cascaded upsampling is used to recover feature map resolution in the decoding stage, and the multi-scale image features and spectral features from the upsampling process are fused layer by layer using the feature pyramid structure to finally obtain semantic segmentation results. The training and validation results on two publicly available datasets show that MSNet has competitive performance. The code is available: https://github.com/taochx/MSNet.",Multispectral remote sensing images,spectral feature,feature fusion,semantic segmentation,,"Hu, Fengmin","Li, Yuanxi","Cui, Changlu","Zhang, Wen",GISCIENCE & REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_3,"Hua, Wenyi","Liu, Jia","Liu, Fang","Zhang, Wenhua",STAIR FUSION NETWORK FOR REMOTE SENSING IMAGE SEMANTIC SEGMENTATION,IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,2023,0,"Semantic segmentation of very high spatial resolution remote sensing images plays a vital role in many fields, such as land resource management, urban planning, and biosphere monitoring. Due to the scare variance between different types of regions, it is important to fully utilize multi-scale features. Moreover, with the complexity of some ground objects, global semantic information should be specially considered. As a consequence, in this paper, we propose a stair fusion network to further refine and fuse low-level and high-level features. In addition, we propose a global information enhancement module (GIEM) to extract global semantic information from the high-level features and reduce the length of delivery chain from them to the final results via a skip connection. Experimental results demonstrate the effectiveness of our model.",semantic segmentation,feature fusion,remote sensing,,,"An, Jiaqi",,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_4,"Gao, Liang","Qian, Yurong","Liu, Hui","Zhong, Xiwu",SRANet: semantic relation aware network for semantic segmentation of remote sensing images,,JAN 1 2022,5,"Remote sensing images contain complex feature information, and traditional convolutional networks cannot effectively model the contextual relationships. To address this problem, we propose a semantic segmentation network for remote sensing images based on semantic relationship aware. We construct the semantic relationship aware module to obtain the global semantic information of remote sensing images by self-attention. In addition, the separable space convergence pyramid module was constructed to effectively utilize the feature information in the high-level feature maps. By separable convolution with different dilation rates, the network can acquire multiscale semantic information. Our semantic relation aware network (SRANet) improves the overall accuracy by 0.33% over the benchmark network in the Vaihingen dataset and by 0.42% in the Potsdam dataset. The class activation maps show that the SRANet has ideal activation responses for targets at different scales in images. Furthermore, our SRANet can produce competitive segmentation performance compared with other state-of-the-art segmentation networks. (C) 2022 Society of Photo-Optical Instrumentation Engineers (SPIE)",self attention,remote sensing image,semantic segmentation,context information,,"Xiao, Zhengqing",,,,JOURNAL OF APPLIED REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_5,"Wei, Xin","Guo, Yajing","Gao, Xin","Yan, Menglong",A NEW SEMANTIC SEGMENTATION MODEL FOR REMOTE SENSING IMAGES,2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),2017,12,"Semantic segmentation for remote sensing images is a critical process in the workflow of object-based image analysis. Recently, convolutional neural networks(CNNs) are powerful visual models that yield hierarchies of features. In this paper, we propose a deep convolutional encoder-decoder model for remote sensing images segmentation. Specifically, we rely on the encoder network to extract the high-level semantic feature of ultra-high resolution images and the decoder network is employed to map the low resolution encoder feature maps to full input resolution feature maps for pixel-wise labeling. Also the fully connected conditional random field (CRF) is integrated into the model so that the network can be trained end-to-end. Experiments on the Vaihingen dataset demonstrate that our model can make promising performance.",Convolutional neural networks,conditional random field,semantic segmentation,remote sensing images,,"Sun, Xian",,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_6,"Zhang, Xiangrong","Pan, Xian","Hou, Biao","Jiao, Licheng",Semantic structure tree with application to remote sensing image segmentation,IMAGE AND SIGNAL PROCESSING FOR REMOTE SENSING XVI,2010,0,"This paper presents a new method based on Semantic Structure Tree (SST) for remote sensing image segmentation, in which, the semantic image analysis is used to construct the SST of the image. The leaves of the SST represent the semantics of the image and serve as human semantic understanding of the image. The root of the tree is the whole image. The SST uses grammar rules to construct a hierarchy structure of the image and gives a complete high-level semantics contents description of the image. Experimental results show that the tree can give efficient description of the semantic content of the remote sensing image, and can be well used in remote sensing image segmentation.",image semantics,image grammar,semantic structure tree,remote sensing image segmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_7,"Xu, Zhe","Geng, Jie","Jiang, Wen",,MMT: Mixed-Mask Transformer for Remote Sensing Image Semantic Segmentation,,2023,9,"Remote sensing image semantic segmentation is a crucial step in the intelligent interpretation of remote sensing. Most of the current approaches are based on the attention mechanism to enhance long-range representations. However, these works ignore the key problem of foreground-background imbalance, and their performances encounter a bottleneck. In this article, we introduce mask classification into remote sensing image interpretation for the first time and propose a novel mixed-mask Transformer (MMT) for remote sensing image semantic segmentation. Specifically, we propose a mixed-mask attention mechanism, a simple but effective module, which assists the network to learn more explicit intraclass and interclass correlations by capturing long-range interdependent representations. In addition, a progressive multiscale learning strategy (MSL) is proposed to solve the problem of large-scale-varied targets in remote sensing images, which integrates semantic and visual representations of different scale targets by efficiently utilizing large-scale feature maps in Transformer. Experimental results show that the proposed MMT exceeds the existing alternative approaches and achieves state-of-the-art performance on three semantic segmentation datasets.",Attention mechanism,foreground-background imbalance,remote sensing,semantic segmentation,Transformer,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_8,"Chen, Yuxing","Bruzzone, Lorenzo",,,TOWARD OPEN-WORLD SEMANTIC SEGMENTATION OF REMOTE SENSING IMAGES,IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,2023,1,"In this work, we address the challenge of open-world semantic segmentation for remote sensing (RS) images, which involves segmenting arbitrary objects in images using open RS data. Previous efforts in open-world segmentation mostly focus on Internet-scale paired image-text data with rich vocabulary of concepts. However, these works cannot be directly transferred to RS domain due to the lack of large-scale RS data-text pairs and the corresponding annotations. To overcome this limitation, we propose using text descriptions and annotations from OpenStreetMap as a source of supervision while using images from satellite images. We utilize a conditional Unet model to predict segmentation masks given a text description, and leverage the rich information contained in a pretrained CLIP model to align the images and the corresponding text embeddings using a contrastive loss. Our experimental results demonstrate the potential of open-world segmentation on open RS data.",Semantic Segmentation,Open-world,Open Remote Sensing Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_9,"Liu, Yuheng","Mei, Shaohui","Zhang, Shun","Wang, Ye",SEMANTIC SEGMENTATION OF HIGH-RESOLUTION REMOTE SENSING IMAGES USING AN IMPROVED TRANSFORMER,2022 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2022),2022,5,"Semantic segmentation has been widely researched for high level analysis of High Spatial Resolution (HSR) remote sensing images, where Convolutional Neural Network (CNN) is the mainstream method. However, the transformer with attention mechanism has its unique capacity of extracting global information which is generally ignored by CNN models. In this paper, a Swin Transformer with UPer head (STUP) is proposed to tackle with semantic segmentation problem on a challenging remote sensing land-cover dataset called LoveDA, which owns complex background samples and inconsistent classes distributions. The proposed STUP combines the Swin Transformer with Uper Head in the form of an encoder-decoder structure, to extract features of HSR images for segmentation. Furthermore, Focal Loss is adopted to handle the unbalanced distribution problem in the training step. Experimental results demonstrate that the proposed STUP clearly outperforms several state-of-the-art models.",Remote Sensing,High Spatial Resolution,Transformer,Semantic Segmentation,,"He, Mingyi","Du, Qian",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_10,"Zhang, Changxing","Bai, Xiangyu","Wang, Dapeng","Zhou, KeXin",Context Aggregation Network for Remote Sensing Image Semantic Segmentation,,SEP 2024,0,"In recent years, remote sensing technology has been widely applied in various industries, and semantic segmentation of remote sensing images has attracted much attention. Due to the complexity and special characteristics of remote sensing images, multi-scale object detection and accurate object localization are important challenges in remote sensing image semantic segmentation. Therefore, this paper proposes a context aggregation network (CANet). The design of CANet is influenced by advanced technologies such as attention mechanisms and feature fusion and enhancement. This network first introduces nested dilated residual module (NDRM), which can fully utilize the features extracted by the backbone network. Then, improved integrated successive dilation module (IISD) is proposed to effectively aggregate a series of contextual information scales. Next, Swim Transformer module is embedded to provide global contextual information. Finally, multi-resolution fusion module (MRFM) is proposed, allowing the comprehensive fusion of feature layers from different stages of the encoder, preserving more semantic and detailed information. The experimental results show that CANet outperforms other advanced models on the Potsdam and Vaihingen datasets.",Remote sensing,semantic segmentation,context,swin transformer,,,,,,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE AND APPLICATIONS,,,,,,,,,,,,,,,,,,,,,,,
