,author1,author2,author3,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,author4,author5,author6,author7,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,author8,conference,author9,author10,author11,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,author12
Row_401,"Liu, Tao","Cheng, Shuli","Yuan, Jian",Category-Based Interactive Attention and Perception Fusion Network for Semantic Segmentation of Remote Sensing Images,REMOTE SENSING,OCT 2024,0,"With the development of CNNs and the application of transformers, the segmentation performance of high-resolution remote sensing image semantic segmentation models has been significantly improved. However, the issue of category imbalance in remote sensing images often leads to the model's segmentation ability being biased towards categories with more samples, resulting in suboptimal performance for categories with fewer samples. To make the network's learning and representation capabilities more balanced across different classes, in this paper we propose a category-based interactive attention and perception fusion network (CIAPNet), where the network divides the feature space by category to ensure the fairness of learning and representation for each category. Specifically, the category grouping attention (CGA) module utilizes self-attention to reconstruct the features of each category in a grouped manner, and optimize the foreground-background relationship and its feature representation for each category through the interactive foreground-background relationship optimization (IFBRO) module therein. Additionally, we introduce a detail-aware fusion (DAF) module, which uses shallow detail features to complete the semantic information of deep features. Finally, a multi-scale representation (MSR) module is deployed for each class in the CGA and DAF modules to enhance the description capability of different scale information for each category. Our proposed CIAPNet achieves mIoUs of 54.44%, 85.71%, and 87.88% on the LoveDA urban-rural dataset, and the International Society for Photogrammetry and Remote Sensing (ISPRS) Vaihingen and Potsdam urban datasets, respectively. Compared with current popular methods, our network not only achieves excellent performance but also demonstrates outstanding class balance.",remote images,semantic segmentation,detail-aware fusion,category grouping attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_402,"Zhao, Boyu","Zhang, Mengmeng","Wang, Jianbu",Multiple Attention Network for Spartina alterniflora Segmentation Using Multitemporal Remote Sensing Images,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2023,11,"The semantic segmentation of multitemporal remote sensing images to construct wetland land surface coverage is the basis for the perception and dynamic modeling of geographic scenes. However, the segmentation of Spartina alterniflora in remote sensing images on wetlands faces the problems such as a low level of cooperative interpretation in multitemporal images and high fragmentation in the distribution of S. alterniflora. To solve the issues, a multiple attention network (MARNet) based on transfer learning is proposed. The method is designed with a plug-and-play attention module to enhance the learning of vegetation features and improve the network's ability to focus on small areas of S. alterniflora. At the same time, MARNet designs the transfer learning architecture from both interdomain alignment and intradomain adaptation perspectives, aligning the statistical distribution by using the maximum mean difference (MMD) between the source and target domains (TDs), and entropy minimization within the domain of the TD to enhance the high confidence prediction of this domain. In addition, since the samples have a serious imbalance problem, redundant cutting and splicing steps are employed for the prediction results to prevent the poor edge prediction of some image blocks. Experimental results on three cross-year RSI datasets demonstrate that the proposed MARNet performs significantly better than other networks and is able to extract S. alterniflora in wetlands more accurately.",Remote sensing,Feature extraction,Wetlands,Kernel,"Song, Xiukai","Gui, Yuanyuan","Zhang, Yuxiang","Li, Wei",Semantic segmentation,Transfer learning,Semantics,Attention block,deep learning,multitemporal remote sensing images,Spartina alterniflora segmentation,transfer learning,,,,,,,,,,,,,,,,,
Row_403,"Nuradili, Pakezhamu","Zhou, Ji","Zhou, Xiangbing",UAV Remote-Sensing Image Semantic Segmentation Strategy Based on Thermal Infrared and Multispectral Image Features,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,SEP 2023,4,"The availability of high-resolution imagery resources for semantic segmentation research has expanded significantly due to the rapid development of remote-sensing technology utilizing unmanned aerial vehicles (UAVs). These images provide researchers with a more accurate view of the region of interest and allow for more detailed analysis and interpretation of the images. However, semantic segmentation based on UAV remote-sensing imagery still faces new challenges in deriving ground objects. In contrast to the commonly used multispectral (MS) imagery, thermal infrared (TIR) imagery can record the emission of ground objects, making the temperature characteristics of TIR imagery and the color characteristics of MS imagery complementary. These two approaches can be used synergistically to provide more comprehensive image information. On this basis, we propose a strategy for semantic segmentation of UAV images by utilizing both TIR and MS image features. The approach combines principal component analysis (PCA) transformation with a deep learning semantic segmentation network, namely, Deeplv3. The effectiveness of the proposed strategy is evaluated by comparing it with both traditional supervised classification algorithms and deep learning algorithms. According to the results, the proposed strategy exhibits greater robustness, achieving a mean pixel accuracy (MPA) of 92.8% and a mean intersection over union (MIOU) of 73.5%. These results outperform several classical deep learning semantic segmentation algorithms that were also evaluated. The proposed strategy would be beneficial to promote the development of semantic segmentation technology for UAV remote-sensing images.",Semantic segmentation,Remote sensing,Feature extraction,Deep learning,"Ma, Jin","Wang, Ziwei","Meng, Lingxuan","Tang, Wenbin",Classification algorithms,Autonomous aerial vehicles,Semantics,image semantic segmentation,multispectral (MS) image,principal component analysis (PCA) image fusion,thermal infrared (TIR) image,unmanned aerial vehicle (UAV) remote sensing,"Meng, Yizhen",,,,,,,,,,,,,,,,
Row_404,"Liu, Jiang","Cheng, Shuli","Du, Anyu",Multi-View Feature Fusion and Rich Information Refinement Network for Semantic Segmentation of Remote Sensing Images,REMOTE SENSING,SEP 2024,0,"Semantic segmentation is currently a hot topic in remote sensing image processing. There are extensive applications in land planning and surveying. Many current studies combine Convolutional Neural Networks (CNNs), which extract local information, with Transformers, which capture global information, to obtain richer information. However, the fused feature information is not sufficiently enriched and it often lacks detailed refinement. To address this issue, we propose a novel method called the Multi-View Feature Fusion and Rich Information Refinement Network (MFRNet). Our model is equipped with the Multi-View Feature Fusion Block (MAFF) to merge various types of information, including local, non-local, channel, and positional information. Within MAFF, we introduce two innovative methods. The Sliding Heterogeneous Multi-Head Attention (SHMA) extracts local, non-local, and positional information using a sliding window, while the Multi-Scale Hierarchical Compressed Channel Attention (MSCA) leverages bar-shaped pooling kernels and stepwise compression to obtain reliable channel information. Additionally, we introduce the Efficient Feature Refinement Module (EFRM), which enhances segmentation accuracy by interacting the results of the Long-Range Information Perception Branch and the Local Semantic Information Perception Branch. We evaluate our model on the ISPRS Vaihingen and Potsdam datasets. We conducted extensive comparison experiments with state-of-the-art models and verified that MFRNet outperforms other models.",semantic segmentation,feature refinement,remote sensing,multi-view feature fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_405,"Sun, Shihao","Yang, Lei","Liu, Wenjie",Feature Fusion through Multitask CNN for Large-scale Remote Sensing Image Segmentation,,2018,1,"In recent years, Fully Convolutional Networks (FCN) has been widely used in various semantic segmentation tasks, including multi-modal remote sensing imagery. How to fuse multi-modal data to improve the segmentation performance has always been a research hotspot. In this paper, a novel end-to-end fully convolutional neural network is proposed for semantic segmentation of natural color, infrared imagery and Digital Surface Models (DSM). It is based on a modified DeepUNet and perform the segmentation in a multi-task way. The channels are clustered into groups and processed on different task pipelines. After a series of segmentation and fusion, their shared features and private features are successfully merged together. Experiment results show that the feature fusion network is efficient. And our approach achieves good performance in ISPRS Semantic Labeling Contest (2D).",remote sensing,feature fusion,DeepUNet,ISPRS,"Li, Ruirui",,,,semantic segmentation,pixel-wise classification,,,,,,,,2018 10TH IAPR WORKSHOP ON PATTERN RECOGNITION IN REMOTE SENSING (PRRS),,,,,,,,,,,,,,,
Row_406,"Zheng, Jianwei","Shao, Anhao","Yan, Yidong",Remote Sensing Semantic Segmentation via Boundary Supervision-Aided Multiscale Channelwise Cross Attention Network,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2023,16,"High spatial resolution (HSR) remote sensing (RS) images inevitably pose the challenge of multiscale transformation, as small objects, such as cars and helicopters (HCs), may occupy only a few pixel points. This incurs a significant hurdle for global context modeling, particularly in backbone networks with large downsampling coefficients. Simple summation or concatenation techniques, such as skip connections, fail to address semantic gaps and even impose negative impacts on multiscale feature fusion. Meanwhile, due to the complexity of foreground objects, the boundary details of HSR RS images are easy to lose in sampling operations. To overcome these challenges, we propose a multiscale channelwise cross attention network (MCCANet) assisted by boundary supervision (BS). Technically, MCCA captures the channel attention (CA) with various scales, which allows dynamic and adaptive feature fusion in a contextual scale-aware manner and focuses on both large and small objects distributed throughout the inputs. Besides, a channel and context strainer (CCS) module is proposed and embedded in MCCA, filtering channels and contexts for the mitigation of intraclass differences. In addition, we apply a BS module to recover boundary contour, avoiding the blurring effect during the construction of contextual information. The refined boundary allows for the effective recognition of surrounding pixels, ensuring a better segmentation performance. Extensive experiments on the instance segmentation in aerial images dataset (iSAID), International Society for Photogrammetry and Remote Sensing (ISPRS) Potsdam, and land-cover domain adaptive (LoveDA) datasets demonstrate that our proposed MCCANet achieves a good balance of high accuracy and efficiency. Code will be available at: https://github.com/ZhengJianwei2/MCCANet.",Attention module,boundary supervision (BS),convolutional neural network (CNN),remote sensing (RS),"Wu, Jie","Zhang, Meiyu",,,semantic segmentation,,,,,,,,,,,,,,,,,,,,,,,,
Row_407,"Hou, Yandong","Wu, Zhengbo","Ren, Xinghua",BFFNet: a bidirectional feature fusion network for semantic segmentation of remote sensing objects,INTERNATIONAL JOURNAL OF INTELLIGENT COMPUTING AND CYBERNETICS,FEB 29 2024,8,"PurposeHigh-resolution remote sensing images possess a wealth of semantic information. However, these images often contain objects of different sizes and distributions, which make the semantic segmentation task challenging. In this paper, a bidirectional feature fusion network (BFFNet) is designed to address this challenge, which aims at increasing the accurate recognition of surface objects in order to effectively classify special features.Design/methodology/approachThere are two main crucial elements in BFFNet. Firstly, the mean-weighted module (MWM) is used to obtain the key features in the main network. Secondly, the proposed polarization enhanced branch network performs feature extraction simultaneously with the main network to obtain different feature information. The authors then fuse these two features in both directions while applying a cross-entropy loss function to monitor the network training process. Finally, BFFNet is validated on two publicly available datasets, Potsdam and Vaihingen.FindingsIn this paper, a quantitative analysis method is used to illustrate that the proposed network achieves superior performance of 2-6%, respectively, compared to other mainstream segmentation networks from experimental results on two datasets. Complete ablation experiments are also conducted to demonstrate the effectiveness of the elements in the network. In summary, BFFNet has proven to be effective in achieving accurate identification of small objects and in reducing the effect of shadows on the segmentation process.Originality/valueThe originality of the paper is the proposal of a BFFNet based on multi-scale and multi-attention strategies to improve the ability to accurately segment high-resolution and complex remote sensing images, especially for small objects and shadow-obscured objects.",Remote sensing images,Semantic segmentation,Deep learning,Branch network,"Liu, Kaiwen","Chen, Zhengquan",,,Multi-scale fusion,,,,,,,,,,,,,,,,,,,,,,,,
Row_408,"Guo, Zhiling","Wu, Guangming","Song, Xiaoya",Super-Resolution Integrated Building Semantic Segmentation for Multi-Source Remote Sensing Imagery,IEEE ACCESS,2019,39,"Multi-source remote sensing imagery has become widely accessible owing to the development of data acquisition systems. In this paper, we address the challenging task of the semantic segmentation of buildings via multi-source remote sensing imagery with different spatial resolutions. Unlike previous works that mainly focused on optimizing the segmentation model, which did not enable the severe problems caused by the unaligned resolution between the training and testing data to be fundamentally solved, we propose to integrate SR techniques with the existing framework to enhance the segmentation performance. The feasibility of the proposed method was evaluated by utilizing representative multi-source study materials: high-resolution (HR) aerial and low-resolution (LR) panchromatic satellite imagery as the training and testing data, respectively. Instead of directly conducting building segmentation from the LR imagery by using the model trained using the HR imagery, the deep learning-based super-resolution (SR) model was first adopted to super-resolved LR imagery into SR space, which could mitigate the influence of the difference in resolution between the training and testing data. The experimental results obtained from the test area in Tokyo, Japan, demonstrate that the proposed SR-integrated method significantly outperforms that without SR, improving the Jaccard index and kappa by approximately 19.01% and 19.10%, respectively. The results confirmed that the proposed method is a viable tool for building semantic segmentation, especially when the resolution is unaligned.",Building segmentation,deep learning,remote sensing,super-resolution,"Yuan, Wei","Chen, Qi","Zhang, Haoran","Shi, Xiaodan",,,,,,,,,"Xu, Mingzhou",,"Xu, Yongwei","Shibasaki, Ryosuke","Shao, Xiaowei",,,,,,,,,,,,
Row_409,"Wang, Hengyou","Li, Xiao","Huo, Lianzhi",Global and edge enhanced transformer for semantic segmentation of remote sensing,APPLIED INTELLIGENCE,APR 2024,1,"Global context information and edge information are the keys to remote sensing (RS) image semantic segmentation. However, the existing methods have limited ability to obtain global and edge information, and category edge blurring and efficiency problems in small-scale object recognition in remote sensing image semantic segmentation tasks. In this work, we propose a global and edge enhanced Transformer (GE-Swin) for the semantic segmentation of remote sensing images. To improve the sensitivity to edge information, we design dual decoders based on the parallel model. One is the main decoder, which extracts multi-level semantic information from multi-scale features. The other is an auxiliary decoder related to low-layer features with low resolution. Thus, the auxiliary decoder has better sensitivity to edge information. Then, the feature fusion module (FFM) is designed between the encoder and decoder to fuse the multilevel features, enhancing the model's ability to obtain global features. Finally, to verify the performance of the proposed approach, we perform extensive experiments with the ISPRS and LoveDA datasets. The experimental results illustrate that the proposed model achieves superior performance compared to state-of-the-art methods.",Semantic segmentation,Feature fusion module,Auxiliary decoder,Transformer,"Hu, Changmiao",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_410,"Zhang, Jing","Li, Bin","Li, Jun",A Novel Semantic Segmentation Method for Remote Sensing Images Through Adaptive Scale-Based Convolution Neural Network,IEEE ACCESS,2024,0,"In semantic segmentation tasks for remote sensing images, effective feature extraction acts as the most important foundation. As a result, this paper proposes a novel semantic segmentation method for remote sensing images through adaptive scale-based convolution neural network. Firstly, it uses an encoder to extract features from remote sensing images, and utilizes attention mechanisms to control the information flow in the neural network. This is expected to reduce the impact between different scales. Then, a semantic segmentation for updating scale weights is established, and a scale-adaptive convolutional neural network is constructed. The upsampling unit is improved to increase the resolution to original image level, in order to better identify smaller targets. For large-sized problems, pyramid-like processing is used to segment images from multiple scales, and results are finally merged. Besides, we also make some experiments on ISPRS Potsdam dataset, UC Merced dataset, and DeepGlobe dataset, in order to make performance evaluation. The research shows that the maximum pixel accuracy of the proposed remote sensing semantic segmentation method is increased to 86.18%, the average value of the semantic segmentation task is up to 63.72, and the fastest running speed is up to 9.16FPS. In other words, the method proposed in this study has more accurate processing results and better stability.",Remote sensing,Semantic segmentation,Feature extraction,Kernel,,,,,Convolutional neural networks,Accuracy,Adaptive scale,convolutional neural network,remote sensing,semantic segmentation,,,,,,,,,,,,,,,,,,,
Row_411,"Ju, Haoran","Bi, Fukun","Bian, Mingming",Multiscale feature fusion network for automatic port segmentation from remote sensing images,JOURNAL OF APPLIED REMOTE SENSING,OCT 2022,1,"In recent years, remote sensing image observation technology has developed rapidly. Extracting coastlines from remote sensing images has become an indispensable means of port area measurement. Port segmentation from remote sensing images is an important method of coastline extraction and measurement. The remote sensing images used are panchromatic remote sensing images. Due to complex remote sensing image scenes and the large difference in feature information at different scales, traditional segmentation methods cannot perform effective extraction, and it is difficult to accurately segment the coastline in remote sensing images. We propose a multiscale feature fusion network for automatic port segmentation from remote sensing images. First, to reduce the redundant parameters and complex operation problems in traditional convolutional neural networks, we propose using MobileNetv2 as the base network for feature extraction to achieve a lightweight model. Then aiming at the feature differences of remote sensing images at different scales, we present atrous convolution as a convolution method for the entire network and combine a multiscale feature fusion method to extract the features of remote sensing images and improve the feature extraction ability. To reduce the problem of ships calling at the port being easily mistaken for port area and causing false segmentation, we propose a method of eliminating the ship area to reduce the interference. Finally, the comprehensive evaluation of a large number of Google port remote sensing data shows that compared with existing methods, the proposed method has the characteristics of being lightweight and having high precision. (c) 2022 Society of Photo-Optical Instrumentation Engineers (SPIE)",remote sensing image segmentation,portsegmentation,multiscale features,semantic,"Shi, Yinni",,,,segmentation,weighted loss,,,,,,,,,,,,,,,,,,,,,,,
Row_412,"Cai, Yuxiang","Yang, Yingchun","Zheng, Qiyi",BiFDANet: Unsupervised Bidirectional Domain Adaptation for Semantic Segmentation of Remote Sensing Images,REMOTE SENSING,JAN 2022,19,"When segmenting massive amounts of remote sensing images collected from different satellites or geographic locations (cities), the pre-trained deep learning models cannot always output satisfactory predictions. To deal with this issue, domain adaptation has been widely utilized to enhance the generalization abilities of the segmentation models. Most of the existing domain adaptation methods, which based on image-to-image translation, firstly transfer the source images to the pseudo-target images, adapt the classifier from the source domain to the target domain. However, these unidirectional methods suffer from the following two limitations: (1) they do not consider the inverse procedure and they cannot fully take advantage of the information from the other domain, which is also beneficial, as confirmed by our experiments; (2) these methods may fail in the cases where transferring the source images to the pseudo-target images is difficult. In this paper, in order to solve these problems, we propose a novel framework BiFDANet for unsupervised bidirectional domain adaptation in the semantic segmentation of remote sensing images. It optimizes the segmentation models in two opposite directions. In the source-to-target direction, BiFDANet learns to transfer the source images to the pseudo-target images and adapts the classifier to the target domain. In the opposite direction, BiFDANet transfers the target images to the pseudo-source images and optimizes the source classifier. At test stage, we make the best of the source classifier and the target classifier, which complement each other with a simple linear combination method, further improving the performance of our BiFDANet. Furthermore, we propose a new bidirectional semantic consistency loss for our BiFDANet to maintain the semantic consistency during the bidirectional image-to-image translation process. The experiments on two datasets including satellite images and aerial images demonstrate the superiority of our method against existing unidirectional methods.",unsupervised domain adaptation,bidirectional domain adaptation,convolutional neural networks (CNNs),image-to-image translation,"Shen, Zhengwei","Shang, Yongheng","Yin, Jianwei","Shi, Zhongtian",generative adversarial networks (GANs),remote sensing images,semantic segmentation,,,,,,,,,,,,,,,,,,,,,,
Row_413,"Zhang, Tianyang","Zhang, Xiangrong","Zhu, Peng",Semantic Attention and Scale Complementary Network for Instance Segmentation in Remote Sensing Images,IEEE TRANSACTIONS ON CYBERNETICS,OCT 2022,31,"In this article, we focus on the challenging multicategory instance segmentation problem in remote sensing images (RSIs), which aims at predicting the categories of all instances and localizing them with pixel-level masks. Although many landmark frameworks have demonstrated promising performance in instance segmentation, the complexity in the background and scale variability instances still remain challenging, for instance, segmentation of RSIs. To address the above problems, we propose an end-to-end multicategory instance segmentation model, namely, the semantic attention (SEA) and scale complementary network, which mainly consists of a SEA module and a scale complementary mask branch (SCMB). The SEA module contains a simple fully convolutional semantic segmentation branch with extra supervision to strengthen the activation of interest instances on the feature map and reduce the background noise's interference. To handle the undersegmentation of geospatial instances with large varying scales, we design the SCMB that extends the original single mask branch to trident mask branches and introduces complementary mask supervision at different scales to sufficiently leverage the multiscale information. We conduct comprehensive experiments to evaluate the effectiveness of our proposed method on the iSAID dataset and the NWPU Instance Segmentation dataset and achieve promising performance.",Semantics,Image segmentation,Remote sensing,Feature extraction,"Tang, Xu","Li, Chen","Jiao, Licheng","Zhou, Huiyu",Proposals,Marine vehicles,Task analysis,Instance segmentation,remote sensing images (RSIs),scale complementarity,semantic attention (SEA),,,,,,,,,,,,,,,,,,
Row_414,"Huynh-The, Thien","Truong, Son Ngoc","Nguyen, Gia-Vuong",HBSeNet: A Hybrid Bilateral Network for Accurate Semantic Segmentation of Remote Sensing Images,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2024,0,"Semantic segmentation of aerial and satellite images plays a crucial role in a wide range of applications and services, catering to the increasing needs of environmental resource management, urban planning, and traffic safety. Many efficient semantic segmentation methods have been proposed by exploiting deep learning techniques with convolution neural networks (CNNs) architectures and self-attention mechanisms to achieve superior accuracy if compared with conventional machine learning-based approaches. In this article, we introduce a hybrid bilateral segmentation network (HBSeNet), a novel semantic segmentation architecture. Inspired by the success of dual-path network models that replace conventional single-branch encoder-decoder architectures, we construct a model with the core idea of combining the context path and the spatial path to optimize both the accuracy and the complexity of deep learning model in the field of remote sensing image segmentation. Moreover, HBSeNet innovates with auxiliary modules designed to enhance its performance, such as sequential atrous convolution, information synthesis module, and bridge for efficient multiscale feature extraction, fusion, and integration. In simulations, our model achieves a global accuracy of 92.04%, a mean intersection-over-union of 83.57%, and a mean boundary-F1-score of 90.23% when evaluated on the ISPRS Potsdam dataset, surpassing the state-of-the-art segmentation models, such as DeepLabV3+, SwinCNN, and ST-UNet.",Semantic segmentation,Computer architecture,Accuracy,Feature extraction,,,,,Convolution,Remote sensing,Context modeling,Artificial intelligence,bilateral network,image segmentation,object recognition,remote sensing,,,,,,,,,,,,,,,,,
Row_415,"Gu, Xingjian","Li, Sizhe","Ren, Shougang",Adaptive enhanced swin transformer with U-net for remote sensing image segmentation*,COMPUTERS & ELECTRICAL ENGINEERING,SEP 2022,21,"Semantic segmentation of remote sensing images often faces complex situations, such as variable scale objects, large intra-class differences, and imbalanced distribution among classes. Convolutional Neural Network (CNN) based models have been widely used in remote sensing image segmentation tasks for its powerful feature extraction capability. Due to intrinsic locality of CNN architectures, it is difficult to understand the long-range dependencies among image patches. Recently, the transformer leverages long-range dependencies and performs well in computer vision tasks. To take advantages of both CNN and Transformer, a novel Adaptive Enhanced Swin Transformer with U-Net (AESwin-UNet) is proposed for remote sensing segmentation. AESwinUNet uses a hybrid Transformer-based U-type Encoder-Decoder architecture with skip connections to extract local and global semantic features. Specifically, the Enhanced Swin Transformer (E-Swin Transformer) contains Enhanced Multi-head Self-Attention and Deformable Adaptive Patch Merging layer in encoder. A symmetric cascaded decoder is designed for up-sampling to obtain higher resolution feature maps. Experiments on two public benchmark datasets, WHDLD and LoveDA, demonstrate that the proposed AESwin-UNet performs well in semantic segmentation.",Remote sensing,Semantic segmentation,Unet,Transformer,"Zheng, Hengbiao","Fan, Chengcheng","Xu, Huanliang",,CNN,,,,,,,,,,,,,,,,,,,,,,,,
Row_416,"Zhong, Hai-Feng","Sun, Qing","Sun, Hong-Mei",NT-Net: A Semantic Segmentation Network for Extracting Lake Water Bodies From Optical Remote Sensing Images Based on Transformer,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,34,"The automatic extraction of lake water is one of the research hotspots in the field of remote sensing image processing. Due to the small interclass variance between lakes and other ground objects, and the complex texture characteristics of lake boundaries, existing methods often have problems such as over-segmentation and inaccurate boundary segmentation when segmenting lake water bodies. To alleviate these problems, this article designs an end-to-end semantic segmentation network [noise-canceling transformer network (NT-Net)] for the automatic extraction of lake water bodies from remote sensing images. Aiming at the problem of over-segmentation caused by nonlake objects, an interference attenuation module is designed in the network. This module can model the key features that are distinguishable and suitable for segmenting lake water by analyzing the difference in feature representation between lakes and other ground objects, thus suppressing the feature representation of nonlake objects. To more accurately segment the lake boundary, a multilevel transformer module is designed. This module can capture the context association of boundary information and enhance the feature representation of boundary information by using the self-attention mechanism. The comparative experimental results show that, compared with the current mainstream semantic segmentation networks, the method in this article has advantages in extracting lake water bodies comprehensively and coherently.",Lakes,Image segmentation,Transformers,Feature extraction,"Jia, Rui-Sheng",,,,Remote sensing,Semantics,Data mining,Convolutional neural network (CNN),lake segmentation,optical remote sensing images,semantic segmentation,transformer,,,,,,,,,,,,,,,,,
Row_417,"Wang, Zhimin","Wang, Jiasheng","Yang, Kun",Semantic segmentation of high-resolution remote sensing images based on a class feature attention mechanism fused with Deeplabv3+,COMPUTERS & GEOSCIENCES,JAN 2022,75,"Aiming at solving the problems of inaccurate segmentation of edge targets, inconsistent segmentation of different types of targets, and slow prediction efficiency on semantic segmentation of high-resolution remote sensing images by classical semantic segmentation network, this study proposed a class feature attention mechanism fused with an improved Deeplabv3+ network called CFAMNet for semantic segmentation of common features in remote sensing images. First, the correlation between classes is enhanced using the class feature attention module to extract and process different categories of semantic information better. Second, the multi-parallel atrous spatial pyramid pooling structure is used to enhance the correlation between spaces, to extract the context information of different scales of an image better. Finally, the encoder-decoder structure is used to refine the segmentation results. The segmentation effect of the proposed network is verified by experiments on the public data set GaoFen image dataset (GID). The experimental results show that the CFAMNet can achieve the mean intersection over union (MIOU) and overall accuracy (OA) of 77.22% and 85.01%, respectively, on the GID, thus surpassing the current mainstream semantic segmentation networks.",Remote sensing,Deep learning,Convolution neural network,Semantic segmentation,"Wang, Limeng","Su, Fanjie","Chen, Xinya",,Attention mechanism,Deeplabv3+,,,,,,,,,,,,,,,,,,,,,,,
Row_418,"Chen, Guanzhou","Zhang, Xiaodong","Wang, Qing",Symmetrical Dense-Shortcut Deep Fully Convolutional Networks for Semantic Segmentation of Very-High-Resolution Remote Sensing Images,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,MAY 2018,122,"Semantic segmentation has emerged as a mainstream method in very-high-resolution remote sensing land-use/land-cover applications. In this paper, we first review the state-of-the-art semantic segmentation models in both computer vision and remote sensing fields. Subsequently, we introduce two semantic segmentation frameworks: SNFCN and SDFCN, both of which contain deep fully convolutional networks with shortcut blocks. We adopt an overlay strategy as the postprocessing method. Based on our frameworks, we conducted experiments on two online ISPRS datasets: Vaihingen and Potsdam. The results indicate that our frameworks achieve higher overall accuracy than the classic FCN-8s and Seg-Net models. In addition, our postprocessing method can increase the overall accuracy by about 1%-2% and help to eliminate ""salt and pepper"" phenomena and block effects.",Convolutional neural networks (CNN),deep learning (DL),fully convolutional networks (FCN),remote sensing,"Dai, Fan","Gong, Yuanfu","Zhu, Kun",,SDFCN,semantic segmentation,,,,,,,,,,,,,,,,,,,,,,,
