,author1,author2,author3,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author4,conference,author5,keyword6,author6,author7,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,author8,author9,author10,author11,keyword13,keyword14,keyword15,keyword16,author12
Row_1001,"Veljanovski, Tatiana","Kanjir, Ursa","Ostir, Kristof",OBJECT-BASED IMAGE ANALYSIS OF REMOTE SENSING DATA,GEODETSKI VESTNIK,DEC 2011,6,"Remote sensing has developed various methods and technologies for con tactless and cost-effective mapping of large area land cover/land use maps and other thematic maps. The key factor for the availability and reliability of these maps for use in Earth sciences is the development of effective procedures for satellite data analysis and classification. The most appropriate approach for classifying low and medium resolution satellite images (pixel size is coarser than, or at best similar to, the size of geographical objects) is pixel-based classification in which an individual pixel is classified into the closest class based on its spectral similarity.With increasing spatial resolution, pixel-based classification methods became less effective, since the relationship between the pixel size and the dimension of the observed objects on the Earth's surface has changed significantly. Therefore object-oriented classification has become increasingly popular over the past decade. This combines segmentation (which is a fundamental phase of the approach) and contextual classification. Segmentation divides the image into homogeneous pixel groups (segments), which are - during the Semantic classification process - arranged into classes based on their spectral, geometric, textural and other features during. The intent of this paper is to present the theoretical argumentation and methodology of object-bused image analysis of remote sensing data, provide an overview of the field and point out certain restrictions as regards the current operational solutions.",remote sensing,object-based image analysis,segmentation,object-based classification,semantic classification,,,,,,,,,,,,,,,,,,,,,
Row_1002,"Liu, Bin","Li, Bing","Liu, Haiming",ST-MDAMNet: Swin transformer combines multi-dimensional attention mechanism for semantic segmentation of high-resolution earth surface images,ADVANCES IN SPACE RESEARCH,OCT 15 2024,0,"In the derection of remote sensing (RS) image analysis, semantic segmentation, as an important technology, is of key significance for the identification and analysis of land surface cover types. In recent years, applying deep learning models to tasks such as road extraction, water distribution extraction, building classification and building segmentation from RS images has become an important research hot- spot. Due to its limited receptive field, traditional convolutional neural networks (CNN) cannot effectively capture global context information. Transformer uses the multi-head self-attention mechanism to capture a wide range of information and can solve this problem well. Therefore, we proposed ST-MDAMNet based on Swin Transformer and combined with the multi-dimensional attention mechanism. First, a feature enhancement module (FAM) is introduced after each stage of the Swin Transformer encoder to effectively enhance the model's proficiency in identifying essential information. Secondly, a feature fusion module (FFM) is proposed to effectively fuse the multi-scale information of the encoder part. It further improves the expression ability of different dimensional features and effectively improves the detection effect of small targets. Ultimately, the fused features are input into the multi-dimensional attention module (MDAM) to carefully optimize the features, which greatly increases the effect of semantic segmentation of RS images. We demonstrate the effectiveness of each module through ablation experiments. Comparative experiments are completed on two publicly large-scale data- sets, and the proposed method shows excellent results compared with state-of-the-art methods. (c) 2024 COSPAR. Published by Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",Swin Transfromer,Semantic segmentation,Remote sensing,Attention mechanism,,"Li, Shuofeng",,,,,,,,,,,,,,,,,,,,
Row_1003,"Tasar, Onur","Tarabalka, Yuliya","Alliez, Pierre",Incremental Learning for Semantic Segmentation of Large-Scale Remote Sensing Data,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,SEP 2019,86,"In spite of remarkable success of the convolutional neural networks on semantic segmentation, they suffer from catastrophic forgetting: a significant performance drop for the already learned classes when new classes are added on the data having no annotations for the old classes. We propose an incremental learning methodology, enabling to learn segmenting new classes without hindering dense labeling abilities for the previous classes, although the entire previous data are not accessible. The key points of the proposed approach are adapting the network to learn new as well as old classes on the new training data, and allowing it to remember the previously learned information for the old classes. For adaptation, we keep a frozen copy of the previously trained network, which is used as a memory for the updated network in the absence of annotations for the former classes. The updated network minimizes a loss function, which balances the discrepancy between outputs for the previous classes from the memory and updated networks, and the misclassification rate between outputs for the new classes from the updated network and the new ground-truth. For remembering, we either regularly feed samples from the stored, little fraction of the previous data or use the memory network, depending on whether the new data are collected from completely different geographic areas or from the same city. Our experimental results prove that it is possible to add new classes to the network, while maintaining its performance for the previous classes, despite the whole previous training data are not available.",Catastrophic forgetting,convolutional neural networks (CNNs),incremental learning,semantic segmentation,,,,,,,,,,,,,,,,,,,,,,
Row_1004,"Kniaz, Vladimir V.",,,Conditional GANs for Semantic Segmentation of Multispectral Satellite Images,,2018,12,"Algorithms for automatic semantic segmentation of the satellite images provide an effective approach for the generation of vector maps. Convolutional neural networks (CNN) have achieved the state-of-the-art quality of the output segmentation on the satellite images-to-semantic labels task. However, the generalization ability of such methods is not sufficient to process the satellite images that were captured in the different area or during the different season. Recently, the Generative Adversarial Networks (GAN) were introduced that can overcome the overfitting using the adversarial loss. This paper is focused on the development of the new GAN model for effective semantic segmentation of multispectral satellite images. The pix2pix(1) model is used as the starting point of the research. It is trained in the semi-supervised setting on the aligned pairs of images. The perceptual validation has demonstrated the high quality of the output labels. The evaluation on the independent test dataset has proved the robustness of GANs on the task of semantic segmentation of multispectral satellite images.",Generative Adversarial Networks,Semantic segmentation,Remote sensing,Multispectral satellite images,Convolutional Neural Networks,,IMAGE AND SIGNAL PROCESSING FOR REMOTE SENSING XXIV,,,,,,,,,,,,,,,,,,,
Row_1005,"Ji, Xun","Tang, Longbin","Liu, Tianhe",HeteroNet: a heterogeneous encoder-decoder network for sea-land segmentation of remote sensing images,JOURNAL OF ELECTRONIC IMAGING,SEP 1 2023,1,"The research on sea-land segmentation of remote sensing images has received tremendous attention, which is of great significance to coastline extraction and ocean monitoring. In recent years, various convolutional neural networks (CNNs) have been presented to achieve precise and efficient sea-land segmentation effect. However, existing CNNs typically adopt the symmetric encoder-decoder structure, which is inefficient for feature extraction, feature fusion, and information transmission. To address these problems, this work develops a CNN for pixel-level sea-land segmentation, termed HeteroNet. The proposed HeteroNet constructs a heterogeneous encoder-decoder structure consisting of successive dense-connected encoding modules and squeeze-and-excitation-connected decoding modules that can effectively enhance the feature extraction and fusion capabilities of the network. In addition, an easy-to-embed global context enhanced module is designed to further facilitate information transmission efficiency. Comparative experiments with state-of-the-art methods are conducted to reveal that the HeteroNet can exhibit superior sea-land segmentation performance in different scenarios, and the ablation study is performed to demonstrate the effectiveness of each component in the network.(c) 2023 SPIE and IS&T",sea-land segmentation,remote sensing images,semantic segmentation,deep learning,convolutional neural network,"Guo, Hui",,,,,,,,,,,,,,,,,,,,
Row_1006,"Zhang, Lianjun","Zhang, Jing","Zhang, Dapeng",Urban Road Extraction from High-resolution Remote Sensing Images Based on Semantic Model,,2010,1,"From the perspective of semantic network model, this paper does research on the urban road extraction from high-resolution remote sensing images. First, we analyze spatial features and contextual information of road in high resolution remote sensing images. By using the method of regional segmentation edge detection, area filter and Hough transform methods respectively, we obtain the candidate nodes for the semantic network model of road. And with the application of space semantic model theory, this paper establishes the semantic network model. Finally, through the experiment of road extraction from Quick Bird images of Beijing urban area, it represents that this method is feasible to extract road information automatically by use of the semantic model.",high-resolution,remote sensing images,road feature extraction,area filter,Hough transform,"Hou, Xiaohui",2010 18TH INTERNATIONAL CONFERENCE ON GEOINFORMATICS,"Yang, Gang",,,,,,,,,,,,,,,,,,
Row_1007,"Shi, Zongwen","Fan, Junfu","Du, Yujie",LULC-SegNet: Enhancing Land Use and Land Cover Semantic Segmentation with Denoising Diffusion Feature Fusion,REMOTE SENSING,DEC 2024,0,"Deep convolutional networks often encounter information bottlenecks when extracting land object features, resulting in critical geometric information loss, which impedes semantic segmentation capabilities in complex geospatial backgrounds. We developed LULC-SegNet, a semantic segmentation network for land use and land cover (LULC), which integrates features from the denoising diffusion probabilistic model (DDPM). This network enhances the clarity of the edge segmentation, detail resolution, and the visualization and accuracy of the contours by delving into the spatial details of the remote sensing images. The LULC-SegNet incorporates DDPM decoder features into the LULC segmentation task, utilizing machine learning clustering algorithms and spatial attention to extract continuous DDPM semantic features. The network addresses the potential loss of spatial details during feature extraction in convolutional neural network (CNN), and the integration of the DDPM features with the CNN feature extraction network improves the accuracy of the segmentation boundaries of the geographical features. Ablation and comparison experiments conducted on the Circum-Tarim Basin Region LULC Dataset demonstrate that the LULC-SegNet improved the LULC semantic segmentation. The LULC-SegNet excels in multiple key performance indicators compared to existing advanced semantic segmentation methods. Specifically, the network achieved remarkable scores of 80.25% in the mean intersection over union (MIOU) and 93.92% in the F1 score, surpassing current technologies. The LULC-SegNet demonstrated an IOU score of 73.67%, particularly in segmenting the small-sample river class. Our method adapts to the complex geophysical characteristics of remote sensing datasets, enhancing the performance of automatic semantic segmentation tasks for land use and land cover changes and making critical advancements.",land use and land cover,semantic segmentation,remote sensing images,denoising diffusion probabilistic model,feature fusion,"Zhou, Yuke",,"Zhang, Yi",K-means clustering algorithms,,,,,,,,,,,,,,,,,
Row_1008,"Wang, Yan","Yang, Ling","Liu, Xinzhan",An improved semantic segmentation algorithm for high-resolution remote sensing images based on DeepLabv3+,SCIENTIFIC REPORTS,APR 27 2024,3,"High-precision and high-efficiency Semantic segmentation of high-resolution remote sensing images is a challenge. Existing models typically require a significant amount of training data to achieve good classification results and have numerous training parameters. A novel model called MST-DeepLabv3+ was suggested in this paper for remote sensing image classification. It's based on the DeepLabv3+ and can produce better results with fewer train parameters. MST-DeepLabv3+ made three improvements: (1) Reducing the number of model parameters by substituting MobileNetV2 for the Xception in the DeepLabv3+'s backbone network. (2) Adding the attention mechanism module SENet to increase the precision of semantic segmentation. (3) Increasing Transfer Learning to enhance the model's capacity to recognize features, and raise the segmentation accuracy. MST-DeepLabv3+ was tested on international society for photogrammetry and remote sensing (ISPRS) dataset, Gaofen image dataset (GID), and practically applied to the Taikang cultivated land dataset. On the ISPRS dataset, the mean intersection over union (MIoU), overall accuracy (OA), Precision, Recall, and F1-score are 82.47%, 92.13%, 90.34%, 90.12%, and 90.23%, respectively. On the GID dataset, these values are 73.44%, 85.58%, 84.10%, 84.86%, and 84.48%, respectively. The results were as high as 90.77%, 95.47%, 95.28%, 95.02%, and 95.15% on the Taikang cultivated land dataset. The experimental results indicate that MST-DeepLabv3+ effectively improves the accuracy of semantic segmentation of remote sensing images, recognizes the edge information with more completeness, and significantly reduces the parameter size.",,,,,,"Yan, Pengfei",,,,,,,,,,,,,,,,,,,,
Row_1009,"Pan, Xin","Zhao, Jian","Xu, Jun",An End-to-End and Localized Post-Processing Method for Correcting High-Resolution Remote Sensing Classification Result Images,REMOTE SENSING,MAR 2020,14,"Since the result images obtained by deep semantic segmentation neural networks are usually not perfect, especially at object borders, the conditional random field (CRF) method is frequently utilized in the result post-processing stage to obtain the corrected classification result image. The CRF method has achieved many successes in the field of computer vision, but when it is applied to remote sensing images, overcorrection phenomena may occur. This paper proposes an end-to-end and localized post-processing method (ELP) to correct the result images of high-resolution remote sensing image classification methods. ELP has two advantages. (1) End-to-end evaluation: ELP can identify which locations of the result image are highly suspected of having errors without requiring samples. This characteristic allows ELP to be adapted to an end-to-end classification process. (2) Localization: Based on the suspect areas, ELP limits the CRF analysis and update area to a small range and controls the iteration termination condition. This characteristic avoids the overcorrections caused by the global processing of the CRF. In the experiments, ELP is used to correct the classification results obtained by various deep semantic segmentation neural networks. Compared with traditional methods, the proposed method more effectively corrects the classification result and improves classification accuracy.",semantic segmentation,high-resolution remote sensing image,pixel-wise classification,result correction,conditional random field (CRF),,,,,,,,,,,,,,,,,,,,,
Row_1010,"Liu, Yansong","Piramanayagam, Sankaranarayanan","Monteiro, Sildomar T.",Semantic segmentation of multisensor remote sensing imagery with deep ConvNets and higher-order conditional random fields,JOURNAL OF APPLIED REMOTE SENSING,JAN 11 2019,35,"Aerial images acquired by multiple sensors provide comprehensive and diverse information of materials and objects within a surveyed area. The current use of pretrained deep convolutional neural networks (DCNNs) is usually constrained to three-band images (i.e., RGB) obtained from a single optical sensor. Additional spectral bands from a multiple sensor setup introduce challenges for the use of DCNN. We fuse the RGB feature information obtained from a deep learning framework with light detection and ranging (LiDAR) features to obtain semantic labeling. Specifically, we propose a decision-level multisensor fusion technique for semantic labeling of the very-high-resolution optical imagery and LiDAR data. Our approach first obtains initial probabilistic predictions from two different sources: one from a pretrained neural network fine-tuned on a three-band optical image, and another from a probabilistic classifier trained on LiDAR data. These two predictions are then combined as the unary potential using a higher-order conditional random field (CRF) framework, which resolves fusion ambiguities by exploiting the spatial-contextual information. We utilize graph cut to efficiently infer the final semantic labeling for our proposed higher-order CRF framework. Experiments performed on three benchmarking multisensor datasets demonstrate the performance advantages of our proposed method. (C) The Authors. Published by SPIE under a Creative Commons Attribution 3.0 Unported License.",semantic segmentation,multisensor remote sensing,light detection and ranging,deep convolutional neural networks,conditional random fields,"Saber, Eli",,,,,,,,,,,,,,,,,,,,
