,author1,author2,author3,author4,author5,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,journal/book,author6,keyword8,keyword9,keyword10,keyword11,author7,author8,keyword12,keyword13,keyword14,keyword15,author9
Row_1251,"Nogueira, Keiller","Dalla Mura, Mauro","Chanussot, Jocelyn","Schwartz, William Robson","dos Santos, Jefersson A.",Learning to Semantically Segment High-Resolution Remote Sensing Images,2016 23RD INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION (ICPR),2016,21,"Land cover classification is a task that requires methods capable of learning high-level features while dealing with high volume of data. Overcoming these challenges, Convolutional Networks (ConvNets) can learn specific and adaptable features depending on the data while, at the same time, learn classifiers. In this work, we propose a novel technique to automatically perform pixel-wise land cover classification. To the best of our knowledge, there is no other work in the literature that perform pixel-wise semantic segmentation based on data-driven feature descriptors for high-resolution remote sensing images. The main idea is to exploit the power of ConvNet feature representations to learn how to semantically segment remote sensing images. First, our method learns each label in a pixel-wise manner by taking into account the spatial context of each pixel. In a predicting phase, the probability of a pixel belonging to a class is also estimated according to its spatial context and the learned patterns. We conducted a systematic evaluation of the proposed algorithm using two remote sensing datasets with very distinct properties. Our results show that the proposed algorithm provides improvements when compared to traditional and state-of-the-art methods that ranges from 5 to 15% in terms of accuracy.",Land-cover Mapping,Pixel-wise Classification,Semantic Segmentation,Deep Learning,Remote Sensing,Feature Learning,High-resolution Images,,,,,,,,,,,,,
Row_1252,"Duan, Zexian","Liu, Jiahang","Ling, Xinpeng","Zhang, Jinlong","Liu, Zhiheng",ERNet: A Rapid Road Crack Detection Method Using Low-Altitude UAV Remote Sensing Images,,MAY 2024,2,"The rapid and accurate detection of road cracks is of great significance for road health monitoring, but currently, this work is mainly completed through manual site surveys. Low-altitude UAV remote sensing can provide images with a centimeter-level or even subcentimeter-level ground resolution, which provides a new, efficient, and economical approach for rapid crack detection. Nevertheless, crack detection networks face challenges such as edge blurring and misidentification due to the heterogeneity of road cracks and the complexity of the background. To address these issues, we proposed a real-time edge reconstruction crack detection network (ERNet) that adopted multi-level information aggregation to reconstruct crack edges and improve the accuracy of segmentation between the target and the background. To capture global dependencies across spatial and channel levels, we proposed an efficient bilateral decomposed convolutional attention module (BDAM) that combined depth-separable convolution and dilated convolution to capture global dependencies across the spatial and channel levels. To enhance the accuracy of crack detection, we used a coordinate-based fusion module that integrated spatial, semantic, and edge reconstruction information. In addition, we proposed an automatic measurement of crack information for extracting the crack trunk and its corresponding length and width. The experimental results demonstrated that our network achieved the best balance between accuracy and inference speed compared to six established models.",UAV remote sensing,road cracks,semantic segmentation,crack quantification,edge detection,,,REMOTE SENSING,,,,,,,,,,,,
Row_1253,"Wang, Zihao","Kang, Xudong","Duan, Puhong","Deng, Bin",,SegIceNet: Activation Information Guided PointFlow for Sea Ice Segmentation,,2024,0,"Optical remote sensing is the major means of monitoring sea ice, which is beneficial for waterway planning, disaster prevention, and environmental research. Currently, a large number of sea ice segmentation methods have been developed. However, they often ignore the boundaries between sea ice and seawater, leading to unavoidable mis-segmentation. To alleviate this issue, this letter proposes a novel semantic segmentation network applied to sea ice remote sensing images, referred to as SegIceNet. First, we design a partial class activation map (PCAM) to select the feature points whose classes are easily confused in feature layers. By constructing the affinity among these points, the network explores potential semantic information and propagates these feature details among adjacent decoder layers. Second, this letter introduces a point-set optimization strategy, which aims to focus on samples of the aforementioned special points during the training process. Experimental results on a real sea ice dataset show that our method is better than other state-of-the-art semantic segmentation methods. Specifically, even in the imbalanced sea ice dataset, the proposed method achieved 94.88% mean intersection over union (mIoU).",Deep learning,partial class activation map (PCAM),remote sensing image,sea ice,semantic segmentation,,,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,,,,,,,,,,,
Row_1254,"Chen, Ziyi","Wang, Cheng","Li, Jonathan","Xie, Nianci","Han, Yan",Reconstruction Bias U-Net for Road Extraction From Optical Remote Sensing Images,,2021,69,"Automatic road extraction from remote sensing images plays an important role for navigation, intelligent transportation, and road network update, etc. Convolutional neural network (CNN)-based methods have presented many achievements for road extraction from remote sensing images. CNN-based methods require a large dataset with high quality labels for model training. However, there is still few standard and large dataset, which is specially designed for road extraction from optical remote sensing images. Besides, the existing end-to-end CNN models for road extraction from remote sensing images are usually with symmetric structure, studying on asymmetric structure between encoding and decoding is rare. To address the above problems, this article first provides a publicly available dataset LRSNY for road extraction from optical remote sensing images with manually labelled labels. Second, we propose a reconstruction bias U-Net for road extraction from remote sensing images. In our model, we increase the decoding branches to obtain multiple semantic information from different upsamplings. Experimental results show that our method achieves better performance compared with other six state-of-the-art segmentation models when testing on our LRSNY dataset. We also test on Massachusetts and Shaoshan datasets. The good performances on the two datasets further prove the effectiveness of our method.",Roads,Remote sensing,Feature extraction,Image segmentation,Semantics,Image reconstruction,Optical sensors,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,"Du, Jixiang",CNN model,dataset,optical remote sensing image,road extraction,,,,,,,
Row_1255,"van der Plas, Thijs L.","Geikie, Simon T.","Alexander, David G.","Simms, Daniel M.",,Multi-Stage Semantic Segmentation Quantifies Fragmentation of Small Habitats at a Landscape Scale,,NOV 2023,0,"Land cover (LC) maps are used extensively for nature conservation and landscape planning, but low spatial resolution and coarse LC schemas typically limit their applicability to large, broadly defined habitats. In order to target smaller and more-specific habitats, LC maps must be developed at high resolution and fine class detail using automated methods that can efficiently scale to large areas of interest. In this work, we present a Machine Learning approach that addresses this challenge. First, we developed a multi-stage semantic segmentation approach that uses Convolutional Neural Networks (CNNs) to classify LC across the Peak District National Park (PDNP, 1439 km2) in the UK using a detailed, hierarchical LC schema. High-level classes were predicted with 95% accuracy and were subsequently used as masks to predict low-level classes with 72% to 92% accuracy. Next, we used these predictions to analyse the degree and distribution of fragmentation of one specific habitat-wet grassland and rush pasture-at the landscape scale in the PDNP. We found that fragmentation varied across areas designated as primary habitat, highlighting the importance of high-resolution LC maps provided by CNN-powered analysis for nature conservation.",remote sensing,semantic segmentation,convolutional neural network,land cover prediction,habitat fragmentation,,,REMOTE SENSING,,,,,,,,,,,,
Row_1256,"Dang, Bo","Li, Yansheng",,,,MSResNet: Multiscale Residual Network via Self-Supervised Learning for Water-Body Detection in Remote Sensing Imagery,,AUG 2021,35,"Driven by the urgent demand for flood monitoring, water resource management and environmental protection, water-body detection in remote sensing imagery has attracted increasing research attention. Deep semantic segmentation networks (DSSNs) have gradually become the mainstream technology used for remote sensing image water-body detection, but two vital problems remain. One problem is that the traditional structure of DSSNs does not consider multiscale and multishape characteristics of water bodies. Another problem is that a large amount of unlabeled data is not fully utilized during the training process, but the unlabeled data often contain meaningful supervision information. In this paper, we propose a novel multiscale residual network (MSResNet) that uses self-supervised learning (SSL) for water-body detection. More specifically, our well-designed MSResNet distinguishes water bodies with different scales and shapes and helps retain the detailed boundaries of water bodies. In addition, the optimization of MSResNet with our SSL strategy can improve the stability and universality of the method, and the presented SSL approach can be flexibly extended to practical applications. Extensive experiments on two publicly open datasets, including the 2020 Gaofen Challenge water-body segmentation dataset and the GID dataset, demonstrate that our MSResNet can obviously outperform state-of-the-art deep learning backbones and that our SSL strategy can further improve the water-body detection performance.",water-body detection,multiscale residual network (MSResNet),self-supervised learning (SSL),high-resolution remote sensing imagery,,,,REMOTE SENSING,,,,,,,,,,,,
Row_1257,"Xing, Siyuan","Dong, Qiulei","Hu, Zhanyi",,,SCE-Net: Self- and Cross-Enhancement Network for Single-View Height Estimation and Semantic Segmentation,,MAY 2022,10,"Single-view height estimation and semantic segmentation have received increasing attention in recent years and play an important role in the photogrammetry and remote sensing communities. The height information and semantic information of images are correlated, and some recent works have shown that multi-task learning methods can achieve complementation of task-related features and improve the prediction results of the multiple tasks. Although much progress has been made in recent works, how to effectively extract and fuse height features and semantic features is still an open issue. In this paper, a self- and cross-enhancement network (SCE-Net) is proposed to jointly perform height estimation and semantic segmentation on single aerial images. A feature separation-fusion module is constructed to effectively separate and fuse height features and semantic features based on an attention mechanism for feature representation enhancement across tasks. In addition, a height-guided feature distance loss and a semantic-guided feature distance loss are designed based on deep metric learning to achieve task-aware feature representation enhancement. Extensive experiments are conducted on the Vaihingen dataset and the Potsdam dataset to verify the effectiveness of the proposed method. The experimental results demonstrate that the proposed SCE-Net could outperform the state-of-the-art methods and achieve better performance in both height estimation and semantic segmentation.",height estimation,semantic segmentation,single aerial image,convolutional neural networks,multi-task learning,deep metric learning,,REMOTE SENSING,,,,,,,,,,,,
Row_1258,"Gao, Hao","Xiong, Xuejun","Cao, Lin","Yu, Dingfeng","Yang, Guangbing",Pixel-Level Prediction for Ocean Remote Sensing Image Features Fusion Based on Global and Local Semantic Relations,,2021,3,"With the rapid development of remote-sensing imaging technology, remote-sensing images have become increasingly diverse, and people are paying more attention to ocean remote-sensing research. Because ocean remote-sensing data are complex, and the ocean environment is diverse, results will differ, even if the same target is detected at different times in the same scene. To obtain more semantic features and better pixel-level prediction capabilities, this paper proposes a pixel-level ocean remote-sensing image algorithm (GLPO-Net) that combines local and global features. First, texture features, color features, and spatial relationship features are extracted. Second, the algorithm constructs a multiscale local cross-attention mechanism strategy to obtain feature weight information in different directions to fully mine the local features of ocean remote-sensing images. Concurrently, an algorithm constructs a multiscale global cross-attention mechanism strategy to obtain global features. Then, the fusion of global features and local features is described in each submodule to obtain more representative deep features. Finally, small-sample ocean remote-sensing is described via image pixel-level prediction. The algorithm proposed in this paper has been tested with three public ocean remote-sensing datasets. The experimental results show that the proposed GLPO-Net algorithm can learn features from small samples of ocean remote-sensing images. Compared to the prediction results of other remote-sensing image algorithms, GLPO-Net exhibits better prediction capabilities.",Semantics,Remote sensing,Feature extraction,Oceans,Prediction algorithms,Convolution,Sensors,IEEE ACCESS,"Yang, Lei",Ocean remote sensing,deep learning,features fusion,multi-scale convolutional,,,,,,,
Row_1259,"He, Wenjing","Song, Hongjun","Yao, Yuanyuan","Jia, Hongying",,MAPPING OF URBAN AREAS FROM SAR IMAGES VIA SEMANTIC SEGMENTATION,IGARSS 2020 - 2020 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,2020,1,This letter proposes a new semantic segmentation network called IGFUnet to map the urban areas from large scale SAR images. The network is based on U-net structure which is especially suitable for semantic segmentation of small data set. Inception module is adopted as the encoder to extract rich and dense features. We develop a global feature attention module (GFA) as a channel attention module to perform feature correction on each decoding layer. Combing the inception module and GFA module can take full use of the feature map and efficiently integrate features from different scales. Qualitative and quantitative experiments based on Sentinel-1A have proved the effectiveness of our IGFUnet model.,Synthetic aperture radar (SAR),mapping of urban areas,deep learning,semantic segmentation,,,,,,,,,,,,,,,,
Row_1260,"Laupheimer, Dominik","Haala, Norbert",,,,MULTI-MODAL SEMANTIC MESH SEGMENTATION IN URBAN SCENES,"XXIV ISPRS CONGRESS IMAGING TODAY, FORESEEING TOMORROW, COMMISSION II",2022,3,"The semantic segmentation of the huge amount of acquired 3D data has become an important task in recent years. Meshes have evolved into a standard representation next to Point Clouds (PCs) - not least because of their great visualization possibilities. Compared to PCs, meshes have commonly smaller memory footprints while jointly providing geometrical and high-resolution textural information. For this reason, we opt for semantic mesh segmentation, which is a widely overlooked topic in photogrammetry and remote sensing yet. In this work, we perform an extensive ablation study on multi-modal handcrafted features adapting the Point Cloud Mesh Association (PCMA) (Laupheimer et al., 2020) which establishes explicit connections between faces and points. The multi-modal connections are used in a two-fold manner: (i) to extend per-face descriptors with features engineered on the PC and (ii) to annotate meshes semi-automatically by propagating the manually assigned labels from the PCs. In this way, we derive annotated meshes from the ISPRS benchmark data sets Vaihingen 3D (V3D) and Hessigheim 3D (H3D). To demonstrate the effectiveness of the multi-modal approach, we use well-established and fast Random Forest (RF) models deploying various feature vector compositions and analyze their performances for semantic mesh segmentation. The feature vector compositions consider features derived from the mesh, the PC or both. The results indicate that the combination of radiometric and geometric features outperforms feature sets of a single feature type only. Besides, we observe that relative height is the most crucial feature. The main finding is that the multi-modal feature vector integrates the complementary strengths of the underlying modalities. Whereas the mesh provides outstanding textural information, the dense PCs are superior in geometry. The multi-modal feature descriptor achieves the best performance on both data sets. It significantly outperforms feature sets that incorporate only features derived from the mesh by +7.37 pp and +2.38 pp for mF1 and Overall Accuracy (OA) on V3D. The registered improvement is +9.23 pp and +4.33 pp for mF1 and OA on H3D.",Urban Scene Understanding,Semantic Segmentation,Multi-Modality,Textured Mesh,Point Cloud,,,,,,,,,,,,,,,
