,author1,author2,author3,author4,author5,author6,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,conference,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,author7,author8,keyword12,keyword13,keyword14,author9,author10,author11,author12
Row_1551,"Chen, Lijia","Chen, Honghui","Xie, Yanqiu","He, Tianyou","Ye, Jing","Zheng, Yushan",An Efficient and Light Transformer-Based Segmentation Network for Remote Sensing Images of Landscapes,FORESTS,NOV 2023,0,"High-resolution image segmentation for landscape applications has garnered significant attention, particularly in the context of ultra-high-resolution (UHR) imagery. Current segmentation methodologies partition UHR images into standard patches for multiscale local segmentation and hierarchical reasoning. This creates a pressing dilemma, where the trade-off between memory efficiency and segmentation quality becomes increasingly evident. This paper introduces the Multilevel Contexts Weighted Coupling Transformer (WCTNet) for UHR segmentation. This framework comprises the Mult-level Feature Weighting (MFW) module and Token-based Transformer (TT) designed to weigh and couple multilevel semantic contexts. First, we analyze the multilevel semantics within a local patch without image-level contextual reasoning. It avoids complex image-level contextual associations and eliminates the misleading information carried. Second, MFW is developed to weigh shallow and deep features for enhancing object-related attention at different grain sizes from multilevel semantics. Third, the TT module is introduced to couple multilevel semantic contexts and transform them into semantic tokens using spatial attention. Then, we can capture token interactions and obtain clearer local representations. The suggested contextual weighting and coupling of single-scale patches empower WCTNet to maintain a well-balanced relationship between accuracy and computational overhead. Experimental results show that WCTNet achieves state-of-the-art performance on two UHR datasets of DeepGlobe and Inria Aerial.",ultra-high-resolution image,segmentation quality,multilevel semantic contexts,transformer,,,,,,,,,,,,,,,,,
Row_1552,"Chong, Yanwen","Chen, Xiaoshu","Tao, Yulong","Pan, Shaoming",,,Erase then grow: Generating correct class activation maps for weakly-supervised semantic segmentation,NEUROCOMPUTING,SEP 17 2021,12,"In spite of extremely challenging, the weakly-supervised semantic segmentation using image-level labels has made encouraging progress in the recent phase. The existing methods mainly adopt two-stage training procedures: a) optimizing class activation map (CAM) produced by the multi-label classification network to generate pseudo ground truth; b) training a conventional fully supervised semantic segmentation network through pseudo ground truth. When optimizing CAM, most advanced methods just consider the problem that CAM can only activate the sparse and discriminative regions for each class. However, since the loss function of the classification task is image-level supervision, classification network is weak in capturing intricate contextual information, which results in another problem that many misclassified regions are activated in CAM. Compared with classification networks, the loss function of semantic segmentation tasks is pixel-level supervision, which makes it better at capturing intricate contextual information. Thus, based on this ability of the segmentation network, we propose an erasing module to erase the misclassified regions in the CAM. Furthermore, to transform the sparse CAM into high quality dense pseudo ground truth, we apply the proposed hierarchical deep seeded region growing (H-DSRG) on the erased CAM. Finally, we conduct extensive analysis to validate the proposed method. The proposed method achieves 66.8 of mIoU for Pascal voc 2012 val dataset and 67.6 of mIoU for Pascal voc 2012 test dataset, harvesting new state-of-the-art results.(c) 2021 Elsevier B.V. All rights reserved.",Semantic segmentation,Weakly-supervised learning,Context,Seeded region growing,,,,,,,,,,,,,,,,,
Row_1553,"Huang, Ziyue","Zhang, Mingming","Gong, Yuan","Liu, Qingjie","Wang, Yunhong",,Generic Knowledge Boosted Pretraining for Remote Sensing Images,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,3,"Deep learning models are essential for scene classification, change detection, land cover segmentation, and other remote sensing (RS) image understanding tasks. Most backbones of existing RS deep learning models are typically initialized by pretrained weights obtained from ImageNet pretraining (IMP). However, domain gaps exist between RS images and natural images (e.g., ImageNet), making deep learning models initialized by pretrained weights of IMP perform poorly for RS image understanding. Although some pretraining methods are studied in the RS community, current RS pretraining (RSP) methods face the problem of vague generalization by only using RS images. In this article, we propose a novel RSP framework, generic knowledge boosted RSP (GeRSP), to learn robust representations from RS and natural images for RS understanding tasks. GeRSP contains two pretraining branches: 1) a self-supervised pretraining branch is adopted to learn domain-related representations from unlabeled RS images and 2) a supervised pretraining branch is integrated into GeRSP for general knowledge learning from labeled natural images. Moreover, GeRSP combines two pretraining branches using a teacher-student architecture to simultaneously learn representations with general and special knowledge, which generates a powerful pretrained model for deep learning model initialization. Finally, we evaluate GeRSP and other RSP methods on three downstream tasks, i.e., object detection, semantic segmentation, and scene classification. The extensive experimental results consistently demonstrate that GeRSP can effectively learn robust representations in a unified manner, improving the performance of RS downstream tasks. Code and pretrained models: https://github.com/floatingstarZ/GeRSP.",Pretraining,remote sensing (RS) image,self-supervised learning,,,,,,,,,,,,,,,,,,
Row_1554,"Maiti, A.","Elberink, S. J. Oude","Vosselman, G.",,,,EFFECT OF LABEL NOISE IN SEMANTIC SEGMENTATION OF HIGH RESOLUTION AERIAL IMAGES AND HEIGHT DATA,,2022,3,"The performance of deep learning models in semantic segmentation is dependent on the availability of a large amount of labeled data. However, the influence of label noise, in the form of incorrect annotations, on the performance is significant and mostly ignored. This is a big concern in remote sensing applications, wherein acquired datasets are spatially limited, labeling is done by domain experts with possible sources of high inter-and intra-observer variability leading to erroneous predictions. In this paper, we first simulate the label noise while conducting experiments on two different datasets with very high-resolution aerial images, height data, and inaccurate labels, responsible for the training of deep learning models. We then focus on the effect of these noises on the model performance. Different classes respond differently to the label noise. The typical size of an object belonging to a class is a crucial factor regarding the class-specific performance of the model trained with erroneous labels. Errors caused by relative shifts of labels are the most influential label errors. The model is generally more tolerant of the random label noise than other label errors. It has been observed that the accuracy gets reduced by at least 3% while 5% of label pixels are erroneous. In this regard, our study provides a new perspective of evaluating and quantifying the propagation of label noise in the model performance that is indeed important for adopting reliable semantic segmentation practices.",Deep Learning,Semantic Segmentation,Label Noise,Very High Resolution,"XXIV ISPRS CONGRESS IMAGING TODAY, FORESEEING TOMORROW, COMMISSION II",,,,,,,,,,,,,,,,
Row_1555,"Gonzales, Cindy","Sakla, Wesam",,,,,Semantic Segmentation of Clouds in Satellite Imagery Using Deep Pre-trained U-Nets,REMOTE SENSING OF ENVIRONMENT,2019,8,"Earth observation and remote sensing technologies are widely used in various application areas. Because the abundance of collected data requires automated analytics, many communities are utilizing deep convolutional neural networks for such tasks. Automating cloud detection in remote sensing and earth observation imagery is a useful prerequisite for providing quality imagery for further analysis. In this paper, we train a model that uses a deep convolutional U-Net architecture, utilizing transfer learning to perform semantic segmentation of clouds in satellite imagery. Our proposed model outperforms state-of-the-art networks on a benchmark dataset based on several relevant segmentation metrics, including Jaccard Index (+ 7.69%), precision (+ 6.21%), and specificity (+ 0.37%). Moreover, we demonstrate that transfer learning utilizing a 4-channel input into a U-Net architecture is possible and highly performant by using a deep ResNet-style architecture pre-trained on ImageNet for the initialization of weights in three channels (red, green, and blue bands) and random initialization of weights in the fourth channel (near infrared band) of the first convolutional layer of the network.",Remote sensing,cloud detection,satellite imagery,image segmentation,,U-Net,convolutional neural network (CNN),deep learning,transfer learning,,,,,,,,,,,,
Row_1556,Lu Huanhuan,Liu Tao,Zhang Hui,Peng Guofeng,Zhang Juntong,,High-Resolution Remote Sensing Scene Classification Based on Salient Features and DCNN,LASER & OPTOELECTRONICS PROGRESS,OCT 2021,0,"Scene classification of high-resolution remote sensing image is one of the important tasks in interpreting remote sensing image information. In order to extract the target information accurately, we propose a high-resolution remote sensing image scene classification method based on salient features combined with deep convolutional neural network (DCNN) to solve the problems of complex background, diverse targets, and difficult to distinguish between target information and background information in the classification of high-scoring remote sensing image scenes. First, K-means clustering algorithm and super-pixel segmentation algorithm are used to generate the color spatial distribution map and color contrast map of the image, and the different contrast maps are fused to get the saliency map. Then, the features in the saliency map are enhanced through logarithmic transformation, and the adaptive threshold segmentation method is used to improve the discrimination of the target and divide the target area and the background area, and extract the area of interest. Finally, a DCNN model is constructed to extract deep semantic features and classification, and the obtained features are input into the network model for training and classification. Experimental results show that the method can effectively distinguish the main target information from the background information and reduce the interference of irrelevant information. The classification accuracy of the method on the UC-Merced data set and WHU-RS data set are 96.10% and 95. 84%, respectively.",atmospheric optics,high-resolution remote sensing image,scene classification,saliency detection,,convolutional neural network,deep semantic feature,,,,,,,,,,,,,,
Row_1557,"Yang, Michael Ying","Kumaar, Saumya","Lyu, Ye","Nex, Francesco",,,Real-time Semantic Segmentation with Context Aggregation Network,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,AUG 2021,57,"With the increasing demand of autonomous systems, pixelwise semantic segmentation for visual scene understanding needs to be not only accurate but also efficient for potential real-time applications. In this paper, we propose Context Aggregation Network, a dual branch convolutional neural network, with significantly lower computational costs as compared to the state-of-the-art, while maintaining a competitive prediction accuracy. Building upon the existing dual branch architectures for high-speed semantic segmentation, we design a high resolution branch for effective spatial detailing and a context branch with light-weight versions of global aggregation and local distribution blocks, potent to capture both long-range and local contextual dependencies required for accurate semantic segmentation, with low computational overheads. We evaluate our method on two semantic segmentation datasets, namely Cityscapes dataset and UAVid dataset. For Cityscapes test set, our model achieves state-of-the-art results with mIOU of 75.9%, at 76 FPS on an NVIDIA RTX 2080Ti and 8 FPS on a Jetson Xavier NX. With regards to UAVid dataset, our proposed network achieves mIOU score of 63.5% with high execution speed (15 FPS).",Semantic segmentation,Real-time,Convolutional neural network,Context aggregation network,,,,,,,,,,,,,,,,,
Row_1558,"Zhou, Wujie","Li, Yangzhen","Huang, Juan","Yan, Weiqing","Fang, Meixin","Jiang, Qiuping",GSGNet-S∗: Graph Semantic Guidance Network via Knowledge Distillation for Optical Remote Sensing Image Scene Analysis,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2023,0,"In recent years, optical remote sensing image (ORSI) scene analysis has attracted increasing interest. However, existing networks show a trend of bifurcation. Lightweight networks have very high inference speed but poor inference of contextual information in highly complex backgrounds. In contrast, networks with high-performance contextual information reasoning capability require many parameters and are computationally expensive. Since the knowledge distillation (KD) method can greatly lighten the model, we propose a graph semantic guided network (GSGNet) that utilizes knowledge refinement for ORSI scenario analysis, which has a high inference speed while maintaining practical contextual inference capability. Rich semantic and detailed information facilitates the semantic segmentation of ORSIs. We design adjacent dynamic capture (ADC) and local-global map inference modules that can effectively extract low-level spatial details and high-level contextual semantics. To improve the attention map relearning (AR) performance of the distillation method, we designed semantically guided fusion modules (SGFMs) to locate spatial information and refine edge information. We also employed a structural relationship transfer (SRT) distillation method in which the structural relationship knowledge of the teacher model (GSGNet-T) was used to guide the student model (GSGNet-S). We compared the performances of GSGNet-T and the GSGNet-S with KD (GSGNet-S*) with those of several state-of-the-art (SOAT) methods on the Vaihingen and Potsdam datasets. Extensive experiments showed that GSGNet-S* outperformed most advanced methods with only 19.61 M parameters and a computation cost of 2.9 GFLOPs. The experimental results and code of our network can be accessed at the following URL: https://github.com/LYZ00918/GSGNet-KD.",Feature extraction,Convolution,Semantics,Task analysis,,Data mining,Knowledge engineering,Image analysis,Graph convolution,knowledge distillation (KD),optical remote sensing images (ORSIs),scene analysis,,,,,,,,,
Row_1559,"Wang, Haoran","Xue, Tianyu","Wang, Zhaoran","Bai, Xiangyu",,,Comparison of regional monitoring methods for grassland degradation based on remote sensing images,,2023,0,"As an integral part of the ecosystem, grassland plays an important role in protecting water and soil, preventing wind and fixing sand and protecting biodiversity. However, some grasslands are degraded at this stage, so a grassland monitoring method is urgently needed to prevent desertification from spreading. With the rapid rise of deep learning, it is more and more popular to apply artificial intelligence methods to grassland degradation monitoring. This paper systematically and comprehensively analyzes that almost all semantic segmentation methods have been applied to relevant research on grassland degradation areas since semantic segmentation methods were applied to grassland monitoring. Then, according to the different algorithm structures of grassland extraction methods, the principles of representative algorithms are introduced in turn. Then we made a statistical analysis of the publication status, research space distribution and the number of citations of papers in this field. Finally, the analysis results are discussed, and the possible research hotspots in the future are discussed.",Grassland monitoring,Remote sensing images,Deep learning,Semantic segmentation,"2023 2ND ASIA CONFERENCE ON ALGORITHMS, COMPUTING AND MACHINE LEARNING, CACML 2023",,,,,,,,,,,,,,,,
Row_1560,"Hui, He","Ya-Dong, Sun","Bo-Xiong, Yang","Mu-Xi, Xie","She-Lei, Li","Bo, Zhou",Building extraction based on hyperspectral remote sensing images and semisupervised deep learning with limited training samples,COMPUTERS & ELECTRICAL ENGINEERING,SEP 2023,1,"Hyperspectral remote sensing imaging technology provides assistance in various aspects of daily life through applications such as urban building information statistics and green vegetation estimation. Ensuring the accuracy of automatic thematic information extraction under limited samples is a challenge. In this manuscript, a lightweight semantic segmentation model based on the ""encoder-decoder"" structure is proposed for extracting buildings from hyperspectral remote sensing images. The proposed model employs the lightweight MobileNet combined with multi scale feature fusion and a group dilated convolution for modelling both shallow and deep spatial and spectral features as the encoder and an efficient combined standardized attention mechanism for selecting the most valuable bands and local information. Extensive experiments reveal that our method produces greater accuracy than state-of-the-art lightweight models in building extraction tasks. We also demonstrated the superiority of our method for insufficient training sample sizes. When only 50% of the samples of the initial training set were used, the mean intersection over union (mIOU) reached 91.90%, 4.5% higher than that of the next best method. For training sets composed of only 16 and 8 images, the mIOU values were 89.42 and 77.11%, respectively, 13.6 and 18 percentage points higher than that of the next best method. According to the visualization of the results, the proposed method obviously outperformed the compared methods. The model proposed in this paper is suitable for accurately extracting buildings from hyperspectral images in situations involving limited training samples.",Building extraction,Limited training samples,Semantic segmentation model,Attention mechanism,,Hyperspectral remote sensing,,,,,,,"Kai-Cun, Zhang",,,,,,,,
