,author1,author2,author3,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,author4,author5,author6,keyword4,keyword5,author7,author8,author9,keyword6,keyword7,keyword8,author10,author11,keyword9,keyword10,keyword11,keyword12,author12,author13
Row_1,"Farinas, Jose C.","Martin-Marcos, Ana","Velazquez, Francisco J.",The Geographical Scope of Multinational Firms and Heterogeneity,OPEN ECONOMIES REVIEW,SEP 2021,1,"This paper offers an empirical assessment of the geographical scope of multinational activity at the world level. With this objective, we estimate scope elasticities, which is the relationship between the productivity of the parent firm and the probability of operating abroad in different markets through subsidiaries with the same main activity. Elasticities are estimated for a baseline cross-section of 35 home countries that represent more than 70% of total outward FDI investment at the world level. At the aggregate level, the results indicate quite consistently, through various estimation methods, that a 10% increase in the productivity of the parent firm increases the probability in a range between 0.8-1.0%. Elasticities for manufacturing more than double the elasticities for the service sector. The paper also explores the heterogeneity of scope elasticities across home countries and sectors. This heterogeneity is related to differences across bilateral home-host country characteristics such as the size of the potential host market, bilateral distance and other factors such as institutional quality of host countries and cultural closeness. The signs attached to some of these factors are in general consistent with the predictions of models of firm heterogeneity and FDI activity.",Geographical multinational activity,Scope elasticity,Firm heterogeneity,,,,,,,,,,,,,,,,,,,
Row_2,"Chao, Day-Yu","Cheng, Kuang-Fu","Hsieh, Ying-Hen",Geographical heterogeneity and influenza infection within households,BMC INFECTIOUS DISEASES,JUL 3 2014,1,"Background: Although it has been suggested that schoolchildren vaccination reduces influenza morbidity and mortality in the community, it is unknown whether geographical heterogeneity would affect vaccine effectiveness.Methods: A 3-year prospective, non-randomized sero-epidemiological study was conducted during 2008-2011 by recruiting schoolchildren from both urban and rural areas. Respective totals of 124, 206, and 176 households were recruited and their household contacts were followed. Serum samples were collected pre-vaccination, one-month post-vaccination and post-season from children and household contacts for hemagglutination inhibition (HI) assay. A multivariate logistic model implemented with generalized estimation equations (GEE) was fitted with morbidity or a four-fold increase in HI titer of the household contacts for two consecutive sera as the dependent variable; with geographical location, vaccination status of each household and previous vaccination history as predictor variables.Results: Although our results show no significant reduction in the proportion of infection or clinical morbidity among household contacts, a higher risk of infection, indicated by odds ratio > 1, was consistently observed among household children contacts from the un-vaccinated households after adjusting for confounding variables. Interestingly, a statistically significant lower risk of infection was observed among household adult contacts from rural area when compared to those from urban area (OR = 0.89; 95% CI: 0.82-0.97 for Year 2 and OR = 0.85; 95% CI: 0.75-0.96 for Year 3).Conclusions: A significant difference in the risk of influenza infection among household adults due to geographical heterogeneity, independent of schoolchildren vaccination status, was revealed in this study. Its impact on vaccine effectiveness requires further study.",Influenza,Trivalent Inactivated Vaccine ( TIV),Children,"Li, Tsai-Chung","Wu, Trong-Neng","Chen, Chiu-Ying",Household contacts,Geographical heterogeneity,,,,,,,,,,,,,,
Row_3,"Thai, K. T. D.","Nagelkerke, N.","Phuong, H. L.",Geographical heterogeneity of dengue transmission in two villages in southern Vietnam,EPIDEMIOLOGY AND INFECTION,APR 2010,29,"This study was performed to test the hypothesis that there are 'hotspots', i.e. geographical heterogeneity, of dengue transmission. Data from two repeat serosurveys in two villages in Vietnam were used to identify incident infections and to relate these to prevalence at baseline and thus assess geographical heterogeneity, i.e. clustering, in dengue transmission. A total of 400 households were surveyed; serological data from 521 children at baseline and from 119 children at follow-up were included in a spatial analysis. Geographical heterogeneity of dengue transmission was explored using a permutation null distribution test. This showed for the first time evidence of clustering of dengue virus transmission at the household level in asymptomatic children. Risk areas could be identified by seroprevalence surveys combined with mapping. Control of dengue virus transmission could be supported by identification and control of hotspots.",Cluster analysis,dengue,dengue transmission,"Nga, T. T. T.","Giao, P. T.","Hung, L. Q.",geographical heterogeneity,Vietnam,"Binh, T. Q.","Nam, N. V.","de Vries, P. J.",,,,,,,,,,,
Row_4,"Leufkens, Daniel",,,The problem of heterogeneity between protected geographical indications: a meta-analysis,BRITISH FOOD JOURNAL,2018,26,"Purpose For a long time the European geographical indication (GI) regulation has been of great interest to economists and policymakers. To justify exclusive European regulation it is necessary to prove the positive value of a GI quality signal (i.e. label), which is often achieved by quantifying its monetary value for the consumers. But even though a large number of literary contributions already deal with this question, they lack the evaluation of overall effect sizes for the GI label. The purpose of this paper is, therefore, to quantify and evaluate the overall marginal consumer willingness to pay for the European GI label.Design/methodology/approach To reach this aim, a meta-analysis is used for which a literature survey had been carried out in order to determine the GI label effects (LEs). In addition to previous works, this paper not only includes a meta-analysis, but also implements a heterogeneity analysis to distinguish between the LEs of individual GI standards. To eliminate study- and product-specific determinants of heterogeneity, moderator variables are used.Findings The empirical results indicate that consumers have a highly significant and positive marginal willingness to pay for GIs. However, the marginal willingness to pay differs significantly between the individual GI standards and indicates great heterogeneity between the protected products.Originality/value As an extension to previous studies and meta-analysis; this paper includes the most extensive GIs meta-data set so far, and conducts for the first time an independent heterogeneity analysis to distinguish between the LEs of individual GI standards and implements a moderator analysis to eliminate study- and product-specific determinants of heterogeneity from the GI effects.",Meta-analysis,Heterogeneity,Food label,,,,Geographical indications (GI),,,,,,,,,,,,,,,
Row_5,"Halas, Marian","Klapka, Pavel",,Heterogeneity and continuity of geographical space: an example of functional regions in Slovakia,GEOGRAFIE,2020,9,"Heterogeneity and continuity are two basic traits of geographic space that are also responsible for the problem of spatial uncertainty. In the existing research, heterogeneity and continuity have predominantly been discussed in relation to an analysis of scalar spatial information, i.e. information linked to a single place or a single region. This paper presents a possibility to express the heterogeneity and continuity of geographical space by vector information using methods of functional regional taxonomy. The first objective is to define functional regions in Slovakia based on daily travel-to-work flows (i.e. ""crisp"" expressions of heterogeneity of space sensu fuzzy set theory). Added value rests in the analyses and cartographic expressions of relative self-containments for resulting functional regions and an orientation of interregional commuting flows. The second objective is to express continuity of space symbolically through an analysis of uncertainty in the resulting system of functional regions.",Heterogeneity of geographical space,continuity of geographical space,spatial uncertainty,,,,functional regions,daily urban system,,,,self-containment of regions,fuzzy character of regions,Slovakia,,,,,,,,
Row_6,"Zhang, Yuhuan","Lu, Huapu","Qu, Wencong",Geographical Detection of Traffic Accidents Spatial Stratified Heterogeneity and Influence Factors,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,JAN 2 2020,25,"The purpose of this paper is to investigate the existence of stratification heterogeneity in traffic accidents in Shenzhen, what factors influence the casualties, and the interaction of those factors. Geographical detection methods are used for the analysis of traffic accidents in Shenzhen. Results show that spatial stratification heterogeneity does exist, and the influencing factors of fatalities and injuries are different. The traffic accident causes and types of primary responsible party have a strong impact on fatalities and injuries, followed by zones and time interval. However, road factors, lighting, topography, etc., only have a certain impact on fatalities. Drunk driving, speeding over 50%, and overloading are more likely to cause more casualties than other illegal behaviors. Speeding over 50% and speeding below 50% have significant different influences on fatalities, while the influences on injuries are not obvious, and so do drunk driving (Blood Alcohol Concentration >= 0.08) and driving under the influence of alcohol (0.08 > Blood Alcohol Concentration >= 0.02). Both pedestrians and cyclists violating the traffic law are vulnerable to fatality. Heavy truck overloading is more likely to cause major traffic accidents than minibuses. More importantly, there are nonlinear enhanced interactions between the influencing factors, the combination of previous non-significant factors and other factors can have a significant impact on the traffic accident casualties. The findings could be helpful for making differentiated prevention and control measures for traffic accidents in Shenzhen and the method selection of subsequent research.",spatial analysis,spatial statistics,geographical detectors,,,,stratified heterogeneity,factors,,,,traffic accident,nonlinear interaction,,,,,,,,,
Row_7,"Dupuy, Berit Myhre","Stenersen, Margurethe","Lu, Tim T.",Geographical heterogeneity of Y-chromosomal lineages in Norway,FORENSIC SCIENCE INTERNATIONAL,DEC 1 2006,26,"Y-chromosomal variation at five biallelic markers (Tat, YAP, 12f2, SRY10831 and 92R7) and nine multiallelic short tandem repeat (STR) loci (DYS19, DYS3891, DYS38911, DYS390, DYS391, DYS392, DYS393, DYS3851/11 and DYS388) in a Norwegian population sample are presented. The material consists of 1766 unrelated males of Norwegian origin. The geographical distribution of the population sample reflects fairly well the population distribution around the year 1942, which is the median birth year of the index persons. Seven hundred and twenty-one different Y-STR haplotypes but 726 different lineages (Y-STRs plus biallelic markers) were encountered. We observed six known (P*(xRla), BR(xDE, J, N3, P), Rla, N3, DE,J), and one previously undescribed haplogroup (probably a subgroup within haplogroup P*(xRla)). Four of the haplogroups (P*(xRla), BR(xDE, J, N3, P), Rla and N3) represented about 98% of the population sample. The analysis of population pairwise differences indicates that the Norwegian Y-chromosome distribution most closely resembles those observed in Iceland, Germany, the Netherlands and Denmark. Within Norway, geographical substructuring was observed between regions and counties. The substructuring reflects to some extent the European Y-chromosome gradients, with higher frequency of P*(xRla) in the south-west and of Rla in the east. Heterogeneity in major founder groups, geographical isolation, severe epidemics, historical trading links and population movements may have led to population stratification and have most probably contributed to the observed regional differences in distribution of haplotypes within two of the major haplogroups. (c) 2005 Elsevier Ireland Ltd. All rights reserved.",short tandem repeat,Y-chromosomal lineages,heterogeneity,"Olaisen, Bjornar",,,,,,,,,,,,,,,,,,
Row_8,"Sakai, Shoko","Metelmann, Soeren","Toquenaga, Yukihiko",Geographical variation in the heterogeneity of mutualistic networks,ROYAL SOCIETY OPEN SCIENCE,JUN 2016,6,"Plant-animal mutualistic networks are characterized by highly heterogeneous degree distributions. The majority of species interact with few partner species, while a small number are highly connected to form network hubs that are proposed to play an important role in community stability. It has not been investigated, however, if or how the degree distributions vary among types of mutualisms or communities, or between plants and animals in the same network. Here, we evaluate the degree distributions of pollination and seed-dispersal networks, which are two major types of mutualistic networks that have often been discussed in parallel, using an index based on Pielou's evenness. Among 56 pollination networks we found strong negative correlation of the heterogeneity between plants and animals, and geographical shifts of network hubs from plants in temperate regions to animals in the tropics. For 28 seed-dispersal networks, by contrast, the correlation was positive, and there is no comparable geographical pattern. These results may be explained by evolution towards specialization in the presence of context-dependent costs that occur if plants share the animal species as interaction partner. How the identity of network hubs affects the stability and resilience of the community is an important question for future studies.",pollination,seed dispersal,ecological network,"Telschow, Arndt",,,degree distribution,specialization,,,,network heterogeneity,,,,,,,,,,
Row_9,"Chang, Dan","Olenzek, Amy M.","Duda, Thomas F., Jr.",Effects of geographical heterogeneity in species interactions on the evolution of venom genes,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,APR 22 2015,19,"Geographical heterogeneity in the composition of biotic interactions can create a mosaic of selection regimes that may drive the differentiation of phenotypes that operate at the interface of these interactions. Nonetheless, little is known about effects of these geographical mosaics on the evolution of genes encoding traits associated with species interactions. Predatory marine snails of the family Conidae use venom, a cocktail of conotoxins, to capture prey. We characterized patterns of geographical variation at five conotoxin genes of a vermivorous species, Conus ebraeus, at Hawaii, Guam and American Samoa, and evaluated how these patterns of variation are associated with geographical heterogeneity in prey utilization. All populations show distinct patterns of prey utilization. Three 'highly polymorphic' conotoxin genes showed significant geographical differences in allelic frequency, and appear to be affected by different modes of selection among populations. Two genes exhibited low levels of diversity and a general lack of differentiation among populations. Levels of diversity of 'highly polymorphic' genes exhibit a positive relationship with dietary breadth. The different patterns of evolution exhibited by conotoxin genes suggest that these genes play different roles in prey capture, and that some genes are more greatly affected by differences in predator-prey interactions than others. Moreover, differences in dietary breadth appear to have a greater influence on the differentiation of venoms than differences in the species of prey.",conotoxin,Conus,predator-prey interactions,,,,selection,geographical variation,,,,,,,,,,,,,,
Row_10,"Zhang, Zhiwei","Yin, Huiyan","Zhao, Ying",Spatial Heterogeneity and Driving Factors of Soil Moisture in Alpine Desert Using the Geographical Detector Method,WATER,OCT 2021,11,"Soil moisture is a vital factor affecting the hydrological cycle and the evolution of soil and geomorphology, determining the formation and development of the vegetation ecosystem. The previous studies mainly focused on the effects of different land use patterns and vegetation types on soil hydrological changes worldwide. However, the spatial heterogeneity and driving factors of soil gravimetric water content in alpine regions are seldom studied. On the basis of soil sample collection, combined with geostatistical analysis and the geographical detector method, this study examines the spatial heterogeneity and driving factors of soil gravimetric water content in the typical alpine valley desert of the Qinghai-Tibet Plateau. Results show that the average value of soil gravimetric water content at different depths ranges from 3.68% to 7.84%. The optimal theoretical models of soil gravimetric water content in 0-50 cm layers of the dune are different. The nugget coefficient shows that the soil gravimetric water content in the dune has a strong spatial correlation at different depths, and the range of the optimal theoretical model of semi-variance function is 31.23-63.38 m, which is much larger than the 15 m spacing used for sampling. The ranking of the influence of each evaluation factor on the alpine dune is elevation > slope > location > vegetation > aspect. The interaction detection of factors indicates that an interaction exists among evaluation factors, and no factors are independent of one another. In each soil layer of 0-50 cm, the interaction among evaluation factors has a two-factor enhancement and a nonlinear enhancement effect on soil gravimetric water content. This study contributes to the understanding of spatial heterogeneity and driving factors of soil moisture in alpine deserts, and guidance of artificial vegetation restoration and soil structure analysis of different desert types in alpine cold desert regions.",geographical detector,alpine dunes,spatial heterogeneity,"Wang, Shaoping","Han, Jiahua","Yu, Bo",soil moisture,Qinghai-Tibet Plateau,"Xue, Jie",,,,,,,,,,,,,
