,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,author42,author43,author44,author45,author46,author47,author48,author49,author50,author51,author52,author53,author54,author55,author56,author57,author58,author59,author60,author61,author62,author63,author64,author65,author66,author67,author68,author69,author70,author71,keyword6,conference,keyword7,keyword8,keyword9,keyword10
Row_51,"Subramaniam, Narayana","Clark, Jonathan Robert","Goldstein, David","de Almeida, John","Ali Abdalaty, Ali Hosni","Balasubramanian, Deepak","Thankappan, Krishnakumar","Iyer, Subramania","Batstone, Martin","Iyer, N. Gopal","Smee, Robert, I","Chandrasekhar, Naveen Hedne","Pillai, Vijay","Shetty, Vivek","Rangappa, Vidyabhushan","Veness, Michael","Low, Tsu-Hui Hubert",Geographical heterogeneity in the American Joint committee on Cancer oral cancer staging and prognostic implications,ORAL ONCOLOGY,FEB 2021,3,"Objectives: The AJCC 8th edition (AJCC 8) has introduced depth of invasion (DOI) and extranodal extension (ENE) into staging for oral squamous cell carcinoma (OSCC). Although validations have been performed on institutional datasets have shown a good performance, particularly in early OSCC, there have been no studies on diverse patient populations that determine the impact on prognostic heterogeneity.Materials and methods: Retrospective analysis of 4710 patients with oral squamous cell carcinoma (OSCC) treated with surgery +/- adjuvant therapy in 8 institutions in Australia, North America and Asia. With overall survival (OS) as endpoint, the prognostic performance of AJCC 7th and 8th editions were compared using Akaike Information Criterion (AIC), Bayesian Information Criteria (BIC), Harrell's concordance index (C-index).Results: When comparing AJCC 8 to AJCC 7, the heterogeneity in prediction of OS increased for T-category and N-category while remaining unchanged for TNM staging, suggesting AJCC 8 increased complexity with no improvement in predictive value. There were significant differences in median DOI and incidence of ENE between geographical regions, resulting in dissimilar rates of stage-migration when adopting AJCC 8.Conclusion: In an attempt to improve prognostic performance, AJCC 8 introduced more variables; however heterogeneity in these results in significant geographical differences in model discrimination and performance. Caution should be applied as this may result in inaccurate and unreliable prognostic predictions that may impact treatment recommendations.",Oral squamous cell carcinoma,Oral Cancer,AJCC 8th edition,Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_52,"Bai, Hexiang","Wang, Hui","Li, Deyu","Ge, Yong",,,,,,,,,,,,,,Information Consistency-Based Measures for Spatial Stratified Heterogeneity,ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS,NOV 26 2023,4,"As a typical form of spatial heterogeneity, spatial stratified heterogeneity is widely observed in geographical phenomena. Although the q statistic provides a measure of spatial stratified heterogeneity using variance differences, it is not suitable for nominal target variables and neglects information differences between strata at higher order moments. Based on the mutual information and relative entropy between variables, two spatial stratified heterogeneity measures are proposed for nominal and continuous target variables, respectively. Permutation tests are then used to determine their statistical significance. The proposed measures are suitable for either nominal or continuous target variables. They make no assumptions regarding the distribution of target variables, and return a value of zero only when the distribution of the target variable is independent of the explanatory variable. Experiments on five illustrative data sets and three publicly accessible data sets show that the proposed measures are consistent with the q statistic and can detect the existence of spatial stratified heterogeneity when the q statistic fails, so long as there are significant differences between the distributions in different strata.",mutual information,relative entropy,spatial heterogeneity,spatial stratified heterogeneity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_53,"Wu, Yafei","Hu, Ke","Han, Yaofeng","Sheng, Qilin","Fang, Ya",,,,,,,,,,,,,Spatial Characteristics of Life Expectancy and Geographical Detection of Its Influencing Factors in China,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,FEB 1 2020,19,"Life expectancy (LE) is a comprehensive and important index for measuring population health. Research on LE and its influencing factors is helpful for health improvement. Previous studies have neither considered the spatial stratified heterogeneity of LE nor explored the interactions between its influencing factors. Our study was based on the latest available LE and social and environmental factors data of 31 provinces in 2010 in China. Descriptive and spatial autocorrelation analyses were performed to explore the spatial characteristics of LE. Furthermore, the Geographical Detector (GeoDetector) technique was used to reveal the impact of social and environmental factors and their interactions on LE as well as their optimal range for the maximum LE level. The results show that there existed obvious spatial stratified heterogeneity of LE, and LE mainly presented two clustering types (high-high and low-low) with positive autocorrelation. The results of GeoDetector showed that the number of college students per 100,000 persons (NOCS) could mainly explained the spatial stratified heterogeneity of LE (Power of Determinant (PD) = 0.89, p < 0.001). With the discretization of social and environmental factors, we found that LE reached the highest level with birth rate, total dependency ratio, number of residents per household and water resource per capita at their minimum range; conversely, LE reached the highest level with consumption level, GDP per capita, number of college students per 100,000 persons, medical care expenditure and urbanization rate at their maximum range. In addition, the interaction of any two factors on LE was stronger than the effect of a single factor. Our study suggests that there existed obvious spatial stratified heterogeneity of LE in China, which could mainly be explained by NOCS.",life expectancy,spatial characteristics,social and environmental factors,spatial stratified heterogeneity,Geographical Detector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_54,"Butts, Carter T.","Acton, Ryan M.","Hipp, John R.","Nagle, Nicholas N.",,,,,,,,,,,,,,Geographical variability and network structure,SOCIAL NETWORKS,JAN 2012,70,"In this paper, we explore the potential implications of geographical variability for the structure of social networks. Beginning with some basic simplifying assumptions, we derive a number of ways in which local network structure should be expected to vary across a region whose population is unevenly distributed. To examine the manner in which these effects would be expected to manifest given realistic population distributions, we then perform an exploratory simulation study that examines the features of large-scale interpersonal networks generated using block-level data from the 2000 U.S. Census. Using a stratified sample of micropolitan and metropolitan areas with populations ranging from approximately 1000 to 1,000,000 persons, we extrapolatively simulate network structure using spatial network models calibrated to two fairly proximate social relations. From this sample of simulated networks, we examine the effect of both within-location and between-location heterogeneity on a variety of structural properties. As we demonstrate, geographical variability produces large and distinctive features in the ""social fabric"" that overlies it; at the same time, however, many aggregate network properties can be fairly well-predicted from relatively simple spatial demographic variables. The impact of geographical variability is thus predicted to depend substantially on the type of network property being assessed, and on the spatial scale involved. (C) 2011 Published by Elsevier B.V.",Spatially embedded networks,Spatial Bernoulli graphs,Geographical variability,Settlement patterns,Graph-level indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_55,"Aliyeva, Gunay","Asadov, Chingiz","Mammadova, Tahira","Gafarova, Surmaya","Guliyeva, Yegana","Abdulalimov, Eldar",,,,,,,,,,,,Molecular and geographical heterogeneity of hemoglobinopathy mutations in Azerbaijanian populations,ANNALS OF HUMAN GENETICS,MAY 2020,5,"With the carrier rate of 4%-8.6%, beta-thalassemia is one of the most prevalent hereditary disorders in Azerbaijan. Taking into consideration the high frequency of beta-thalassemia as well as the occurrences of several other hemoglobinopathies, we conducted a large genotyping study to investigate the mutational background of common hemoglobinopathies in the country. Alpha- and beta-globin genes were evaluated in the carriers of mutations identified via hematological indices and hemoglobin fractions (n = 1,757). Genotyping of beta-thalassemia carriers identified through population screening revealed 32 mutations, with codon 8 [-AA]-34.96%, IVS-II-1 [G > A]-16.35%, and IVS-I-110 [G > A]-10.12% leading the spectrum. Analysis of associations of beta-thalassemia mutations with geographical regions of the country identified the strongest association between codon 8 [-AA] and Shaki-Zaqatala, and codon 5 [-CT] in Mountainous Shirvan regions (ri > 6.00; p < 0.05). HbS, HbD-Punjab, and HbE were the most prevalent among our variant hemoglobin cohort, commonly inherited in compounds with beta-thalassemia than in the homozygous state. We identified nine alpha-thalassemia mutations, 20.5 kb and 3.7 kb deletions together accounting for 74% of the spectrum. Point mutations of alpha-thalassemia were less common among our observations and were mainly inherited in compounds with deletions. Our results allow a better understanding of the wide spectrum of mutations in Azerbaijan and highlights the high heterogeneity of hemoglobinopathies in the local population.",Azerbaijanian population,hemoglobin variants,mutations,thalassemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_56,"Mattsson, Hedda","Gustafsson, Johanna","Prada, Sergio","Jaramillo-Otoya, Laura","Leckie, George","Merlo, Juan","Rodriguez-Lopez, Merida",,,,,,,,,,,Mapping socio-geographical disparities in the occurrence of teenage maternity in Colombia using multilevel analysis of individual heterogeneity and discriminatory accuracy (MAIHDA),INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH,FEB 23 2024,1,"BackgroundThe prevalence of teenage pregnancy in Colombia is higher than the worldwide average. The identification of socio-geographical disparities might help to prioritize public health interventions.AimTo describe variation in the probability of teenage maternity across geopolitical departments and socio-geographical intersectional strata in Colombia.MethodsA cross-sectional study based on live birth certificates in Colombia. Teenage maternity was defined as a woman giving birth aged 19 or younger. Multilevel analysis of individual heterogeneity and discriminatory accuracy (MAIHDA) was applied using multilevel Poisson and logistic regression. Two different approaches were used: (1) intersectional: using strata defined by the combination of health insurance, region, area of residency, and ethnicity as the second level (2) geographical: using geopolitical departments as the second level. Null, partial, and full models were obtained. General contextual effect (GCE) based on the variance partition coefficient (VPC) was considered as the measure of disparity. Proportional change in variance (PCV) was used to identify the contribution of each variable to the between-strata variation and to identify whether this variation, if any, was due to additive or interaction effects. Residuals were used to identify strata with potential higher-order interactions.ResultsThe prevalence of teenage mothers in Colombia was 18.30% (95% CI 18.20-18.40). The highest prevalence was observed in Vichada, 25.65% (95% CI: 23.71-27.78), and in the stratum containing mothers with Subsidized/Unaffiliated healthcare insurance, Mestizo, Rural area in the Caribbean region, 29.08% (95% CI 28.55-29.61). The VPC from the null model was 1.70% and 9.16% using the geographical and socio-geographical intersectional approaches, respectively. The higher PCV for the intersectional model was attributed to health insurance. Positive and negative interactions of effects were observed.ConclusionDisparities were observed between intersectional socio-geographical strata but not between geo-political departments. Our results indicate that if resources for prevention are limited, using an intersectional socio-geographical approach would be more effective than focusing on geopolitical departments especially when focusing resources on those groups which show the highest prevalence. MAIHDA could potentially be applied to many other health outcomes where resource decisions must be made.",Pregnancy in adolescence,Multilevel analysis,Intersectionality,Social inequity,Multilevel Analysis of Individual Heterogeneity and Discriminatory Accuracy (MAIHDA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_57,"Magal, Pierre","Noussair, Ahmed","Webb, Glenn","Wu, Yixiang",,,,,,,,,,,,,,MODELING EPIDEMIC OUTBREAKS IN GEOGRAPHICAL REGIONS: SEASONAL INFLUENZA IN PUERTO RICO,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES S,DEC 2020,1,"We develop a model for the spatial spread of epidemic outbreak in a geographical region. The goal is to understand how spatial heterogeneity influences the transmission dynamics of the susceptible and infected populations. The model consists of a system of partial differential equations, which indirectly describes the disease transmission caused by the disease pathogen. The model is compared to data for the seasonal influenza epidemics in Puerto Rico for 2015-2016.",Epidemic,spatial,geographical,seasonal,influenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_58,"Mason, Kate E.","Pearce, Neil","Cummins, Steven",,,,,,,,,,,,,,,Geographical heterogeneity across England in associations between the neighbourhood built environment and body mass index,HEALTH & PLACE,SEP 2021,10,"Effects of residential neighbourhood environments on health may vary across geographical space, with differences in local contexts influencing how much a given neighbourhood characteristic matters for the health of local residents. Linking UK Biobank data from 302,952 urban-dwelling adults in England, collected between 2006 and 2010, to publicly available Local Authority-level data, we examined (a) whether cross-sectional associations between body mass index (BMI) and two characteristics of the neighbourhood built environment (availability of formal physical activity facilities near home, and fast-food proximity) vary by Local Authority (LA), and (b) whether cross-level interactions with LA-level physical features (natural landcover) and socio-cultural attributes (local obesity norms) reveal evidence of effect modification by these features of the wider contexts in which neighbourhoods are located. We found variation across urban England in the relationship between availability of neighbourhood formal physical activity facilities and BMI, and some evidence suggesting this association was stronger among people living in areas with less natural landcover, especially in areas outside of London. We also found that the relationship between proximity of fast-food stores to people's homes and BMI varied geographically across England. Local descriptive obesity norms were not an important modifier of this association. This paper highlights the importance of considering potential geographical heterogeneity in relationships between the built environment and health, and the implications for generalisability of research findings. By seeking to better understand sources of geographical heterogeneity, we may be able to better adapt and target built environment interventions for population health improvement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_59,"Wu, Rong","Zhang, Yongli","Dai, Meilin","Li, Qingyin","Sun, Changlong",,,,,,,,,,,,,The Heterogeneity of the Drivers of Urban Form in China: Perspectives from Regional Disparities and Development Stage Variations,LAND,JUL 2023,3,"Although there have been many discussions about the influencing factors of urban expansion, the heterogeneity of the driving mechanisms behind urban form remains poorly understood. Therefore, this paper evaluated the heterogeneous impacts of potential determinants on urban form, considering regional disparities and the stage of development. Based on land use data collected from Landsat ETM and TM scenes, the landscape metrics of urban size, urban centrality, urban shape irregularity, and urban fragmentation were measured to describe the urban form of 265 Chinese cities. We find that the regional disparities and development-stage variations significantly affect urban form. All urban form variables showed a significant stair-stepping difference in cities at various development stages, indicating that as a city upgrades its level of development, the intensity of urban expansion gradually increases, the shape of the urban edge becomes more fragmented and the urban built-up area becomes more compact. Urban form in Chinese cities shows significant geographical heterogeneity in terms of its driving forces. The effect of the socioeconomic factors on urban form also presented changes depending on the development stage. Our results provide helpful references for policymakers within urban spatial structure planning and land resource management.",urban form,driving forces,geographical heterogeneity,development stage,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_60,"Ferri, Clodoveo","De Angelis, Rossella","Giuggioli, Dilia","Bajocchi, Gianluigi","Dagna, Lorenzo","Zanframundo, Giovanni","Foti, Rosario","Cacciapaglia, Fabio","Cuomo, Giovanna","Ariani, Alarico","Rosato, Edoardo","Guiducci, Serena","Girelli, Francesco","Riccieri, Valeria","Zanatta, Elisabetta","Bosello, Silvia","Cavazzana, Ilaria",Geographical heterogeneity of clinical and serological phenotypes of systemic sclerosis observed at tertiary referral centres. The experience of the Italian SIR-SPRING registry and review of the world literature,AUTOIMMUNITY REVIEWS,OCT 2022,6,"Introduction: Systemic sclerosis (SSc) is characterized by a complex etiopathogenesis encompassing both host genetic and environmental -infectious/toxic- factors responsible for altered fibrogenesis and diffuse microangiopathy. A wide spectrum of clinical phenotypes may be observed in patients' populations from different geographical areas. We investigated the prevalence of specific clinical and serological phenotypes in patients with definite SSc enrolled at tertiary referral centres in different Italian geographical macro-areas. The observed findings were compared with those reported in the world literature.Materials and methods: The clinical features of 1538 patients (161 M, 10.5%; mean age 59.8 +/- 26.9 yrs.; mean disease duration 8.9 +/- 7.7 yrs) with definite SSc recruited in 38 tertiary referral centres of the SPRING (Systemic sclerosis Progression INvestiGation Group) registry promoted by Italian Society of Rheumatology (SIR) were obtained and clustered according to Italian geographical macroareas.Results: Patients living in Southern Italy were characterized by more severe clinical and/or serological SSc phenotypes compared to those in Northern and Central Italy; namely, they show increased percentages of diffuse cutaneous SSc, digital ulcers, sicca syndrome, muscle involvement, arthritis, cardiopulmonary symptoms, interstitial lung involvement at HRCT, as well increased prevalence of serum anti-Scl70 autoantibodies. In the same SSc population immunusppressive drugs were frequently employed. The review of the literature underlined the geographical heterogeneity of SSc phenotypes, even if the observed findings are scarcely comparable due to the variability of methodological approaches.Conclusion: The phenotypical differences among SSc patients' subgroups from Italian macro-areas might be correlated to genetic/environmental co-factors, and possibly to a not equally distributed national network of information and healthcare facilities.",Systemic sclerosis,Scleroderma,Geographical areas,Macro-areas,Environmental,"Ingegnoli, Francesca","De Santis, Maria","Murdaca, Giuseppe","Abignano, Giuseppina","Romeo, Nicoletta","Della Rossa, Alessandra","Caminiti, Maurizio","Iuliano, Annamaria","Ciano, Giovanni","Beretta, Lorenzo","Bagnato, Gianluca","Lubrano, Ennio","De Andres, Ilenia","Giollo, Alessandro","Saracco, Marta","Agnes, Cecilia","Lumetti, Federica","Spinella, Amelia","Magnani, Luca","Campochiaro, Corrado","De Luca, Giacomo","Codullo, Veronica","Visalli, Elisa","Masini, Francesco","Gigante, Antonietta","Bellando-Randone, Silvia","Pellegrino, Greta","Pigatto, Erika","Lazzaroni, Maria Grazia","Franceschini, Franco","Generali, Elena","Mennillo, Gianna","Barsotti, Simone","Mariano, Giuseppa Pagano","Calabrese, Francesca","Furini, Federica","Vultaggio, Licia","Parisi, Simone","Peroni, Clara Lisa","Rozza, Davide","Zanetti, Anna","Carrara, Greta","Landolfi, Giampiero","Scire, Carlo Alberto","Bianchi, Gerolamo","Fusaro, Enrico","Sebastiani, Gian Domenico","Govoni, Marcello","D'Angelo, Salvatore","Cozzi, Franco","Doria, Andrea","Iannone, Florenzo","Salvarani, Carlo","Matucci-Cerinic, Marco",Referral,,,,,
