,author1,author2,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author3,author4,author5,author6,author7,author8,keyword6,author9,author10,keyword7,conference,keyword8,keyword9,author11,keyword10,keyword11,keyword12,keyword13,author12,keyword14,keyword15,keyword16,keyword17,keyword18,author13,author14,author15
Row_229,"Xu, Pengpeng","Huang, Helai",Modeling crash spatial heterogeneity: Random parameter versus geographically weighting,ACCIDENT ANALYSIS AND PREVENTION,FEB 2015,204,"The widely adopted techniques for regional crash modeling include the negative binomial model (NB) and Bayesian negative binomial model with conditional autoregressive prior (CAR). The outputs from both models consist of a set of fixed global parameter estimates. However, the impacts of predicting variables on crash counts might not be stationary over space. This study intended to quantitatively investigate this spatial heterogeneity in regional safety modeling using two advanced approaches, i.e., random parameter negative binomial model (RPNB) and semi-parametric geographically weighted Poisson regression model (S-GWPR).Based on a 3-year data set from the county of Hillsborough, Florida, results revealed that (1) both RPNB and S-GWPR successfully capture the spatially varying relationship, but the two methods yield notably different sets of results; (2) the S-GWPR performs best with the highest value of id as well as the lowest mean absolute deviance and Akaike information criterion measures. Whereas the RPNB is comparable to the CAR, in some cases, it provides less accurate predictions; (3) a moderately significant spatial correlation is found in the residuals of RPNB and NB, implying the inadequacy in accounting for the spatial correlation existed across adjacent zones.As crash data are typically collected with reference to location dimension, it is desirable to firstly make use of the geographical component to explore explicitly spatial aspects of the crash data (i.e., the spatial heterogeneity, or the spatially structured varying relationships), then is the unobserved heterogeneity by non-spatial or fuzzy techniques. The S-GWPR is proven to be more appropriate for regional crash modeling as the method outperforms the global models in capturing the spatial heterogeneity occurring in the relationship that is model, and compared with the non-spatial model, it is capable of accounting for the spatial correlation in crash data. (C) 2014 Elsevier Ltd. All rights reserved.",Spatial heterogeneity,Regional crash prediction model,Random parameter negative binomial model,Semi-parametric geographically weighted,Poisson regression model,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_230,"D'Mello, Felicity","Jervis, Sarah M.",Heterogeneity in the capsid protein of bovine enteric caliciviruses belonging to a new genus,VIROLOGY,APR 25 2009,8,"Some bovine enteric caliciviruses form a new genus in the family Caliciviridae. In this study, Bayesian phylogenetic analysis of 31 full length capsid sequences from Europe, North America and Asia revealed that this new genus had four currently circulating lineages that showed both temporal and geographical distribution. These groupings were supported by the distribution of the frequency of pair-wise distances. However, the nucleotide and amino acid heterogeneity was low, with a maximum nucleotide and amino acid divergence of 16.7% and 8.4%, respectively. Most variability was found between amino acid residues 288 and 420 of the capsid protein and the sequence motifs observed in this region Supported the division of the four lineages. Homology modelling using the structure of the San Miguel sea lion capsid indicated that most variation occurred in the predicted P2 domain and thus, may affect antigenic sites on the surface of the capsid of this newly described genus. (C) 2009 Elsevier Inc. All rights reserved.",Calicivirus,Bovine,Capsid sequence heterogeneity,Enteric,,"Edwards, Paul M.","Oliver, Stefan L.","Bridger, Janice C.",,,,,,,,,,,,,,,,,,,,,,,,
Row_231,"Ho, Phuong-Thao","Park, Eunji",Geographical structure of endosymbiotic bacteria hosted by Bathymodiolus mussels at eastern Pacific hydrothermal vents,BMC EVOLUTIONARY BIOLOGY,MAY 30 2017,16,"Background: Chemolithoautotrophic primary production sustains dense invertebrate communities at deep-sea hydrothermal vents and hydrocarbon seeps. Symbiotic bacteria that oxidize dissolved sulfur, methane, and hydrogen gases nourish bathymodiolin mussels that thrive in these environments worldwide. The mussel symbionts are newly acquired in each generation via infection by free-living forms. This study examined geographical subdivision of the thiotrophic endosymbionts hosted by Bathymodiolus mussels living along the eastern Pacific hydrothermal vents. High-throughput sequencing data of 16S ribosomal RNA encoding gene and fragments of six protein-coding genes of symbionts were examined in the samples collected from nine vent localities at the East Pacific Rise, Galapagos Rift, and Pacific-Antarctic Ridge.Results: Both of the parapatric sister-species, B. thermophilus and B. antarcticus, hosted the same numerically dominant phylotype of thiotrophic Gammaproteobacteria. However, sequences from six protein-coding genes revealed highly divergent symbiont lineages living north and south of the Easter Microplate and hosted by these two Bathymodiolus mussel species. High heterogeneity of symbiont haplotypes among host individuals sampled from the same location suggested that stochasticity associated with initial infections was amplified as symbionts proliferated within the host individuals. The mussel species presently contact one another and hybridize along the Easter Microplate, but the northern and southern symbionts appear to be completely isolated. Vicariance associated with orogeny of the Easter Microplate region, 2.5-5.3 million years ago, may have initiated isolation of the symbiont and host populations. Estimates of synonymous substitution rates for the protein-coding bacterial genes examined in this study were 0.77-1.62%/nucleotide/million years.Conclusions: Our present study reports the most comprehensive population genetic analyses of the chemosynthetic endosymbiotic bacteria based on high-throughput genetic data and extensive geographical sampling to date, and demonstrates the role of the geographical features, the Easter Microplate and geographical distance, in the intraspecific divergence of this bacterial species along the mid-ocean ridge axes in the eastern Pacific. Altogether, our results provide insights into extrinsic and intrinsic factors affecting the dispersal and evolution of chemosynthetic symbiotic partners in the hydrothermal vents along the eastern Pacific Ocean.",Chemosynthetic symbiosis,Deep-sea hydrothermal vent,Bathymodiolus mussels,Sulfur-oxidizing endosymbiont,Gammaproteobacteria,"Hong, Soon Gyu","Kim, Eun-Hye","Kim, Kangchon","Jang, Sook-Jin","Vrijenhoek, Robert C.","Won, Yong-Jin",Geographical population structure,,,,,,,,,,,,,,,,,,,,
Row_232,"Xu, Xin","Zhao, Yuan","Identifying the Impacts of Social, Economic, and Environmental Factors on Population Aging in the Yangtze River Delta Using the Geographical Detector Technique",SUSTAINABILITY,MAY 2018,31,"Under the background of social transformation and space reconstruction, population aging in China is becoming more and more diverse and complex. ""Aging before getting rich"", a notion in population and economic development, has been a serious threat to sustainable development in China. On the basis of town- and street block-scale data from the Fifth and Sixth National Census in the Yangtze River Delta, we studied spatial distribution characteristics of population aging using global Moran's I and hotspot analysis, and applied the geographical detector technique to explain the spatial heterogeneity of population aging. Several conclusions were drawn. (1) The promotion and replacement of aging coexist. Cluster of aging degree exhibits an increasing trend. Population aging is more severe in suburban areas than urban areas. (2) Migration is the main factor affecting the spatial heterogeneity of population aging. Per capital GDP and road network density are the second most influential factors. By contrast, the relief degree of land surface and the air quality index minimally influence population aging. The mechanisms of aging in various regions are affected by varying development levels. (3) The interaction among social, economic, and environmental factors enhances their effects and, thus, interacting factors have a greater influence on population aging than any single factor. The findings of this study have significant implications for local inhabitants and policy makers to address the population aging challenge in achieving sustainability of society, economy, and environment.","social, economic, and environmental factors",population aging,geographical detector technique,Yangtze River Delta,,"Zhang, Xinlin","Xia, Siyou",,,,,,,,,,,,,,,,,,,,,,,,,
Row_233,"Fang, Yebing","Wang, Limao",Spatial Heterogeneity of Energy-Related CO2 Emission Growth Rates around the World and Their Determinants during 1990-2014,ENERGIES,MAR 2017,10,"Understanding the spatial heterogeneity and driving force identification of energy-related CO2 emissions (ECEs) can help build consensus for mitigating CO2 emissions and designing appropriate policies. However, previous studies on ECEs that focus on both the global-regional scale and the interaction of factors have been seldom conducted. In this paper, ECE data from 143 countries from 1990 to 2014 were selected to analyze regional differences in ECE growth rates by using the coefficient of variation. Then a geographical detector was used to analyze the key determinant factors on ECE growth rates around the world and in eight types of regions. The results show that: (1) the ECE growth rate in the Organization for Economic Cooperation and Development (OECD) region is low and tended to decrease, while in the non-OECD region it is high and tended to increase; (2) the coefficient of variation and detection factor of ECE growth rates at a regional scale are higher than those at a global scale; (3) in terms of the key determinant factors, population growth rate, growth rate of per capita GDP, and energy intensity growth rate are the three key determinant factors of ECE growth rates in the OECD region and most of the non-OECD regions such as non-OECD European and Eurasian (NO-EE), Asia (NO-AS), non-OECD Americas (NO-AM). The key determinant factors in the African (NO-AF) region are population growth rates and natural gas carbon intensity growth rates. The key determinant factors of the Middle East (NO-ME) are population growth rate, coal carbon intensity growth rate and per capita GDP growth rate; (4) the determinant power of the detection factor, the population growth rate at the global scale and regional scale is the strongest, showing a significant spatial consistency. The determinant power of per capita GDP growth rate and energy intensity growth rate in the OECD region, respectively, rank second and third, also showing a spatial consistency. However, the carbon intensity growth rates of the three fossil fuels contribute little to the growth rate of ECEs, and their spatial coherence is weak; (5) from the perspective of the interaction of detection factors, six detection factors showed bilinear or non-linear enhancement at a global and a regional scale, and the determinant power of the interaction of factors was significantly enhanced; and (6) from the perspective of ecological detection, the growth rate of carbon intensity and the growth rate of natural gas carbon intensity at the global scale and NO-ME region are significantly stronger than other factors, with a significant difference in the spatial distribution of its incidence. Therefore, the OECD region should continue to reduce the growth of energy intensity, and develop alternative energy resources in the future, while those that are plagued by carbon emissions in non-OECD regions should pay more attention to the positive influence of lower population growth rates on reducing the growth rate of energy-related CO2 emissions. Reducing energy intensity growth rates and reducing, fossil energy consumption carbon intensity.",energy-related carbon emissions,determinant factors,spatial heterogeneity,geographical detector,growth rate,"Ren, Zhoupeng","Yang, Yan","Mou, Chufu","Qu, Qiushi",,,,,,,,,,,,,,,,,,,,,,,
Row_234,"Huo, Shirui","Liu, Ying",Environmental and social determinants of thyroid cancer: A spatial analysis based on the Geographical Detector,FRONTIERS IN ENDOCRINOLOGY,NOV 29 2022,2,"IntroductionThyroid cancer has increased sharply in China in recent years. This change may be attributable to multiple factors. The current study aimed to explore the environmental and social determinants of thyroid cancer. MethodsIncidence data from 487 cancer registries in 2016 were collected. Eight factors were considered, namely, air pollution, green space, ambient temperature, ultraviolet radiation, altitude, economic status, healthcare, and education level. A geographical detector (measured by q statistic) was used to evaluate the independent and interactive impact of the eight factors on thyroid cancer. ResultsSocial factors, especially economic status and healthcare level (q > 0.2), were most influential on thyroid cancer.Ultraviolet radiation, air pollution, and temperature had more impact on women, while green space and altitude had more influence on men. Enhanced effects were observed when two factors interacted. Spatially, economic status, healthcare, and air pollution were positively associated with thyroid cancer, while education level, green space, and altitude were negatively related to thyroid cancer. ConclusionThe socio-environmental determinants and spatial heterogeneity of thyroid cancer were observed in this study. These findings may improve our understanding of thyroid cancer epidemiology and help guide public health interventions.",thyroid cancer,environmental,social,risk factor,ecological study,"Sun, Anyi","Zhang, Bo",,,,,geographical detector,,,,,,,,,,,,,,,,,,,,
Row_235,"Niu, Yuan","Yu, Hui","Within-lake heterogeneity of environmental factors structuring bacterial community composition in Lake Dongting, China",WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,NOV 2015,11,"Within-lake heterogeneity of bacterial community composition (BCC) was investigated in the large and shallow regulating Lake Dongting. Samples were collected at 13 sites located in different areas of the lake. PCR-denaturing gradient gel electrophoresis (DGGE) and redundancy analysis (RDA) were used for revealing spatial distribution of BCC and the relationships between BCC and environmental variables. The DGGE banding patterns revealed a remarkable spatial heterogeneity which was closely related to their geographical positions. RDA result demonstrated that TP and TN, as well as Secchi depth, were the three most influential factors, responsible for a major part of the observed variation in BCC. Total bacterial abundances were significantly higher in Eastern Dongting due to high TP and suspended solids. In conclusion, bacterial community diversity in Lake Dongting was mainly shaped by within-lake heterogeneity of nutrient and transparency.",Bacterial community composition (BCC),Within-lake heterogeneity,Denaturing gradient gel electrophoresis (DGGE),Redundancy analysis (RDA),Lake Dongting,"Jiang, Xia",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_236,"Prema, P.","Bangar, Y. C.",Estimating Heterogeneity and Pooled Prevalence of Classical Swine Fever in Pigs in India: A Meta-analysis,INDIAN JOURNAL OF ANIMAL RESEARCH,SEP 2023,0,"Background: Classical swine fever (CSF) is caused by small enveloped RNA virus that belongs to the Flaviviridae family and causes high morbidity and mortality events for pig farming. In India, it is highly prevalent but with varied distribution in various geographical areas resulting in substantial economic losses to farmers. The discrepancy in prevalence estimates across studies needs to be evaluated in order to strengthen the prevention and control strategies of CSF in pigs. The aim of the present study was to provide the pooled estimate of the prevalence of classical swine fever (CSF) in India and to examine the consistency of those estimates between published studies.Methods: The data regarding prevalence of CSF in 7045 pigs were compiled from 22 published studies using comprehensive literature search for period from 1998 to 2018. The pooled prevalence of CSF was obtained under random effects model and heterogeneity between studies was determined using I-2 Index. Representation of meta-analysis was done using forest plot and followed by funnel plot, Baujat plot and radial plot.Result: The result of Meta-analysis revealed that pooled estimate of prevalence of CSF under random effects model was 45% (95% confidence interval: 35, 55%) in India. The heterogeneity statistic (Q) was found to be significant (p<0.001) with I2=98% which indicated that prevalence of CSF was inconsistent between the studies. Likewise, results of funnel plot and Radial plot indicated heterogeneity between studies. Most influential studies for overall heterogeneity were identified using Baujat and radical plots.",Classical swine fever,Heterogeneity,Meta-analysis,Pig,Prevalence.,"Sharma, Vijay Bahadur","Kumar, Sanjay","Kumar, Dinesh","Verma, Med Ram",,,,,,,,,,,,,,,,,,,,,,,
Row_237,"Neuberger, Franz","Ruettenauer, Tobias",Where does public childcare boost female labor force participation? Exploring geographical heterogeneity across Germany 2007-2017,DEMOGRAPHIC RESEARCH,APR 7 2022,6,"BACKGROUND Public childcare provision and female labor force participation (FLP) have strongly increased over the past decades in European societies. However, studies offer heterogeneous findings on the link between public childcare and FLP. OBJECTIVE We investigate the link between public childcare and FLP, using different indicators of childcare and accounting for heterogeneous time trends and regional heterogeneity. METHODS Based on a balanced panel of all German counties from 2007 to 2017, we estimate the effect of an increasing enrollment rate for children aged 0-2 and 3-5 on FLP. We compare fixed effect (FE) and fixed effect individual slope estimators (FEIS) to control for county-specific time trends. Subsequently, we compare the results across regions with different levels of urbanization. RESULTS We find that most FE results are biased due to selection on trends. Still, when accounting for selection on trends, childcare enrollment for the age group 0-2 increases FLP in West Germany and in urban areas. Furthermore, childcare enrollment for children aged 3-5 years is associated with higher FLP in West Germany, in rural and, most strongly, in metropolitan areas. CONCLUSIONS Our study highlights important heterogeneity in the general time trends of FLP and the effectiveness of childcare arrangements across different regions in Germany. CONTRIBUTION We provide a potential explanation for mixed results in previous studies. Moreover, our findings demonstrate that the effectiveness of childcare arrangements varies with the level of urbanization. Taking this heterogeneity into account can help to develop target-oriented policy interventions.",,,,,,"Bujard, Martin",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_238,"Zhou, Bin","Zhao, Bin",Investigating the geographical heterogeneity in PM10-mortality associations in the China Air Pollution and Health Effects Study (CAPES): A potential role of indoor exposure to PM10 of outdoor origin,ATMOSPHERIC ENVIRONMENT,AUG 2013,50,"This study gives the first-time evidence for China that the geographical heterogeneity of the acute effects of outdoor PM10 can be partially explained by differences in indoor exposure to PM10 of outdoor origin. We used data from the China Air Pollution and Health Effects Study (CAPES), which demonstrated a geographical heterogeneity of the acute effect of particulate air pollution (particulate matter with an aerodynamic diameter smaller than 10 gm, or PM10) on mortality in 16 Chinese cities. Given that a large fraction of the exposure to PM10 of outdoor origin occurs indoors, we made the hypothesis that this heterogeneity might be partially explained by inter-city differences in indoor exposure to PM10 of outdoor origin. In our analysis, we estimated PM10 exposure coefficients (the change in the estimated personal exposure to PM10 of outdoor origin per unit change in outdoor PM10 concentration) in these 16 Chinese cities and examined their correlation with PM10 mortality coefficients (the increase in mortality associated with a given increase in the concentrations of outdoor PM10). We showed that the PM10 mortality coefficients and the PM10 exposure coefficients were significantly correlated, with an R-squared (R-2) value of 0.549 (95% confidence interval: 0.201, 0.771; p < 0.01) for the 16 cities. The correlation was robust with different values of the key input parameters, and close in value to estimations found in previous studies on similar subjects. (C) 2013 Elsevier Ltd. All rights reserved.",Air change rate,Air conditioning,Outdoor-to-indoor,Particulate matter,Exposure measurement error,"Guo, Xuefei","Chen, Renjie","Kan, Haidong",,,,,,,,,,,,,,,,,,,,,,,,
