,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,conference,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30
Row_1,"Hansen, Matthew C.","Potapov, Peter, V","Pickens, Amy H.","Tyukavina, Alexandra","Hernandez-Serna, Andres","Zalles, Viviana","Turubanova, Svetlana","Kommareddy, Indrani","Stehman, Steve, V","Song, Xiao-Peng","Kommareddy, Anil",Global land use extent and dispersion within natural land cover using Landsat data,ENVIRONMENTAL RESEARCH LETTERS,MAR 1 2022,49,"The conversion of natural land cover into human-dominated land use systems has significant impacts on the environment. Global mapping and monitoring of human-dominated land use extent via satellites provides an empirical basis for assessing land use pressures. Here, we present a novel 2019 global land cover, land use, and ecozone map derived from Landsat satellite imagery and topographical data using derived image feature spaces and algorithms suited per theme. From the map, we estimate the spatial extent and dispersion of land use disaggregated by climate domain and ecozone, where dispersion is the mean distance of land use to all land within a subregion. We find that percent of area under land use and distance to land use follow a power law that depicts an increasingly random spatial distribution of land use as it extends across lands of comparable development potential. For highly developed climate/ecozones, such as temperate and sub-tropical terra firma vegetation on low slopes, area under land use is contiguous and remnant natural land cover have low areal extent and high fragmentation. The tropics generally have the greatest potential for land use expansion, particularly in South America. An exception is Asian humid tropical terra firma vegetated lowland, which has land use intensities comparable to that of temperate breadbaskets such as the United States' corn belt. Wetland extent is inversely proportional to land use extent within climate domains, indicating historical wetland loss for temperate, sub-tropical, and dry tropical biomes. Results highlight the need for planning efforts to preserve natural systems and associated ecosystem services. The demonstrated methods will be implemented operationally in quantifying global land change, enabling a monitoring framework for systematic assessments of the appropriation and restoration of natural land cover.",land cover and land use,global change,remote sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_2,"Yu, Zhiqi","Di, Liping","Tang, Junmei","Zhang, Chen","Lin, Li","Yu, Eugene Genong","Rahman, Md. Shahinoor","Gaigalas, Juozas","Sun, Ziheng",,,Land Use and Land Cover Classification For Bangladesh 2005 on Google Earth Engine,,2018,8,"Land use and land cover maps are essential to study how the earth surface change over time and how human activities interact with environments. The growing amount of available remote sensing images, especially the well archived Landsat images with 30 meters resolution, have been used to conduct supervised classification for land use and land cover maps. However, to achieve high classification accuracy, ground truth samples with fine quality and large quantity are required. Collecting ground truth samples is both time-consuming and expensive and sometimes even unviable when ground truth samples are needed for the past years. In this paper, we provided a way of using the GlobeLand30 (GLC30) 2000 and 2010 products as ground truth instead of manually labeling ground truth samples to produce land use and land cover maps for 2005 in our study area, Bangladesh country on Google Earth Engine (GEE) platform. The accuracy assessment is conducted on randomly generated samples from GlobeLand30 products, and the overall accuracy is around 84.8%.",Land use and Land cover,GlobeLand30,Google Earth Engine,2018 7TH INTERNATIONAL CONFERENCE ON AGRO-GEOINFORMATICS (AGRO-GEOINFORMATICS),Supervised Classification,,,,,,,,,,,,,,,,,,,,,,,,,
Row_3,"Nguyen, Lan H.","Henebry, Geoffrey M.",,,,,,,,,,Characterizing Land Use/Land Cover Using Multi-Sensor Time Series from the Perspective of Land Surface Phenology,REMOTE SENSING,JUL 2 2019,17,"Due to a rapid increase in accessible Earth observation data coupled with high computing and storage capabilities, multiple efforts over the past few years have aimed to map land use/land cover using image time series with promising outcomes. Here, we evaluate the comparative performance of alternative land cover classifications generated by using only (1) phenological metrics derived from either of two land surface phenology models, or (2) a suite of spectral band percentiles and normalized ratios (spectral variables), or (3) a combination of phenological metrics and spectral variables. First, several annual time series of remotely sensed data were assembled: Accumulated growing degree-days (AGDD) from the MODerate resolution Imaging Spectroradiometer (MODIS) 8-day land surface temperature products, 2-band Enhanced Vegetation Index (EVI2), and the spectral variables from the Harmonized Landsat Sentinel-2, as well as from the U.S. Landsat Analysis Ready Data surface reflectance products. Then, at each pixel, EVI2 time series were fitted using two different land surface phenology models: The Convex Quadratic model (CxQ), in which EVI2 = f(AGDD) and the Hybrid Piecewise Logistic Model (HPLM), in which EVI2 = f(day of year). Phenometrics and spectral variables were submitted separately and together to Random Forest Classifiers (RFC) to depict land use/land cover in Roberts County, South Dakota. HPLM RFC models showed slightly better accuracy than CxQ RFC models (about 1% relative higher in overall accuracy). Compared to phenometrically-based RFC models, spectrally-based RFC models yielded more accurate land cover maps, especially for non-crop cover types. However, the RFC models built from spectral variables could not accurately classify the wheat class, which contained mostly spring wheat with some fields in durum or winter varieties. The most accurate RFC models were obtained when using both phenometrics and spectral variables as inputs. The combined-variable RFC models overcame weaknesses of both phenometrically-based classification (low accuracy for non-vegetated covers) and spectrally-based classification (low accuracy for wheat). The analysis of important variables indicated that land cover classification for this study area was strongly driven by variables related to the initial green-up phase of seasonal growth and maximum fitted EVI2. For a deeper evaluation of RFC performance, RFC classifications were also executed with several alternative sampling scenarios, including different spatiotemporal filters to improve accuracy of sample pools and different sample sizes. Results indicated that a sample pool with less filtering yielded the most accurate predicted land cover map and a stratified random sample dataset covering approximately 0.25% or more of the study area were required to achieve an accurate land cover map. In case of data scarcity, a smaller dataset might be acceptable, but should not smaller than 0.05% of the study area.",phenometrics,land use,land cover classification,,Landsat,Sentinel,ARD,HLS,,,,,,,,,,,,,,,,,,,,,,
Row_4,"Inan, Halil Ibrahim",,,,,,,,,,,Associating land use/cover information with land parcels represented in LADM,LAND USE POLICY,DEC 2015,6,"LADM design requires the association of external land use/cover information with cadastral land parcels. In addition to model design, related specifications are to be defined in the implementation. Yet, there are many severe obstacles against defining such specifications that are applicable to all cases. In this context, there are many different types of land use/cover classification systems for different purposes in different data quality, scale and content, which are either designed internationally or nationally. FAO Land Cover Classification System (LCCS), CORINE land cover, INSPIRE land use/cover themes, land use capability classification and Land Parcel Identification System (LPIS) are common international examples.In this study, management of spatial land use/cover data in association with cadastral land parcels represented by LADM was studied in a pilot study area in Turkey. In this context, association of spatial information as sub-divisions of land parcels (sub-parcels) was studied. Different land use/cover data sets (four types) were specifically produced for this study with an LPIS like digitization method. For the association, special overlay operations with and without predefined XY tolerances were carried out. Effects of similar yet different data sets, spatial data consistency between the produced sub-parcel data sets and land parcels, and also errors were analyzed based on the results. It is found (1) that the level of detail (base production scale) of external land use/cover data set increases spatial association errors, (2) that using XY tolerances to reduce these errors causes data inconsistency and (3) that direct spatial harmonization of two data set may be a robust solution when it is possible. In this context, in order to contribute to the implementation of LADM in terms of spatial association of land parcels and external land use/cover data, together with these data processing and analysis work, LADM modelling abstraction, availability and data quality issues of external land use/cover data, updating and maintenance issues were also discussed. (C) 2015 Elsevier Ltd. All rights reserved.",LADM,Land use/cover,Cadastral land parcel,,Spatial unit,Data harmonization,,,,,,,,,,,,,,,,,,,,,,,,
Row_5,"Jepsen, Martin Rudbeck","Levin, Gregor",,,,,,,,,,Semantically based reclassification of Danish land-use and land-cover information,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,DEC 1 2013,24,"In recent years, the availability of georeferenced data has increased substantially, as have the number of producers and users of this information. As a consequence, there is a growing need for harmonization of data, not least in its classification descriptions. Unfortunately, inadequate metadata hampers understanding of how data sets are produced and what data classes represent. This study describes how five different categorical geodata sets for Denmark, ranging from habitat registrations through maps of agricultural land use to national topographic data, are integrated and how the integrated data set is reclassified to land-use and land-cover classes. All five data sets differ with respect to data acquisition, and description and classification methodologies, and none of the data distinguish between land use and land cover. The purpose of the reclassification was to produce maps of land use and land cover, with classes being compatible with the land cover classification system (LCCS) from the Food and Agriculture Organization of the United Nations. We identified land-cover and land-use classes from the LCCS that matched Danish conditions and cross-tabulated those classes with classes from the integrated Danish data set. Based on the semantic meaning of the class names from the integrated data set, we used heuristic associational knowledge to estimate their membership in the land-use and land-cover classes. The results are three land-use maps and five land-cover maps, indicating qualitative estimates of the presence of land-cover classes measured on an ordinal scale.",land use,land cover,classification,,data harmonization,,,,,,,,,,,,,,,,,,,,,,,,,
Row_6,"Meiyappan, Prasanth","Jain, Atul K.",,,,,,,,,,Three distinct global estimates of historical land-cover change and land-use conversions for over 200 years,FRONTIERS OF EARTH SCIENCE,JUN 2012,116,"Earth's land cover has been extensively transformed over time due to both human activities and natural causes. Previous global studies have focused on developing spatial and temporal patterns of dominant human land-use activities (e. g., cropland, pastureland, urban land, wood harvest). Process-based modeling studies adopt different strategies to estimate the changes in land cover by using these land-use data sets in combination with a potential vegetation map, and subsequently use this information for impact assessments. However, due to unaccounted changes in land cover (resulting from both indirect anthropogenic and natural causes), heterogeneity in land-use/cover (LUC) conversions among grid cells, even for the same land use activity, and uncertainty associated with potential vegetation mapping and historical estimates of human land use result in land cover estimates that are substantially different compared to results acquired from remote sensing observations. Here, we present a method to implicitly account for the differences arising from these uncertainties in order to provide historical estimates of land cover that are consistent with satellite estimates for recent years. Due to uncertainty in historical agricultural land use, we use three widely accepted global estimates of cropland and pastureland in combination with common wood harvest and urban land data sets to generate three distinct estimates of historical land-cover change and underlying LUC conversions. Hence, these distinct historical reconstructions offer a wide range of plausible regional estimates of uncertainty and the extent to which different ecosystems have undergone changes. The annual land cover maps and LUC conversion maps are reported at 0.5 degrees x 0.5 degrees resolution and describe the area of 28 land-cover types and respective underlying land-use transitions. The reconstructed data sets are relevant for studies addressing the impact of land-cover change on biogeophysics, biogeochemistry, water cycle, and global climate.",historical land use,land-cover change,land-use conversions,,deforestation,HYDE,Moderate Resolution Imaging Spectroradiometer (MODIS),,,,,,,,,,,,,,,,,,,,,,,
Row_7,"Cegielska, Katarzyna","Noszczyk, Tomasz","Kukulska, Anita","Szylar, Marta","Hernik, Jozef","Dixon-Gough, Robert","Jombach, Sandor","Valanszki, Istvan","Kovacs, Krisztina Filepne",,,Land use and land cover changes in post-socialist countries: Some observations from Hungary and Poland,LAND USE POLICY,NOV 2018,128,"This study has analysed changes in land use and land cover (LUCC) in two post-socialist countries Hungary and Poland, based upon cadastral data, statistical data, and CORINE Land Cover data. This is a new approach aimed to perform a synergy analysis carried out in accordance with the 'top-down' principle, i.e. from the level of countries (in the case of land use) to the level of provinces/counties (land cover). This approach facilitates more reliable results. The authors analysed LUCC in northern Hungary (the Pest County) and southern Poland (the Malopolska Province) using GIS and statistical methods. The main aim of the research was to identify and assess the ongoing LUCC changes and compare them in the assumed field of research. The results indicate the existence of a trend in each time series. A downward trend was revealed for agricultural land in Hungary and Poland as well as for uncultivated land in Hungary. An upward trend was found in other variables (uncultivated land in Poland and forest land in both countries). Changes in land cover in the Pest County and the Malopolska Province (in 2000 and 2012) show a decrease in agricultural areas and an increase in artificial surfaces, forest and semi natural areas with the change in Poland being more intensive than that in Hungary.",Land change analysis,Land use/land cover,Corine Land Cover,,Statistical analysis,Spatial data,Synergistic comparison,Trend analyses,,,,,,,,,,,,,,,,,,,,,,
Row_8,"Yu, Zhiqi","Di, Liping","Yang, Ruixing","Tang, Junmei","Lin, Li","Zhang, Chen","Rahman, Md. Shahinoor","Zhao, Haoteng","Gaigalas, Juozas","Yu, Eugene Genong","Sun, Ziheng",Selection of Landsat 8 OLI Band Combinations for Land Use and Land Cover Classification,,2019,4,"Land use and land cover (LULC) classification using satellite images is an important approach to monitor changes on earth. To produce LULC maps, supervised classification methods are often used. For many supervised classification algorithms, independence of features is an implied assumption. However, this assumption is rarely tested. For LULC classification, using all bands as input features to models is the default approach. However, some of the bands may be highly correlated, which may cause model performances unstable. In this research, correlations and multicollinearity among multi-spectral bands are analyzed for four major LULC types, i.e. cropland, forest, developed area and water bodies. Guided by the correlation analysis, different band combinations were used to train Support Vector Machines (SVM) for four-class LULC classification and the results were compared. From our experiments, hand 4, 5, 6 is the best three-band combination and band 1, 2, 5, 7 is the best four-band combination which achieved almost identical performance as using all bands for LULC classification.",Landsat 8,Land use land cover,feature selection,2019 8TH INTERNATIONAL CONFERENCE ON AGRO-GEOINFORMATICS (AGRO-GEOINFORMATICS),,,,,,,,,,,,,,,,,,,,,,,,,,
Row_9,"Nayak, Sridhara","Mandal, Manabottam",,,,,,,,,,Impact of of land use and land cover changes on temperature trends over India,LAND USE POLICY,DEC 2019,50,"This study estimates the temperature trends over India and seeks to understand the contribution of land use and land cover (LULC) changes towards the change in the temperature trends (warming or cooling) during 1981 similar to 2006 by using 'Observation minus Reanalysis' (OMR) method. We find that the India got warmer by 0.1 degrees C per decade during 1981-2006 and the LULC changes contributed to cooling over India by 0.02 degrees C per decade during this period. The contribution of land use changes to the temperature trends depends on the type of LULC and their conversion from one type to another. With the exception of dense forest, all land cover conversions to agriculture lead to cooling whereas conversion from dense forest to agriculture results in warming. The contribution of LULC changes towards cooling over India during 1981-2006 is due to the reduction of area under shrubs/ small vegetation and subsequent increase of the area under agricultural/ fallow land. The analysis shows that even though the LULC changes contributed towards overall cooling during 1981-2006 over India, it contributed towards warming during 1991-2006. We find that the cooling caused by LULC changes during 1981-2006 is due to the cooling contributed during 1981-1990. Our overall results have implications for future land use change strategies that can be undertaken over India in order to avoid further worsening the Indian climate.",Regional warming,Land use and land cover change,Climate change,,Observation minus reanalysis,,,,,,,,,,,,,,,,,,,,,,,,,
Row_10,"Yang, Liangyan","Sun, Zenghui","Li, Jianfeng","Shi, Lei","Kong, Hui","Yang, Yuanyuan","Li, Tong",,,,,"Spatiotemporal patterns and driving forces of land-use and land-cover change in the Mu Us Sandy Land, China from 1980 to 2018",ARID LAND RESEARCH AND MANAGEMENT,JAN 2 2022,6,"The understanding of land-use and land-cover change (LUCC) is crucial for the study of global climate change and the terrestrial ecological environment. Sandy land is an important component of the terrestrial ecosystem. This study applied the land-use transition matrix and change trajectory analysis to examine the spatiotemporal characteristics of LUCC from 1980 to 2018 in the Mu Us Sandy Land, China. The influences of soil, meteorological conditions, and national policy on LUCC in this region were also investigated. The results of land-use classification of five remote sensing images captured between 1980 and 2018 showed that Grassland was the dominant land-use type. The areas of Woodland and Built-up land in the study area continued to increase, whereas those of Water bodies and Unused land continued to decrease. The area of Cropland first increased and then decreased. The areas where LUCC was driven by natural factors and anthropogenic factors were 25,428 km(2) and 9,683 km(2), representing 27.92% and 10.63% of the total area, respectively. The area that experienced no LUCC was 55,950 km (2) (61.44% of the total area). These data showed that LUCC was driven by natural and anthropogenic factors, with anthropogenic factors dominant in driving changes in Cropland, Woodland, and Built-up land, whereas natural factors dominated reductions in the areas of Water bodies and Unused land. Although natural factors played an important role in LUCC, this study showed that anthropogenic factors determine the direction of LUCC.",Change trajectory,driving forces,land-use and land-cover change,,Mu Us Sandy Land,transition matrix,,,,,,,,,,,,,,,,,,,,,,,,
