,author1,author2,author3,author4,author5,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,author6,author7,author8,author9,author10,keyword12,keyword13,keyword14,conference,keyword15
Row_801,"Chen, Guangchen","Shi, Benjie","Zhang, Yinhui","He, Zifen","Zhang, Pengcheng",CGSNet: Cross-consistency guiding semi-supervised semantic segmentation network for remote sensing of plateau lake,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,OCT 2024,0,"Analyzing the geographical information for the Plateau Lake region with remote sensing images (RSI) is an emerging technology to monitor the changes of the ecological environment. To alleviate the requirement of abundant labels for supervised RSI segmentation, the Cross-consistency Guiding Semi-supervised Learning (SSL) Semantic Segmentation Network is proposed, and it can perform high-quality multi-category semantic segmentation for complex remote sensing scenes with limited quantity of labeled images. Firstly, based on the SSL semantic segmentation framework, through the cross-consistency method training a teacher model with less annotated images and plentiful unannotated images, then generating higher-quality pseudo labels to guide the learning process of the student model. Secondly, dense conditional random field and mask hole repair are used to patch and fill the flaw areas of pseudo-labels based on the pixel features of position, color, and texture, further improving the granularity and reliability of the student model training dataset. Additionally, to improve the accuracy of the model, we designed a strong data augmentation (SDA) method based on a stochastic cascaded strategy, which connects multiple augmentation techniques in random order and probability cascade to generate new training samples. It mimics a variety of image transformations and noise conditions that occur in the real world to enhance the robustness in complex scenarios. To validate the effectiveness of CGSNet in complex remote sensing scenes, extended experiments are conducted on the self-built plateau lake RSI dataset and two public multi-category RSI datasets. The experiment results demonstrate that, compared with other state-of-the-art SSL methods, the proposed CGSNet achieves the highest 77.47% mIoU and 87.06% F1 scores with a limited quantity of annotated data.",Environment change monitoring,Plateau lake remote sensing,Cross-consistency guiding,Semi-supervised learning,Dense conditional random field,,,,,,,,,,,,,,,,
Row_802,"Qiu, Luyi","Yu, Dayu","Zhang, Xiaofeng","Zhang, Chenxiao",,Efficient Remote-Sensing Segmentation With Generative Adversarial Transformer,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,2024,0,"Most deep-learning methods that achieve high segmentation accuracy require deep network architectures that are too heavy and complex to run on embedded devices with limited storage and memory space. To address this issue, this letter proposes an efficient generative adversarial transformer (GATrans) for achieving high-precision semantic segmentation while maintaining an extremely efficient size. The framework utilizes a global transformer network (GTNet) as the generator, efficiently extracting multilevel features through residual connections. GTNet employs global transformer blocks with progressively linear computational complexity to reassign global features based on a learnable similarity function. To focus on object- and pixel-level information, the GATrans optimizes the objective function by combining structural similarity losses. We validate the effectiveness of our approach through extensive experiments on the Vaihingen dataset, achieving an average $F1$ score of 90.17% and an overall accuracy (OA) of 91.92%. Codes are available at https://github.com/qiuluyi/GATrans.",Transformers,Generators,Merging,Mathematical models,Training,Remote sensing,Feature extraction,Generative-adversarial strategy,global transformer network (GTNet),remote sensing,semantic segmentation,,,,,,,,,,
Row_803,"Hong, Danfeng","Zhang, Bing","Li, Hao","Li, Yuxuan","Yao, Jing",Cross-city matters: A multimodal remote sensing benchmark dataset for cross-city semantic segmentation using high-resolution domain adaptation networks,REMOTE SENSING OF ENVIRONMENT,DEC 15 2023,255,"Artificial intelligence (AI) approaches nowadays have gained remarkable success in single-modality-dominated remote sensing (RS) applications, especially with an emphasis on individual urban environments (e.g., single cities or regions). Yet these AI models tend to meet the performance bottleneck in the case studies across cities or regions, due to the lack of diverse RS information and cutting-edge solutions with high generalization ability. To this end, we build a new set of multimodal remote sensing benchmark datasets (including hyperspectral, mul-tispectral, SAR) for the study purpose of the cross-city semantic segmentation task (called C2Seg dataset), which consists of two cross-city scenes, i.e., Berlin-Augsburg (in Germany) and Beijing-Wuhan (in China). Beyond the single city, we propose a high-resolution domain adaptation network, HighDAN for short, to promote the AI model's generalization ability from the multi-city environments. HighDAN is capable of retaining the spatially topological structure of the studied urban scene well in a parallel high-to-low resolution fusion fashion but also closing the gap derived from enormous differences of RS image representations between different cities by means of adversarial learning. In addition, the Dice loss is considered in HighDAN to alleviate the class imbalance issue caused by factors across cities. Extensive experiments conducted on the C2Seg dataset show the superiority of our HighDAN in terms of segmentation performance and generalization ability, compared to state-of-the-art com-petitors. The C2Seg dataset and the semantic segmentation toolbox (involving the proposed HighDAN) will be available publicly at https://github.com/danfenghong/RSE_Cross-city.",Cross-city,Deep learning,Dice loss,Domain adaptation,High-resolution network,Land cover,Multimodal benchmark datasets,Remote sensing,Segmentation,,,"Li, Chenyu","Werner, Martin","Chanussot, Jocelyn","Zipf, Alexander","Zhu, Xiao Xiang",,,,,
Row_804,"Liu, Wenshu","Cui, Nan","Guo, Luo","Du, Shihong","Wang, Weiyin",DESformer: A Dual-Branch Encoding Strategy for Semantic Segmentation of Very-High-Resolution Remote Sensing Images Based on Feature Interaction and Multiscale Context Fusion,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,0,"Global contextual information is crucial for the semantic segmentation of remote sensing (RS) images. However, the majority of current approaches depend on convolutional neural networks (CNNs). Due to the local receptive fields inherent in convolutional operations, these networks typically capture image features within limited areas and struggle to comprehend broader contextual information in the images. In this study, a dual-branch encoding approach, DESformer, is proposed, integrating transformers with CNN, to effectively capture global multiscale context information and enhance edge feature extraction. In addition, DESformer incorporates a feature interaction module (FIM) to combine local features with global representations extracted by transformers and CNN, respectively, across different resolutions. This approach enhances the capability to capture local features in RS images and improves the understanding of extensive spatial relationships. Subsequently, we employ a novel top-down approach for global supervision of the traditional feature pyramid multilevel visual integration (MVI) module, by harnessing the clear visual center information obtained from the deepest internal features. To successfully concentrate on important information and preserve sensitivity to features at various scales, the preceding shallow features are muted. In addition, FIAB-Loss, a loss function is introduced, combining a focal loss with IOU and active boundary loss (ABL). This composite loss function strengthens the model's focus on challenging-to-distinguish categories. Extensive experiments conducted on three datasets, including the semantic segmentation of lakes in the Tibetan Plateau and the ISPRS's Vaihingen benchmark, validate the efficacy of the proposed method. The experimental results indicate that the network exhibits exceptional performance in processing VHR images and accurately extracting edge features.",Feature extraction,Convolutional neural networks,Transformers,Remote sensing,Semantic segmentation,Visualization,Semantics,Deep learning,dual-branch coding structure,remote sensing (RS),semantic segmentation,,,,,,,,,,
Row_805,"Wu, Xinjia","Zhang, Jing","Li, Wensheng","Li, Jiafeng","Zhuo, Li",Spatial-specific Transformer with involution for semantic segmentation of high-resolution remote sensing images,INTERNATIONAL JOURNAL OF REMOTE SENSING,FEB 16 2023,2,"High-resolution remote sensing images (HR-RSIs) have a strong dependency between geospatial objects and background. Considering the complex spatial structure and multiscale objects in HR-RSIs, how to fully mine spatial information directly determines the quality of semantic segmentation. In this paper, we focus on the Spatial-specific Transformer with involution for semantic segmentation of HR-RSIs. First, we integrate the spatial-specific involution branch with self-attention branch to form a Spatial-specific Transformer backbone to produce multilevel features with global and spatial information without additional parameters. Then, we introduce multiscale feature representation with large window attention into Swin Transformer to capture multiscale contextual information. Finally, we add a geospatial feature supplement branch in the semantic segmentation decoder to mitigate the loss of semantic information caused by down-sampling multiscale features of geospatial objects. Experimental results demonstrate that our method can achieve a competitive semantic segmentation performance of 87.61% and 80.08% mIoU on Potsdam and Vaihingen datasets, respectively.",,,,,,,,,,,,"Zhang, Jie",,,,,,,,,
Row_806,"Zhang, Cheng","Jiang, Wanshou","Zhao, Qing",,,Semantic Segmentation of Aerial Imagery via Split-Attention Networks with Disentangled Nonlocal and Edge Supervision,REMOTE SENSING,MAR 2021,15,"In this work, we propose a new deep convolution neural network (DCNN) architecture for semantic segmentation of aerial imagery. Taking advantage of recent research, we use split-attention networks (ResNeSt) as the backbone for high-quality feature expression. Additionally, a disentangled nonlocal (DNL) block is integrated into our pipeline to express the inter-pixel long-distance dependence and highlight the edge pixels simultaneously. Moreover, the depth-wise separable convolution and atrous spatial pyramid pooling (ASPP) modules are combined to extract and fuse multiscale contextual features. Finally, an auxiliary edge detection task is designed to provide edge constraints for semantic segmentation. Evaluation of algorithms is conducted on two benchmarks provided by the International Society for Photogrammetry and Remote Sensing (ISPRS). Extensive experiments demonstrate the effectiveness of each module of our architecture. Precision evaluation based on the Potsdam benchmark shows that the proposed DCNN achieves competitive performance over the state-of-the-art methods.",semantic segmentation,ResNeSt,edge constrains,disentangled non-local,depth-wise separable ASPP,remote sensing,aerial image,,,,,,,,,,,,,,
Row_807,"Wang, Falin","Ji, Jian","Wang, Yuan",,,DSViT: Dynamically Scalable Vision Transformer for Remote Sensing Image Segmentation and Classification,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2023,5,"The relationship between the foreground target and the background of remote sensing image is very complex. The vision task of remote sensing image faces the problems of complex targets and unbalanced categories. These problems make the modeling method have further improvement space. Therefore, this article proposes a dynamically scalable attention model that combines convolutional features and Transformer features. It can dynamically select the model depth according to the size of the input image, which alleviates the problem of insufficient global information extraction of the single convolution model and the computational overhead limitation of the pure Transformer model. We validated the model on two public remote sensing image classifications and two remote sensing image segmentation datasets. The accuracy and mean pixel accuracy (mPA) of the method in this article reached 96.16% and 93.44%, respectively, on the university of california (UC) Merced classification dataset. Compared with some recent work, the method has a net improvement of 5.0% and 4.82% over the pyramid vision transformer (PVT) model. On the Potsdam segmentation dataset, the accuracy and F1 of the transformer and CNN hybrid neural network (TCHNN) model are 91.5% and 92.86%, respectively. The performance of the method has improved 0.64% and 1.0%, and the other two datasets have also achieved the best results.",Transformers,Remote sensing,Feature extraction,Computational modeling,Convolutional neural networks,Convolution,Task analysis,CNN,classification,remote sensing image,semantic segmentation,,,,,,transformer,,,,
Row_808,"Han, Zheng","Fu, Bangjie","Fang, Zhenxiong","Li, Yange","Li, Jiaying",Dynahead-YOLO-Otsu: an efficient DCNN-based landslide semantic segmentation method using remote sensing images,GEOMATICS NATURAL HAZARDS & RISK,DEC 31 2024,2,"Recent advancements in deep convolutional neural networks (DCNNs) have significantly improved landslides identification using remote sensing images. Pixel-wise semantic segmentation (PSS) and object-oriented detection (OOD) are two dominant approaches, wherein PSS are better as providing detailed delineation of landslide shapes. However, PSS are limited by the difficulty in labelling training data and low segmentation speed compared to OOD. In this paper, we propose an efficient DCNN-based landslide semantic segmentation method, the so-called Dynahead-YOLO-Otsu, to perform a PSS based on the OOD results. This is achieved by locating potential landslide regions in advance using the ODD-based Dynahead-YOLO model, which enhances the capacity for detecting landslides with variable proportions and complex background in the images. The preliminary results are then processed using the Otsu binarization algorithm to cluster pixels belonging to landslides from the images of potential regions for semantic segmentation. To validate the performance, we tested the proposed method using an open-source dataset containing 950 landslide images. We compared the results with three up-to-date DCNN-and PSS- based approaches, namely DeepLab v3+, PSPnet, and Unet. Results demonstrate that the proposed method achieves comparable Recall (71.80%) and F1 scores (75.80%), with an average improvement of 22% and 16% in Precision and IoU, respectively.",Landslide,semantic segmentation,deep convolutional neural networks,Dynahead-YOLO model,Otsu binarization method,,,,,,,"Jiang, Nan","Chen, Guangqi",,,,,,,,
Row_809,"Guo, Ningbo","Jiang, Mingyong","Hu, Xiaoyu","Su, Zhijuan","Zhang, Weibin",NPSFF-Net: Enhanced Building Segmentation in Remote Sensing Images via Novel Pseudo-Siamese Feature Fusion,REMOTE SENSING,SEP 2024,0,"Building segmentation has extensive research value and application prospects in high-resolution remote sensing image (HRSI) processing. However, complex architectural contexts, varied building morphologies, and non-building occlusions make building segmentation challenging. Compared with traditional methods, deep learning-based methods present certain advantages in terms of accuracy and intelligence. At present, the most popular option is to first apply a single neural network to encode an HRSI, then perform a decoding process through up-sampling or using a transposed convolution operation, and then finally obtain the segmented building image with the help of a loss function. Although effective, this approach not only tends to lead to a loss of detail information, but also fails to fully utilize the contextual features. As an alternative, we propose a novel network called NPSFF-Net. First, using an improved pseudo-Siamese network composed of ResNet-34 and ResNet-50, two sets of deep semantic features of buildings are extracted with the support of transfer learning, and four encoded features at different scales are obtained after fusion. Then, information from the deepest encoded feature is enriched using a feature enhancement module, and the resolutions are recovered via the operations of skip connections and transposed convolutions. Finally, the discriminative features of buildings are obtained using the designed feature fusion algorithm, and the optimal segmentation model is obtained by fitting a cross-entropy loss function. Our method obtained intersection-over-union values of 89.45% for the Aerial Imagery Dataset, 71.88% for the Massachusetts Buildings Dataset, and 68.72% for the Satellite Dataset I.",remote sensing images,building segmentation,skip connection,,,,,,,,,"Li, Ruibo","Luo, Jiancheng",,,,,,,,
Row_810,"Cui, Mengtian","Li, Kai","Chen, Jianying","Yu, Wei",,CM-Unet: A Novel Remote Sensing Image Segmentation Method Based on Improved U-Net,IEEE ACCESS,2023,2,"Semantic segmentation is an active research area for high-resolution (HR) remote sensing image processing. Most existing algorithms are better at segmenting different features. However, for complex scenes, many algorithms have insufficient segmentation accuracy. In this study, we propose a new method CM-Unet based on the U-Net framework to address the problems of holes, omissions, and fuzzy edge segmentation. First, we add the channel attention mechanism in the encoding network and the residual module to transmit information. Second, a multi-feature fusion mechanism is proposed in the decoding network, and an improved sub-pixel convolution method replaces the traditional upsampling operation. We conducted simulation experiments on the Potsdam, Vaihingen and GID datasets. The experimental results show that the proposed CM-Unet required segmentation time is approximately 62 ms/piece, the MIoU is 90.4% and the floating point operations (FLOPs) is 20.95 MFLOPs. Compared with U-Net, CM-Unet only increased the total number of parameters and floating point operations slightly, but achieved the best segmentation effect compared with the other models. CM-Unet can segment remote sensing images efficiently and accurately owing to its lower time consumption and space requirements; the precision of the segmentation results is better than other methods.",Remote sensing image,channel attention,multi-feature fusion,improved sub-pixel convolution,semantic segmentation,,,,,,,,,,,,,,,,
