,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,title,journal/conference/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16
Row_1,"Zhang, Ye","Liu, Wanzeng","Zhu, Xiuli","Peng, Yunlu","Li, Ran","Zhao, Tingting","Wang, Xinpeng","Zhai, Xi","Di, Xinli","Xu, Hong",SPATIAL INTERACTION ANALYSIS OF URBAN FUNCTIONAL DISTRICTS BASED ON TAXI TRAJECTORIES,"GEOSPATIAL WEEK 2023, VOL. 48-1",2023,0,"The functional differences among various components of a city drive the circulation of logistics, human flows, and energy flows within the city. Qualitatively and quantitatively analyzing the spatial interactions among urban functional districts contributes to understanding the spatial structure of it and formulating more efficient urban planning strategies. Based on taxi trips, this paper compares spatial interactions between the Xudong Commercial District and the Zhongnan Road Commercial District in Wuhan, respectively, with other functional districts. Firstly, the spatial interaction based on taxi trips between these two commercial districts, acting as either the origins or destinations for taxi trips, with various functional districts was visualized. Subsequently, we analyzed the intensity and distance of the spatial interactions based on taxi trips during each typical time period (8:00-9:00, 18:00-19:00, and 20:00-21:00 on weekdays; and 9:00-10:00, 19:00-20:00, and 22:00-23:00 on weekends). These results can serve as reference for further research on the influence range, development planning, and transportation optimization of these commercial districts.",Urban District Planning,Spatial Interaction,Taxi Trajectories,Urban Functional District,Visual Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_2,"Gong, Zhaoya","Wang, Chenglong","Chen, Yuting","Liu, Bin","Zhao, Pengjun","Zhou, Zhengzi",,,,,Learning spatial interaction representation with heterogeneous graph convolutional networks for urban land-use inference,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,NOV 1 2024,1,"Urban land use is central to urban planning. With the emergence of urban big data and advances in deep learning methods, several studies have leveraged graph convolutional networks (GCNs) with local functional characteristics from points of interest data and spatial features from flow data to infer urban land use. However, these studies cannot distinguish spatial interaction and spatial dependence in terms of conceptualization and modeling mechanisms and overlook the inadequacy of GCNs in modeling spatial interaction. This study proposes a novel framework-a heterogeneous graph convolutional network (HGCN)-to explicitly account for the spatial demand and supply components embedded in spatial interaction data. Several experiments, including 19 different models and datasets from Shenzhen and London, were conducted to validate the proposed framework and its generalizability within the same and different spatial contexts. The HGCN can distinguish heterogeneous mechanisms in supply- and demand-related modalities of spatial interactions, incorporating both spatial interaction and spatial dependence for urban land-use inference. Empowered by HGCN, we found that spatial interaction features play a distinctively crucial role in urban land-use inference compared to local attributes and spatial dependence features. In addition, our findings highlight the superiority of HGCN-based models in boosting performance and enhancing model transferability.",Heterogeneous graph convolutional networks,spatial interaction,urban land-use modeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_3,"Ghanbari, Marjan","Karimi, Mohammad","Claramunt, Christophe","Lagesse, Claire",,,,,,,A Spatial Interaction Model for the Identification of Urban Functional Regions,"WEB AND WIRELESS GEOGRAPHICAL INFORMATION SYSTEMS, W2GIS 2024",2024,0,"Urban Functional regions represent dynamic formations molded by spatial interactions, illustrating the intricate connections between different geographic areas. Identifying functional regions is essential for supporting urban planning efforts and promoting sustainable development. This study presents a comprehensive framework to characterize critical road network locations, integrating structural, functional, and geographical dimensions of the built environment. Addressing limitations in one-dimensional networks and multivariate issues, the study utilizes spatial density-based hotspot detection approaches and develops a method to identify critical locations as multivariate hotspots. Emphasizing critical locations as foundational units for functional regions, it then addresses spatial interaction data limitations through flexible modeling approaches, enhancing local modeling with Artificial Neural Networks (ANNs) within Geographically Weighted Regression (GWR) models. Lastly, dynamic spatial interactions are considered using overlapping community detection methods, offering a structured framework for identifying overlapping functional regions in urban landscapes. This study enhances the identification and analysis of urban functional regions, providing deeper insights into spatial complexities and facilitating more effective decision-making for sustainability.",Urban functional regions,Road network critical locations,Spatial interaction modeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_4,"Lima, Leonardo","Maraschin, Clarice","Giaccom, Barbara","Giusti, Cecilia",,,,,,,Urban spatial configuration and interactions with retail activities: An approach based on contact,CITIES,MAR 2024,3,"This paper explores the relationship between urban spatial configuration and retail location. We present the Contact model to quantify the capacity of diverse urban configurations to foster economic interactions. Employing a network approach, the model simulates potential interactions between residents and retail activities as they move through the city. The model computes the number of shortest paths, weighted by resident density, in a network loaded with retail activities. The method allows for ranking different urban networks based on their potential to stimulate or constrain interactions between inhabitants and retail establishments. The weighted Contact model is tested across various metric radii in a sample of 35 US cities, utilizing population data from US Census Bureau (c2020) and retail data from the ReferenceUSA database (NAICS, c2020). To validate the model, we correlate results with total retail sales data for each city. Our findings reveal that cities with higher weighted Contact values exhibit greater retail sales volume, particularly within smaller radii up to 1000 m. The differences and relevance of this measurement decreases at >1000 m radius showing that the Contact model is relevant at the local level. We conclude that the urban spatial configuration remains to play an important role in the urban economic environment, holding implications for business and service planning, as well as urban planning and design.",Contact model,Urban spatial configuration,Retail,Spatial interaction,US cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_5,"Ma, Zuopeng","Zhou, Guolei","Zhang, Jing","Liu, Yanjun","Zhang, Pingyu","Li, Chenggu",,,,,Urban shrinkage in the regional multiscale context: Spatial divergence and interaction,SUSTAINABLE CITIES AND SOCIETY,JAN 2024,8,"The consensus on the requirements of specific policies that address the ongoing population loss of cities in certain regions is growing. To design policies that can cope with this issue, a comprehensive representation of regional shrinkage patterns needs to be obtained that involves spatial heterogeneity and interaction of shrinking cities at various scales. This study explores the contributing factors of urban shrinkage at different scales and their interaction relationships in Northeast China. The results indicate that painful structural reforms, locational marginalization, and shortage of surplus agricultural labor are the key reasons for the shrinkage of prefecturelevel cities, county-level cities and towns, respectively. Moreover, factors of a city, traditional industries, surplus agricultural labor, educational resources, and geological conditions, can influence the demographic trajectories of cities at other scales through spatial spillover effects. The findings offer a basis for reassessing the conventional wisdom of a simplistic association between identifying scale and urban shrinkage.",Urban shrinkage,Multiscale divergence,Spatial interaction,Mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_6,"Dai, Linyan","Sheng, Xin","Gupta, Rangan",,,,,,,,Socio-spatial features of neighbourhoods supporting social interaction between locals and migrants in peri-urban China,JOURNAL OF URBAN MANAGEMENT,DEC 2024,0,"Western literature shows evidence of a positive relationship between socio-spatial features of neighbourhoods and social interaction. However, there is little research exploring this relationship in the Chinese context, particularly between locals and migrants in peri-urban China where significant housing is being created. This paper studies the socio-spatial features of neighbourhoods in supporting social interaction between locals and migrants across different neighbourhood types in the peri-urban areas in Guangzhou. In this research, data were collected using door-to-door questionnaires and site surveys in 9 peri-urban neighbourhoods in Guangzhou. The nature and strength of relationships between socio-spatial features of neighbourhoods and social interaction were examined through statistical analysis. The results of this study suggest that the level of maintenance and accessibility can help improve social interaction for locals and migrants living together in villages, redeveloped villages, and commodity housing. Neighbourhood boundaries and quality of neighbourhoods were found to be positively related to social interaction for locals and migrants in redeveloped villages only. In addition, the perceived character of the neighbourhood can positively impact social interaction for locals in villages only. This study demonstrates that high-quality neighbourhoods can improve social interaction between migrants and locals in peri-urban villages, commodity housing, and redeveloped villages in China. The study provides a guide for neighbourhood designers, urban planners, and property managers in periurban China regarding how to create a neighbourhood supporting social interaction between locals and migrants in villages, redeveloped villages and commodity housing respectively.",Socio-spatial features,Social interaction,Locals,Migrants,peri-Urban China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_7,"Cai, Jing","Li, Rui","Liu, Zhaohui","Liu, Xinrui","Wu, Huayi",,,,,,Quantifying spatial interaction centrality in urban population mobility: A mobility feature- and network topology-based locational measure,SUSTAINABLE CITIES AND SOCIETY,NOV 1 2024,1,"Spatial interaction centrality reflects the relative importance of population mobility within a location in urban population mobility. Population mobility networks visually represent urban population mobility, with mobility features and network topology contributing to the quantification of spatial interaction centrality of locations (i. e., geographical nodes). However, existing centrality measures rarely consider mobility features and network topology simultaneously. Centrality quantification also ignores the differences in distance effects between longand short-distance trips. These factors have led to the inaccurate quantification of centrality. We propose an algorithm called k-dis-weight-shell that quantifies the spatial interaction centrality of geographical nodes at different spatiotemporal scales. Considering the different effects of distance on long- and short-distance trips, we use a spatial continuous wavelet transformation to estimate the radiation radius of geographical nodes. Then, by combining network topology with mobility features (mobility distance and flow), the algorithm transforms them into a ranked order of spatial interaction centrality. Tested in Wuhan and Chengdu, our algorithm outperforms six existing benchmarks. For cases in urban planning and epidemic management, results show that k-dis-weightshell effectively distinguishes similarities and differences between the distribution of population mobility's spatial interaction centrality and the urban center hierarchy at a coarse spatiotemporal scale. Additionally, it reveals a double wave phenomenon of spatiotemporal correlation between population mobility and COVID-19 transmission before and after lockdown at a fine spatiotemporal scale.",Urban population mobility,Geographical nodes quantification,Spatial interaction centrality,Urban planning,Emergency management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_8,"Chen, Huilin","Hu, Lihui","Liu, Ziyi","Chen, Bo",,,,,,,SPATIAL HETEROGENEITY AND INTERACTION EFFECT OF URBAN BLUE AND GREEN SPACES ON HOUSING PRICES,INTERNATIONAL JOURNAL OF STRATEGIC PROPERTY MANAGEMENT,2024,0,"spaces design with the conservation and improvement of natural resources. A comprehensive understanding of the land economic value of urban blue-green spaces (UBGS) holds immense significance for urban sustainable development, urban spatial justice and the promotion of human well-being. In this study, the MGWR model is employed to discuss the heterogeneous effects of UBGS on housing prices in Hangzhou. Additionally, the interaction effect between blue space and green space was examined at the district level, and the specific locations and spatial patterns were identified. The results show that (1) different types, features and accessibility of UBGS have different degrees and spatial scale of effect on housing prices, and will be affected by other attributes of UBGS; (2) in 30.92% of the main urban area of Hangzhou, the effect of blue spaces and green spaces on housing prices exhibits an interactive effect. The spatial patterns are divided into blue-green positive synergistic, antagonistic and negative synergistic regions; (3) green space has positive and negative effects on housing prices, while blue space has positive effects on housing prices at the regional level. The existence of water bodies can promote the positive effect of green spaces on housing prices or alleviate the negative effect. The results indicate that planners must transcend the singular focus on blue or green space planning and instead consider both in an integrated manner. This outcome can provide valuable references for UBGS planning.",urban blue-green spaces,MGWR,hedonic price model,housing prices,interaction effect,urban planning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_9,"Cai, Zipan","Kwak, Yoonshin","Cvetkovic, Vladimir","Deal, Brian","Mortberg, Ulla",,,,,,Urban spatial dynamic modeling based on urban amenity data to inform smart city planning,ANTHROPOCENE,JUN 2023,3,"An ideal form of smart city planning would focus on the availability of urban amenities that can meet the basic needs of a resident's material life, civil connections, and humanistic spirit. Previous studies have concentrated on analyzing the spatial distribution of urban services, with less attention on their contribution as local urban amenities. In this study, we propose a spatial dynamic modeling approach based on urban amenities using social media data from Google Place API to provide locational information on potential resident interactions. We use a representative region in Europe (Stockholm County, SE) to simulate and project urban development in the region until 2050. Our circular conceptual framework of spatial information and feedback supports decision-makers in testing possible urban planning scenarios that align with the vision of a smart city. Simulation results reveal the interplay between human-land interactions on a specific spatial-temporal scale, and we analyze scenario outcomes in relation to commercial and residential land uses. Overall, our study provides a new perspective on human-social behavior-driven urban development, through a smart, spatial dynamic model as a planning support system that can enhance realism, and ultimately help realize planned development objectives in the region.",Smart city,Urban planning,Spatial dynamic model,Urban amenities,Human-land interaction,Human-social behavior,Planning support system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_10,"Lopane, Fulvio D.","Kalantzi, Eleni","Milton, Richard","Batty, Michael",,,,,,,A land-use transport-interaction framework for large scale strategic urban modeling,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,SEP 2023,1,"We introduce a family of land use transportation interaction (LUTI) models which enable future employment, population and flows or trips between these activities to be explained and predicted. We begin by focusing on the generic spatial interaction model, noting the ways in which its components reflect demand and supply at different locations measured in terms of employment and working population. This suggests an equilibrium structure which is our starting point in developing a simplified version of the model which we extend to deal with four different activity sectors - housing, retail activities, schools, and health facilities. We use this generic structure to develop four related versions of the generic LUTI model equations for residential populations, retailing, education and hospitals which are all driven by employment in terms of where people live and work. This constitutes our integrated framework that we use in calibrating, that is fine-tuning the model to three urban areas (cities) in Europe: to Oxford and its county, Turin and its region, and Athens in its hinterland of Attica reflecting population volumes from 700,000, 1.7 million and 3.8 million persons respectively. In each case, we use the models to predict the impact of different scenarios - new housing developments in Oxfordshire, new universities and metro lines in Turin, and economic development in the Athens region. We describe the details of these scenarios in Supplementary Information (SI) which shows the versatility of using the models to examine such impacts and we conclude with directions for improving the various models and nesting them at different scales within the land use-transport planning process.",Urban modeling,Transport modeling,Land -use transport -interaction modeling,Spatial interaction modeling,Strategic planning,Strategic modeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
