Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,citation,journal/conference/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,publish time,title
Row_1,"China's rapid urbanization has imposed a considerable strain on land resources and infrastructure, resulting in environmental deterioration, food shortage, traffic congestion, and various other challenges. The urban growth boundary (UGB) is regarded as an important policy instrument for managing and curbing urban sprawl. Previous studies on UGB have focused on the quantity and spatial constraints of built-up land concerning natural resources conservation. However, achieving a balance between urban conservation and development by easing the conflict between land functions is not yet well understood. To bridge this gap, combining ""bottom-up"" local spatial simulation with ""top-down"" regulation and human constraint, this study simulated multi-scenario urban expansion and UGB in Jiangsu Province, China in 2035 using ecological-agricultural-urban suitability assessment and a Future Land Use Simulation (FLUS) model. The results show that the maintenance of different land functions will have a significant impact on the number, spatial distribution, and landscape characteristics of UGB. Under the integrated development scenario, UGB will have the largest area (27,893.33 km2) with the most significant agglomeration characteristics. The delineated UGB, coupling ecological-agricultural-urban suitability, will reflect regional heterogeneous resource endowment and can further alleviate conflicts between multiple objectives. For fairness and equality between cities, future urban expansion should emphasize the development of less-developed areas. This study expands a new insight for simulating urban expansion and offers practical recommendations for orderly urban growth and sustainable urban management in other cities.","Li, Long","Huang, Xianjin","Yang, Hong",,,,,,,,,,,,,,,,32,CITIES,Urban growth boundary,Ecological -agricultural -urban suitability,Future land use simulation,Cellular automata,Urban expansion,DEM Digital elevation model,FS Food security,CELLULAR-AUTOMATA,DECISION-SUPPORT,CHINA,URBANIZATION,BOUNDARIES,IMPACT,CONSERVATION,VALIDATION,EXPANSION,SERVICES,,,,,,,,,JUN 2023,Scenario-based urban growth simulation by incorporating ecological-agricultural-urban suitability into a Future Land Use Simulation model
Row_2,"Urban expansion threatens natural habitat quality (NHQ) and hinders the achievement of Sustainable Development Goals. Whether and how multifunctional urban land use (MFULU) can mitigate NHQ decline under future urban expansion remains unclear. This study developed a theoretical framework for mitigating NHQ decline via MFULU, and examined the mitigation based on a multi-scenario simulation using the Patchgenerating Land use Simulation model and the Integrated Valuation of Ecosystem Services and Trade-offs model. Three future scenarios, each including MFULU and non-MFULU modes, were considered in the simulation: Business as Usual, Economic Development, and Ecological Priority. Urban expansion led to less encroachment into natural habitats in MFULU modes than in non-MFULU modes. Additionally, natural habitats were less aggregated, and more irregular than in non-MFULU modes under all scenarios, especially those with moderate and higher NHQ levels. Natural habitats were more aggregated and regular in MFULU modes than in non-MFULU modes under all scenarios. These results verified MFULU's positive contributions in preserving natural habitats under the conservation effect of MFULU and improving the landscape patterns of natural habitats under the agglomeration effect of MFULU. The findings have implications for formulating land-sharing policies that realize win-win situations between sustainable urban development and a resilient ecological environment.","Gao, Houxing","Song, Xiaoqing","Xu, Huixiao","Li, Xiang","Tang, Juan","Zhao, Guosong",,,,,,,,,,,,,2,SUSTAINABLE CITIES AND SOCIETY,Multifunctional urban land use,Urban expansion,Natural habitat,Sustainable urban development,Multi -scenario simulation,China,GROWTH,BIODIVERSITY,CHINA,CONSERVATION,EXPANSION,MODEL,AGGLOMERATION,URBANIZATION,BOUNDARIES,AREAS,,,,,,,,,,SEP 1 2024,Promoting sustainable development by mitigation of natural habitat quality decline through multifunctional urban land use: Insights from a multi-scenario simulation
Row_3,"Urban agglomerations (UAs) are the most active areas of urban land expansion. The encroachment of urban land on large-scale ecological land has caused severe ecological problems and threatens the ecological sustainability of UAs. Understanding the characteristics of multi-scenario urban land expansion and its impacts on ecosystem services (ESs) in UAs can provide guidance for formulating ecologically sustainable management and control policies in UAs. However, few studies have simulated the characteristics of multi-scenario urban expansion and determined its impacts on ESs in Chinese UAs. In this study, we used a patch-generating land use simulation (PLUS) model and the benefit transfer method to conduct a multi-scenario simulation of urban land expansion in Chinese UAs in 2030 and measure its impacts on ESs. The simulation indicates that urban land continued to expand and expanded most severely under an urban development scenario. In the future, under an ecological protection scenario, ESs would be maintained at their highest levels. In general, the global Moran's I indices of the ESs and urban expansion were negative at the 0.001 significance level, indicating that ESs and urban expansion in Chinese UAs were strongly spatially concentrated. The impacts of urban expansion on the ESs varied among the UAs. In national and regional UAs, ESs were affected negatively by patch density (PD) and percentage of like adjacencies (PLADJ), whereas the loss of ESs in local UAs was not only affected by PD and PLADJ, but also by the proportion of urban land. These findings provide effective guidance for improving ESs, urban development planning, and high-quality development in Chinese UAs.","Chen, Wanxu","Wang, Guanzheng","Gu, Tianci","Fang, Chuanglin","Pan, Sipei","Zeng, Jie","Wu, Jiahui",,,,,,,,,,,,20,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,Urban expansion simulation,Ecosystem services,Spatial autocorrelation,Spatial regression,Ecosystem services sustainability,Urban agglomeration,China,LAND-USE CHANGE,SPATIAL ASSOCIATION,DYNAMIC SIMULATION,LANDSCAPE PATTERN,MIDDLE REACHES,YANGTZE-RIVER,URBANIZATION,MANAGEMENT,EVOLUTION,XINJIANG,,,,,,,,,NOV 2023,Simulating the impact of urban expansion on ecosystem services in Chinese urban agglomerations: A multi-scenario perspective
Row_4,"Urbanisation is a key aspect of land use change (LUC), and accurately modelling of urban LUC is crucial for sustainable development. Cellular automata (CA) are widely used in LUC research. However, previous studies have overlooked the significant temporal dependence and spatial heterogeneity associated with LUC. To address these gaps, this study proposes a novel model called KCLP-CA, which integrates k-means, a convolutional neural network (CNN), a long and short-term memory neural network (LSTM), and the popular patch-generation land use model (PLUS). Initially, k-means and CNN are utilised to address spatial heterogeneity, while LSTM tackles temporal dependence. The LSTM and land expansion analysis strategy (LEAS) models of PLUS are employed to obtain land use conversion probability maps. Finally, a simulation of land use dynamic change was conducted using a linear weighted fusion conversion probability map that accounts for random factors. To validate the KCLP-CA model, land use data collected from Hangzhou between 1995 and 2000 were employed. The results showed that the KCLP-CA model outperformed traditional methods, including artificial neural networks and random forest model, with the figure of merit (FoM) index increasing from 2.12% to 4.19%. Random forest analysis of drivers impacting LUC revealed that distance to water and road network density exerted the greatest influence on urban land development in Hangzhou. Incorporation of various policy planning factors affecting urban development yielded simulation results aligning more closely with reality, resulting in a FoM index increase of 1.64-1.76%. In summary, the model developed in this study combines the strengths of two sub models to deliver an accurate and effective simulation of future land use.","Huang, Chen","Zhou, Ye","Wu, Tao","Zhang, Mingyue","Qiu, Yu",,,,,,,,,,,,,,7,JOURNAL OF ENVIRONMENTAL MANAGEMENT,Land use change,Deep learning,Spatiotemporal dependency,Urbanisation,GROWTH,EXPANSION,NETWORK,,,,,,,,,,,,,,,,,,,FEB 2024,A cellular automata model coupled with partitioning CNN-LSTM and PLUS models for urban land change simulation
Row_5,"While many published studies have explored the impact of spatial heterogeneity on land-use change, few have focused on regional differences in land-use transition rules caused by urban spatial structure. In this paper, we measured urban land-use diversity by developing self-adaptive kernel density estimation and entropy weight methods and determine the urban spatial structure (composed of urban regions, inner and outer urban-rural fringes, and a rural hinterland) by applying a spectral clustering method. Combining local neighborhood effects and environmental effects, the land-use transition rules of different types of regions were mined to construct a partitioned vector cellular automata (CA) model that zonally simulates urban land-use change. The proposed model was applied to the simulation of the land-use change process in Jiangyin City, China, from 2007 to 2017. The resulting simulation accuracy was higher than that of other well-accepted CA models that do not consider urban spatial structure, and the conventional neighborhood assimilation rule was found not to be applicable to the conversion of construction land. The results and findings demonstrate that the proposed model is an effective means for urban planners to simulate and analyze urban evolution processes of cities with urban spatial structures that fit a concentric circle model.","Yang, Jing","Zhu, Xinyu","Chen, Wei","Sun, Yizhong","Zhu, Jie",,,,,,,,,,,,,,1,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,Cellular automata,Urban spatial structure,Self-adaptive kernel density,Spectral clustering,Land-use change,KERNEL DENSITY-ESTIMATION,GRAVITATIONAL-FIELD MODEL,FRINGE,GROWTH,SELECTION,AREA,NEIGHBORHOOD,POPULATION,ALGORITHM,PATTERNS,,,,,,,,,,,OCT 2023,Modeling land-use change using partitioned vector cellular automata while considering urban spatial structure
Row_6,"ContextThe rapid urbanization in China has led to acute land use conflicts between urban expansion and the protection of cropland and ecological land, which have also threatened the sustainable use of land resources and regional sustainable development. However, most current land management policies for solving these conflicts focus on short-term economic benefits, neglecting sustainable land management.ObjectivesThe goal is to propose sustainable land management strategies for balancing the coordinated relationships among urban expansion, cropland protection, and ecological protection in the Yangtze River Delta region (YRDR).MethodsWe used a newly proposed patch-generating land use simulation model to determine the key driving factors and to simulate future land use changes under multiple development scenarios in the YRDR. Additionally, we analysed the evolution process of land use dynamics in the YRDR from 2000 to 2050.ResultsFuture urban expansion was projected to be spatially unevenly distributed under different topographic conditions and among different economic development regions, indicating that more consideration should be given to platform regions and less economically developed areas to meet the demand for future construction activities. Additionally, driving factor analysis suggested that governments should take measures to guide the population to economically underdeveloped areas and that the governments of newly developed areas should focus on extending the local road network first.ConclusionsThe methodological framework for integrating future land use simulations with analyses of driving forces and land use evolution processes can alleviate or eliminate land use conflicts to achieve sustainable land management in rapid urbanization regions.","Zhang, Zhonghao","Wang, Xueting","Zhang, Yue","Gao, Yang","Liu, Yuexin","Sun, Ximan","Zhi, Junjun","Yin, Sufang",,,,,,,,,,,25,LANDSCAPE ECOLOGY,Land use change,Land use simulation,Urban expansion,Spatiotemporal dynamics,Driving factor,Yangtze River Delta,DRIVING FACTORS,USE CONFLICTS,URBAN-GROWTH,AREA,EXPANSION,DYNAMICS,CHINA,CITY,,,,,,,,,,,,JUL 2023,Simulating land use change for sustainable land management in rapid urbanization regions: a case study of the Yangtze River Delta region
Row_7,"The conflict between the demands of ecological protection and economic development is increasingly prominent. Land use change is sensitive to whether economic or ecological profits dominate, and prediction of future land use changes has become an important scientific issue. This article constructs a coupled model that comprises the grey model (GM), the fuzzy multiple objective linear programming model (FMOLP) and the future land use simulation model (FLUS). We used this model to calculate a macro-scale quantitative forecast using the top-down GM-FMOLP model, and calculated micro-scale spatial simulations of land use/cover change (LUCC) using the bottom-up FLUS model under three dissimilar future scenarios, with different emphases on ecological and economic benefits. The scenarios were designed to meet different planning requirements in Chongqing: ecological benefits maximization, economic benefits maximization, and combined ecological and economic benefits maximization. The proposed model, FLUS, was applied to a LUCC simulation for Chongqing in 2015, beginning from verified historical land use data from 2010. The results show that the simulation agrees well with the actual land use in 2015. The overall accuracy and kappa coefficient are 85.92% and 0.76, respectively, which indicates the model performs well. The three land use types with the highest producer and user accuracies are forest, cropland and water areas. The GM-FMOLP model was used to forecast future LUCC quantity demand, and the FLUS model was then used to calculate spatial predictions for the three scenarios for 2040. The prediction results for the six land use types were significantly different under the three different scenarios. The total areas of forest, urban land and water increased by different degrees under the three scenarios, and the unused land area dwindled. Cropland areas were largely converted into forest, urban land and water areas. The increases in forest and urban land areas generally represents internal gap-filling between disparate areas and peripheral expansion of areas of the same land use type. The increase in water area results from increased surface runoff in mountainous valleys with severe terrain. Areas of unused land are fully transformed into other land use types. The outcomes from the designed scenarios demonstrate that the proposed models are reliable and effective for future LUCC simulation, and highlight key areas where land use changes differently according to the scenario. In summary, in the predictions for the scenario that combined ecological and economic benefits maximization, each land use type tried to maximize ecological and economic benefits under the constraints, taking into account ecological safety and economic growth, which is in line with the coordination, comprehensiveness and binding requirements in Chongqing's development plan. Therefore, this scenario becomes the optimal scenario for land use optimization in Chongqing in the future. This study provides an example of the application of simulation and forecast models in land use management, remediation and urban planning, and addresses the growing requirement for low-cost and effective tools for prediction of dynamic land use succession patterns.","Li, Yuechen","Liu, Xian","Wang, Yue","He, Zhiming",,,,,,,,,,,,,,,13,LAND DEGRADATION & DEVELOPMENT,Chongqing,coupled model,land use simulation,land use,cover change (LUCC),multiple scenarios,CELLULAR-AUTOMATA MODEL,LANDSCAPE DYNAMICS,COVER CHANGE,URBAN,PATTERN,SYSTEM,AREA,,,,,,,,,,,,,JUN 2023,Simulating multiple scenarios of land use/cover change using a coupled model to capture ecological and economic effects
Row_8,"The strategic delineation of the urban development boundary (UDB) is an effective initiative for efficient land resource allocation and for facilitating planned urban development. To align with sustainable development objectives, UDB definitions have evolved to reconcile urban development with ecological preservation. This study presents a UDB delineation framework from an integrated perspective that incorporates both demand-oriented and comprehensive constraints. Specifically, the urban construction land demand area was estimated based on population projections, meanwhile, the ecological red line (ERL) was delineated and integrated into the evaluation of the construction land suitability. Subsequently, with the demand area as the simulation target and unsuitable areas as comprehensive constraints, the UDB was delineated by simulating future land use patterns. The proposed framework was applied to Wuhan, a rapidly urbanizing city in central China, where the delineation of the UDB serves the dual purpose of managing the rapid expansion of built-up land and achieving a harmonious balance between urban development imperatives and ecological protection goals. Moreover, based on the results and analysis, policy implications for the rational spatial planning of Wuhan were proposed, encompassing the spatial patterns and scientific decision-making in ecological conservation and urban development. The results demonstrate that the efficacy of adopting a comprehensive perspective in delineating UDB effectively reconciles the competing needs of urban development and conservation. The framework and the policy insights derived in this study could inform spatial planning efforts not only in Wuhan but also in other cities facing the dilemma of urban development and ecological protection.","Song, Xiangxiang","Zhang, Zuo","Wang, Zhe","Liu, Yanzhong",,,,,,,,,,,,,,,2,JOURNAL OF GEOGRAPHICAL SCIENCES,urban development boundary (UDB),ecological red line (ERL),urban land suitability,land use simulation,integrated framework,spatial decision-making,GROWTH BOUNDARIES,ECOLOGICAL SENSITIVITY,ECOSYSTEM SERVICES,LAND,URBANIZATION,CONSTRUCTION,MODEL,SIMULATION,SHANGHAI,PATTERNS,,,,,,,,,,JUL 2024,Development vs. conservation in limited urban sprawl: An integrated framework for resolving the urban boundary dilemma in China
Row_9,"Increasing population caused by migration from rural to urban leads the cities, whose ownership is primarily public, to spread over forest areas and agricultural lands in their periphery. Today, simulation models created by geospatial data mining (GDM) techniques are frequently used to model the effects of uncontrolled urban sprawl on land use/land cover (LULC) changes. However, most of these models have yet to consider the impact of ownership diversities. The study's main purpose is to investigate the interactions and interdependencies between Spatiotemporal LULC changes and private land ownership and monitor the precipitous urban sprawl through simulation models created by GDM techniques. In this context, the Sancaktepe district of Istanbul, where the population growth is rapid and the LULC change is very excessive, was chosen as the study area. CORINE LULC data for 1990, 2000, and 2018 were used in the study. Two hybrid prediction models were produced for 2040 by integrating multi-layer perception (MLP) and support vector machine (SVM) algorithms with Markov Chains (MC) method. A base model was prepared with the intersection of these two to take protection precautions in the short and medium term. According to the results, it was determined by MLP that private land ownership significantly affects LULC. In addition, the pressure of urbanization on forests and agricultural lands, most of which are publicly owned, increases, and urban sprawl causes informal settlement.","Ayazli, Ismail Ercument",,,,,,,,,,,,,,,,,,0,LAND USE POLICY,Land use/land cover change,Informal settlement,Geospatial data mining,Urban geosimulation,Urban sprawl,ARTIFICIAL NEURAL-NETWORK,CELLULAR-AUTOMATA MODELS,URBAN-GROWTH SIMULATION,MARKOV-CHAIN,PATH DEPENDENCE,SPRAWL,DRIVEN,AREAS,SCALE,,,,,,,,,,,,JUN 2024,Investigating the interactions between spatiotemporal land use/land cover dynamics and private land ownership
Row_10,"Existing research on urban dynamic simulations has primarily focused on horizontal aspects, whereas vertical changes have remained relatively unexplored. Although a few preliminary studies have attempted to simulate three-dimensional (3D) urban dynamics, these have generally amounted to rudimentary amalgamations of horizontal urban expansion simulation and vertical height estimation. In this study, we enhanced our original Future Land Use Simulation (FLUS) model into a 3D version (FLUS-3D) to simulate the continuous 3D dynamics of real -world urban development. A distinctive characteristic of the proposed model is its ability to concurrently update 3D information of the developed land grids during the simulation process. The FLUS-3D model was assessed via simulations across three metropolitan regions in China: the Beijing -Tianjin -Hebei, Yangtze River Delta, and Pearl River Delta regions. Satisfactory simulation performances were found across all regions, with Figure of Merit values ranging 0.21 -0.35 for horizontal expansion, overall accuracy values of 83 % for the refinement of urban functional types, and root mean squared error values of 5 -7 m for built-up height simulations. Comparative experiments further demonstrated a significant outperformance of the FLUS-3D model compared to that of existing models. Subsequently, the proposed model was applied to simulate the future evolution of 3D urban dynamics until 2030 under the Shared Socioeconomic Pathways (SSPs). The simulation results effectively illustrated the influence of each SSPs on 3D urban development. Given that 3D urban structures are fundamental parameters in urban climate modeling, the proposed model can potentially be used in urban -related studies climate change mitigation to achieve future urban sustainability.","Xu, Xiaocong","Ding, Dan","Liu, Xiaoping",,,,,,,,,,,,,,,,2,LANDSCAPE AND URBAN PLANNING,Cellular automata,Urban development,Three-dimensional simulation,FLUS model,CELLULAR-AUTOMATA,SPATIAL DYNAMICS,NEURAL-NETWORK,EXPANSION,CHINA,MAPS,CALIBRATION,SCENARIOS,,,,,,,,,,,,,,OCT 2024,A three-dimensional future land use simulation (FLUS-3D) model for simulating the 3D urban dynamics under the shared socio-economic pathways
