Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,citation,journal/conference/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,publish time,title
Row_1,"Urban spaces distinctly modulate the mobility patterns of men and women, with new mobility modes manifesting gender differences. In this study, by visualizing bike-sharing mobility patterns in New York City, we reveal significant disparities in cycling usage between males and females. During weekdays, the findings highlight a pattern of male dominance in most areas, particularly in business districts. In some recreational and residential areas, routes with higher proportions of female cyclists are observed. Additionally, weekends experience a surge in the proportion of female cyclists, predominantly in leisure-oriented locations. These findings highlighted the need for urban planning to account for gender differences across space and time to meet diverse mobility needs.","Chen, Guiyu","Li, Chaosu",,,,,,,,,,,,,0,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,Gender disparity,urban mobility,spatial-temporal pattern,cycling behavior,bike-sharing,,,,,,,,,,,,,,,,,SEP 2024,Gender differences in spatio-temporal dynamics: Visualizing bike-sharing mobility patterns in New York City
Row_2,"As urbanization continues to evolve and accelerate, understanding the interactions between urban geography and large-scale mobility data has generated a great interest in the urban studies in recent years. In this paper, we present a method to learn embeddings of urban zones by utilizing the spatiotemporal characteristics of urban mobility. We extract the mobility signature from taxi trajectory data in Seoul, South Korea. Then, we apply Skip-gram model on the mobility signature to obtain the embeddings of the urban zones. Finally, we apply the spherical k-means clustering on the learned embeddings of zones to identify the urban functional regions. Through proposed approach, region maps of Seoul that can readily identify regions of similar socio-economic activities such as mobility patterns are provided.",Nam Woo Kim,Yoonjin Yoon,,,,,,,,,,,,,0,"LocalRec '21: Proceedings of the 5th ACM SIGSPATIAL International Workshop on Location-based Recommendations, Geosocial Networks and Geoadvertising",,,,,,,,,,,,,,,,,,,,,,2021,"Representation learning of urban regions via mobility-signature-based zone embedding: a case study of Seoul, South Korea"
Row_3,"Urban flooding poses significant challenges to densely populated areas, increasing vulnerability to environmental changes. This study assesses the spatial and temporal mobility patterns in response to flood events in Lagos State, Nigeria, a region prone to severe flooding due to its low-lying topography and rapid urbanization. By integrating human mobility and geospatial data, the study analyzes the correlation between flooding and POI visits using the Maximum Information Coefficient (MIC) and Difference-in-Differences (DiD) models. Results indicate significant variations across POI categories, with increased visits to Healthcare & Medical services reflecting emergency needs, while Transportation and Outdoor Recreation experience declines, highlighting the negative impact on general mobility and economic activities. The findings underscore the importance of targeted urban planning and policy interventions to mitigate the effects of urban flooding on communities.","Zhang, L.","Wu, X.","Liu, K.","Xiong, C.",,,,,,,,,,,0,2024 IEEE Global Humanitarian Technology Conference (GHTC),,,,,,,,,,,,,,,,,,,,,,2024,Evaluating the Spatial-Temporal Impact of Urban Flooding on Mobility Patterns and Point of Interest
Row_4,"In this article, we explore intercity mobility in urban agglomerations by surveying people traveling across cities based on private car trajectory data. Specifically, we first adopt the statistical analysis method to mine the intercity mobility in terms of various metrics of travel trips, so as to gain a preliminary understanding of intercity mobility in urban agglomeration. Then, we utilize the tensor decomposition method to conduct in-depth study on the intercity mobility pattern from the perspectives of complexity and multidimensionality. We construct a 4-D tensor based on private car trajectory and point-of-interest (POI) datasets and define the functional similarity and geographic adjacency between regions. Finally, we design an alternating proximal gradient (APG)-based method to resolve the core tensor and factor matrix, leading to the fine-grained discovery of intercity mobility patterns on administrative divisions in the urban agglomeration. Extensive experiments are conducted to evaluate the analysis of intercity mobility, using a real-world dataset containing one-year private car trajectories from five cities in the selected urban agglomeration. The experiments show that the proposed method successfully captures 20 intercity mobility patterns, in which the factor matrices retrieve the patterns from different dimensions with core tensors characterizing correlations between patterns in factor matrices. Besides, the extracted intercity mobility patterns not only cover administrative areas with frequent intercity interactions, but also contain areas with less intercity interactions. It validates that the intercity mobility is consistent with the regional functions in urban agglomeration.","Xiao, Zhu","Wu, Linshan","Jiang, Hongbo","Qin, Zheng","Gao, Chengxi","Li, You","Chen, Hongyang","Liu, Jiangchuan",,,,,,,3,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,Intercity mobility,private car,trajectory data,urban agglomeration,PATTERNS,FACTORIZATION,GROWTH,MODEL,,,,,,,,,,,,,,APR 2024,Exploring Intercity Mobility in Urban Agglomeration: Evidence from Private Car Trajectory Data
Row_5,"The purpose of this study was to clarify the spatiotemporal structure of human mobility patterns in the Tokyo metropolitan area (TMA), and to reveal the regional characteristics and differences of dynamic mobility behaviour therein, from the individual, location, and time-use perspectives. Furthermore, this study aimed to describe daily urban rhythms in terms of human mobility. For these purposes, we constructed a GIS microscope by handling our geo-tagged big data based on the person-trip data. Through a multi-view study, we affirmed that the spatiotemporal mobility patterns had a certain consistency at different scales. Results suggested that the human mobility patterns expressed a typical inter-regional functional complementarity and a certain daily rhythm under the layout of TMA?s quadruple concentric ring structure. By grasping the multidimensional dynamic pattern of human behaviour, researchers, the general public, and policymakers can be brought into alignment towards the goal of sustainable urban planning.","Liu, Kai","Murayama, Yuji","Ichinose, Toshiaki",,,,,,,,,,,,15,JOURNAL OF TRANSPORT GEOGRAPHY,Daily urban rhythm,Human mobility,Multi-view study,Tokyo metropolitan area,BUILT ENVIRONMENT,TIME,SEGREGATION,PERSPECTIVE,PATTERNS,CITY,COMMUNITIES,CLOCK,,,,,,,,,,FEB 2021,A multi-view of the daily urban rhythms of human mobility in the Tokyo metropolitan area
Row_6,"Urban tourism is considered a complex system. Tourists who visit cities have diverse purposes, leading to multifaceted travel behaviors. Understanding travel movement patterns is crucial in developing sustainable planning for urban tourism. Built on network science, this article discusses 12 key topologies of travel patterns/flow occurring in a city network by applying network motif analytics. The 12 significant types of travel mobility can account for approximately 50% of the total movement patterns. In addition, this study presents variations in travel movement patterns depending on not only different lengths of stay in topological structures of travel mobility, but also relative proportions of each type. As a result, this article suggests an interdisciplinary approach that adopts the network science method to better understand city travel behaviors. Important methodological and practical implications that could be useful for city destination planners are suggested.","Park, Sangwon","Zhong, Ren Ridge",,,,,,,,,,,,,18,JOURNAL OF TRAVEL RESEARCH,urban tourism,travel mobility,network motif,length of stay,mobile big data analytics,TOURIST MOVEMENT PATTERNS,BEHAVIOR GPS TRACKING,SOCIAL MEDIA DATA,COMPLEX,FLOWS,,,,,,,,,,,,MAY 2022,Pattern Recognition of Travel Mobility in a City Destination: Application of Network Motif Analytics
Row_7,"Extracting hidden information from human mobility patterns is one of the long-standing challenges of urban studies. In addition, exploring the relationship between urban functional structure and traffic spatial interaction pattern has long been of interest. Recently, vehicle GPS trajectory data emerged as a popular data source for revealing human mobility patterns and urban functions. However, few studies have fully leveraged traffic interaction information that is hidden in human mobility patterns to identify urban functions at the road segment level. To address this issue, a geo-semantic analysis framework was introduced in this study to model the relationship between traffic interaction and urban functions at the road segment level. First, a Road-Trajectory corpus was built and trained to obtain the semantic embedding representation of road segments. Then, considering topological connections between road segments, we used a graph convolutional neural network model to process the contextual and topological information to classify social functions along streets. A case study in Beijing, China, using a large volume of real-world taxi trajectories data, was conducted. The results show that our proposed methods, with relative less loss and high accuracy, outperform other comparative methods for classifying urban functions at the road segment level. This work contributes to the assessment of urban functional structure, and further aiding urban planners in designing better urbanization strategies with regard to traffic interaction and urban space structure.","Hu, Sheng","Gao, Song","Wu, Liang","Xu, Yongyang","Zhang, Ziwei","Cui, Haifu","Gong, Xi",,,,,,,,102,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,Traffic interaction patterns,Urban functions,Vehicle GPS trajectory data,Semantic embedding,Graph convolutional neural network,SPATIAL INTERACTION PATTERNS,HUMAN MOBILITY PATTERNS,LAND-USE,GPS TRAJECTORIES,STREETS,POINTS,SYSTEM,,,,,,,,,,MAY 2021,Urban function classification at road segment level using taxi trajectory data: A graph convolutional neural network approach
Row_8,"This work presents a methodology to generate a mobility-pattern database for urban traffic monitoring through distributed acoustic sensing. Registers from the continuous monitoring of a live experimental testbed provide three canonical types of events (buses, cars and pedestrians). Their separability for automatic detection and classification is inspected through PCA analysis of their approximate entropy and Hjorth parameters. An automatic detection and labeling procedure is presented and used to generate a database of labeled files accessible and usable for future machine learning approaches.","Martinez, Carlos","Garcia, Luz","Titos, Manuel","Carthy, Joe","Camacho, Jose","Mota, Sonia","Benitez, Carmen",,,,,,,,0,IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,Distributed acoustic sensing,urban mobility patterns,smart cities,massive sensing,Labeled databases,,,,,,,,,,,,,,,,,2023,GENERATING A MOBILITY-PATTERN DATABASE FOR URBAN TRAFFIC MONITORING USING DISTRIBUTED ACOUSTIC SENSING
Row_9,"Understanding urban mobility patterns is constrained by our limited capabilities to extract and visualize spatio-temporal regularities from large amounts of mobility data. Moving flocks, defined as groups of people traveling along over a pre-defined time duration, can reveal collective moving patterns at aggregated spatio-temporal scales, thereby facilitating the discovery of urban mobility structure and travel demand patterns. In this study, we extend classical trajectory-oriented flock mining algorithms to discover moving flocks of transit passengers, accounting for the constraints of multi-modal transit networks. We develop a map-centered visual analytics approach by integrating the flock mining algorithm with interactive visualization designs of discovered flocks. Novel interactive visualizations are designed and implemented to support the exploration and analyses of discovered moving flocks at different spatial and temporal scales. The visual analytics approach is evaluated using a real-world smart card dataset collected in Shenzhen City, China, validating its applicability in capturing and mapping dynamic mobility patterns over a large metropolitan area.","Zhang, Tong","He, Wei","Huang, Jing","He, Zhenxuan","Li, Jing",,,,,,,,,,1,CARTOGRAPHY AND GEOGRAPHIC INFORMATION SCIENCE,Moving flock,smart card data,visual analytics,mobility patterns,HUMAN MOBILITY,VISUALIZATION,EXPLORATION,PATTERNS,SEGMENTATION,,,,,,,,,,,,,JUL 4 2022,Interactive visual analytics of moving passenger flocks using massive smart card data
Row_10,"The COVID-19 pandemic has fundamentally changed human mobility patterns in cities. Lockdowns, social distancing and flexible working hours have restructured pre-existing dynamics between two opposing forces in major cities: centripetal and centrifugal. To scrutinise the new dynamics, human mobility in the Seoul Metropolitan Area in early 2020 was investigated using big data collected from cell phone activity. By suggesting a network-based approach to untangle complex human mobility in the urban network, this research contributes to understanding how the COVID-19 shock impacted human mobility patterns in everyday life and how human behaviours adapted to the new normal.","Kim, Young-Long","Jun, Bogang",,,,,,,,,,,,,0,CAMBRIDGE JOURNAL OF REGIONS ECONOMY AND SOCIETY,COVID-19,big data,urban network,human mobility,polycentricity,CITY,WILL,,,,,,,,,,,,,,,DEC 12 2022,Inside out: human mobility big data show how COVID-19 changed the urban network structure in the Seoul Metropolitan Area
