Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,citation,journal/conference/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,publish time,title
Row_1,"Urban renewal has been an important strategic choice to promote urban development. It involves multiple stakeholders with different interests, such as the government, enterprises, communities, and residents, which is a complex collective action. Therefore, how to coordinate the complex interest demands of various stakeholders in urban renewal, improve the efficiency of urban renewal projects, and ensure the orderly progress of urban renewal is crucial. To address this issue, a network model of urban renewal by using the social network method is constructed. The networks of 531 Shenzhen urban renewal projects and 300 Chongqing urban renewal projects in 2019 were compared and analyzed by UCINET6 software. This study takes urban renewal project governance as the research objective and makes a more comprehensive analysis of the existing problems in urban renewal. The results show that the cooperative relationship of multiple entities in the process of urban renewal affects the result of urban renewal. Improving the cooperative relationship between multiple entities in urban renewal will facilitate the successful implementation of urban renewal projects and improve the effect of urban renewal. Finally, to promote the realization of the diversified goals of urban renewal, this study proposes strategies to improve urban renewal governance from many aspects: optimize the urban renewal negotiation platform, increase the participation of multiple entities in urban renewal, regulate the behavior of participants in urban renewal through policies and regulations.","Zhang, Wei","Zhang, Xinxin","Wu, Guangdong",,,,,,,,,,,62,LAND USE POLICY,Urban renewal,Social network,China,Governance,Comparative analysis,DECISION-MAKING,CREATIVE CITIES,REGENERATION,POLICY,MODEL,SUSTAINABILITY,COMPETITIVENESS,TRANSFORMATION,STAKEHOLDERS,PERFORMANCE,,,,,,,,JUL 2021,The network governance of urban renewal: A comparative analysis of two cities in China
Row_2,"As a complex systematic process, urban renewal needs to balance the multiple goals that transfer the original socio-economic foundation to the contemporary social-economic needs under a multi-stakeholder environment. The urban renewal mode decision determines the planning direction in an urban renewal project. How to select options from different urban renewal modes before implementation phase has been a decision-making dilemma. No existing method yet is available to give a satisfactory solution. Therefore, an existing experience-based method for analyzing and summarizing rules of urban renewal mode decision is suitable for this study. This paper adopts experience-based mining method to extract practical experiences from previous urban renewal projects for supporting urban renewal mode decisions with involvement of multi-stakeholder. Data are retrieved from materials of urban renewal projects in China, and an experience-based mining system of urban renewal mode decisions is constructed through text mining and case experience engine. The results reveal that: (1) Urban renewal mode decisions can be supported by experience extracted from case base of urban renewal mode decisions; (2) Urban renewal modes can be classified to development modes (conservation, renovation and redevelopment), resettlement modes (on-site resettlement and off-site resettlement), mode decisions relate to development foundation, development demand and multi-stakeholders? decision-making role; (3) Different groups of stakeholders represent differentiated renewal demand preferences. The decision-making roles of some groups are not fully available in current urban renewal practices. The experience-based mining approach provides practical support for urban renewal mode decisions that could be relevant key points for guidance of future urban renewal decision-making in China.","Zhou, Yulin","Lan, Feng","Zhou, Tao",,,,,,,,,,,34,LAND USE POLICY,Experience-based mining,Existing practice,Urban renewal mode decisions,Multi-stakeholder,SUSTAINABLE DEVELOPMENT,REDEVELOPMENT PROJECTS,INFORMATION,GOVERNANCE,NETWORK,,,,,,,,,,,,,,JUL 2021,An experience-based mining approach to supporting urban renewal mode decisions under a multi-stakeholder environment in China
Row_3,"A good understanding of urban renewal mechanisms is conducive to establishing an efficient spatial governance system. Although previous theories have explained the factors affecting urban renewal, such studies have failed to identify the differences among the drivers of multifunctional types of urban renewal, leading generalized urban renewal policies to fail. To extend the urban renewal theory from a typological perspective, this paper presents a study that identified the similarities and differences in the mechanisms of the multifunctional types of urban renewal projects implemented in Shenzhen, China. Multisource data, such as planning permits, were used to identify the urban renewal projects implemented in Shenzhen, China, between 2010 and 2020 as well as the prerenewal and postrenewal functions of these projects. The results indicate that 1) the regression model accuracy is 60.3 % for urban renewal as a whole. The classification of urban renewal projects improves the goodness of fit of the regression model by 0.16. 2) Land location, land prices, and policies were found to exert a greater influence on urban renewal than other factors, indicating that public demand plays a weaker role in driving urban renewal projects than the government or developers do. 3) The major types of urban renewal can be categorized into three typical driving modes: government-oriented urban renewal, which includes new industrial and public service projects; production-oriented urban renewal, which includes the conversion of industrial land into commercial or residential functions; and consumption-oriented urban renewal, including new residential projects implemented to accommodate the housing needs of an increasing population. Urban planners and policymakers can apply the results to classify urban renewal projects and adopt appropriate strategies for each type to achieve reasonable resource allocation and sustainable development.","Cao, Kexin","Deng, Yu","Song, Ci",,,,,,,,,,,19,CITIES,Urban renewal,Spatial governance,Driving forces,Planning permit,The Rent Gap Theory,LAND-USE CHANGE,NEW-YORK-CITY,RENT-GAP,INDUSTRIAL LAND,TOURISM GENTRIFICATION,DECISION-MAKING,REDEVELOPMENT,REGENERATION,EXPERIENCES,POLICIES,,,,,,,,JUN 2023,"Exploring the drivers of urban renewal through comparative modeling of multiple types in Shenzhen, China"
Row_4,"This study examined the impact of urban renewal delineation time on housing prices in neighborhoods undergoing urban renewal. More specifically, the study used the difference-in-difference method to assess successful housing transactions in Taipei City from 2008 to 2011. According to the empirical results, before the implementation of urban renewal, the average housing price in the areas that later underwent urban renewal (the treatment group) was lower than that in neighborhoods that did not undergo urban renewal (the control group) by 11,180 NTD. After the urban renewal projects were publicly announced, the price per ping of the control group was increased by 148,800 NTD, while the price per ping of the treatment group was increased by 163,680 NTD. This means that the housing prices per ping in the urban renewal areas were increased by 14,880 NTD more than the housing prices per ping in the areas not affected by urban renewal after the urban renewal projects were publicly announced. This increase, then, indicates the value added after implementation of urban renewal delineation time on houses in the neighborhood. Therefore, research into the impact of urban renewal on housing prices should be concerned not only with the neighborhood factors or time factors of urban renewal delineation. Rather, the two types of factors should be considered at the same time.","Lee, Chun-chang","Liang, Chih-Min","Chen, Chia-Yu",,,,,,,,,,,42,JOURNAL OF HOUSING AND THE BUILT ENVIRONMENT,Urban renewal,Housing prices,Urban renewal delineation time,Difference-in-difference method,GENTRIFICATION,EXTERNALITIES,VALUES,,,,,,,,,,,,,,,,SEP 2017,The impact of urban renewal on neighborhood housing prices in Taipei: an application of the difference-in-difference method
Row_5,"Urban renewal is a critical avenue and strategic tool for achieving high-quality and sustainable development, and the residential market plays a vital role in promoting urban renewal and urban growth. However, the impact of urban renewal on housing prices remains inconclusive, closely tied to the characteristics of the study area, the sources of research data, and so on. To address this, we employ the difference-in-difference method and a mixed panel dataset of housing transactions from 2010 to 2021 to analyze in detail the effects of different urban renewal types (Industrial Renewal, Residential Renewal, and Commercial Renewal) on surrounding housing prices in Bao'an District at different renewal phases (announcement, start, and completion). We found that In-dustrial Renewal exerts the most significant impact on housing prices at the beginning and completion of renewal, followed by Residential Renewal and Commercial Renewal. Moreover, Urban renewal generates both positive and negative externalities on housing prices, especially in the case of numerous small-scale renewal projects. The findings suggest that urban renewal should be supported by systematic research on renewal types, the establishment of scale entry threshold, and the monitoring of the entire process.","Wu, Si -Min","Deng, Yu",,,,,,,,,,,,5,CITIES,Urban renewal types,Housing prices,Stages,Scale,Shenzhen,SCHOOL-DISTRICT,QUALITY,PROJECT,GROWTH,AREA,CITY,,,,,,,,,,,,FEB 2024,Typological differentiation and time-series effects of urban renewal on housing prices
Row_6,"During 2016-2018 rapid urban renewal has taken place within Beijing inner city. Scientific understanding of the regional differentiations and driving mechanisms of current urban renewal will improve strategy of the functional extraction and renewal policies. In this respect, we have used points of interest (POI) data and cellphone signaling data to analyze the urban renewal patterns based on several pattern identification and spatial analysis methods, including spatial intensity analysis, dominant pattern analysis and cooperativity analysis. On the basis of this, four types of urban renewal mode and their combinations are distinguished, including all POIs renewal dominated, restaurant renewal dominated, transportation and warehousing renewal dominated, transportation and warehousing renewal dominated with restaurant renewal assisted. Furthermore, according to the division of regional occupational-residential functions and regional population activity, four forms of basic regional conditions were obtained: balanced inactive area, balanced active area, employment active area, and residential active area, which well explains the formation mechanism of urban renewal heterogeneity. Lastly, the comparison between urban renewal what happed in Beijing and other cities is made, so as to put forward aspects concerning improved strategy of the functional extraction and urban renewal.","Zhou, Daojing","Xu, Shan","Sun, Chuanzhun","Deng, Yu",,,,,,,,,,22,HABITAT INTERNATIONAL,Urban renewal,Inner city,Urban planning,Population decentralization,Formation mechanism,Spatial heterogeneity,Beijing,RENT-GAP,SUSTAINABLE COMMUNITIES,GENTRIFICATION,INFRASTRUCTURE,URBANIZATION,TRANSITIONS,,,,,,,,,,MAY 2021,Dynamic and drivers of spatial change in rapid urban renewal within Beijing inner city
Row_7,"In the 1990s and 2000s, inner city neighborhood redevelopment occurred throughout the United States as billions in public and private investments entered impoverished black communities. This revitalization process led to the displacement of hundreds of thousands of African-Americans. Based on this circumstance, some scholars suggest that this circumstance was a return to the past urban renewal period (1949-1974). While there have been many case studies of contemporary inner city redevelopment, this article uses a comparative historical approach to claim that we have entered and completed a new urban renewal period (1992-2007) that rivals but yet is distinct from the old urban renewal period in four important ways. First, the new urban renewal was a central business district (CBD) expansion strategy, whereas the old urban renewal was a preservation strategy. Second, the dynamics driving the new urban renewal were more complex and included global, federal, and local factors, while federal forces were more important in structuring the old urban renewal. Third, the consequences of the new urban renewal were not explained by race alone but involved an interaction between race and class. Lastly, the new urban renewal was associated with rising suburban poverty and the old urban renewal institutionalized the inner city ghetto. Specifying the parallels and differences between the old and new urban renewal periods is vital for understanding how twentieth- and twenty-first-century urban policies, and their consequences, relate to an ever-changing metropolitan America.","Hyra, Derek S.",,,,,,,,,,,,,170,URBAN AFFAIRS REVIEW,urban renewal,inner city redevelopment,race,housing policy,HOPE VI,HOUSING POLICY,GENTRIFICATION,DISPLACEMENT,RACE,CITY,OPPORTUNITIES,RETURN,RISK,,,,,,,,,,JUL 2012,Conceptualizing the New Urban Renewal: Comparing the Past to the Present
Row_8,"Urban renewal is the result of collaborative governance among multiple stakeholders, and identifying the matching relationship between different urban renewal models and their performance is conducive to a more precise allocation of resources for urban renewal in various cities. In this study, we constructed a six-dimensional framework of benefits, covering local government, the regional economy, cultural preservation, social governance, ecological protection, and the role of cities. The work encompassed 18 evaluation indicators driving urban renewal based on urban renewal data from 20 cities in China. We employed the entropy weight and fuzzy set qualitative comparative analysis (fsQCA) methods to develop three urban renewal performance driving models-the comprehensive development model, political-ecological synergistic driving model, and economic-cultural weakness model. Furthermore, we categorized the characteristics of urban renewal in the 20 cities, providing theoretical support for the tailored formulation of differentiated urban renewal strategies based on each city's development status.","Chen, Zhen","Fan, Jie",,,,,,,,,,,,0,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,Urban renewal performance,Entropy weight method,Fuzzy set qualitative comparative analysis,six-dimensional benefit framework,CHINA,REGENERATION,SUSTAINABILITY,IMPACT,PERSPECTIVE,PROJECTS,POLICIES,,,,,,,,,,,,DEC 1 2024,Influence of Grouping and Driving Mechanisms on Urban Renewal Performance Using a Six-Dimensional Benefit Framework
Row_9,"This paper chooses government, resident and developer for the core stakeholders of the urban renewal who can affect the realization of the urban renewal objectives during the whole life cycle of the urban renewal construction. Based on the analysis of literature summary about urban renewal, this paper confirms 30 influence factors of comprehensive benefits in urban renewal through the questionnaire. The evaluation index system of 16 factors containing three subsystems of government benefits, resident benefits and developer benefits is established through factor analysis theory. Entropy method was then used to assign weights on criteria and macro-criteria. The weights of government, residents and developers are respectively 0.343, 0.386, 0.271. Then an evaluation model of urban renewal comprehensive benefit is put up. Fuzzy theory is used to calculate the evaluation values of Lieder village renewal in Guangzhou and the evaluation result shows that the comprehensive benefit evaluation of Lieder village renewal is good. The result is accord with actual. It has a certain practical value for the evaluation model used on the comprehensive benefit evaluation of urban renewal. (C) 2017 Elsevier Ltd. All rights reserved.","Wang, Yousong","Li, Jianfeng","Zhang, Guilin","Li, Yakun","Asare, Martin Henry",,,,,,,,,63,HABITAT INTERNATIONAL,Urban renewal,Stakeholders,Comprehensive benefit,Evaluation system,Fuzzy evaluation,Factor analysis,SUSTAINABILITY,CITY,,,,,,,,,,,,,,,AUG 2017,Fuzzy evaluation of comprehensive benefit in urban renewal based on the perspective of core stakeholders
Row_10,,"Eckert, J K",,,,,,,,,,,,,9,The Gerontologist,,,,,,,,,,,,,,,,,,,,,,,1979-Oct,Urban renewal and redevelopment: high risk for the marginally subsistent elderly.
