Phrase,Frequency
mobility,858
travel,296
network,192
human,187
rural,168
migration,163
transport,148
transportation,124
activity,119
flow,113
environment,111
human mobility,111
accessibility,108
networks,100
socio,99
co,98
understanding,94
characteristics,93
housing,92
spat,91
geo,90
location,89
residential,87
distance,86
temporal,84
green,83
intercity,82
economic,80
traffic,80
people,78
transit,77
health,73
daily,70
residents,70
among,69
large,69
spaces,69
com,68
scale,67
sharing,67
access,66
region,66
income,65
trajectory,65
bike,64
cluster,64
demand,64
mobile,64
trip,64
trips,64
big,63
exposure,63
di,62
gender,61
movement,61
infrastructure,60
one,60
well,60
work,60
across,59
activities,59
regions,59
central,58
first,58
individual,57
flows,56
groups,56
metropolitan,56
related,56
sc,56
due,55
behavior,54
density,54
inter,54
non,54
impacts,53
influence,53
road,53
systems,53
dynamics,52
features,52
sustainable,52
higher,51
levels,51
types,51
regression,50
service,49
could,48
destination,48
reveal,48
segregation,48
better,47
dynamic,47
methods,47
various,47
less,46
complex,45
context,45
identify,45
interaction,45
pan,45
per,45
physical,45
role,45
choice,44
form,44
locations,44
phone,44
global,43
het,43
intercity mobility,43
environmental,42
identified,42
including,42
integration,42
life,42
mode,42
communities,41
empirical,41
found,41
geographical,41
intra,41
may,41
tr,41
active,40
connectivity,40
insights,40
multiple,40
neighborhood,40
demographic,39
many,39
micro,39
prediction,39
beijing,38
bike sharing,38
functional,38
metro,38
migrants,38
knowledge,37
stations,37
bus,36
geographic,36
living,36
long,36
mobile phone,36
number,36
residential mobility,36
women,36
analyze,35
especially,35
survey,35
terms,35
tourism,35
uses,35
world,35
car,34
detection,34
finally,34
inequality,34
mixed,34
origin,34
overall,34
poverty,34
shared,34
diversity,33
facilities,33
future,33
greens,33
management,33
measures,33
parking,33
quan,33
safety,33
significantly,33
small,33
station,33
users,33
air,32
compared,32
environments,32
function,32
households,32
often,32
parks,32
pedestrian,32
specific,32
visual,32
zones,32
age,31
article,31
associated,31
db,31
developed,31
limited,31
modes,31
opportunities,31
perspective,31
po,31
shows,31
variables,31
addition,30
applied,30
climate,30
conditions,30
focus,30
functions,30
group,30
implications,30
individuals,30
major,30
methodology,30
mob,30
modeling,30
proximity,30
racial,30
smart,30
understand,30
correlation,29
developing,29
equity,29
resources,29
