Phrase,Frequency
heat island,32
thermal environment,28
cultural heritage,22
historical cultural,19
industrial heritage,19
large scale,19
remote sensing,19
thermal comfort,19
surface temperature,18
socio economic,15
view images,15
landscape identity,14
coupling coordination,13
imp surfaces,13
long term,13
structural racism,12
haze pollution,11
hong kong,11
real estate,11
coordination degree,10
housing prices,10
imp surface,10
implicit consumption,10
random forest,10
recent years,10
river delta,10
small scale,10
supply demand,10
co creation,9
economic res,9
overall accuracy,9
planned behavior,9
plant diversity,9
rail transit,9
rent gap,9
sense place,9
sensing images,9
structural equation,9
yang river,9
decision makers,8
driving forces,8
economic environmental,8
fine tuning,8
green exposure,8
green innovation,8
green spaces,8
left spaces,8
metro led,8
older adults,8
path network,8
recreational path,8
reset communities,8
residential satisfaction,8
theory planned,8
weighted regression,8
wind speed,8
air pollution,7
block scale,7
children opportunities,7
flow prediction,7
geographically weighted,7
great significance,7
green infrastructure,7
housing price,7
human perception,7
nighttime light,7
question survey,7
residential segregation,7
rest perception,7
self organization,7
semantic segment,7
vacant houses,7
carbon emission,6
climate zones,6
co pan,6
cultural values,6
ecological environment,6
en road,6
energy consumption,6
equation modeling,6
functional adapt,6
google earth,6
heat map,6
historical structural,6
housing vacancy,6
hu va,6
human activities,6
industrial upgrading,6
informal settlements,6
institutional arrangements,6
intra year,6
last decades,6
life cycle,6
middle class,6
objective optimization,6
open spaces,6
political economy,6
reconstruction residential,6
semi structured,6
sheds light,6
structured interviews,6
sustainable regeneration,6
tie dye,6
traffic congestion,6
transit oriented,6
valuable insights,6
village regeneration,6
win win,6
achieve sustainable,5
address issue,5
among stakeholders,5
architectural heritage,5
arrival affordable,5
brown regeneration,5
comprehensive evaluation,5
construction sites,5
cotton district,5
cultural districts,5
current situation,5
degrees degrees,5
demolition waste,5
developer obligations,5
digital projection,5
economic status,5
explicit implicit,5
heritage conservation,5
heritage management,5
hierarchy ah,5
historic districts,5
horizontal vertical,5
indirect stakeholders,5
landscape dynamics,5
language processing,5
literature review,5
market oriented,5
natural language,5
node place,5
outdoor thermal,5
past decades,5
points interest,5
promote sustainable,5
qu quantitative,5
regeneration initiatives,5
road network,5
rural migrants,5
satellite images,5
service coordinator,5
smart construction,5
survey conducted,5
trade offs,5
traditional villages,5
vacancy rate,5
water supply,5
accuracy kappa,4
achieving sustainable,4
affected residential,4
air poll,4
air temperature,4
analytic hierarchy,4
arid hot,4
around world,4
article aims,4
barrier free,4
behavioral preferences,4
benefits sharing,4
better understanding,4
biodiversity inclusive,4
block morphology,4
brick landscape,4
capture capacity,4
child friendly,4
circular economy,4
civil activism,4
coal mine,4
collective memory,4
commercial districts,4
comprehensive understanding,4
computational fluid,4
cultural blocks,4
customer satisfaction,4
demolition compensation,4
developers residents,4
developing countries,4
direct indirect,4
dog walking,4
drainage systems,4
dynamic stake,4
ecological protection,4
economic ecological,4
economic market,4
ecosystem service,4
eli interviews,4
energy efficiency,4
energy justice,4
entropy weight,4
