Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,citation,conference,journal/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,publish time,title
Row_1,"Healthcare accessibility and equality have attracted extensive attention, but few in metropolitan areas, which are characterized by intense intercity connections. Despite of the policy focus on intercity patient mobility in metropolitan areas, the quantitative impact of intercity patient mobility on healthcare accessibility and equality remains understudied. This study develops a comprehensive framework to quantify such impacts by comparing two scenarios (i.e., intercity and intracity) of accessibility to existing and optimized healthcare services. A twostep optimization method, integrating efficiency and equality, is applied to optimize healthcare resources. These analyses are conducted within the context of the Shenzhen metropolitan area. The results reveal that intercity patient mobility can improve efficiency and equality of healthcare accessibility to existing services by 8% and 6%, respectively. Furthermore, optimization that considers intercity patient mobility can improve healthcare accessibility efficiency and equality by 37% and 19% compared to the status quo. The framework and methods developed in this study are valuable for measuring and optimizing healthcare accessibility in metropolitan areas, which is transferrable to other areas with significant regional disparity. This study also provides quantitative evidence of the positive effects of intercity patient mobility on healthcare efficiency and equality in metropolitan areas, which is fundamental for policymaking and planning.","Zhong, Qianyu","Wu, Jiangyue","Tao, Zhuolin",,,,,,,,,,,,,,,,,,,,,,,0,,APPLIED GEOGRAPHY,Healthcare accessibility,Intercity patient mobility,Equality,Efficiency,Metropolitan area,,,,,,,,,,,OCT 2024,"Intercity patient mobility can improve healthcare accessibility and equality in metropolitan areas: A case study of Shenzhen metropolitan area, China"
Row_2,"This study examines the effects of residential areas and regional characteristics on household income mobility in Korea using a dynamic ordered probit model. The results demonstrate that households located in metropolitan areas are more likely to belong to the higher income quintile compared with households located in non-metropolitan areas. However, population growth in non-metropolitan areas was confirmed to have a positive effect on upward mobility associated with household income, while population growth in the metropolitan area negatively affected upward mobility. The findings support the legitimacy of the population distribution policy, which implies the need for the government to pursue a regionally balanced development policy more vigorously.","Yoon, Sung-Joo",,,,,,,,,,,,,,,,,,,,,,,,,0,,APPLIED ECONOMICS LETTERS,Household income mobility,residential area,income quintiles,dynamic ordered probit model,,,,,,,,,,,,DEC 14 2024,Household income mobility in metropolitan and non-metropolitan areas in Korea
Row_3,"The geographical dispersion of daily life, coupled with the increase in travel speeds, have generated greater travel distances, affecting the spatial scale of mobility in metropolitan regions. The exploration of the spaces of activity of metropolitan residents is essential for the understanding urban expansion processes. This paper aims to evaluate the spaces of activity of metropolitan residents through a methodological proposal that combines the analysis of patterns of daily mobility, identified from personal tracking data, and the exploitation of land-use cartography. The method has been applied to the spatial extension of the daily life of members of the Autonomous University of Barcelona. The results make it possible to identify the impact of the place of residence and the mode of transport in daily mobility patterns on a metropolitan scale.","Butron-Revilla, Cinthya","Santiago-Ramos, Jesus",,,,,,,,,,,,,,,,,,,,,,,,0,,EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,mobility,urbanism,metropolitan areas,,,,,,,,,,,,,SEP 2024,Spaces of activity and daily mobility of the university community in the metropolitan area of Barcelona: a methodological proposal based on GPs data
Row_4,"In an urbanized world, the challenges posed by climate change need to be met through innovative planning for cities and regions. Urban resilience demands that cities adopt new models centered on carbon neutrality, ecosystem services and biodiversity enhancement, circularity, and social inclusion. In light of the multiple interdependencies of metropolitan systems and the natural and territorial potentialities present on their fringes, this paper discusses the metropolitan fringes as strategic for urban resilience and sustainable transitions. By combining a mixed-method analysis of adaptation and urban plans with semi-structured interviews performed with key technicians, the analysis is focused on an inter-municipal fringe zone within the Barcelona Metropolitan Area - the Bes`os territory. Aiming to contribute to the discussions related to Territorial innovation for cities and regions, the paper offers a multi-scale perspective and illustrates innovative urban transformation strategies across scales. The results highlight that governance and multiple planning and participation instances together with technical and financial support are essential for consensus building in an incremental process. Furthermore, the planning strategies of the case study sought to integrate and enhance the green and blue infrastructures and transform consolidated urban areas with a focus on energy transition, sustainable mobility, circularity, and social inclusion. In conclusion, it is argued that resilience has a multi-scalar perspective within the metropolitan context and should be integrated with planning policies at different scales from a coordinated vision. Although adaptation and urban projects have a critical local element, a broader and more strategic vision is necessary, especially in metropolitan fringe areas.","Marques, Andresa Ledo","Alvim, Angelica Tanus Benatti",,,,,,,,,,,,,,,,,,,,,,,,2,,CITIES,Metropolitan fringes,Urban resilience,Metropolitan resilience,Metropolitan planning,Multi-scale planning,Barcelona Metropolitan Area,,,,,,,,,,JUL 2024,Metropolitan fringes as strategic areas for urban resilience and sustainable transitions: Insights from Barcelona Metropolitan Area
Row_5,"This article deals with mobility planning and intervention initiatives carried out in the last decade in one of the intermediate cities of Argentina: the Mendoza Metropolitan Area. These initiatives are framed in the principles of sustainable mobility and try to solve the problems posed by intensive automobile mobility and the growth in extension of cities. Here we focus on the dissemination of models for the implementation of these initiatives, on the circulation of these models between different cities and on the actors involved. We dwell on the implementation of the so-called mass public transport systems, particularly on the Metrotranvia for the Mendoza Metropolitan Area. We develop a qualitative methodological strategy that combines various techniques and instruments for the construction and analysis of data from primary and secondary sources, such as documentary analysis, interviews, photography and field observation. In general, we observe that the application of these models does not guarantee the achievement of the objectives of sustainable mobility, for which we consider the active role of those who promote it to be essential for its application in various cities.","Magallanes, Rodrigo Martin","Navarrete, Maria Jose","Dalla Torre, Julieta",,,,,,,,,,,,,,,,,,,,,,,0,,REVISTA DE TRANSPORTE Y TERRITORIO,SUSTAINABLE MOBILITY,POLICY CIRCULATION,URBAN PLANIFICATION,URBAN PUBLIC TRANSPORT,,,,,,,,,,,,JAN-JUN 2024,"Challenges for sustainable mobility: the development of mobility policies in the Mendoza Metropolitan Area, Argentina"
Row_6,"Environmentally friendly alternatives to motorised transport have recently become a topic of discussion among political representatives. To achieve sustainable urban mobility objectives, political discussions have focused on promoting cycling, walking and using public transport in cities. These modes of transportation are attractive ways of commuting to and from work for a portion of the population. In the literature, there is a growing interest in the phenomenon of active commuting. This paper examines the spatio-temporal patterns and practices of active commuting and evaluates their significance in the context of sustainable urban mobility. The empirical research is based on data obtained from a questionnaire survey and semistructured interviews conducted in 2023 in the Brno Metropolitan Area. Based on the data, three categories of active commuting were identified, namely pragmatic active commuting, physical active commuting, and combined active commuting, which differ in the implementation of different spatio-temporal practices. For the development of sustainable transport in the city, it is necessary to promote the construction of pedestrian and bicycle infrastructure, with the aim of making movement for pedestrians and cyclists more straightforward, efficient, and safer, including paying attention to actions leading to the embedding of this mode of transport in the wider societal context.","Gorny, David",,,,,,,,,,,,,,,,,,,,,,,,,0,,MORAVIAN GEOGRAPHICAL REPORTS,Active commuting,spatio-temporal practices,urban mobility,transport mode,Brno Metropolitan Area,physical activity,,,,,,,,,,SEP 1 2024,Active commuting as a form of sustainable urban mobility: The case of the Brno Metropolitan Area
Row_7,"This paper verifies the determinants on an intra-district residential mobility pattern with the residential migration theory. By using the intradistrict residential mobility to mobility ratio, we examine the patterns based on the variables of household attributes, degree of affordability, housing quality, and place identity. The overall results show that there are significant effects in the metropolitan area. Furthermore, the effects of household attributes and housing quality exhibit a declining pattern from the central business district to the fringe areas, and place identity is crucial to the fringe areas, but insignificant in the central business district (CBD). As for the district time-invariant effect, the fringe areas have higher values than the CBD, and in the case of the time-series effect, it appears that the CBD has a higher value than those in the fringe areas. Thus, we conclude that the residents in the central areas have a negative place identity but are highly affected by the household attributes and housing quality. However, the mobility patterns in the fringe areas show the opposite result. They are more influenced by a positive place identity but less affected by the household attributes and housing quality. Finally, housing affordability has a significant impact for all.","Chen, Ping-Hung","Peng, Chien-Wen",,,,,,,,,,,,,,,,,,,,,,,,0,,INTERNATIONAL REAL ESTATE REVIEW,Residential Mobility,Housing Affordability,Housing Quality,Household Attributes,Place Identity,Panel Data,,,,,,,,,,NOV 2024,Determinants of Intra-District Residential Mobility - A Case Study of Taipei Metropolitan Area
Row_8,"This research examines transit effectiveness empirically through the lens of access to employment. The approach uses the gradual shift of mobility to access to introduce the Transit-Walk Access Gap (TWAG) as an effectiveness indicator. TWAG is evaluated in the 50 most populated American Metropolitan Areas, and the analyses offer three conclusions. First, transit access effectiveness should not be measured in isolation of spatial and temporal dimensions of the transit service. The results show that transit service is slightly effective in short travel times, but a gradual improvement in transit access effectiveness is noticed by increased travel-time thresholds. Results also indicate that the spatial coverage of effective transit rises with an increase in travel time. However, the nature of the relationship does not appear to be linear. Second, transit access effectiveness is Central Business District (CBD) centric in most American metropolitan areas. The correlation analysis declares that transit access effectiveness declines from a surfeit of effectiveness to relative scarcity as one moves out from the center. It is realized that the correlation becomes more substantial with an increase in the travel-time threshold. Third, transit access effectiveness is positively correlated with transit ridership. The magnitude of association is a function of the metropolitan area and the travel-time threshold, with Memphis as the most elastic and New York the least elastic metropolitan area. The transit access effectiveness indicator introduced here should not be viewed as final. As transit access data are becoming increasingly available and as the goal of transport is shifting from mobility to access, further research needs to be conducted to advance the understanding of access-related transit effectiveness. The adoption of the indicator is, ultimately, a political process.","Ermagun, Alireza","Witlox, Frank",,,,,,,,,,,,,,,,,,,,,,,,0,,JOURNAL OF TRANSPORT GEOGRAPHY,Accessibility,Public transit,Transit service area,Transit performance,Transit effectiveness,,,,,,,,,,,APR 2024,Transit access effectiveness in American metropolitan areas
Row_9,"The suburbanization of poverty has been a concerning trend in many urban regions. While research has described patterns of suburbanization of poverty at regional and neighbourhood levels, there are open questions about how lower -income households have agglomerated in the suburbs in recent history. Is suburban poverty primarily a result of 1) the movement of low-income residents from central to suburban neighbourhoods (e.g., via processes of gentrification and displacement), 2) migration between Census Metropolitan Areas and the immigration of low-income groups to suburbs, or 3) becoming and remaining poor while staying in the suburbs? The objective of this paper is to describe and quantify the propensity of these predominant individual geographic pathways to suburban poverty. We do so via a cluster analysis of census and land use data to define neighbourhoods as either central or suburban, and then link this categorization to a large-scale panel dataset representing 20 % of tax filers in Canada (from 2006 to 2016). These data allow for analyzing different pathways within the context of large Canadian metropolitan areas, specifically to what extent poverty in suburban neighbourhoods stems from intraurban residential mobility, immigration, and becoming poor in -place. We find that becoming and remaining poor while staying in the suburbs encompasses a greater proportion of suburban poverty than immigration and centreto -suburb residential mobility combined. Overall, this research expands our understanding of the sources of suburban poverty while also providing pertinent information to aid preventative policy aimed at reducing suburban poverty in Canada.","Allen, Jeff","Farber, Steven","Tiznado-Aitken, Ignacio",,,,,,,,,,,,,,,,,,,,,,,1,,CITIES,Suburbs,Poverty,Residential mobility,Immigration,Panel data,,,,,,,,,,,APR 2024,Pathways to suburban poverty in nine Canadian metropolitan areas
Row_10,"In this article, we describe the methodological stages of research aimed at understanding residential mobility and aspirations in a peripheral metropolitan context of families in a framework of poverty. The study aimed to comprehend the aspirations and potential trends of residential mobility in this population segment, to provide insights for the development of public policies. To achieve these objectives, secondary data, reflective approaches through fieldwork, and the application of qualitative instruments were utilized, made possible by the composition of a multidisciplinary team. These instruments were applied in areas with high concentrations of poverty, based on income and housing conditions, to establish a reflection on residential mobility, its modifications, and relationships, measured by family living standards, types of households, and income. The results revealed an intricate reality, where family structures, individual aspirations, and socioeconomic contexts intertwine in a complex and non-linear manner regarding relocation decisions, with emphasis on the decisive role of social and spatial context in residential mobility decision-making.","Dota, Ednelson Mariano","Martins, Isis do Mar Marques","Aparicio, Cimar Alejandro Prieto","Robaina, Igor Martins Medeiros",,,,,,,,,,,,,,,,,,,,,,0,,BITACORA URBANO TERRITORIAL,family,residential mobility,metropolitan areas,scientific method,,,,,,,,,,,,MAR-JUN 2024,"A methodological journey in a Brazilian metropolis periphery: family, aspirations and residential mobility"
