,author,title,journal/conference/book,publish time,citation,abstract,keywords
Row_1,"Niu, FQ (Niu, Fangqu) [1]",A push-pull model for inter-city migration simulation,CITIES,DEC 2022,16,"This study developed a migration model, termed the inter-city migration model (IcMM), based on the ""push-pull"" theory to model China's inter-city population migration. The IcMM is comprised of three sub-models: the pull, push, and distance impedance models. The IcMM simulates two-way inter-city migration based on cities' pull factors, push factors, and distance impedance. The IcMM is a strict implementation of the ""push-pull"" theory. Model verification shows that it can achieve good results in simulating China's inter-city migration. The three sub-models included in the IcMM are loosely coupled and easy to expand. The regional applicability and extension of the proposed model is also discussed.",Author KeywordsPopulation migration (population flow)Model simulationPush-pull modelPush factorPull factorKeywords PlusINTERNATIONAL MIGRATIONGREAT-BRITAINMOBILITY
Row_2,"Hiramatsu, T (Hiramatsu, Tomoru) [1]",Inter-metropolitan regional migration galvanized by high-speed rail: A simulation analysis of the Linear Chuo Shinkansen line in Japan,SOCIO-ECONOMIC PLANNING SCIENCES,FEB 2023,4,"The development of transportation infrastructure impacts migration, production, and other economic activities along with it. In this study, we conducted a multiregional computable general equilibrium simulation analysis to assess the effects that the proposed 2027 high-speed railway, the Linear Chuo Shinkansen in Japan, will have on population migration. The 47 prefectures ordained by the Japanese administrative unit were considered, and the simulation potential workforce population was taken as 110 million. The population is concentrated in the Tokyo metropolitan area. As per our simulation, once the proposed high-speed railway opens, ""travel costs"" (comprising time and the monetary costs of traveling) will decrease. This situation will stimulate economic activities and lead people to migrate to the prefectures where the economic environment improves. The results show that this development will ease extreme population concentration while simultaneously increasing employment and production values. However, additional analysis indicates that further development of the Linear Shinkansen to strengthen the current high-speed rail on the route to Tokaido will increase population concentration.",Author KeywordsLinear chuo shinkansen (LCS)Population migrationConcentration of populationMultiregional computable general equilibrium(CGE)High-speed rail routeKeywords PlusECONOMIC-GROWTHIMPACTACCESSIBILITYTRANSPORTEQUITYNETWORKMODELSCHINA
Row_3,"Zhu, YY (Zhu, Yuying) [1] ; Li, WB (Li, Wenbo) [2] ; Xia, CY (Xia, Chengyi) [1] ; Chica, M (Chica, Manuel) [3] , [4]",Payoff-driven migration promotes the evolution of trust in networked populations,KNOWLEDGE-BASED SYSTEMS,DEC 3 2024,0,"Establishing and maintaining trustworthy behaviors in large populations of self-interested individuals is a significant problem which received extensive attentions from research fields such as evolutionary biology, economics, sociology and engineering. Asa well-known model that captures social trust dilemmas, the Nplayer trust game is adopted to investigate the evolution of trust in groups consisting of investors and trustees. In addition, to model real scenarios in dynamic environments, we introduce a novel migration mechanism, called adaptive environment-benefit-driven migration, which considers the influence of individuals' payoffs on migration. Through theoretical analysis and Monte Carlo simulations, we demonstrate the effectiveness of the migration mechanism on facilitating trust behaviors in the framework of evolutionary game theory. We find that the population density plays a crucial role in establishing trust. Simulation results reveal that trust can be fostered in a dynamic environment influenced by individual migration with the medium vacancy rate. This work significantly contributes to the understanding of mutual trust behaviors in networked social systems from amore realistic perspective.",Author KeywordsN-player trust gamePayoff-driven migrationNetworked populationsEvolutionary game theoryKeywords PlusGAME-THEORYCOOPERATIONDYNAMICSREPUTATION
Row_4,"Kang, YG (Kang, Yung-Gyung) [1] ; Park, JM (Park, Jeong-Man) [2]",,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,JAN 2022,0,"We investigate the evolution model which consists of subdivided populations of individual agents confined to three islands. The individuals are haploid individuals with three types. In subdivided populations, migration acts in parallel with natural selection to determine the evolutionary dynamics. We call this model the (3, 3) parallel migration-selection (ParaMiSe) model. The individuals on each island reproduce with the probability proportional to their fitness values and die at random, and migrate between two islands. The evolutionary dynamics of the (3, 3) ParaMiSe model is formulated as a master equation and can be approximated as the Fokker-Planck equation and the stochastic differential equations (SDEs). By taking the infinite population limit, we obtain the deterministic parts of the SDEs and observe that there exists a second-order continuous phase transition in the population density from the monomorphic state to the polymorphic state at the critical migration rate. We find the critical migration rate as a function of the median fitness value on the islands and predict the critical migration rate for the general (D, D) ParaMiSe model with D > 3. We also carry out Monte Carlo simulations using the Gillespie-type algorithm and find that the results of Monte Carlo simulations are in good agreement with the analytic predictions.",Author KeywordsEvolutionary dynamicsSubdivided populationCritical migration rateKeywords PlusWEAK-NOISE LIMITFIXATION
Row_5,"Arora, C.; Sharma, R.; Rehalia, A.; Bhardwaj, A.",An eco-epidemic mathematical model with migration,Journal of Interdisciplinary Mathematics,2022,0,"The proposed model depicts the relationship between different population groups and disease is contemplated in one population. The incorporation of Holling type II functional response is significant to examine the dynamics amid predators, susceptible prey and infected prey. The system is analyzed and it is investigated that strong migration presence in susceptible prey and predator population can change the dynamics. The basic reproduction number is acknowledged and stability analysis is carried out. Numerical simulation is performed to validate the theoretical results.",basic reproduction numberdifferent population groupsdiseaseeco-epidemic mathematical modelHolling type II functional responseinfected preypredator populationpredatorsstrong migration presencesusceptible prey
Row_6,"Zhang, WX (Zhang, Wenxiao) [1] ; Yuan, K (Yuan, Kai) [2] ; Wen, R (Wen, Ru) [1] ; Li, HF (Li, Haifang) [3] ; Ni, XM (Ni, Xumin) [1]",Reconstruct recent multi-population migration history by using identical-by-descent sharing,JOURNAL OF GENETICS AND GENOMICS,JUN 2024,0,"Identical-by-descent (IBD) is a fundamental genomic characteristic in population genetics and has been widely used for population history reconstruction. However, limited by the nature of IBD, which could only capture the relationship between two individuals/haplotypes, existing IBD-based history inference is constrained to two populations. In this study, we propose a framework by leveraging IBD sharing in multipopulation and develop a method, MatrixIBD, to reconstruct recent multi-population migration history. Specifically, we employ the structured coalescent theory to precisely model the genealogical process and then estimate the IBD sharing across multiple populations. Within our model, we establish a theoretical connection between migration history and IBD sharing. Our method is rigorously evaluated through simulations, revealing its remarkable accuracy and robustness. Furthermore, we apply MatrixIBD to Central and South Asia in the Human Genome Diversity Project and successfully reconstruct the recent migration history of three closely related populations in South Asia. By taking into account the IBD sharing across multiple populations simultaneously, MatrixIBD enables us to attain clearer and more comprehensive insights into the history of regions characterized by complex migration dynamics, providing a holistic perspective on intricate patterns embedded within the recent population migration history. Copyright (c) 2024, Institute of Genetics and Developmental Biology, Chinese Academy of Sciences, and Genetics Society of China. Published by Elsevier Limited and Science Press. All rights reserved.",Author KeywordsPopulation geneticsIBD sharingMigration historyStructured coalescent theoryGene flow
Row_7,"Fan, ZW (Fan, Z. W.) [1] ; Xiong, L (Xiong, L.) [1] ; Zheng, B (Zheng, B.) [1] , [2] , [3]",Bigdata-based investigation of heterogeneous migration and population distribution,EPL,JAN 2022,2,"Human mobility is very important in understanding complex social and economic systems. With massive empirical datasets from the China Household Finance Survey and the National Statistics in the UK, we construct a migration probability matrix, and analyze the heterogeneous migration patterns. We then develop a random walk model to dynamically simulate the population distribution. In the stationary state, the resulting population distribution is in good agreement with the real statistical data. For comparison, simulations with an optimized gravity model and other datasets such as the census data in China are also performed. Further, the model simulation is applied to predict the demographic trend with different education levels. Our method could be generally extended to other real communities and internet worlds. Copyright (C) 2022 EPLA",Keywords PlusINTEGRATIONNETWORKSMOBILITYCHINAMODEL
Row_8,"Lobkov, K.; Eremeev, D.; Rubinskaya, A.; Melnikova, E.; Panfilov, I.",Determination of the Degree of Impact of Natural Disasters on the Level of Migration of the Population by Simulation Modelling,2023 22nd International Symposium INFOTEH-JAHORINA (INFOTEH),2023,0,"In this article the program for simulation of ""PowerSim"" was used. It built a simulation-dynamic model to measure the impact of natural disasters on people and migration levels. Three types of natural disasters were considered: hurricane, fire and earthquakes. The necessary constants for the operation of models have been identified, as well as models of the impact of various natural disasters on urban damage have been built. General models have been developed to illustrate the groups of factors influencing the destruction of the housing sector, including the population sector. For the ability to change results, constant switches were added to regulate earthquake severity, fire severity and hurricane strength. A graph has been constructed that can be used to visualize the number of destroyed houses from various natural disasters. The results were analyzed, on the basis of which four graphs were constructed: percentage of population growth, population, population, proportion of built-up land, in addition to graphs: table of calculation and emigration. In the course of the work, it was determined that the model was suitable for calculating the population size taking into account natural disasters.",
Row_9,"Shang, C (Shang, Cheng) [1] ; Su, ZJ (Su, Zhijing) [1] ; He, S (He, Song) [1] ; Xu, ZW (Xu, Zuwei) [1] ; Kruis, FE (Kruis, Frank Einar) [2] ; Zhao, HB (Zhao, Haibo) [1]",An efficient method for spatiotemporally resolved aerosol flow modeling: Discrete migration and GPU acceleration,AICHE JOURNAL,SEP 2023,3,"Describing spatiotemporal evolution and characteristics of dispersed systems using the population balance equation (PBE), examples including sectional and moment methods are fraught with numerous issues. Hence, this study develops an accurate method by combining computational fluid dynamics and population balance-Monte Carlo method (CFD-PBMC) with a moderate computational cost. An efficient sub-model for particle migration was proposed to simulate the convection and diffusion processes of particulate flows. A graphics processing unit (GPU)-based parallel computation was performed to accelerate the high-dimensional CFD-PBMC. Several classical cases with analytical or benchmark solutions were simulated, and a comprehensive comparison was made using the classical weighted random walk method. Good agreements were obtained, except in the case of radial migration, the reasons for which are explained in detail. The measured speedups on the GPU showed a factor of similar to 450 for pure migration and similar to 50 for the CFD-PBMC method when compared with a standard high-performance computer.",Author KeywordsCFD-PBMC simulationdifferentially weighted Monte CarloGPU parallel computationparticle migration modelpopulation balanceKeywords PlusMONTE-CARLO-SIMULATIONPOPULATION BALANCE EQUATIONFLAME SPRAY-PYROLYSISNANOPARTICLE SYNTHESISPARTICLE COAGULATION
Row_10,"Seidel, S (Seidel, Sophie) [1] ; Stadler, T (Stadler, Tanja) [1] , [2] ; Vaughan, TG (Vaughan, Timothy G.) [1]",Estimating pathogen spread using structured coalescent and birth-death models: A quantitative comparison,EPIDEMICS,DEC 2024,0,"Elucidating disease spread between subpopulations is crucial in guiding effective disease control efforts. Genomic epidemiology and phylodynamics have emerged as key principles to estimate such spread from pathogen phylogenies derived from molecular data. Two well-established structured phylodynamic methodologies - based on the coalescent and the birth-death model - are frequently employed to estimate viral spread between populations. Nonetheless, these methodologies operate under distinct assumptions whose impact on the accuracy of migration rate inference is yet to be thoroughly investigated. In this manuscript, we present a simulation study, contrasting the inferential outcomes of the structured coalescent model with constant population size and the multitype birth-death model with a constant rate. We explore this comparison across a range of migration rates in endemic diseases and epidemic outbreaks. The results of the epidemic outbreak analysis revealed that the birth-death model exhibits a superior ability to retrieve accurate migration rates compared to the coalescent model, regardless of the actual migration rate. Thus, to estimate accurate migration rates, the population dynamics have to be accounted for. On the other hand, for the endemic disease scenario, our investigation demonstrates that both models produce comparable coverage and accuracy of the migration rates, with the coalescent model generating more precise estimates. Regardless of the specific scenario, both models similarly estimated the source location of the disease. This research offers tangible modelling advice for infectious disease analysts, suggesting the use of either model for endemic diseases. For epidemic outbreaks, or scenarios with varying population size, structured phylodynamic models relying on the Kingman coalescent with constant population size should be avoided as they can lead to inaccurate estimates of the migration rate. Instead, coalescent models accounting for varying population size or birth-death models should be favoured. Importantly, our study emphasises the value of directly capturing exponential growth dynamics which could be a useful enhancement for structured coalescent models.",Author KeywordsPhylodynamicsPhylogeneticsPathogen spreadBirth-deathCoalescentKeywords PlusDYNAMICSMIGRATION
