,author,title,journal/conference/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26
Row_1,"Wang, RX (Wang, Ruoxi) [1] ; Zhang, XY (Zhang, Xinyuan) [1] ; Li, N (Li, Nan) [1] , [2]",Zooming into mobility to understand cities: A review of mobility-driven urban studies,CITIES,NOV 2022,19,"Emerging big datasets about human mobility provide new and powerful ways of studying cities and addressing various urban issues. However, human mobility has usually been defined narrowly in prior research that limits the understanding of its values for urban applications. The aim of this study is to reveal the complexity and multiplicity of human mobility concept for various urban application scenarios, and present a comprehensive review of mobility-driven urban studies through four re-conceptualized urban mobility perspectives. Using a systematic review approach, existing mobility-driven urban studies are classified based on whether they interpret urban mobility as spatial movements, a social phenomenon, an economic indicator or a policy tool. Then, the core values of knowledge about urban mobility for addressing contemporary urban challenges are analyzed, and the current trends and future directions of mobility-driven urban studies are also discussed. Moving forward, the application of urban mobility knowledge can be further advanced by the evolution of mobility concepts, the improvement of mobility data quality and the innovation of mobility analytical methods. This review can contribute to the understanding the state of the art of mobility-driven urban studies, and provide inspiration and guidelines for studies of this area in the future.",Mobility,Conceptualization,Big geodata,Urban issue,Urban application,Review,LAND-USE CLASSIFICATION,HUMAN ACTIVITY SPACES,AIR-POLLUTION,GPS DATA,BIG DATA,SOCIOECONOMIC-STATUS,TRAFFIC PREDICTION,TOURISM RESEARCH,TRAVEL PATTERNS,LOCATION DATA,,,,,,,,,,
Row_2,"Bertolini, L (Bertolini, Luca) [1] , [2]",The next 30 years: planning cities beyond mobility?,EUROPEAN PLANNING STUDIES,NOV 2 2023,3,"The negative environmental, social and economic side-effects of the individual motorized transport-centred urban mobility planning paradigm have been repeatedly denounced. This criticism inspired an alternative, sustainable mobility-centred urban mobility planning paradigm, which has been attempting to shift to a different pathway for the past 30 years. While the outcome of this struggle is still undecided, an even more fundamental shift seems to be taking place on the ground. An urban mobility planning paradigm altogether beyond mobility seems to be emerging, centred not on facilitating or even managing mobility but rather on cultivating a broad set of highly diverse urban qualities. This discussion, forward-looking paper explores this apparent development, its potentials and its challenges. It first reviews the multiple, diverse reasons for shifting away from mobility-centred urban mobility planning. Second, it highlights what might be the emerging components of an urban mobility planning paradigm beyond mobility. Third, it contends that an experimental, narrative-driven approach is essential to build on potentials and cope with challenges.",Urban planning,transport planning,post-car city,urban mobility,sustainable mobility,LAND-USE,URBAN,POLICY,CHALLENGES,SERVICES,CAR,,,,,,,,,,,,,,,
Row_3,"Cao, JZ (Cao, Jinzhou) [1] , [2] ; Tu, W (Tu, Wei) [3] , [4] ; Cao, R (Cao, Rui) [5] , [6] ; Gao, QL (Gao, Qili) [3] , [4] ; Chen, GZ (Chen, Guanzhou) [7] ; Li, QQ (Li, Qingquan) [3] , [4]",Untangling the association between urban mobility and urban elements,GEO-SPATIAL INFORMATION SCIENCE,JUL 3 2024,3,"Understanding complex urban systems necessitates untangling the relationships between diverse urban elements such as population, infrastructure, and socioeconomic activities. Scaling laws are basic but effective rules for evaluating a city's internal growth logic and assessing its efficiency by investigating whether urban indicators scale with population. To date, only limited research has empirically explored the scaling relations between variables of urban mobility in mega-cities at an intra-urban scale of a few meters. Using multiple urban-sensed and human-sensed data, this study proposes a thorough framework for quantifying the scaling laws in a city. To begin, urban mobility networks are built by aggregating population flows using large-scale mobile phone tracking data. To demonstrate the spatiotemporal variability of urban mobility, various network-based mobility measures are proposed. Following that, three different features of urban mobility laws are exposed, explaining spatial agglomeration, spatial hierarchical structures, and the temporal growth process. The scaling correlations between urban indicators pertaining to socioeconomic features and infrastructure and a mobility-population measure are then quantified using multi-sourced urban-sensed data. Applying this framework to the case study of Shenzhen, China revealed (a) spatial travel heterogeneity, hierarchical spatial structures, and mobility growth, and (b) not only a robust sub-linear relationship between infrastructure volume and population, but also a sub-linear relationship for socioeconomic activity. The identified scaling laws, both in terms of mobility measures and urban indicators, provide a multi-faceted portrait of the spatio-temporal variations of urban settings, allowing us to better understand intra-urban developments and, consequently, provide critical policy evaluations and suggestions for improving intra-urban efficiency in the future.",Scaling law,urban scaling,urban mobility,intra-urban system,mobile phone data,SCALING LAWS,TRIP FREQUENCY,PHONE,TRAJECTORIES,SHENZHEN,SIZE,LIFE,CITY,,,,,,,,,,,,,
Row_4,"Duan, XQ (Duan, Xiaoqi) [1] , [6] ; Zhang, T (Zhang, Tong) [2] ; Xu, ZB (Xu, Zhibang) [3] ; Wan, Q (Wan, Qiao) [1] ; Yan, JB (Yan, Jinbiao) [4] ; Wang, WS (Wang, Wangshu) [5] ; Tian, YL (Tian, Youliang) [1]",Discovering urban mobility structure: a spatio-temporal representational learning approach,INTERNATIONAL JOURNAL OF DIGITAL EARTH,DEC 8 2023,2,"The urban mobility structure is a summary of individual movement patterns and the interaction between persons and the urban environment, which is extremely important for urban management and public transportation route planning. The majority of current research on urban mobility structure discovery utilizes the urban environment as a static network to detect the relationship between people groups and urban areas, ignoring the vital problem of how individuals affect urban mobility structure dynamically. In this paper, we propose a spatio-temporal representational learning method based on reinforcement learning for discovering urban mobility structures, in which the model can effectively consider the interaction knowledge graph of individuals with stations while accounting for the spatio-temporal heterogeneity of individual travel. The experimental results demonstrate the advantages of individual travel-based urban mobility structure discovery research in describing the interaction between individuals and urban areas, which can account for the intrinsic influence more thoroughly.",Urban mobility structure,representational learning,individual travel,spatio-temporal heterogeneity,COMMUNITY STRUCTURE,PATTERNS,GRAPH,CITY,EMPLOYMENT,MATRIX,,,,,,,,,,,,,,,,
Row_5,"Ismaeel, WSE (Ismaeel, Walaa S. E.) [1] ; Elsayed, MA (Elsayed, Marwa Adel) [1] ; Elsayed, DSI (Elsayed, Doaa Salaheldin Ismail) [2]",Revisiting ?Sabil? buildings as nuclei of sustainable urban mobility in Fatimid Cairo: An urban-touristic approach considering urban and environmental qualities,AIN SHAMS ENGINEERING JOURNAL,NOV 2022,3,"This study adopts two levels of comparative urban analysis to investigate the current role played by Sabil buildings as nuclei for sustainable urban rehabilitation in Al-Muiz Street, Fatimid Cairo, Egypt. The study is tackled from an urban touristic approach to promote linear and diffused mobility. Hence, Linear Urban Mobility Analysis divided the linear spine into nine sectors based on Sabil locations. These varied in densities, activities, services, social behaviour and opportunities. They were compared based on a matrix including quantitative and qualitative parameters reflecting the existing urban conditions, and were added to an ArcGIS ModelBuilder to develop a spatial assessment model. Then, for a Diffused Urban Mobility Analysis, three proposed itineraries were compared using validated software programs to scrutinise their urban and environmental qualities. The results present a pilot study for promoting sustainable urban mobility in historic cities based on Sabil buildings contextual settings. (c) 2022 THE AUTHORS. Published by Elsevier BV on behalf of Faculty of Engineering, Ain Shams University This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-ncnd/4.0/).",Urban mobility,Environmental quality,Historic Cairo,Sabil buildings,Sustainable urban rehabilitation,Visual exposure,OUTDOOR THERMAL COMFORT,HERITAGE BUILDINGS,GREEN,PERFORMANCE,CITY,WALKABILITY,AQUEDUCTS,EMISSIONS,IMPACT,CITIES,,,,,,,,,,
Row_6,"Kim, J (Kim, Jiwoo) [1] ; Lee, G (Lee, Gunhak) [1] , [2]","Detecting Urban Community Based on Urban Mobility Patterns From the Public Transportation Trip-Chain Data: A Case Study of Seoul, South Korea",INTERNATIONAL REGIONAL SCIENCE REVIEW,DEC 2024,0,"Urban mobility has been studied in various areas of geography and related disciplines. Commuting patterns are highly linked to the spatial structure of functional districts in a city, which is substantially influenced by public transportation systems. Understanding urban mobility patterns are significant for revealing actual living districts and planning efficient transportation systems and infrastructure. This study aims to detect urban communities with spatially strong interaction based on similar mobility patterns. To extract homogeneous urban communities, we utilize a network community detection method, focusing on the multimodal transfer travels of the public transport system. As a case study, we examined urban communities in the Seoul metropolitan area of South Korea. The results showed newly detected living communities based on the actual mobility patterns of urban populations including multiple-choice behavior of transport mode. Such empirical findings depict more realistic dynamics of populations in large metropolitan areas and the significant influence of public transportation systems on urban mobility patterns.",urban mobility,multimodal travel pattern,public transportation,trip-chain data,network community detection,urban community,MODULARITY,NETWORKS,SYSTEM,USERS,,,,,,,,,,,,,,,,
Row_7,"Malekzadeh, M (Malekzadeh, Milad) [1] ; Reuschke, D (Reuschke, Darja) [2] ; Long, JA (Long, Jed A.) [1]",Quantifying local mobility patterns in urban human mobility data,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,AUG 2024,1,"Understanding fine-scale dynamics of human mobility patterns is pivotal for effective urban planning, public health strategies, and retail analysis. This study introduces a novel mobility measure - the Local Mobility Index (LMI) - combining geometry-based mobility metrics and accessibility measures. The LMI can be considered a measure of 'relative localness' by integrating preferences into the assessment of local mobility patterns, offering a novel measure for understanding mobility behavior in urban contexts. The LMI improves upon existing measures as it captures individual choice for local destinations through measuring whether individuals select nearby destinations; accounting for the unequal spatial distribution of urban amenities. Our contribution is mainly methodological, advancing the field by introducing a metric that captures different aspects of mobility compared to conventional mobility metrics. Leveraging mobile-phone-based GPS data, we examine the LMI using 759 individuals across three cities in England. We found that the LMI captures a new and distinct dimension of urban mobility, as evidenced by its weak correlation with established metrics. Therefore, LMI's capacity to highlight previously undetected aspects of mobility behavior, underscores its importance for advancing research and urban planning.",Local mobility index,localized travel behavior,urban accessibility optimization,spatial mobility patterns,HEALTH-CARE,ACCESSIBILITY,NEIGHBORHOODS,OPENSTREETMAP,WASHINGTON,AMENITIES,BEHAVIOR,MODEL,IMAGE,WORK,,,,,,,,,,,,
Row_8,"Winter, S.; Sester, M.; Tomko, M.; Millonig, A.",The Challenge of Data Analytics with Climate-neutral Urban Mobility (Vision Paper),ACM Transactions on Spatial Algorithms and Systems,30 June 2024,0,"Urban mobility is a major contributor to human-induced climate change, a challenge that urban and transport planning and spatial computing academic communities have been actively addressing. In this article we argue, however, that the common data analytics research into incremental efficiency improvements of originally non-sustainable urban mobility systems will never be able to help reach climate neutralitythe goal we must achieve by 2050 as per the Paris Agreement. This imperative is exacerbated by the observation that improvements, by data analytics, in one segment of urban mobility typically have unintended and often adverse consequences in other segments. In this vision paper we argue for a data analytics agenda to advance climate action at the core of urban mobility research. This agenda must disrupt the way we think and operate, as much as it is disrupting the accessibility issues of society in cities.",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_9,"Jang, S (Jang, Saewoom) [1] ; Hong, S (Hong, Sungmin) [2] ; Lee, D (Lee, Dalbyul) [3]",A Study on Pedestrian Satisfaction Among the Mobility Disadvantaged Persons According to Urban Form,KSCE JOURNAL OF CIVIL ENGINEERING,NOV 2023,0,"As for the paradigm of sustainable development, policies and research focusing on the improvement on convenience for mobility disadvantaged persons are currently underway. Physical facilities are constantly improving, but mobility disadvantaged pedestrian satisfaction is not commensurate with it. Therefore, local government should consider other requirements as well as improving the installation of mobility convenience facilities. This study paid attention to the opinion in urban planning that compact cities are walkable cities and examined whether the urban form, a regional characteristic, affects the pedestrian satisfaction of the mobility disadvantaged persons. In order to investigate the relationship between urban form and pedestrian satisfaction, hierarchical linear models were performed using the HLM program. The urban form was measured by land cover in the city using GIS and Fragstats. The results of analyses (Model 1 & SIM;4) showed that the urban form used as a variable at the regional level can explain 22-26% (variance) of the walking satisfaction. In addition, the mobility disadvantaged and sprawl urban form showed (-) in pedestrian satisfaction. The more sprawl, the opposite of compactness, the lower the satisfaction of the mobility disadvantaged person. This suggest that urban planning elements should be considered together to increase the convenience of pedestrians, including mobility disadvantaged persons.",Mobility disadvantaged persons,Walking satisfaction,Landcover map,Fragstats,Hierarchical Linear Model,PHYSICAL-ACTIVITY,SPRAWL,OBESITY,EQUITY,,,,,,,,,,,,,,,,,
Row_10,"Liu, XR (Liu, Xinrui) [1] ; Li, R (Li, Rui) [1] ; Cai, J (Cai, Jing) [1] ; Li, BS (Li, Bosen) [1] ; Li, YH (Li, Yanhao) [1]",Quantifying urban function accessibility and its effect on population mobility based on function-associated population mobility network,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,DEC 2024,0,"Due to rapid urbanization and globalization, urban functions are increasingly segregated in cities comprising centers of population aggregation and economic activity. Urban development yields intertwining and interdependent functional areas for residence, commerce, and education, which leads to complex but regular population mobility patterns. Population mobility spaces can effectively represent the actual service scopes of urban functions. Therefore, in this study, we propose a function-associated population mobility network (FPMN) to dynamically delineate the service capacities of urban functions, and to quantify the driving effects of urban functions on population mobility under spatial interaction conditions. By integrating the cumulative opportunities of geographic nodes with the potential opportunities reflected by population mobility, k-step function accessibility with population mobility (k-step PFA) is defined in FPMN to characterize the accessibility relationships between geographic nodes and function nodes. Based on k-step PFA, considering the complementarity and intervention opportunities, the function-driven index (FDI) is proposed to quantify the driving effects of urban functions on population mobility. Our experimental results indicated that FPMN could effectively represent the actual service scopes and capabilities of urban functions. Compared with general location-based accessibility indicators, k-step PFA has a higher numerical distribution and less spatial disparity, and it aligns more closely with the actual service scopes of urban functions. In addition, compared with intervening opportunities models, FDI delineates the functional driving effects of population mobility with greater precision, as well as revealing the travel propensity traits of a population relative to various urban functions through propensity parameters.",Urban function,Population mobility network,Accessibility,Transferability,Complementarity,Intervention opportunities,PATTERNS,,,,,,,,,,,,,,,,,,,
