,author1,author2,author3,title,journal/conference/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14
Row_1,"Cao, Kexin","Deng, Yu","Song, Ci","Exploring the drivers of urban renewal through comparative modeling of multiple types in Shenzhen, China",CITIES,JUN 2023,19,"A good understanding of urban renewal mechanisms is conducive to establishing an efficient spatial governance system. Although previous theories have explained the factors affecting urban renewal, such studies have failed to identify the differences among the drivers of multifunctional types of urban renewal, leading generalized urban renewal policies to fail. To extend the urban renewal theory from a typological perspective, this paper presents a study that identified the similarities and differences in the mechanisms of the multifunctional types of urban renewal projects implemented in Shenzhen, China. Multisource data, such as planning permits, were used to identify the urban renewal projects implemented in Shenzhen, China, between 2010 and 2020 as well as the prerenewal and postrenewal functions of these projects. The results indicate that 1) the regression model accuracy is 60.3 % for urban renewal as a whole. The classification of urban renewal projects improves the goodness of fit of the regression model by 0.16. 2) Land location, land prices, and policies were found to exert a greater influence on urban renewal than other factors, indicating that public demand plays a weaker role in driving urban renewal projects than the government or developers do. 3) The major types of urban renewal can be categorized into three typical driving modes: government-oriented urban renewal, which includes new industrial and public service projects; production-oriented urban renewal, which includes the conversion of industrial land into commercial or residential functions; and consumption-oriented urban renewal, including new residential projects implemented to accommodate the housing needs of an increasing population. Urban planners and policymakers can apply the results to classify urban renewal projects and adopt appropriate strategies for each type to achieve reasonable resource allocation and sustainable development.",Urban renewal,Spatial governance,Driving forces,Planning permit,The Rent Gap Theory,LAND-USE CHANGE,NEW-YORK-CITY,RENT-GAP,INDUSTRIAL LAND,TOURISM GENTRIFICATION,DECISION-MAKING,REDEVELOPMENT,REGENERATION,EXPERIENCES,POLICIES,,,,,,,,,,,,,,
Row_2,"Wu, Si -Min","Deng, Yu",,Typological differentiation and time-series effects of urban renewal on housing prices,CITIES,FEB 2024,5,"Urban renewal is a critical avenue and strategic tool for achieving high-quality and sustainable development, and the residential market plays a vital role in promoting urban renewal and urban growth. However, the impact of urban renewal on housing prices remains inconclusive, closely tied to the characteristics of the study area, the sources of research data, and so on. To address this, we employ the difference-in-difference method and a mixed panel dataset of housing transactions from 2010 to 2021 to analyze in detail the effects of different urban renewal types (Industrial Renewal, Residential Renewal, and Commercial Renewal) on surrounding housing prices in Bao'an District at different renewal phases (announcement, start, and completion). We found that In-dustrial Renewal exerts the most significant impact on housing prices at the beginning and completion of renewal, followed by Residential Renewal and Commercial Renewal. Moreover, Urban renewal generates both positive and negative externalities on housing prices, especially in the case of numerous small-scale renewal projects. The findings suggest that urban renewal should be supported by systematic research on renewal types, the establishment of scale entry threshold, and the monitoring of the entire process.",Urban renewal types,Housing prices,Stages,Scale,Shenzhen,SCHOOL-DISTRICT,QUALITY,PROJECT,GROWTH,AREA,CITY,,,,,,,,,,,,,,,,,,
Row_3,"Chen, Zhen","Fan, Jie",,Influence of Grouping and Driving Mechanisms on Urban Renewal Performance Using a Six-Dimensional Benefit Framework,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,DEC 1 2024,0,"Urban renewal is the result of collaborative governance among multiple stakeholders, and identifying the matching relationship between different urban renewal models and their performance is conducive to a more precise allocation of resources for urban renewal in various cities. In this study, we constructed a six-dimensional framework of benefits, covering local government, the regional economy, cultural preservation, social governance, ecological protection, and the role of cities. The work encompassed 18 evaluation indicators driving urban renewal based on urban renewal data from 20 cities in China. We employed the entropy weight and fuzzy set qualitative comparative analysis (fsQCA) methods to develop three urban renewal performance driving models-the comprehensive development model, political-ecological synergistic driving model, and economic-cultural weakness model. Furthermore, we categorized the characteristics of urban renewal in the 20 cities, providing theoretical support for the tailored formulation of differentiated urban renewal strategies based on each city's development status.",Urban renewal performance,Entropy weight method,Fuzzy set qualitative comparative analysis,six-dimensional benefit framework,CHINA,REGENERATION,SUSTAINABILITY,IMPACT,PERSPECTIVE,PROJECTS,POLICIES,,,,,,,,,,,,,,,,,,
Row_4,"Zheng, Songqing","Chen, Xiaochun","Liu, Yilun",Impact of urban renewal on urban heat island: Study of renewal processes and thermal effects,SUSTAINABLE CITIES AND SOCIETY,DEC 2023,21,"This study examines the impact of different types and processes of urban renewal on the urban heat island (UHI) effect. The research categorizes renewal projects based on changes in buildings, underlying surfaces, and functions. Using the Spearman correlation coefficient and LOWESS method, the study analyzes the relationships between cooling effects and impact factors. The results reveal that transforming industrial areas into commercial or residential zones and transitioning from compact mid-rise to open high-rise structures have significant cooling effects. However, the renewal implementation of the latter transformation can exacerbate the local UHI, suggesting the need for optimizing the timeline of such projects. Increasing vegetation cover plays a crucial role in mitigating the UHI, while higher floor area ratios and building volumes do not necessarily intensify the UHI. To improve the urban ecosystem, urban renewal planning should prioritize the creation of blue and green spaces, incorporation of natural infrastructure, and reduction of impervious surfaces. These findings have implications for urban renewal policies, selection of preferred renewal types, and insights into the renewal process.",Urban renewal,Urban heat island,Land redevelopment process,Shenzhen,LAND-SURFACE TEMPERATURE,CLIMATE ZONE SCHEME,REDEVELOPMENT,URBANIZATION,VENTILATION,GUANGZHOU,,,,,,,,,,,,,,,,,,,
Row_5,"Nachmany, Harel","Hananel, Ravit",,The Urban Renewal Matrix,LAND USE POLICY,AUG 2023,9,"Contemporary urban renewal policies worldwide are often presented as ""win-win"" opportunities, benefiting not only public authorities and private developers but also all target populations. The study, using a Tel Aviv neighborhood as a test case, challenges this prevailing idyllic perception by evaluating the social, economic, and physical outcomes of urban renewal at the household level, according to three tensions inherent in any residential urban renewal project. The research findings, outlining the urban renewal matrix-that is, the costs and benefits of urban renewal for various residents-reflect a complex reality with positive and negative consequences for different resident groups. Although urban renewal has significantly improved the housing conditions and surrounding environment, and although it promises some residents substantial future financial gain, it has also created a divided community, imposed pronounced affordability burdens that expose disadvantaged residents to economic displacement, and has not adequately adapted transportation and education services to population growth and residents' expectations. At a time when urban renewal is no longer a matter of choice, understanding the urban renewal matrix may help planners and policy makers bring the renewal process closer to its stated goals of improving the quality of life and encouraging the social mobility of disadvantaged populations.",Urban renewal,Regeneration,Housing policy,Planning policy,Social mobility,SUSTAINABLE DEVELOPMENT,SOCIAL MIX,REGENERATION,GENTRIFICATION,NEOLIBERALISM,NEIGHBORHOOD,COMMUNITY,POLITICS,POLICY,GEOGRAPHIES,,,,,,,,,,,,,,
Row_6,"Du, Tongyun","Du, Shihan","Wang, Ruoyu","Social Factors and Residential Satisfaction under Urban Renewal Background: A Comparative Case Study in Chongqing, China",JOURNAL OF URBAN PLANNING AND DEVELOPMENT,DEC 1 2022,9,"This study measured the residential satisfaction of residents in six urban renewal projects in Chongqing, China with the aim of determining which social factors should be prioritized during urban renewal. Based on an analysis of 1,086 responses to a questionnaire survey conducted among residents at different stages of the urban renewal process, multilevel linear models were used to examine the determinants of residential satisfaction after urban renewal; model results showed that 49 predictor variables explained 32.29% of residential satisfaction values in the hierarchical regression latent models. Two findings from the empirical analysis are: (1) ""Social networks and social protections"" represented the strongest predictor of residential satisfaction, followed in order of strength by ""social reciprocity and trust,"" ""community participation and accessibility,"" and ""sense of community and community cohesion""; and (2) keeping all five social factors balanced is essential for urban renewal projects, since having only one or two strong social factors will not contribute to higher residential satisfaction if the other factors are weak. Urban renewal studies of this kind are essential for monitoring trends in residential satisfaction.",Residential satisfaction,Social factors,Urban renewal,Community cohesion,Hierarchical regression,Latent models,Questionnaire survey,China,NEIGHBORHOOD SATISFACTION,PARTICIPATION,COMMUNITY,INCOME,DETERMINANTS,ATTACHMENT,COHESION,CITIES,PLACE,SENSE,,,,,,,,,,,
Row_7,"Tarakci, Sezen","Turk, Sevkiye Sence",,Public value capture capacity in the urban renewal project process: Fikirtepe case,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER,MAR 2022,2,"Public value capture is defined as the capture of the increase in value that occurs as a result of plan decisions, changes in land-use functions and/or infrastructure investments. Despite the high-value capture capacity of urban renewal projects, value capture cannot be achieved in all urban renewal areas depending on differences in the projects. The aim of this study is to examine public value capture capacity in a renewal project area centrally located, offering high housing demand and supply, and enabling high development rights. The study is based on a scenario work in the Fikirtepe Urban Renewal Project in Istanbul (Turkey). In this study, public value capture capacity is examined by taking into consideration each stage in the urban renewal process. In the process, 'land contribution' from the land of property owners, and 'the infrastructure participation fee' are taken according to plan notes and these can be evaluated within the scope of public value capture. However, these are limited to only 1.8% of the total real estate value. The capturing of the public value remained quite limited in an urban renewal area such as Fikirtepe that has a high-value capture capacity. This hinders the economic viability of urban renewal projects.",public policy,town & city planning,urban regeneration,NEGOTIABLE DEVELOPER OBLIGATIONS,LAND-VALUE CAPTURE,RIGHTS,REDEVELOPMENT,FLEXIBILITY,REFLECTIONS,SYSTEMS,TOOL,,,,,,,,,,,,,,,,,,
Row_8,"Cao, Kexin","Harris, Richard","Liu, Shenghe","How does urban renewal affect residential segregation in Shenzhen, China? A multi-scale study",SUSTAINABLE CITIES AND SOCIETY,MAR 2024,7,"Increasing residential segregation is emerging as a hindrance to urban sustainability. Urban renewal projects that claim alignment with sustainable development goals still lack comprehensive studies of their impact on social segregation, as evidenced by the ongoing scholarly debate over whether urban renewal has a positive or negative effect on social segregation. This paper explores the dynamics of urban spatial segregation, analyzes the role of urban renewal on segregation, and bridges the gap in existing research by considering dynamic changes, multiple spatial scales, and diverse renewal types. Using multi -source data - house price data, planning permit data and points of interest -stepwise regression models are combined with t -test methods to examine the impact of multiple types of urban renewal on local and regional residential segregation in Shenzhen. Our findings are as follows: 1) Income -based segregation in Shenzhen increased from 0.77 to 0.81 across neighborhoods, from 0.62 to 0.73 across sub -districts, and from 0.58 to 0.67 across districts between 2000 and 2020, therefore increasing at all scales but with more pronounced growth of segregation observed between units at larger scales; 2) Urban renewal can lead to greater income similarity amongst residents of a sub -district, by attracting more high -income people to move in, but this can lead to increased residential segregation of high- and low-income people at the macro -scale. 3) When assessing the impact of urban renewal on segregation, it is recommended to consider the variations in outcomes resulting from temporal changes, spatial scales, the types of renewal, the types of segregation, and the stages of urbanization. Understanding this process can help promote socially sustainable urban renewal projects.",Gentrification,Multi-scale,Residential segregation,Urban renewal,Urban social sustainability,SOCIOECONOMIC SEGREGATION,GENTRIFICATION,REDEVELOPMENT,DETERMINANTS,DIMENSIONS,GUANGZHOU,PATTERNS,COHESION,SCALE,,,,,"Deng, Yu",,,,,,,,,,
Row_9,"Hsieh, Chun-Ming","Yu, Cheng-Yu","Shao, Lu-Yun",Improving the Local Wind Environment through Urban Design Strategies in an Urban Renewal Process to Mitigate Urban Heat Island Effects,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,JUN 1 2023,6,"This study sought to demonstrate that small renewal projects could contribute to improved ventilation for the mitigation of urban heat island effects by designing building forms through urban design guidelines. Such a task is particularly important in an older built environment in many early developed cities, where large-scale urban renewal has been difficult to implement. Consequently, wind corridors are unlikely to be created to transfer heat away from cities, as suggested by previous studies. This study used computer simulations to assess the extent to which changes in building forms could drive wind flow through small-scale renewal sites. The removal of small, fragmented buildings during the renewal process was found to be of great significance for improving local ventilation, which can be regulated through urban design strategies with a low building coverage ratio. Moreover, adjusting the floor area ratio could help create open spaces that benefit on-site and off-site wind environments. This study highlighted small-scale urban renewal projects and their contribution to improving ventilation and mitigating urban heat island effects. These projects can be applied in urban renewal and regeneration through urban design guidelines for the regulation of the spatial distribution of buildings. Of note, wind factors must be integrated into site planning and architectural design processes. In conclusion, the incorporation of wind factors into planning and design processes will help combat urban heat island effects in cities.",Urban design,Urban heat island,Ventilation corridor,Urban renewal,Least cost path (LCP),Computational fluid dynamics (CFD),COMPUTATIONAL FLUID-DYNAMICS,THERMAL COMFORT,LAND-USE,GREEN INFRASTRUCTURE,VENTILATION,IMPACT,CITY,PARK,URBANIZATION,MICROCLIMATE,,,,,,,,,,,,,
Row_10,"Cui, Dingyue","Ditta, Asim A.","Cao, Shi-Jie",Energy justice and sustainable urban renewal: A systematic review of low-income old town communities,JOURNAL OF CLEANER PRODUCTION,SEP 25 2024,0,"Improving living conditions, quality of public services and social safety nets in blighted and underdeveloped urban areas also are important aspects of urban renewal. In another way, achieving sustainable urban development requires more improvements. Equity, sustainability, and universality are core principles of sustainable development and should be integrated into urban renewal strategies. For instance, urban renewal in old town areas presents multiple challenges, including balancing public investment needs, social justice considerations, and environmental impacts. Studies have shown that inequalities often arise during implementation, disproportionately affecting low-income residents in old town areas. While energy justice is a key concept for reducing these inequalities during renewal process, however existing frameworks lack a multi-dimensional approach. This study proposes a comprehensive evaluation framework that combines sustainable development with energy justice principles during the renewal of old town areas. This framework aims to achieve equitable and sustainable development outcomes in renewal of old urban areas by systematically examining the unequal impacts on lowincome groups and proposing equitable energy services and inclusive policies. The proposed equity evaluation framework includes two key components: 1) Main factors in existing renewal strategies, which include equitable access to energy resources, sustainable energy systems, affordability, and public participation. 2) Criteria for refining energy justice evaluation framework, which include accessibility, energy efficiency, community participation, and policy coordination. The research emphasizes the importance of fairness in providing affordable, reliable, and sustainable energy opportunities within urban renewal initiatives. This focus can provide rational perspective and reference for decision makers, thereby empowering vulnerable groups, giving equitable energy access and contributing to achieve sustainable urban development.",Sustainable development,Energy justice,Urban renewal,Low-income groups,INDICATOR SYSTEM,VULNERABILITY,TRANSITIONS,PERSPECTIVE,FRAMEWORK,POVERTY,AREAS,,,,,,,,,,,,,,,,,,
